日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.57,6.74,6.78,6.52,75970,133028536.0,3.98,3.06,0.2,7.37
2010-01-05,6.74,6.72,6.85,6.58,52186,91373720.0,4.01,-0.3,-0.02,5.06
2010-01-06,6.72,6.6,6.82,6.58,53749,94126984.0,3.57,-1.79,-0.12,5.21
2010-01-07,6.62,6.65,6.65,6.47,57518,98824896.0,2.73,0.76,0.05,5.58
2010-01-08,6.61,6.92,6.96,6.58,120413,215562256.0,5.71,4.06,0.27,11.67
2010-01-11,7.0,7.22,7.32,6.79,122301,226863760.0,7.66,4.34,0.3,11.86
2010-01-12,7.16,7.21,7.33,7.1,80142,150482288.0,3.19,-0.14,-0.01,7.77
2010-01-18,7.21,6.84,7.21,6.46,142639,255126464.0,10.4,-5.13,-0.37,13.83
2010-01-19,6.8,6.9,7.0,6.74,73409,132005768.0,3.8,0.88,0.06,7.12
2010-01-20,6.89,7.61,7.62,6.74,224105,436958080.0,12.75,10.29,0.71,21.73
2010-01-21,7.55,7.22,7.55,7.16,130872,248897056.0,5.12,-5.12,-0.39,12.69
2010-01-22,7.14,6.83,7.14,6.54,86676,154629696.0,8.31,-5.4,-0.39,8.4
2010-01-25,6.72,6.7,6.91,6.7,39697,70129248.0,3.07,-1.9,-0.13,3.85
2010-01-26,6.78,6.47,6.8,6.36,49694,85488200.0,6.57,-3.43,-0.23,4.82
2010-01-27,6.5,6.48,6.66,6.36,28777,49040508.0,4.64,0.15,0.01,2.79
2010-01-28,6.42,6.62,6.68,6.42,31173,53725240.0,4.01,2.16,0.14,3.02
2010-01-29,6.58,6.86,6.93,6.49,48996,86611472.0,6.65,3.63,0.24,4.75
2010-02-01,6.77,6.6,6.88,6.56,33551,58587880.0,4.66,-3.79,-0.26,3.25
2010-02-02,6.68,6.49,6.86,6.47,32298,56544516.0,5.91,-1.67,-0.11,3.13
2010-02-03,6.5,7.0,7.13,6.44,72521,128689200.0,10.63,7.86,0.51,7.03
2010-02-04,6.9,6.83,7.1,6.82,111157,202377888.0,4.0,-2.43,-0.17,10.78
2010-02-05,6.65,6.82,7.0,6.53,73695,129895912.0,6.88,-0.15,-0.01,7.14
2010-02-08,6.82,6.66,6.82,6.57,31329,54544600.0,3.67,-2.35,-0.16,3.04
2010-02-09,6.74,6.83,7.14,6.74,62634,113246144.0,6.01,2.55,0.17,6.07
2010-02-10,6.84,6.89,6.94,6.74,38872,69655544.0,2.93,0.88,0.06,3.77
2010-02-11,6.9,6.9,6.93,6.76,29778,53303596.0,2.47,0.15,0.01,2.89
2010-02-12,6.9,6.96,7.0,6.84,31382,56862956.0,2.32,0.87,0.06,3.04
2010-02-22,6.97,7.05,7.27,6.94,61810,115043776.0,4.74,1.29,0.09,5.99
2010-02-23,6.98,7.21,7.24,6.98,52949,98040664.0,3.69,2.27,0.16,5.13
2010-02-24,7.22,7.41,7.49,7.11,74334,142165504.0,5.27,2.77,0.2,7.21
2010-02-25,7.42,7.32,7.53,7.28,91910,176896320.0,3.37,-1.21,-0.09,8.91
2010-02-26,7.44,7.35,7.6,7.26,88170,170410944.0,4.64,0.41,0.03,8.55
2010-03-01,7.35,8.11,8.11,7.34,153409,316305888.0,10.48,10.34,0.76,14.87
2010-03-02,8.38,8.13,8.48,7.94,208552,444335552.0,6.66,0.25,0.02,20.22
2010-03-03,8.02,7.95,8.1,7.84,101698,209384976.0,3.2,-2.21,-0.18,9.86
2010-03-04,7.9,7.69,8.25,7.58,100523,207943568.0,8.43,-3.27,-0.26,9.75
2010-03-05,7.7,7.89,7.96,7.46,74930,150220096.0,6.5,2.6,0.2,7.26
2010-03-08,8.08,7.95,8.2,7.79,74225,153724480.0,5.2,0.76,0.06,7.2
2010-03-09,7.96,7.66,7.96,7.62,52420,104831176.0,4.28,-3.65,-0.29,5.08
2010-03-10,7.64,7.49,7.73,7.44,36432,71589792.0,3.79,-2.22,-0.17,3.53
2010-03-11,7.49,7.34,7.59,7.27,43436,83555424.0,4.27,-2.0,-0.15,4.21
2010-03-12,7.3,7.34,7.52,7.28,38057,73342848.0,3.27,0.0,0.0,3.69
2010-03-15,7.36,7.47,7.52,7.3,35944,69488216.0,3.0,1.77,0.13,3.48
2010-03-16,7.47,7.42,7.53,7.3,27969,54019132.0,3.08,-0.67,-0.05,2.71
2010-03-17,7.42,7.62,7.63,7.42,34414,67567728.0,2.83,2.7,0.2,3.34
2010-03-18,7.65,7.71,7.81,7.61,44027,88357656.0,2.62,1.18,0.09,4.27
2010-03-19,7.74,7.73,7.76,7.62,30476,60834616.0,1.82,0.26,0.02,2.95
2010-03-22,7.82,7.6,7.82,7.58,34534,68482928.0,3.1,-1.68,-0.13,3.35
2010-03-23,7.59,7.43,7.6,7.37,34712,67403608.0,3.03,-2.24,-0.17,3.37
2010-03-24,7.38,7.38,7.49,7.3,30785,59114828.0,2.56,-0.67,-0.05,2.98
2010-03-25,7.39,7.31,7.49,7.3,33802,65050236.0,2.57,-0.95,-0.07,3.28
2010-03-26,7.32,7.42,7.46,7.3,22237,42765464.0,2.19,1.5,0.11,2.16
2010-03-29,7.43,7.28,7.5,7.24,73290,139955152.0,3.5,-1.89,-0.14,7.11
2010-03-30,7.3,7.39,7.42,7.28,36314,69640160.0,1.92,1.51,0.11,3.52
2010-03-31,7.4,7.35,7.42,7.29,30893,58925924.0,1.76,-0.54,-0.04,3.0
2010-04-01,7.35,7.48,7.48,7.34,46467,89694200.0,1.9,1.77,0.13,4.5
2010-04-02,7.52,7.52,7.56,7.42,40925,79760208.0,1.87,0.53,0.04,3.97
2010-04-06,7.7,7.78,8.22,7.7,111567,228066528.0,6.91,3.46,0.26,10.82
2010-04-07,7.7,7.76,7.76,7.58,44453,88401800.0,2.31,-0.26,-0.02,4.31
2010-04-08,7.76,7.78,7.9,7.7,59367,120473952.0,2.58,0.26,0.02,5.76
2010-04-09,7.79,7.76,7.86,7.6,40410,81022016.0,3.34,-0.26,-0.02,3.92
2010-04-12,7.76,7.6,7.76,7.54,48857,96824616.0,2.84,-2.06,-0.16,4.74
