日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.9,5.89,5.97,5.84,42579,37370768.0,2.21,0.0,0.0,3.51
2010-01-05,5.92,5.82,5.93,5.73,47070,40704724.0,3.4,-1.19,-0.07,3.87
2010-01-06,5.83,5.98,6.01,5.77,81458,71639184.0,4.12,2.75,0.16,6.71
2010-01-07,5.97,5.76,5.97,5.72,47839,41645936.0,4.18,-3.68,-0.22,3.94
2010-01-08,5.7,5.71,5.76,5.6,32874,27856230.0,2.78,-0.87,-0.05,2.71
2010-01-11,5.76,5.66,5.8,5.65,35864,30472332.0,2.63,-0.88,-0.05,2.95
2010-01-12,5.66,5.8,5.83,5.62,35922,30790928.0,3.71,2.47,0.14,2.96
2010-01-13,5.69,5.71,5.83,5.66,41769,35714700.0,2.93,-1.55,-0.09,3.44
2010-01-14,5.76,6.18,6.19,5.71,112929,100519224.0,8.41,8.23,0.47,9.3
2010-01-15,6.11,6.06,6.18,6.02,67595,61151612.0,2.59,-1.94,-0.12,5.56
2010-01-18,6.03,6.13,6.14,6.0,48034,43433716.0,2.31,1.16,0.07,3.95
2010-01-19,6.12,6.04,6.12,5.96,46896,42039760.0,2.61,-1.47,-0.09,3.86
2010-01-20,6.01,5.81,6.11,5.77,48777,43324956.0,5.63,-3.81,-0.23,4.02
2010-01-21,5.82,5.83,5.89,5.78,30505,26525474.0,1.89,0.34,0.02,2.51
2010-01-22,5.81,5.56,5.81,5.41,43505,36394648.0,6.86,-4.63,-0.27,3.58
2010-01-25,5.51,5.48,5.59,5.46,23402,19282932.0,2.34,-1.44,-0.08,1.93
2010-01-26,5.5,5.26,5.55,5.06,33070,26076048.0,8.94,-4.01,-0.22,2.72
2010-01-27,5.26,5.2,5.33,5.15,21970,17233794.0,3.42,-1.14,-0.06,1.81
2010-01-28,5.21,5.37,5.42,5.18,23981,19209812.0,4.62,3.27,0.17,1.97
2010-01-29,5.38,5.36,5.46,5.28,15829,12789970.0,3.35,-0.19,-0.01,1.3
2010-02-01,5.36,5.22,5.41,5.08,16287,12741002.0,6.16,-2.61,-0.14,1.34
2010-02-02,5.27,5.31,5.34,5.23,16476,13030418.0,2.11,1.72,0.09,1.36
2010-02-03,5.27,5.4,5.41,5.13,21186,16782588.0,5.27,1.69,0.09,1.74
2010-02-04,5.41,5.56,5.63,5.36,35081,29044342.0,5.0,2.96,0.16,2.89
2010-02-05,5.37,5.53,5.63,5.37,29163,24008992.0,4.68,-0.54,-0.03,2.4
2010-02-08,5.49,5.56,5.56,5.48,15819,13036198.0,1.45,0.54,0.03,1.3
2010-02-09,5.54,5.68,5.76,5.52,27334,23188030.0,4.32,2.16,0.12,2.25
2010-02-10,5.7,6.21,6.27,5.68,125013,111985672.0,10.39,9.33,0.53,10.29
2010-02-11,6.1,5.98,6.17,5.9,63212,56340760.0,4.35,-3.7,-0.23,5.2
2010-02-12,5.97,5.96,6.08,5.91,35442,31580384.0,2.84,-0.33,-0.02,2.92
2010-02-22,6.01,6.14,6.26,5.9,72165,65863644.0,6.04,3.02,0.18,5.94
2010-02-23,6.14,6.61,6.73,6.11,154132,148031184.0,10.1,7.65,0.47,12.69
2010-02-24,6.61,6.69,6.73,6.41,112867,110633856.0,4.84,1.21,0.08,9.29
2010-02-25,6.62,6.9,7.01,6.62,147079,149266784.0,5.83,3.14,0.21,12.11
2010-02-26,6.9,6.77,7.28,6.77,151647,156094192.0,7.39,-1.88,-0.13,12.48
2010-03-01,6.9,7.31,7.34,6.75,164624,172847760.0,8.71,7.98,0.54,13.55
2010-03-02,7.2,7.06,7.33,7.02,100840,106221720.0,4.24,-3.42,-0.25,8.3
2010-03-03,7.01,7.12,7.28,7.01,77173,80992768.0,3.82,0.85,0.06,6.35
2010-03-04,7.06,6.76,7.18,6.66,89633,91588024.0,7.3,-5.06,-0.36,7.38
2010-03-05,6.69,6.92,6.96,6.68,60639,61334320.0,4.14,2.37,0.16,4.99
2010-03-08,6.91,6.98,7.08,6.88,48360,49883460.0,2.89,0.87,0.06,3.98
2010-03-09,7.08,7.39,7.68,7.06,153547,166773616.0,8.88,5.87,0.41,12.64
2010-03-10,7.25,7.58,7.69,7.2,124404,137382480.0,6.63,2.57,0.19,10.24
2010-03-11,7.64,7.48,7.97,7.38,77977,86813104.0,7.78,-1.32,-0.1,6.42
2010-03-12,7.41,7.27,7.66,7.24,64066,69515208.0,5.61,-2.81,-0.21,5.27
2010-03-15,7.23,7.38,7.53,7.2,51185,55648788.0,4.54,1.51,0.11,4.21
2010-03-16,7.25,7.3,7.43,7.18,37085,39845152.0,3.39,-1.08,-0.08,3.05
2010-03-17,7.31,8.06,8.06,7.31,168555,195429248.0,10.27,10.41,0.76,13.88
2010-05-05,8.91,8.91,8.91,8.91,4391,5703350.5,0.0,10.55,0.85,0.36
2010-05-06,9.83,9.83,9.83,9.83,3377,4825218.5,0.0,10.33,0.92,0.28
2010-05-10,10.86,10.34,10.86,10.16,505299,788607808.0,7.12,5.19,0.51,41.6
2010-05-11,10.45,10.11,10.88,9.97,309154,468152640.0,8.8,-2.22,-0.23,25.45
2010-05-12,9.91,9.16,10.3,9.06,286464,397317568.0,12.27,-9.4,-0.95,23.58
2010-05-13,9.23,10.12,10.12,9.07,244599,345725920.0,11.46,10.48,0.96,20.14
2010-05-14,10.2,9.9,10.3,9.73,214969,311631328.0,5.63,-2.17,-0.22,17.7
2010-05-17,9.55,9.77,10.65,9.42,224886,329197600.0,12.42,-1.31,-0.13,18.51
2010-05-18,9.7,9.5,9.96,9.09,160270,222228528.0,8.9,-2.76,-0.27,13.19
2010-05-19,9.28,9.94,10.3,9.28,179822,256692272.0,10.74,4.63,0.44,14.8
2010-05-20,9.68,9.6,9.97,9.21,141829,197893584.0,7.65,-3.42,-0.34,11.68
2010-05-21,9.33,9.76,9.81,8.83,146204,200159312.0,10.21,1.67,0.16,12.04
2010-05-24,9.7,10.22,10.58,9.63,208714,307292192.0,9.73,4.71,0.46,17.18
2010-05-25,10.08,11.28,11.28,10.08,324741,510164864.0,11.74,10.37,1.06,26.73
2010-05-26,11.26,10.88,11.48,10.74,217107,349743424.0,6.56,-3.55,-0.4,17.87
2010-05-27,10.73,11.02,11.29,10.61,155956,247950784.0,6.25,1.29,0.14,12.84
2010-05-28,11.06,11.09,11.62,10.95,160563,261787616.0,6.08,0.64,0.07,13.22
2010-05-31,10.77,9.95,10.77,9.95,281069,413783744.0,7.39,-10.28,-1.14,23.14
2010-06-01,9.66,10.06,10.11,9.28,168556,237554640.0,8.34,1.11,0.11,13.88
2010-06-02,9.91,9.86,9.96,9.54,91999,130616168.0,4.17,-1.99,-0.2,7.57
2010-06-03,10.09,9.48,10.22,9.38,155580,221797008.0,8.52,-3.85,-0.38,12.81
2010-06-04,9.27,9.7,9.74,9.17,106525,147957040.0,6.01,2.32,0.22,8.77
2010-06-07,9.47,9.68,9.77,9.36,68762,96297104.0,4.23,-0.21,-0.02,5.66
2010-06-08,10.26,9.91,10.54,9.81,202283,299520448.0,7.54,2.38,0.23,16.65
2010-06-09,9.94,9.98,10.25,9.88,126986,184478352.0,3.73,0.71,0.07,10.45
2010-06-10,9.98,10.28,10.46,9.92,139513,206337664.0,5.41,3.01,0.3,11.48
2010-06-11,10.36,9.85,10.38,9.83,103533,150369088.0,5.35,-4.18,-0.43,8.52
2010-06-17,9.98,9.28,9.98,9.25,108760,151245360.0,7.41,-5.79,-0.57,8.95
2010-06-18,9.29,8.68,9.4,8.46,88880,116385344.0,10.13,-6.47,-0.6,7.32
2010-06-21,8.65,8.88,8.98,8.38,59418,75667352.0,6.91,2.3,0.2,4.89
2010-06-22,8.8,8.88,8.99,8.78,44684,57805084.0,2.36,0.0,0.0,3.68
2010-06-23,8.83,8.78,8.98,8.66,42894,55102204.0,3.6,-1.13,-0.1,3.53
2010-06-24,9.06,9.02,9.29,8.93,85332,112965056.0,4.1,2.73,0.24,7.02
