日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-04-13,14.94,18.13,18.13,14.94,85,208035.0,25.96,47.52,5.84,0.03
2017-04-14,20.03,20.03,20.03,20.03,35,96166.0,0.0,10.48,1.9,0.01
2017-04-17,22.13,22.13,22.13,22.13,84,251218.0,0.0,10.48,2.1,0.03
2017-04-18,24.45,24.45,24.45,24.45,47,155382.0,0.0,10.48,2.32,0.02
2017-04-19,27.0,27.0,27.0,27.0,105,382612.0,0.0,10.43,2.55,0.03
2017-04-20,29.8,29.8,29.8,29.8,267,1068427.0,0.0,10.37,2.8,0.09
2017-04-21,32.87,32.87,32.87,32.87,1141,5021100.0,0.0,10.3,3.07,0.37
2017-04-26,33.63,31.86,35.77,31.21,131518,586536752.0,13.87,-3.07,-1.01,42.87
2017-04-27,30.57,33.7,34.77,30.57,121163,529180848.0,13.18,5.78,1.84,39.49
2017-04-28,34.33,33.98,35.38,32.77,96652,440459008.0,7.74,0.83,0.28,31.5
2017-05-02,32.86,31.87,33.03,31.56,76335,329655568.0,4.33,-6.21,-2.11,24.88
2017-05-03,31.33,34.13,34.79,31.2,94163,415331728.0,11.26,7.09,2.26,30.69
2017-05-04,33.25,32.26,33.63,31.33,73706,321818592.0,6.74,-5.48,-1.87,24.02
2017-05-05,32.29,28.93,32.52,28.93,72338,296482144.0,11.13,-10.32,-3.33,23.58
2017-05-08,28.24,27.19,28.78,27.0,44475,167412843.0,6.15,-6.01,-1.74,14.5
2017-05-09,27.14,28.17,28.52,27.1,40189,151100423.0,5.22,3.6,0.98,13.1
2017-05-10,28.25,26.33,28.43,26.25,44407,163525554.0,7.74,-6.53,-1.84,14.47
2017-05-11,25.94,26.97,27.1,25.71,42274,151109776.0,5.28,2.43,0.64,13.78
2017-05-12,26.97,27.12,27.37,26.37,36803,133414680.0,3.71,0.56,0.15,12.0
2017-05-15,26.94,27.53,28.11,26.66,44147,162531654.0,5.35,1.51,0.41,14.39
