日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,15.0,14.96,15.23,14.53,151745,427313984.0,4.72,0.94,0.14,3.16
2010-01-05,15.07,15.68,16.05,14.98,193259,568847872.0,7.15,4.81,0.72,4.02
2010-01-06,15.68,16.09,17.09,15.49,250657,773755968.0,10.2,2.61,0.41,5.22
2010-01-07,16.53,15.87,17.15,15.65,274478,848799616.0,9.32,-1.37,-0.22,5.72
2010-01-08,15.76,16.17,16.2,15.21,156408,465232448.0,6.24,1.89,0.3,3.26
2010-01-11,16.41,16.31,16.83,15.69,97406,298055456.0,7.05,0.87,0.14,2.03
2010-01-12,16.37,16.5,16.71,15.72,120986,369688128.0,6.07,1.16,0.19,2.52
2010-01-14,14.87,15.71,15.76,14.87,249255,722950720.0,5.39,-4.79,-0.79,5.19
2010-01-15,15.53,15.38,15.62,15.18,112826,326757056.0,2.8,-2.1,-0.33,2.35
2010-01-18,15.3,14.96,15.31,14.72,128539,361625344.0,3.84,-2.73,-0.42,2.68
2010-01-19,15.01,15.47,15.83,15.01,174720,511360256.0,5.48,3.41,0.51,3.64
2010-01-20,15.53,14.72,15.54,14.47,147585,415391072.0,6.92,-4.85,-0.75,3.07
2010-01-21,14.59,14.37,14.75,13.85,168694,454164928.0,6.11,-2.38,-0.35,3.51
2010-01-22,13.99,13.62,14.02,13.24,173387,449550304.0,5.43,-5.22,-0.75,3.61
2010-01-25,13.62,13.72,13.98,13.32,97670,254744640.0,4.85,0.73,0.1,2.03
2010-01-26,13.97,13.06,13.97,12.87,116406,292404608.0,8.02,-4.81,-0.66,2.42
2010-01-27,12.87,13.05,13.43,12.57,135227,333784576.0,6.58,-0.08,-0.01,2.82
2010-01-28,12.88,12.83,13.01,12.54,91209,221995136.0,3.6,-1.69,-0.22,1.9
2010-01-29,12.59,12.76,13.11,12.49,142514,347485024.0,4.83,-0.55,-0.07,2.97
2010-02-01,12.71,11.99,12.76,11.87,128069,296447488.0,6.97,-6.03,-0.77,2.67
2010-02-02,12.23,12.16,12.76,12.1,161117,382005856.0,5.5,1.42,0.17,3.36
2010-02-03,12.41,13.07,13.14,12.04,182219,438092160.0,9.05,7.48,0.91,3.8
