日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-01-05,3.59,4.32,4.32,3.59,93,65299.0,24.58,45.45,1.35,0.04
2017-01-06,4.77,4.77,4.77,4.77,13,10166.0,0.0,10.42,0.45,0.01
2017-01-09,5.25,5.25,5.25,5.25,25,21070.0,0.0,10.06,0.48,0.01
2017-01-10,5.79,5.79,5.79,5.79,3,2838.0,0.0,10.29,0.54,0.0
2017-01-11,6.39,6.39,6.39,6.39,22,22902.0,0.0,10.36,0.6,0.01
2017-01-12,7.04,7.04,7.04,7.04,36,41220.0,0.0,10.17,0.65,0.01
2017-01-13,7.75,7.75,7.75,7.75,141,177030.0,0.0,10.09,0.71,0.06
2017-01-16,8.54,8.54,8.54,8.54,330,456687.0,0.0,10.19,0.79,0.13
2017-01-17,9.41,9.41,9.41,9.41,265,403515.0,0.0,10.19,0.87,0.11
2017-01-18,10.37,10.37,10.37,10.37,200,336002.0,0.0,10.2,0.96,0.08
2017-01-19,11.42,11.42,11.42,11.42,622,1148027.0,0.0,10.13,1.05,0.25
2017-01-20,12.57,12.57,12.57,12.57,588,1193821.0,0.0,10.07,1.15,0.24
2017-01-23,13.84,13.84,13.84,13.84,322,719616.0,0.0,10.1,1.27,0.13
2017-01-24,15.24,15.24,15.24,15.24,396,972972.0,0.0,10.12,1.4,0.16
2017-01-25,16.77,16.77,16.77,16.77,700,1891018.0,0.0,10.04,1.53,0.28
2017-01-26,18.46,18.46,18.46,18.46,4411,13114200.0,0.0,10.08,1.69,1.76
2017-02-03,20.32,20.32,20.32,20.32,3132,10242065.0,0.0,10.08,1.86,1.25
2017-02-06,22.36,22.36,22.36,21.8,57356,206159863.0,2.76,10.04,2.04,22.94
2017-02-07,23.63,23.57,24.48,23.2,164296,625168256.0,5.72,5.41,1.21,65.72
2017-02-08,24.38,25.94,25.94,23.95,128621,514510672.0,8.44,10.06,2.37,51.45
2017-02-09,25.01,25.1,25.49,24.64,104436,420806704.0,3.28,-3.24,-0.84,41.77
2017-02-10,24.89,24.82,26.51,24.82,81094,331439168.0,6.73,-1.12,-0.28,32.44
2017-02-13,25.2,25.72,26.38,24.69,75629,312815520.0,6.81,3.63,0.9,30.25
2017-02-14,25.14,26.21,26.99,24.92,76736,318136064.0,8.05,1.91,0.49,30.69
2017-02-15,26.11,27.02,28.84,25.88,126554,560949648.0,11.29,3.09,0.81,50.62
2017-02-16,26.13,25.43,26.44,24.88,84432,349662480.0,5.77,-5.88,-1.59,33.77
2017-02-17,25.19,23.35,25.47,23.25,73171,284750656.0,8.73,-8.18,-2.08,29.27
2017-02-20,23.42,22.76,23.62,22.13,44628,163810392.0,6.38,-2.53,-0.59,17.85
2017-02-21,22.8,23.46,23.8,22.69,44119,165189031.0,4.88,3.08,0.7,17.65
2017-02-22,23.63,23.47,23.65,22.93,36369,136467064.0,3.07,0.04,0.01,14.55
2017-02-23,23.32,24.04,24.24,23.22,42415,162487526.0,4.35,2.43,0.57,16.97
2017-02-24,23.94,24.83,25.36,23.82,57391,227171033.0,6.41,3.29,0.79,22.96
2017-02-27,24.89,26.67,27.07,24.72,70661,295616864.0,9.46,7.41,1.84,28.26
2017-02-28,26.44,26.69,26.96,25.76,54325,229453862.0,4.5,0.07,0.02,21.73
2017-03-01,26.51,25.14,26.52,25.11,46153,191312230.0,5.28,-5.81,-1.55,18.46
2017-03-02,25.07,25.65,26.09,24.9,37359,153831032.0,4.73,2.03,0.51,14.94
2017-03-03,25.59,25.92,26.1,24.88,33652,138940098.0,4.76,1.05,0.27,13.46
2017-03-06,25.57,27.57,28.21,25.57,53699,232827141.0,10.19,6.37,1.65,21.48
2017-03-07,27.37,27.75,27.75,26.63,52656,229749383.0,4.06,0.65,0.18,21.06
2017-03-08,27.5,27.99,28.37,27.19,50747,226840820.0,4.25,0.86,0.24,20.3
2017-03-09,27.62,27.25,27.79,26.75,33199,145198921.0,3.72,-2.64,-0.74,13.28
2017-03-10,27.29,26.99,27.35,26.84,23677,103201434.0,1.87,-0.95,-0.26,9.47
2017-03-13,27.05,28.62,28.8,26.74,50157,223749077.0,7.63,6.04,1.63,20.06
2017-03-14,28.31,27.91,29.57,27.89,53511,246692472.0,5.87,-2.48,-0.71,21.4
2017-03-15,27.68,29.09,29.75,27.51,46980,216624047.0,8.03,4.23,1.18,18.79
2017-03-16,29.11,29.5,30.66,28.7,55375,263486441.0,6.74,1.41,0.41,22.15
2017-03-17,29.25,28.55,30.05,28.5,44548,209055242.0,5.25,-3.22,-0.95,17.82
2017-03-20,28.49,31.09,31.13,28.49,53945,256701117.0,9.25,8.9,2.54,21.58
2017-03-21,30.67,31.35,31.56,30.1,54665,271495792.0,4.7,0.84,0.26,21.87
2017-03-22,30.75,33.75,33.94,30.7,62536,325821760.0,10.33,7.66,2.4,25.01
2017-03-23,33.22,32.27,34.25,31.28,62925,330903472.0,8.8,-4.39,-1.48,25.17
2017-03-24,32.3,32.7,34.16,32.3,47676,254163911.0,5.76,1.33,0.43,19.07
2017-03-27,32.7,32.45,32.99,31.63,33942,175155152.0,4.16,-0.76,-0.25,13.58
2017-03-28,32.07,31.08,32.22,30.89,32290,163735643.0,4.1,-4.22,-1.37,12.92
