日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-08-22,6.07,7.42,7.42,6.07,66,207619.0,27.27,49.9,2.47,0.04
2017-08-23,8.23,8.23,8.23,8.23,15,53175.0,0.0,10.92,0.81,0.01
2017-08-24,9.13,9.13,9.13,9.13,37,144300.0,0.0,10.94,0.9,0.02
2017-08-25,10.11,10.11,10.11,10.11,74,317460.0,0.0,10.73,0.98,0.04
2017-08-28,11.19,11.19,11.19,11.19,94,443586.0,0.0,10.68,1.08,0.05
2017-08-29,12.37,12.37,12.37,12.37,119,618922.0,0.0,10.55,1.18,0.07
2017-08-30,13.68,13.68,13.68,13.68,433,2472430.0,0.0,10.59,1.31,0.25
2017-08-31,15.11,15.11,15.11,15.11,541,3398021.0,0.0,10.45,1.43,0.31
2017-09-01,16.69,16.69,16.69,16.69,644,4449396.0,0.0,10.46,1.58,0.37
2017-09-04,18.43,18.43,18.43,18.43,700,5321596.0,0.0,10.43,1.74,0.41
2017-09-05,20.34,19.45,20.34,19.13,102213,830134384.0,6.57,5.53,1.02,59.25
2017-09-06,19.44,19.83,21.43,18.96,84064,698260240.0,12.7,1.95,0.38,48.73
2017-09-07,19.18,19.65,20.58,18.96,72292,588590768.0,8.17,-0.91,-0.18,41.91
2017-09-08,19.18,18.55,20.33,18.43,60336,479773232.0,9.67,-5.6,-1.1,34.98
2017-09-11,18.93,20.47,20.47,18.56,58823,477824736.0,10.3,10.35,1.92,34.1
2017-09-12,20.47,19.03,20.66,18.93,58561,476317776.0,8.45,-7.03,-1.44,33.95
2017-09-13,18.68,21.0,21.0,18.58,53858,445242048.0,12.72,10.35,1.97,31.22
2017-09-14,21.72,22.45,23.17,21.28,84340,772209072.0,9.0,6.9,1.45,48.89
2017-09-15,21.85,22.72,23.33,21.19,69273,632479904.0,9.53,1.2,0.27,40.16
2017-09-18,22.75,22.12,23.65,21.89,47694,440553648.0,7.75,-2.64,-0.6,27.65
2017-09-19,21.67,22.53,22.8,21.2,43563,392933376.0,7.23,1.85,0.41,25.25
2017-09-20,22.45,22.72,24.39,22.33,63171,607390528.0,9.14,0.84,0.19,36.62
2017-09-21,22.58,21.44,22.58,21.37,47530,429706480.0,5.33,-5.63,-1.28,27.55
2017-09-22,21.51,21.65,22.58,21.45,40330,363038912.0,5.27,0.98,0.21,23.38
2017-09-25,22.08,22.7,22.95,21.74,49045,450833408.0,5.59,4.85,1.05,28.43
2017-09-26,22.46,20.36,22.55,20.36,59650,511245312.0,9.65,-10.31,-2.34,34.58
2017-09-27,20.19,19.68,20.44,19.47,36013,293321600.0,4.76,-3.34,-0.68,20.88
2017-09-28,19.71,19.63,20.31,19.56,25967,212414600.0,3.81,-0.25,-0.05,15.05
2017-09-29,19.91,19.06,20.08,18.8,30449,242389531.0,6.52,-2.9,-0.57,17.65
2017-10-09,19.34,19.48,19.52,18.87,19050,150829595.0,3.41,2.2,0.42,11.04
2017-10-10,19.35,19.58,19.81,19.28,19881,159958302.0,2.72,0.51,0.1,11.53
2017-10-11,19.48,19.03,19.86,18.9,20526,163229379.0,4.9,-2.81,-0.55,11.9
2017-10-12,18.94,19.18,19.55,18.33,25889,202769141.0,6.41,0.79,0.15,15.01
2017-10-13,19.1,19.37,19.58,18.98,16820,133764007.0,3.13,0.99,0.19,9.75
2017-10-16,19.41,18.85,19.51,18.82,17028,133836187.0,3.56,-2.68,-0.52,9.87
2017-10-17,18.68,18.97,19.26,18.44,14559,113330013.0,4.35,0.64,0.12,8.44
2017-10-18,18.92,18.96,19.43,18.79,18148,142726180.0,3.37,-0.05,-0.01,10.52
2017-10-19,18.8,18.64,19.02,18.43,14137,108918366.0,3.11,-1.69,-0.32,8.2
2017-10-20,18.75,19.29,19.29,18.46,15071,117897651.0,4.45,3.49,0.65,8.74
2017-10-23,19.43,19.28,19.94,19.26,19905,160015151.0,3.53,-0.05,-0.01,11.54
2017-10-24,19.19,18.78,19.28,18.53,17116,132775875.0,3.89,-2.59,-0.5,9.92
2017-10-25,18.85,19.81,19.88,18.7,26464,211267023.0,6.28,5.48,1.03,15.34
2017-10-26,19.44,20.08,20.39,19.21,30799,253546258.0,5.96,1.36,0.27,17.85
2017-10-27,19.91,20.42,20.56,19.78,24434,203025844.0,3.88,1.69,0.34,14.16
2017-10-30,20.19,19.84,20.56,19.65,25947,214858390.0,4.46,-2.84,-0.58,15.04
2017-10-31,19.78,21.19,21.44,19.78,36266,309310528.0,8.37,6.8,1.35,21.02
2017-11-01,21.14,21.86,22.17,20.97,36600,325613056.0,5.66,3.16,0.67,21.22
2017-11-02,21.57,22.35,24.11,21.49,41114,380615824.0,11.99,2.24,0.49,23.83
2017-11-03,22.23,22.14,22.92,21.65,29318,268283764.0,5.68,-0.94,-0.21,17.0
2017-11-06,22.45,22.98,22.98,22.02,29412,271443104.0,4.34,3.79,0.84,17.05
2017-11-07,22.82,23.43,23.51,22.59,32601,307327520.0,4.0,1.96,0.45,18.9
2017-11-08,23.21,21.86,23.88,21.82,38876,363664880.0,8.79,-6.7,-1.57,22.54
2017-11-09,21.6,21.51,22.31,21.2,30796,273711696.0,5.08,-1.6,-0.35,17.85
2017-11-10,21.65,21.75,22.15,21.45,22305,199388642.0,3.25,1.12,0.24,12.93
2017-11-13,21.77,22.87,23.03,21.4,33017,303146688.0,7.49,5.15,1.12,19.14
2017-11-14,22.95,23.55,24.93,22.79,46464,452995696.0,9.36,2.97,0.68,26.94
2017-11-15,23.31,22.7,24.41,22.45,37083,355435120.0,8.32,-3.61,-0.85,21.5
2017-11-16,23.08,23.43,24.86,22.74,38286,374054688.0,9.34,3.22,0.73,22.19
2017-11-17,23.2,21.02,23.2,21.02,41877,371592400.0,9.3,-10.29,-2.41,24.28
2017-11-20,20.31,20.94,21.11,19.68,22195,186660602.0,6.8,-0.38,-0.08,12.87
2017-11-21,20.94,19.82,21.18,19.4,25166,208591042.0,8.5,-5.35,-1.12,14.59
2017-11-22,19.75,20.06,20.44,19.18,19986,164149752.0,6.36,1.21,0.24,11.59
2017-11-23,19.86,18.68,20.01,18.68,22537,178247585.0,6.63,-6.88,-1.38,13.06
2017-11-24,18.63,18.32,18.93,18.23,12380,94916209.0,3.75,-1.93,-0.36,7.18
2017-11-27,18.3,16.44,18.3,16.42,17473,125969001.0,10.26,-10.26,-1.88,10.13
