日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-07-12,5.19,4.57,5.34,4.57,188536,386305509.0,30.31,79.92,2.03,87.29
2011-07-13,4.46,4.63,4.69,4.43,86903,163673227.0,5.69,1.31,0.06,40.23
2011-07-14,4.61,4.59,4.64,4.51,56210,106039434.0,2.81,-0.86,-0.04,26.02
2011-07-15,4.6,4.63,4.75,4.59,52692,101072267.0,3.49,0.87,0.04,24.39
2011-07-18,4.58,4.5,4.63,4.48,38816,72583079.0,3.24,-2.81,-0.13,17.97
2011-07-19,4.44,4.18,4.44,4.15,46522,81404522.0,6.44,-7.11,-0.32,21.54
2011-07-20,4.21,4.23,4.23,4.13,27205,47220664.0,2.39,1.2,0.05,12.59
2011-07-21,4.23,4.15,4.23,4.13,17198,29631308.0,2.36,-1.89,-0.08,7.96
2011-07-22,4.18,4.34,4.38,4.16,43250,76724922.0,5.3,4.58,0.19,20.02
2011-07-25,4.29,4.33,4.49,4.28,40711,73751158.0,4.84,-0.23,-0.01,18.85
2011-07-26,4.3,4.46,4.48,4.15,28825,51492357.0,7.62,3.0,0.13,13.35
2011-07-27,4.41,4.71,4.73,4.38,63401,121025534.0,7.85,5.61,0.25,29.35
2011-07-28,4.61,4.72,4.83,4.55,51622,99751549.0,5.94,0.21,0.01,23.9
2011-07-29,4.69,4.53,4.76,4.51,34378,65690442.0,5.3,-4.03,-0.19,15.92
2011-08-01,4.46,4.9,5.0,4.45,63278,124334672.0,12.14,8.17,0.37,29.3
2011-08-02,4.81,4.99,5.11,4.77,82951,168637599.0,6.94,1.84,0.09,38.4
2011-08-03,4.9,4.84,4.99,4.8,39605,79501955.0,3.81,-3.01,-0.15,18.34
2011-08-04,4.86,4.69,4.88,4.65,32444,62971950.0,4.75,-3.1,-0.15,15.02
2011-08-05,4.47,4.45,4.59,4.4,23925,44347533.0,4.05,-5.12,-0.24,11.08
2011-08-08,4.4,4.02,4.4,3.99,28966,49518494.0,9.21,-9.66,-0.43,13.41
2011-08-09,3.88,3.97,4.05,3.68,22204,35824763.0,9.2,-1.24,-0.05,10.28
2011-08-10,4.04,4.03,4.15,4.02,20474,34580314.0,3.27,1.51,0.06,9.48
2011-08-11,3.88,4.28,4.31,3.8,31835,55261779.0,12.66,6.2,0.25,14.74
2011-08-12,4.29,4.5,4.54,4.24,37310,67938214.0,7.01,5.14,0.22,17.27
2011-08-15,4.5,4.51,4.61,4.44,32851,61134816.0,3.78,0.22,0.01,15.21
2011-08-16,4.51,4.41,4.52,4.35,29797,54539528.0,3.77,-2.22,-0.1,13.8
2011-08-17,4.37,4.42,4.48,4.36,15642,28610209.0,2.72,0.23,0.01,7.24
2011-08-18,4.37,4.55,4.66,4.37,43656,82297459.0,6.56,2.94,0.13,20.21
2011-08-19,4.33,4.65,4.68,4.33,33669,63351608.0,7.69,2.2,0.1,15.59
2011-08-22,4.63,4.8,4.96,4.58,43701,85901087.0,8.17,3.23,0.15,20.23
2011-08-23,4.8,5.17,5.17,4.72,53353,108720499.0,9.38,7.71,0.37,24.7
2011-08-24,5.18,5.04,5.24,5.01,41192,86142414.0,4.45,-2.51,-0.13,19.07
2011-08-25,5.06,4.97,5.07,4.75,32223,65117712.0,6.35,-1.39,-0.07,14.92
2011-08-26,4.9,5.33,5.48,4.86,50641,109092129.0,12.47,7.24,0.36,23.44
2011-08-29,5.29,5.31,5.55,5.23,38179,84147957.0,6.0,-0.38,-0.02,17.68
2011-08-30,5.36,5.07,5.37,4.99,25145,53324588.0,7.16,-4.52,-0.24,11.64
2011-08-31,5.0,5.04,5.15,4.79,24491,50037758.0,7.1,-0.59,-0.03,11.34
2011-09-01,5.02,4.81,5.16,4.81,20557,41998094.0,6.94,-4.56,-0.23,9.52
2011-09-02,4.69,4.79,4.94,4.66,19118,37553251.0,5.82,-0.42,-0.02,8.85
2011-09-05,4.73,4.77,4.89,4.7,17939,35372571.0,3.97,-0.42,-0.02,8.31
2011-09-06,4.71,4.29,4.75,4.27,28595,52229834.0,10.06,-10.06,-0.48,13.24
2011-09-07,4.31,4.46,4.51,4.31,12672,23086930.0,4.66,3.96,0.17,5.87
2011-09-08,4.47,4.3,4.56,4.3,11418,20904209.0,5.83,-3.59,-0.16,5.29
2011-09-09,4.28,4.31,4.4,4.16,11130,19736080.0,5.58,0.23,0.01,5.15
2011-09-13,4.23,4.26,4.3,4.13,7046,12314169.0,3.94,-1.16,-0.05,3.26
2011-09-14,4.32,4.61,4.64,4.29,23307,43182395.0,8.22,8.22,0.35,10.79
2011-09-15,4.61,4.58,4.67,4.55,17405,33090997.0,2.6,-0.65,-0.03,8.06
2011-09-16,4.58,4.43,4.64,4.41,12086,22522251.0,5.02,-3.28,-0.15,5.6
2011-09-19,4.38,4.18,4.41,4.17,11971,20913544.0,5.42,-5.64,-0.25,5.54
2011-09-20,4.18,4.23,4.28,4.14,7812,13596440.0,3.35,1.2,0.05,3.62
2011-09-21,4.2,4.42,4.43,4.2,10549,18894593.0,5.44,4.49,0.19,4.88
2011-09-22,4.35,4.23,4.38,4.18,9662,17119679.0,4.52,-4.3,-0.19,4.47
2011-09-23,4.11,4.15,4.22,4.04,7526,12951996.0,4.26,-1.89,-0.08,3.48
2011-09-26,4.11,4.05,4.21,4.03,5528,9419929.0,4.34,-2.41,-0.1,2.56
2011-09-27,4.11,4.02,4.16,3.88,10053,16674532.0,6.91,-0.74,-0.03,4.65
2011-09-28,4.09,3.97,4.15,3.93,8584,14420169.0,5.47,-1.24,-0.05,3.97
2011-09-29,3.9,3.74,3.91,3.69,9255,14608509.0,5.54,-5.79,-0.23,4.28
2011-09-30,3.74,3.68,3.79,3.56,4322,6580974.0,6.15,-1.6,-0.06,2.0
2011-10-10,3.73,3.68,3.74,3.64,3409,5215849.0,2.72,0.0,0.0,1.58
2011-10-11,3.83,3.65,3.83,3.58,6022,9317558.0,6.79,-0.82,-0.03,2.79
2011-10-12,3.63,3.78,3.81,3.45,10494,16191596.0,9.86,3.56,0.13,4.86
2011-10-13,3.75,3.93,4.09,3.66,44106,69929533.0,11.38,3.97,0.15,16.34
2011-10-14,3.85,3.83,3.9,3.7,27357,43144866.0,5.09,-2.54,-0.1,10.13
2011-10-17,3.81,3.92,3.95,3.77,21449,34572888.0,4.7,2.35,0.09,7.94
2011-10-18,3.86,3.68,3.92,3.68,18335,28970883.0,6.12,-6.12,-0.24,6.79
2011-10-19,3.65,3.63,3.73,3.63,10035,15375045.0,2.72,-1.36,-0.05,3.72
2011-10-20,3.62,3.36,3.63,3.29,21326,30332954.0,9.37,-7.44,-0.27,7.9
2011-10-21,3.3,3.19,3.38,3.17,15417,20921805.0,6.25,-5.06,-0.17,5.71
2011-10-24,3.22,3.29,3.31,3.08,15992,21510654.0,7.21,3.13,0.1,5.92
2011-10-25,3.27,3.39,3.43,3.22,21431,29949334.0,6.38,3.04,0.1,7.94
2011-10-26,3.37,3.41,3.49,3.31,21001,29990741.0,5.31,0.59,0.02,7.78
2011-10-27,3.41,3.39,3.47,3.37,14594,20854485.0,2.93,-0.59,-0.02,5.41
2011-10-28,3.46,3.54,3.58,3.4,23821,34561470.0,5.31,4.42,0.15,8.82
2011-10-31,3.55,3.58,3.65,3.51,20290,30260912.0,3.95,1.13,0.04,7.51
2011-11-01,3.51,3.67,3.68,3.48,22807,33908389.0,5.59,2.51,0.09,8.45
2011-11-02,3.59,4.06,4.06,3.57,60209,96426525.0,13.35,10.63,0.39,22.3
