日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.75,7.38,7.75,7.3,186180,145326960.0,5.81,-4.77,-0.37,11.63
2010-01-05,7.38,7.25,7.43,7.08,87524,66168820.0,4.74,-1.76,-0.13,5.47
2010-01-06,7.24,7.09,7.32,7.09,59340,44853364.0,3.17,-2.21,-0.16,3.71
2010-01-07,7.13,7.18,7.28,7.01,61946,46390016.0,3.81,1.27,0.09,3.87
2010-01-08,7.02,7.18,7.31,6.98,37533,28144838.0,4.6,0.0,0.0,2.34
2010-01-11,7.15,6.93,7.31,6.93,45705,33579272.0,5.29,-3.48,-0.25,2.85
2010-01-12,7.0,7.05,7.08,6.8,39376,28779354.0,4.04,1.73,0.12,2.46
2010-01-13,6.92,6.82,6.98,6.75,31593,22809308.0,3.26,-3.26,-0.23,1.97
2010-01-14,6.83,7.05,7.07,6.76,33160,24186236.0,4.55,3.37,0.23,2.07
2010-01-15,7.06,7.12,7.25,6.95,47497,35374448.0,4.26,0.99,0.07,2.97
2010-01-18,7.08,7.04,7.1,6.89,56654,41618960.0,2.95,-1.12,-0.08,3.54
2010-01-19,7.02,6.97,7.04,6.87,56245,40998772.0,2.41,-0.99,-0.07,3.51
2010-01-20,6.95,6.97,7.17,6.9,73034,54002436.0,3.87,0.0,0.0,4.56
2010-01-21,6.95,6.83,7.03,6.73,39114,28124234.0,4.3,-2.01,-0.14,2.44
2010-01-22,6.77,6.51,6.79,6.35,42003,29041972.0,6.44,-4.69,-0.32,2.62
2010-01-25,6.5,6.45,6.6,6.4,15764,10833102.0,3.07,-0.92,-0.06,0.98
2010-01-26,6.45,6.37,6.57,6.33,16467,11131071.0,3.72,-1.24,-0.08,1.03
2010-01-27,6.37,6.23,6.4,6.16,14187,9427724.0,3.77,-2.2,-0.14,0.89
2010-01-28,6.26,6.29,6.33,6.22,11291,7479120.0,1.77,0.96,0.06,0.71
2010-01-29,6.24,6.35,6.44,6.24,14337,9626435.0,3.18,0.95,0.06,0.9
2010-02-01,6.4,6.45,6.47,6.29,17891,12012672.0,2.83,1.57,0.1,1.12
2010-02-02,6.45,6.42,6.56,6.38,19181,13099948.0,2.79,-0.47,-0.03,1.2
2010-02-03,6.42,6.53,6.54,6.28,17028,11519226.0,4.05,1.71,0.11,1.06
2010-02-04,6.52,6.67,6.7,6.44,22079,15425001.0,3.98,2.14,0.14,1.38
2010-02-05,6.57,6.86,6.95,6.56,34915,24968938.0,5.85,2.85,0.19,2.18
2010-02-08,6.86,7.03,7.06,6.73,26471,19259590.0,4.81,2.48,0.17,1.65
2010-02-09,6.99,7.0,7.08,6.92,26054,19149448.0,2.28,-0.43,-0.03,1.63
2010-02-10,7.0,6.93,7.04,6.86,16659,12156207.0,2.57,-1.0,-0.07,1.04
2010-02-11,6.93,6.79,6.98,6.76,14820,10652876.0,3.17,-2.02,-0.14,0.93
2010-02-12,6.79,7.5,7.5,6.79,160594,125426816.0,10.46,10.46,0.71,10.03
2010-02-22,7.44,7.36,7.5,7.21,87130,66897704.0,3.87,-1.87,-0.14,5.44
2010-02-23,7.1,7.34,7.42,7.1,64813,49565344.0,4.35,-0.27,-0.02,4.05
2010-02-24,7.26,7.57,7.74,7.22,71552,56817712.0,7.08,3.13,0.23,4.47
2010-02-25,7.57,7.63,8.02,7.47,85248,68611560.0,7.27,0.79,0.06,5.32
2010-02-26,7.62,7.53,7.87,7.51,62483,50064540.0,4.72,-1.31,-0.1,3.9
2010-03-01,7.58,7.55,7.72,7.49,75296,59684148.0,3.05,0.27,0.02,4.7
2010-03-02,7.6,7.43,7.66,7.33,56743,44203720.0,4.37,-1.59,-0.12,3.54
2010-03-03,7.46,7.75,7.81,7.39,84515,67425848.0,5.65,4.31,0.32,5.28
2010-03-04,7.67,7.45,7.82,7.37,59730,47282196.0,5.81,-3.87,-0.3,3.73
2010-03-05,7.53,7.64,7.65,7.28,62910,49105928.0,4.97,2.55,0.19,3.93
2010-03-08,7.55,7.74,7.81,7.5,45093,36323720.0,4.06,1.31,0.1,2.82
2010-03-09,7.75,7.66,7.75,7.6,24849,19918284.0,1.94,-1.03,-0.08,1.55
2010-03-10,7.67,7.93,8.14,7.63,93700,77596616.0,6.66,3.52,0.27,5.85
2010-03-11,7.93,8.04,8.05,7.8,51094,42247608.0,3.15,1.39,0.11,3.19
2010-03-12,7.99,8.03,8.31,7.93,77793,66040064.0,4.73,-0.12,-0.01,4.86
2010-03-15,8.04,7.6,8.1,7.54,65156,52474588.0,6.97,-5.35,-0.43,4.07
2010-03-16,7.61,7.66,7.73,7.5,29447,23523888.0,3.03,0.79,0.06,1.84
2010-03-17,7.69,7.83,7.85,7.65,35369,28746382.0,2.61,2.22,0.17,2.21
2010-03-18,7.78,7.78,7.91,7.73,28579,23283244.0,2.3,-0.64,-0.05,1.78
2010-03-19,7.77,8.08,8.24,7.75,54580,45933220.0,6.3,3.86,0.3,3.41
2010-03-22,8.05,8.13,8.24,7.97,41895,35384892.0,3.34,0.62,0.05,2.62
2010-03-23,8.15,8.17,8.28,8.11,45639,38958716.0,2.09,0.49,0.04,2.85
2010-03-24,8.23,8.3,8.6,8.21,84080,73520336.0,4.77,1.59,0.13,5.25
2010-03-25,8.23,8.49,8.73,8.05,79455,69991688.0,8.19,2.29,0.19,4.96
2010-03-26,8.45,8.48,8.61,8.31,33381,29398980.0,3.53,-0.12,-0.01,2.08
2010-03-29,8.48,8.94,9.12,8.3,79344,71651128.0,9.67,5.42,0.46,4.96
2010-03-30,8.93,9.04,9.14,8.8,50213,46906512.0,3.8,1.12,0.1,3.14
2010-03-31,8.92,8.9,9.11,8.85,34017,31596984.0,2.88,-1.55,-0.14,2.12
2010-04-01,8.99,8.83,9.1,8.79,70832,65368084.0,3.48,-0.79,-0.07,4.42
2010-04-02,8.82,8.86,8.98,8.7,54249,49827724.0,3.17,0.34,0.03,3.39
2010-04-06,8.93,8.83,8.93,8.73,30587,28010930.0,2.26,-0.34,-0.03,1.91
2010-04-07,8.82,8.93,9.0,8.76,35724,33121638.0,2.72,1.13,0.1,2.23
2010-04-08,8.97,9.31,9.4,8.85,68377,65429488.0,6.16,4.26,0.38,4.27
2010-04-09,9.32,9.7,9.85,9.23,69092,68583328.0,6.66,4.19,0.39,4.32
2010-04-12,9.7,10.47,10.68,9.66,96329,102076008.0,10.52,7.94,0.77,6.02
2010-04-13,10.37,10.44,10.78,9.96,79675,85058448.0,7.83,-0.29,-0.03,4.98
2010-04-14,10.35,10.45,10.5,10.15,48005,51218028.0,3.35,0.1,0.01,3.0
2010-04-15,10.4,10.9,11.13,10.32,98884,110747264.0,7.75,4.31,0.45,6.18
2010-04-16,10.75,10.45,10.91,10.16,77435,84462416.0,6.88,-4.13,-0.45,4.84
2010-04-19,9.7,9.37,9.93,9.37,91731,90487496.0,5.36,-10.33,-1.08,5.73
2010-04-20,8.85,8.58,8.95,8.4,157872,140740000.0,5.87,-8.43,-0.79,9.86
2010-04-21,8.48,9.0,9.12,8.4,109597,99826176.0,8.39,4.9,0.42,6.84
2010-04-22,8.8,8.88,9.1,8.75,83843,77113560.0,3.89,-1.33,-0.12,5.24
2010-04-26,8.81,8.31,8.81,8.14,85429,75148216.0,7.55,-6.42,-0.57,5.34
2010-04-27,8.31,8.55,8.6,8.03,55706,48605048.0,6.86,2.89,0.24,3.48
2010-04-28,8.48,8.76,8.95,8.36,51332,46620048.0,6.9,2.46,0.21,3.21
2010-04-29,8.76,8.4,8.89,8.21,41196,36975068.0,7.76,-4.11,-0.36,2.57
2010-04-30,8.37,7.9,8.45,7.8,49265,40876956.0,7.74,-5.95,-0.5,3.08
2010-05-04,7.66,7.99,8.01,7.65,21400,17582144.0,4.56,1.14,0.09,1.34
2010-05-05,7.9,8.25,8.25,7.76,28927,24396616.0,6.13,3.25,0.26,1.81
2010-05-06,8.23,8.34,8.71,8.15,53977,47631764.0,6.79,1.09,0.09,3.37
2010-05-07,8.17,8.42,8.63,8.17,49427,43361440.0,5.52,0.96,0.08,3.09
2010-05-10,8.42,8.14,8.53,7.6,43822,36795112.0,11.05,-3.33,-0.28,2.74
