日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,0.99,1.01,1.04,0.97,93125,92087361.0,7.14,3.06,0.03,3.32
2010-01-05,1.0,1.01,1.02,0.95,62198,60812862.0,6.93,0.0,0.0,2.21
2010-01-06,0.99,1.03,1.09,0.98,111088,111359852.0,10.89,1.98,0.02,3.96
2010-01-07,1.03,0.94,1.06,0.93,72739,71563612.0,12.62,-8.74,-0.09,2.59
2010-01-08,0.93,0.94,0.96,0.89,49961,47636770.0,7.45,0.0,0.0,1.78
2010-01-11,0.96,0.97,1.0,0.92,53803,52085218.0,8.51,3.19,0.03,1.92
2010-01-12,0.97,1.09,1.1,0.97,109303,109148435.0,13.4,12.37,0.12,3.89
2010-01-13,1.02,1.07,1.13,1.01,140986,142356148.0,11.01,-1.83,-0.02,5.02
2010-01-14,1.06,1.18,1.21,1.06,161219,166938753.0,14.02,10.28,0.11,5.74
2010-01-15,1.17,1.17,1.19,1.13,91297,94949136.0,5.08,-0.85,-0.01,3.25
2010-01-18,1.15,1.28,1.3,1.12,187684,199007796.0,15.38,9.4,0.11,6.68
2010-01-19,1.26,1.22,1.28,1.2,131783,140144262.0,6.25,-4.69,-0.06,4.69
2010-01-20,1.23,1.07,1.23,1.06,111591,114720208.0,13.93,-12.3,-0.15,3.97
2010-01-21,1.06,1.1,1.11,1.05,62952,63630445.0,5.61,2.8,0.03,2.24
2010-01-22,1.06,1.01,1.08,0.96,57135,56361166.0,10.91,-8.18,-0.09,2.03
2010-01-25,0.97,0.96,1.01,0.94,47688,46495128.0,6.93,-4.95,-0.05,1.7
2010-01-26,0.98,0.91,1.0,0.88,46559,44715028.0,12.5,-5.21,-0.05,1.66
2010-01-27,0.91,0.87,0.94,0.83,46785,43912817.0,12.09,-4.4,-0.04,1.67
2010-01-28,0.87,0.87,0.9,0.85,41187,38532513.0,5.75,0.0,0.0,1.47
2010-01-29,0.88,0.93,0.95,0.85,62365,59271902.0,11.49,6.9,0.06,2.22
2010-02-01,0.92,0.95,0.95,0.84,48725,45871858.0,11.83,2.15,0.02,1.74
2010-02-02,0.94,0.88,0.97,0.87,42576,40776033.0,10.53,-7.37,-0.07,1.52
2010-02-03,0.89,0.91,0.91,0.78,55740,51768914.0,14.77,3.41,0.03,1.98
2010-02-04,0.9,1.03,1.04,0.86,115389,112270675.0,19.78,13.19,0.12,4.11
2010-02-05,0.97,0.94,1.07,0.93,82306,80570186.0,13.59,-8.74,-0.09,2.93
2010-02-08,0.94,0.9,0.97,0.9,39980,38250634.0,7.45,-4.26,-0.04,1.42
2010-02-09,0.9,0.91,0.93,0.89,31426,29760484.0,4.44,1.11,0.01,1.12
2010-02-10,0.93,0.96,0.96,0.92,33996,32687949.0,4.4,5.49,0.05,1.21
2010-02-11,0.97,0.95,0.98,0.94,36619,35435492.0,4.17,-1.04,-0.01,1.3
2010-02-12,0.95,0.96,0.98,0.94,25267,24502360.0,4.21,1.05,0.01,0.9
2010-02-22,0.96,0.96,1.0,0.93,38117,37009389.0,7.29,0.0,0.0,1.36
2010-02-23,0.94,0.96,0.97,0.88,43321,41320110.0,9.38,0.0,0.0,1.54
2010-02-24,0.94,1.05,1.06,0.93,120036,118908768.0,13.54,9.38,0.09,4.27
2010-02-25,1.05,1.1,1.12,1.04,110617,111811577.0,7.62,4.76,0.05,3.94
2010-02-26,1.08,1.1,1.12,1.06,88692,89937522.0,5.45,0.0,0.0,3.16
2010-03-01,1.1,1.15,1.16,1.09,107248,110090121.0,6.36,4.55,0.05,3.82
2010-03-02,1.22,1.25,1.44,1.21,364968,401316405.0,20.0,8.7,0.1,13.0
2010-03-03,1.2,1.37,1.43,1.17,348395,380587419.0,20.8,9.6,0.12,12.41
2010-03-04,1.4,1.22,1.4,1.21,216602,236247402.0,13.87,-10.95,-0.15,7.71
2010-03-05,1.25,1.22,1.26,1.15,126132,133684086.0,9.02,0.0,0.0,4.49
2010-03-08,1.24,1.27,1.28,1.2,89614,95418164.0,6.56,4.1,0.05,3.19
2010-03-09,1.26,1.26,1.31,1.23,105825,114485675.0,6.3,-0.79,-0.01,3.77
2010-03-10,1.26,1.33,1.37,1.23,188476,206180785.0,11.11,5.56,0.07,6.71
2010-03-11,1.33,1.18,1.33,1.15,144219,153462451.0,13.53,-11.28,-0.15,5.14
2010-03-12,1.18,1.11,1.19,1.1,84263,86938752.0,7.63,-5.93,-0.07,3.0
2010-03-15,1.12,1.12,1.15,1.08,61530,62720566.0,6.31,0.9,0.01,2.19
2010-03-16,1.1,1.15,1.15,1.09,42256,43360505.0,5.36,2.68,0.03,1.5
2010-03-17,1.14,1.19,1.21,1.13,80147,83904643.0,6.96,3.48,0.04,2.85
2010-03-18,1.2,1.22,1.25,1.18,73842,78241754.0,5.88,2.52,0.03,2.63
2010-03-19,1.22,1.24,1.25,1.19,70552,75115051.0,4.92,1.64,0.02,2.51
2010-03-22,1.24,1.22,1.26,1.19,77991,82514540.0,5.65,-1.61,-0.02,2.78
2010-03-23,1.21,1.25,1.31,1.2,97545,105021911.0,9.02,2.46,0.03,3.47
2010-03-24,1.3,1.26,1.32,1.25,93772,101514976.0,5.6,0.8,0.01,3.34
2010-03-25,1.25,1.14,1.25,1.13,88953,92838223.0,9.52,-9.52,-0.12,3.17
2010-03-26,1.14,1.16,1.19,1.13,44020,45835582.0,5.26,1.75,0.02,1.57
2010-03-29,1.17,1.24,1.26,1.17,80992,86223575.0,7.76,6.9,0.08,2.88
2010-03-30,1.24,1.26,1.27,1.21,75334,80611152.0,4.84,1.61,0.02,2.68
2010-03-31,1.26,1.23,1.28,1.22,73704,78865722.0,4.76,-2.38,-0.03,2.62
2010-04-01,1.25,1.27,1.3,1.23,102158,110350227.0,5.69,3.25,0.04,3.64
2010-04-02,1.29,1.34,1.37,1.26,124075,136007717.0,8.66,5.51,0.07,4.42
2010-04-06,1.32,1.31,1.37,1.3,99623,109647414.0,5.22,-2.24,-0.03,3.55
2010-04-07,1.3,1.29,1.34,1.25,90635,98375578.0,6.87,-1.53,-0.02,3.23
2010-04-08,1.29,1.37,1.37,1.26,126274,139233001.0,8.53,6.2,0.08,4.5
2010-04-09,1.37,1.37,1.39,1.33,106661,118836029.0,4.38,0.0,0.0,3.8
2010-04-12,1.37,1.46,1.5,1.37,194555,221834354.0,9.49,6.57,0.09,6.93
2010-04-13,1.46,1.37,1.53,1.27,154530,173967116.0,17.81,-6.16,-0.09,5.5
2010-04-14,1.35,1.46,1.48,1.34,120763,137558519.0,10.22,6.57,0.09,4.3
2010-04-15,1.49,1.45,1.57,1.43,163791,190161796.0,9.59,-0.68,-0.01,5.83
2010-04-16,1.42,1.38,1.45,1.35,87027,98152952.0,6.9,-4.83,-0.07,3.1
2010-04-19,1.35,1.29,1.44,1.28,109782,121958251.0,11.59,-6.52,-0.09,3.91
2010-04-20,1.29,1.38,1.38,1.24,98858,108360786.0,10.85,6.98,0.09,3.52
2010-04-21,1.38,1.45,1.46,1.35,129821,147532810.0,7.97,5.07,0.07,4.62
2010-04-22,1.45,1.5,1.59,1.42,171596,199605612.0,11.72,3.45,0.05,6.11
2010-04-23,1.52,1.46,1.56,1.44,102528,118942419.0,8.0,-2.67,-0.04,3.65
2010-04-26,1.46,1.5,1.56,1.45,102748,120106544.0,7.53,2.74,0.04,3.66
2010-04-27,1.51,1.42,1.55,1.35,125873,143210860.0,13.33,-5.33,-0.08,4.48
2010-04-28,1.37,1.6,1.65,1.36,187212,219551457.0,20.42,12.68,0.18,6.67
2010-04-29,1.57,1.54,1.69,1.5,281961,338069624.0,11.88,-3.75,-0.06,10.04
2010-04-30,1.51,1.34,1.53,1.21,217094,240274852.0,20.78,-12.99,-0.2,7.73
2010-05-04,1.26,1.36,1.42,1.23,82041,91062905.0,14.18,1.49,0.02,2.92
2010-05-05,1.32,1.47,1.48,1.29,116666,131545246.0,13.97,8.09,0.11,4.15
2010-05-06,1.43,1.44,1.56,1.42,199455,232471535.0,9.52,-2.04,-0.03,7.1
2010-05-07,1.32,1.54,1.59,1.29,180869,210304402.0,20.83,6.94,0.1,6.44
2010-05-10,1.52,1.45,1.68,1.37,215705,254083800.0,20.13,-5.84,-0.09,7.68
2010-05-11,1.5,1.19,1.54,1.16,158216,175238346.0,26.21,-17.93,-0.26,5.63
2010-05-12,1.12,0.95,1.12,0.91,112380,110921647.0,17.65,-20.17,-0.24,4.0
2010-05-13,0.97,1.06,1.09,0.94,66905,66105008.0,15.79,11.58,0.11,2.38
2010-05-14,1.04,1.1,1.13,1.02,71176,72312764.0,10.38,3.77,0.04,2.53
2010-05-17,1.04,0.86,1.1,0.85,67848,65779545.0,22.73,-21.82,-0.24,2.42
2010-05-18,0.86,0.89,0.92,0.74,78874,73216242.0,20.93,3.49,0.03,2.81
2010-05-19,0.86,0.86,0.91,0.84,54036,50606990.0,7.87,-3.37,-0.03,1.92
2010-05-20,0.86,0.81,0.9,0.78,49808,46199385.0,13.95,-5.81,-0.05,1.77
2010-05-21,0.72,0.84,0.88,0.69,45689,41739123.0,23.46,3.7,0.03,1.63
2010-05-24,0.86,0.97,1.01,0.86,95362,91792559.0,17.86,15.48,0.13,3.4
