日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-12-20,5.92,7.32,7.32,5.92,131,200186.0,29.41,53.78,2.56,0.03
2016-12-21,8.16,8.16,8.16,8.16,101,169579.0,0.0,11.48,0.84,0.02
2016-12-22,9.08,9.08,9.08,9.08,32,59104.0,0.0,11.27,0.92,0.01
2016-12-23,10.1,10.1,10.1,10.1,183,371856.0,0.0,11.23,1.02,0.04
2016-12-26,11.21,11.21,11.21,11.21,381,851468.0,0.0,10.99,1.11,0.08
2016-12-27,12.45,12.45,12.45,12.45,292,718692.0,0.0,11.06,1.24,0.06
2016-12-28,13.8,13.8,13.8,13.8,256,691452.0,0.0,10.84,1.35,0.06
2016-12-29,15.29,15.29,15.29,15.29,3093,9204173.0,0.0,10.8,1.49,0.69
2016-12-30,16.92,16.92,16.92,16.92,50069,163924760.0,0.0,10.66,1.63,11.13
2017-01-03,17.07,18.72,18.72,16.11,263035,871464448.0,15.43,10.64,1.8,58.45
2017-01-04,18.82,20.7,20.7,18.35,184039,700646816.0,12.55,10.58,1.98,40.9
2017-01-05,21.6,19.69,22.29,19.32,312280,1240239184.0,14.35,-4.88,-1.01,69.4
2017-01-06,19.37,17.85,20.24,17.62,209125,754780560.0,13.31,-9.34,-1.84,46.47
2017-01-09,17.2,17.09,17.82,16.96,128284,427538256.0,4.82,-4.26,-0.76,28.51
2017-01-10,16.86,16.64,17.36,16.26,131755,429083200.0,6.44,-2.63,-0.45,29.28
2017-01-11,16.56,15.59,16.65,15.42,100263,311625808.0,7.39,-6.31,-1.05,22.28
2017-01-12,15.51,14.87,15.75,14.69,91966,271260512.0,6.8,-4.62,-0.72,20.44
2017-01-13,14.91,14.87,15.14,14.19,91565,261688905.0,6.39,0.0,0.0,20.35
2017-01-16,14.65,14.62,15.24,13.42,101767,292556288.0,12.24,-1.68,-0.25,22.61
2017-01-17,14.31,15.07,15.2,13.82,102355,291727216.0,9.44,3.08,0.45,22.75
2017-01-18,14.79,14.59,15.06,14.33,69666,199619417.0,4.84,-3.19,-0.48,15.48
2017-01-19,14.15,14.47,15.17,14.04,95054,274917120.0,7.75,-0.82,-0.12,21.12
2017-01-20,14.31,14.8,15.09,14.08,90382,257628118.0,6.98,2.28,0.33,20.08
2017-01-23,14.65,14.77,15.06,14.62,61303,177085625.0,2.97,-0.2,-0.03,13.62
2017-01-24,14.65,13.47,14.8,13.45,93003,255289739.0,9.14,-8.8,-1.3,20.67
