日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.96,8.88,9.11,8.84,117135,120793446.0,3.05,0.23,0.02,4.5
2010-01-05,8.95,8.85,8.96,8.58,74308,75466163.0,4.28,-0.34,-0.03,2.85
2010-01-06,8.86,8.92,9.1,8.71,129974,133640924.0,4.41,0.79,0.07,4.99
2010-01-07,8.91,8.74,9.02,8.66,65275,66703767.0,4.04,-2.02,-0.18,2.51
2010-01-08,8.67,8.83,8.9,8.66,46065,46615071.0,2.75,1.03,0.09,1.77
2010-01-11,8.84,8.45,8.9,8.26,92930,91580373.0,7.25,-4.3,-0.38,3.57
2010-01-12,8.46,8.6,8.6,8.24,58256,56998726.0,4.26,1.78,0.15,2.24
2010-01-13,8.41,8.35,8.59,8.28,50900,49569337.0,3.6,-2.91,-0.25,1.95
2010-01-14,8.37,8.75,8.77,8.3,63888,63218769.0,5.63,4.79,0.4,2.45
2010-01-15,8.74,8.95,8.98,8.71,91974,93970130.0,3.09,2.29,0.2,3.53
2010-01-18,8.95,9.18,9.28,8.88,123223,128774874.0,4.47,2.57,0.23,4.73
2010-01-19,9.26,9.05,9.32,8.99,83822,87254745.0,3.59,-1.42,-0.13,3.22
2010-01-20,8.98,8.61,9.15,8.51,64121,65374543.0,7.07,-4.86,-0.44,2.46
2010-01-21,8.6,8.82,8.89,8.53,43821,43955972.0,4.18,2.44,0.21,1.68
2010-01-22,8.66,8.47,8.86,8.34,55682,55082159.0,5.9,-3.97,-0.35,2.14
2010-01-25,8.47,8.22,8.51,8.21,28253,27432977.0,3.54,-2.95,-0.25,1.09
2010-01-26,8.31,7.61,8.35,7.56,49267,45365100.0,9.61,-7.42,-0.61,1.89
2010-01-27,7.61,7.49,7.79,7.47,24086,21656729.0,4.2,-1.58,-0.12,0.93
2010-01-28,7.52,7.99,8.14,7.46,45361,41561088.0,9.08,6.68,0.5,1.74
2010-01-29,7.92,7.87,8.14,7.81,33299,31044703.0,4.13,-1.5,-0.12,1.28
2010-02-01,7.86,7.67,7.87,7.46,23008,20634921.0,5.21,-2.54,-0.2,0.88
2010-02-02,7.71,7.56,7.76,7.52,26438,23737375.0,3.13,-1.43,-0.11,1.02
2010-02-03,7.49,7.5,7.63,7.14,64950,56565688.0,6.48,-0.79,-0.06,2.49
2010-02-04,7.51,7.59,7.67,7.36,62970,55917110.0,4.13,1.2,0.09,2.42
2010-02-05,7.41,7.45,7.61,7.31,32700,28697848.0,3.95,-1.84,-0.14,1.26
2010-02-08,7.46,7.48,7.55,7.39,20327,17913703.0,2.15,0.4,0.03,0.78
2010-02-09,7.42,7.53,7.56,7.42,18864,16657133.0,1.87,0.67,0.05,0.72
2010-02-10,7.58,7.69,7.72,7.54,34343,30817505.0,2.39,2.12,0.16,1.32
2010-02-11,7.65,7.69,7.77,7.63,28384,25677405.0,1.82,0.0,0.0,1.09
2010-02-12,7.72,7.91,7.97,7.65,60118,55328207.0,4.16,2.86,0.22,2.31
2010-02-22,7.86,7.76,7.86,7.67,32775,29795363.0,2.4,-1.9,-0.15,1.26
2010-02-23,7.74,7.64,7.75,7.37,33407,29818164.0,4.9,-1.55,-0.12,1.28
2010-02-24,7.62,7.88,7.9,7.55,41659,38007281.0,4.58,3.14,0.24,1.6
2010-02-25,7.92,8.21,8.26,7.88,82206,77358720.0,4.82,4.19,0.33,3.16
2010-02-26,8.29,8.1,8.29,8.02,60919,57545041.0,3.29,-1.34,-0.11,2.34
2010-03-01,8.05,8.27,8.31,8.01,58412,55812785.0,3.7,2.1,0.17,2.24
2010-03-02,8.26,8.41,8.46,8.11,72235,69463327.0,4.23,1.69,0.14,2.77
2010-03-03,8.45,8.47,8.48,8.27,51583,50261884.0,2.5,0.71,0.06,1.98
2010-03-04,8.46,8.32,8.53,7.91,62847,60469896.0,7.32,-1.77,-0.15,2.41
2010-03-05,8.29,8.28,8.46,8.11,49739,47950236.0,4.21,-0.48,-0.04,1.91
2010-03-08,8.28,8.49,8.53,8.27,78376,76207040.0,3.14,2.54,0.21,3.01
2010-03-09,8.51,9.1,9.47,8.45,275264,286488236.0,12.01,7.18,0.61,10.57
