日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-02-09,6.29,6.6,6.75,6.23,107026,584263776.0,9.85,25.0,1.32,89.19
2012-02-10,6.56,6.61,6.79,6.53,55726,310692800.0,3.94,0.15,0.01,46.44
2012-02-13,6.41,6.79,6.79,6.35,41091,227039868.0,6.66,2.72,0.18,34.24
2012-02-14,6.77,6.58,6.78,6.5,34290,190833951.0,4.12,-3.09,-0.21,28.57
2012-02-15,6.7,6.78,6.87,6.56,36451,204909522.0,4.71,3.04,0.2,30.38
2012-02-16,6.71,6.78,7.04,6.7,33447,192458455.0,5.01,0.0,0.0,27.87
2012-02-17,7.0,7.14,7.3,6.95,32704,195265373.0,5.16,5.31,0.36,27.25
2012-02-20,7.04,7.02,7.21,6.99,22088,130729546.0,3.08,-1.68,-0.12,18.41
2012-02-21,6.99,7.11,7.22,6.96,23036,136756601.0,3.7,1.28,0.09,19.2
2012-02-22,7.08,7.15,7.19,6.94,20807,123270806.0,3.52,0.56,0.04,17.34
2012-02-23,7.15,7.03,7.36,6.99,19683,117567393.0,5.17,-1.68,-0.12,16.4
2012-02-24,6.96,6.92,7.08,6.88,21010,122430793.0,2.84,-1.56,-0.11,17.51
2012-02-27,6.93,6.95,7.09,6.88,20990,122978243.0,3.03,0.43,0.03,17.49
2012-02-28,6.88,6.89,6.94,6.78,16978,97673293.0,2.3,-0.86,-0.06,14.15
2012-02-29,6.89,6.66,7.06,6.66,16963,97911998.0,5.81,-3.34,-0.23,14.14
2012-03-01,6.6,6.68,6.78,6.57,12163,67947393.0,3.15,0.3,0.02,10.14
2012-03-02,6.71,6.81,6.83,6.66,9149,51893566.0,2.54,1.95,0.13,7.62
2012-03-05,6.87,6.89,6.95,6.75,11570,66366211.0,2.94,1.17,0.08,9.64
2012-03-06,6.84,6.99,7.1,6.83,15648,91875041.0,3.92,1.45,0.1,13.04
2012-03-07,6.93,6.89,7.01,6.76,11083,63904425.0,3.58,-1.43,-0.1,9.24
2012-03-08,6.87,6.89,6.99,6.87,10229,59347318.0,1.74,0.0,0.0,8.52
2012-03-09,6.92,7.15,7.21,6.84,16899,100210569.0,5.37,3.77,0.26,14.08
2012-03-12,7.18,7.21,7.34,7.04,13235,79619823.0,4.2,0.84,0.06,11.03
2012-03-13,7.2,7.24,7.29,7.09,11807,70959413.0,2.77,0.42,0.03,9.84
2012-03-14,7.21,6.6,7.26,6.48,17933,104727368.0,10.77,-8.84,-0.64,14.94
2012-03-15,6.62,6.67,6.85,6.57,12604,70956045.0,4.24,1.06,0.07,10.5
2012-03-16,6.65,6.72,6.75,6.53,9327,52252489.0,3.3,0.75,0.05,7.77
2012-03-19,6.73,6.86,6.91,6.63,7788,44364403.0,4.17,2.08,0.14,6.49
2012-03-20,6.85,6.62,6.85,6.62,7217,40720058.0,3.35,-3.5,-0.24,6.01
2012-03-21,6.63,6.31,6.68,6.11,14700,78838521.0,8.61,-4.68,-0.31,12.25
2012-03-22,6.3,6.34,6.4,6.17,5715,30408633.0,3.65,0.48,0.03,4.76
2012-03-23,6.32,6.54,6.6,6.31,9931,54262787.0,4.57,3.15,0.2,8.28
2012-03-26,6.54,6.53,6.65,6.45,4765,26176069.0,3.06,-0.15,-0.01,3.97
2012-03-27,6.56,6.58,6.6,6.46,7243,39870881.0,2.14,0.77,0.05,6.04
2012-03-28,6.42,6.58,6.9,6.42,18548,104101114.0,7.29,0.0,0.0,15.46
2012-03-29,6.44,6.12,6.49,6.03,8903,46730913.0,6.99,-6.99,-0.46,7.42
2012-03-30,6.13,6.29,6.34,6.13,7923,41771582.0,3.43,2.78,0.17,6.6
2012-04-05,6.21,6.69,6.69,6.21,7351,40623544.0,7.63,6.36,0.4,6.13
2012-04-06,6.62,6.71,6.94,6.62,9496,54187154.0,4.78,0.3,0.02,7.91
2012-04-09,6.69,6.75,6.95,6.69,10209,58813714.0,3.87,0.6,0.04,8.51
2012-04-10,6.7,6.99,7.06,6.63,9411,54010445.0,6.37,3.56,0.24,7.84
2012-04-11,6.89,6.93,6.98,6.84,8776,50794911.0,2.0,-0.86,-0.06,7.31
2012-04-12,6.89,6.89,6.98,6.73,11509,66213651.0,3.61,-0.58,-0.04,9.59
2012-04-13,6.86,6.79,6.95,6.78,9475,54480326.0,2.47,-1.45,-0.1,7.9
2012-04-16,6.7,6.57,6.79,6.54,10938,61058859.0,3.68,-3.24,-0.22,9.11
2012-04-17,6.55,6.57,6.61,6.42,11675,63789598.0,2.89,0.0,0.0,9.73
2012-04-18,6.56,6.65,6.66,6.45,8297,45916998.0,3.2,1.22,0.08,6.91
2012-04-19,6.62,6.63,6.71,6.57,7103,39594091.0,2.11,-0.3,-0.02,5.92
2012-04-20,6.63,6.82,6.9,6.63,13355,76195335.0,4.07,2.87,0.19,11.13
2012-04-23,6.82,6.34,6.88,6.17,14374,79005233.0,10.41,-7.04,-0.48,11.98
2012-04-25,6.34,6.46,6.49,6.11,8131,43289196.0,5.99,1.89,0.12,6.78
2012-04-26,6.5,6.31,6.51,6.3,5524,29771044.0,3.25,-2.32,-0.15,4.6
2012-04-27,6.3,6.37,6.47,6.29,5311,28615662.0,2.85,0.95,0.06,4.43
2012-05-02,6.38,6.44,6.46,6.29,6533,35190104.0,2.67,1.1,0.07,5.44
2012-05-03,6.42,6.5,6.51,6.35,5333,28888737.0,2.48,0.93,0.06,4.44
2012-05-04,6.44,6.53,6.6,6.38,6870,37613673.0,3.38,0.46,0.03,5.72
2012-05-07,6.48,6.71,6.72,6.47,7954,44253896.0,3.83,2.76,0.18,6.63
2012-05-08,6.74,6.67,6.81,6.63,8284,46858796.0,2.68,-0.6,-0.04,6.9
2012-05-09,6.7,6.66,6.7,6.54,9428,52539730.0,2.4,-0.15,-0.01,6.29
2012-05-10,6.7,6.67,6.75,6.63,16475,92433798.0,1.8,0.15,0.01,10.98
2012-05-11,6.67,6.86,7.07,6.65,15666,90523853.0,6.3,2.85,0.19,10.44
2012-05-14,6.87,6.83,6.93,6.79,7499,43146974.0,2.04,-0.44,-0.03,5.0
2012-05-15,6.79,6.98,7.0,6.73,8657,50032006.0,3.95,2.2,0.15,5.77
2012-05-16,6.95,6.66,7.0,6.66,7772,44539963.0,4.87,-4.58,-0.32,5.18
2012-05-17,6.64,6.72,6.76,6.64,5267,29671094.0,1.8,0.9,0.06,3.51
2012-05-18,6.67,6.68,6.71,6.48,9467,52601289.0,3.42,-0.6,-0.04,6.31
2012-05-21,6.64,6.77,6.81,6.62,4010,22706298.0,2.84,1.35,0.09,2.67
2012-05-22,6.82,6.77,6.82,6.71,5408,30728821.0,1.62,0.0,0.0,3.61
2012-05-23,6.77,6.85,6.89,6.71,7041,40286334.0,2.66,1.18,0.08,4.69
2012-05-24,6.83,6.82,6.88,6.76,3942,22497107.0,1.75,-0.44,-0.03,2.63
2012-05-25,6.8,6.53,6.84,6.46,7229,40014828.0,5.57,-4.25,-0.29,4.82
2012-05-28,6.47,6.5,6.53,6.37,4251,23000880.0,2.45,-0.46,-0.03,2.83
2012-05-29,6.46,6.56,6.59,6.46,5411,29709782.0,2.0,0.92,0.06,3.61
2012-05-30,6.54,6.51,6.56,6.49,3646,20003267.0,1.07,-0.76,-0.05,2.43
2012-05-31,6.49,6.61,6.65,6.49,4006,22073869.0,2.46,1.54,0.1,2.67
2012-06-01,6.62,6.56,6.62,6.52,3476,19117782.0,1.51,-0.76,-0.05,2.32
2012-06-04,6.44,6.5,6.54,6.42,4052,22031663.0,1.83,-0.91,-0.06,2.7
2012-06-05,6.53,6.55,6.6,6.47,3841,21122402.0,2.0,0.77,0.05,2.56
2012-06-06,6.58,6.56,6.62,6.53,2354,12949744.0,1.37,0.15,0.01,1.57
2012-06-07,6.66,6.57,6.66,6.55,3301,18235622.0,1.68,0.15,0.01,2.2
2012-06-08,6.58,6.73,6.78,6.47,8103,45016890.0,4.72,2.44,0.16,5.4
2012-06-11,6.74,6.87,6.9,6.69,8523,48586495.0,3.12,2.08,0.14,5.68
2012-06-12,6.85,6.83,6.9,6.76,6649,38048789.0,2.04,-0.58,-0.04,4.43
2012-06-13,6.81,6.92,6.99,6.78,6764,38972565.0,3.07,1.32,0.09,4.51
2012-06-14,6.92,6.78,6.98,6.78,5989,34443443.0,2.89,-2.02,-0.14,3.99
2012-06-15,6.8,6.85,6.86,6.77,5904,33652104.0,1.33,1.03,0.07,3.94
2012-06-18,6.92,7.49,7.57,6.87,27966,173241539.0,10.22,9.34,0.64,18.64
2012-06-19,7.38,7.31,7.54,7.25,16423,100783651.0,3.87,-2.4,-0.18,10.95
2012-06-20,7.31,7.32,7.43,7.24,11069,67552906.0,2.6,0.14,0.01,7.38
2012-06-21,7.33,7.21,7.37,7.13,9014,54297602.0,3.28,-1.5,-0.11,6.01
2012-06-25,7.21,7.19,7.36,7.15,6797,41082778.0,2.91,-0.28,-0.02,4.53
2012-06-26,7.13,6.92,7.19,6.85,11100,64493967.0,4.73,-3.76,-0.27,7.4
2012-06-27,6.95,6.97,7.09,6.9,9398,54914998.0,2.75,0.72,0.05,6.27
2012-06-28,7.01,6.77,7.03,6.76,9863,56744484.0,3.87,-2.87,-0.2,6.58
2012-06-29,6.76,6.87,6.88,6.66,10348,58752284.0,3.25,1.48,0.1,6.9
2012-07-02,6.93,7.02,7.09,6.87,9956,58132971.0,3.2,2.18,0.15,6.64
2012-07-03,6.95,6.98,7.17,6.95,10721,63130851.0,3.13,-0.57,-0.04,7.15
2012-07-04,6.98,7.11,7.23,6.98,10026,59521321.0,3.58,1.86,0.13,6.68
2012-07-05,7.12,7.12,7.3,7.09,14018,83891834.0,2.95,0.14,0.01,9.35
2012-07-06,7.12,7.11,7.18,6.82,15196,88470670.0,5.06,-0.14,-0.01,10.13
2012-07-09,6.85,6.49,6.86,6.48,25266,139970007.0,5.34,-8.72,-0.62,16.84
2012-07-10,6.47,6.49,6.55,6.41,10381,56484886.0,2.16,0.0,0.0,6.92
2012-07-11,6.49,6.4,6.56,6.33,8386,45311528.0,3.54,-1.39,-0.09,5.59
2012-07-12,6.38,6.4,6.42,6.17,13609,71865271.0,3.91,0.0,0.0,9.07
2012-07-13,6.35,6.27,6.4,6.23,8027,42389297.0,2.66,-2.03,-0.13,5.35
2012-07-16,6.25,5.89,6.27,5.82,17500,88494452.0,7.18,-6.06,-0.38,11.67
2012-07-17,5.89,5.93,5.96,5.87,4697,23431004.0,1.53,0.68,0.04,3.13
2012-07-18,5.9,5.95,5.95,5.83,3792,18826901.0,2.02,0.34,0.02,2.53
2012-07-19,5.94,6.05,6.16,5.92,7362,37548081.0,4.03,1.68,0.1,4.91
2012-07-20,6.03,6.04,6.08,5.99,3676,18676134.0,1.49,-0.17,-0.01,2.45
2012-07-23,6.0,6.13,6.19,5.91,6363,32602501.0,4.64,1.49,0.09,4.24
2012-07-24,6.09,6.15,6.21,6.02,3367,17416400.0,3.1,0.33,0.02,2.24
2012-07-25,6.12,6.12,6.21,6.06,5308,27397424.0,2.44,-0.49,-0.03,3.54
2012-07-26,6.12,5.98,6.16,5.97,5208,26667757.0,3.1,-2.29,-0.14,3.47
2012-07-27,6.0,6.15,6.15,5.97,4929,25076825.0,3.01,2.84,0.17,3.29
2012-07-30,6.13,6.01,6.24,5.97,4278,22034080.0,4.39,-2.28,-0.14,2.85
2012-07-31,5.99,5.83,6.01,5.81,4038,19993070.0,3.33,-3.0,-0.18,2.69
2012-08-01,5.83,5.93,5.97,5.82,3928,19571384.0,2.57,1.72,0.1,2.62
2012-08-02,5.92,5.94,5.96,5.88,3197,15953090.0,1.35,0.17,0.01,2.13
2012-08-03,5.97,6.18,6.18,5.92,6634,33965060.0,4.38,4.04,0.24,4.42
2012-08-06,6.13,6.34,6.38,6.06,10040,52799250.0,5.18,2.59,0.16,6.69
2012-08-07,6.33,6.37,6.46,6.31,8599,46252034.0,2.37,0.47,0.03,5.73
2012-08-08,6.34,6.3,6.39,6.24,4500,23793790.0,2.35,-1.1,-0.07,3.0
2012-08-09,6.3,6.37,6.4,6.2,2860,15224727.0,3.17,1.11,0.07,1.91
2012-08-10,6.4,6.33,6.42,6.27,4277,22719301.0,2.35,-0.63,-0.04,2.85
2012-08-13,6.32,6.29,6.36,6.29,3078,16328050.0,1.11,-0.63,-0.04,2.05
2012-08-14,6.29,6.31,6.36,6.18,3464,18228340.0,2.86,0.32,0.02,2.31
2012-08-15,6.31,6.36,6.52,6.21,6860,36919671.0,4.91,0.79,0.05,4.57
2012-08-16,6.31,6.2,6.41,6.2,3838,20264136.0,3.3,-2.52,-0.16,2.56
2012-08-17,6.23,6.23,6.3,6.13,2923,15216711.0,2.74,0.48,0.03,1.95
2012-08-20,6.22,6.35,6.37,6.22,5408,28628121.0,2.41,1.93,0.12,3.61
2012-08-21,6.38,6.43,6.53,6.32,8896,48165545.0,3.31,1.26,0.08,5.93
2012-08-22,6.31,6.38,6.46,6.26,10727,57325232.0,3.11,-0.78,-0.05,7.15
2012-08-23,6.31,6.33,6.38,6.26,5262,27878830.0,1.88,-0.78,-0.05,3.51
2012-08-24,6.31,6.29,6.39,6.27,4327,22948026.0,1.9,-0.63,-0.04,2.88
2012-08-27,6.22,6.06,6.22,6.06,4885,25095787.0,2.54,-3.66,-0.23,3.26
2012-08-28,6.06,6.18,6.22,5.98,2971,15282090.0,3.96,1.98,0.12,1.98
2012-08-29,6.15,6.34,6.37,6.11,6526,34599773.0,4.21,2.59,0.16,4.35
2012-08-30,6.32,5.81,6.36,5.81,9234,46753033.0,8.68,-8.36,-0.53,6.16
2012-08-31,5.81,5.85,5.86,5.8,4432,21767664.0,1.03,0.69,0.04,2.95
2012-09-03,5.83,6.04,6.12,5.82,4264,21454566.0,5.13,3.25,0.19,2.84
2012-09-04,6.03,6.05,6.11,6.01,4732,24121181.0,1.66,0.17,0.01,3.15
2012-09-05,6.0,6.11,6.11,5.99,3882,19835911.0,1.98,0.99,0.06,2.59
2012-09-06,6.07,6.04,6.15,6.0,5371,27388769.0,2.45,-1.15,-0.07,3.58
2012-09-07,6.11,6.24,6.28,6.11,7659,39941007.0,2.81,3.31,0.2,5.11
2012-09-10,6.21,6.31,6.36,6.21,4814,25447958.0,2.4,1.12,0.07,3.21
2012-09-11,6.29,6.31,6.37,6.18,5533,29249015.0,3.01,0.0,0.0,3.69
2012-09-12,6.32,6.29,6.33,6.21,4876,25616049.0,1.9,-0.32,-0.02,3.25
2012-09-13,6.29,6.21,6.3,6.18,6366,33439668.0,1.91,-1.27,-0.08,4.24
2012-09-14,6.22,6.18,6.27,6.07,4031,20885454.0,3.22,-0.48,-0.03,2.69
2012-09-17,6.16,5.91,6.16,5.89,5637,28749574.0,4.37,-4.37,-0.27,3.76
2012-09-18,5.91,5.96,6.02,5.91,2791,14032932.0,1.86,0.85,0.05,1.86
2012-09-19,6.02,5.98,6.06,5.93,3928,19863764.0,2.18,0.34,0.02,2.62
2012-09-20,5.97,5.91,6.02,5.89,3676,18473910.0,2.17,-1.17,-0.07,2.45
2012-09-21,5.92,5.84,5.96,5.83,3182,15878610.0,2.2,-1.18,-0.07,2.12
2012-09-24,5.84,6.01,6.01,5.84,3808,18955779.0,2.91,2.91,0.17,2.54
2012-09-25,5.95,5.89,6.0,5.88,1586,7945334.0,2.0,-2.0,-0.12,1.06
2012-09-26,5.89,5.35,5.91,5.33,13188,61450048.0,9.85,-9.17,-0.54,8.79
2012-09-27,5.39,5.5,5.54,5.38,6285,28976214.0,2.99,2.8,0.15,4.19
2012-09-28,5.44,5.52,5.52,5.41,2951,13716733.0,2.0,0.36,0.02,1.97
2012-10-08,5.48,5.49,5.52,5.47,4201,19542796.0,0.91,-0.54,-0.03,2.8
2012-10-09,5.49,5.67,5.69,5.49,4252,20271214.0,3.64,3.28,0.18,2.83
2012-10-10,5.66,5.8,5.8,5.62,3738,17991980.0,3.17,2.29,0.13,2.49
2012-10-11,5.77,5.71,5.88,5.68,3975,19334488.0,3.45,-1.55,-0.09,2.65
2012-10-12,5.75,5.78,5.93,5.73,7417,36357791.0,3.5,1.23,0.07,4.94
2012-10-15,5.81,5.76,5.84,5.65,1944,9453664.0,3.29,-0.35,-0.02,1.3
2012-10-16,5.76,5.79,5.83,5.68,2609,12698680.0,2.6,0.52,0.03,1.74
2012-10-17,5.77,5.77,5.84,5.74,2380,11588096.0,1.73,-0.35,-0.02,1.59
2012-10-18,5.76,5.82,5.83,5.74,3675,17985062.0,1.56,0.87,0.05,2.45
2012-10-19,5.88,5.81,5.89,5.76,1874,9200591.0,2.23,-0.17,-0.01,1.25
