日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.01,6.93,7.01,6.84,31842,22014948.0,2.44,-0.43,-0.03,1.79
2010-01-05,6.92,7.06,7.07,6.75,50467,35023116.0,4.62,1.88,0.13,2.84
2010-01-06,7.04,6.96,7.11,6.95,48921,34414448.0,2.27,-1.42,-0.1,2.76
2010-01-07,6.91,6.95,7.02,6.7,32277,22157834.0,4.6,-0.14,-0.01,1.82
2010-01-08,6.93,7.06,7.12,6.9,52069,36571036.0,3.17,1.58,0.11,2.94
2010-01-11,7.08,7.01,7.08,6.91,33086,23120646.0,2.41,-0.71,-0.05,1.86
2010-01-12,7.04,7.07,7.18,6.95,47628,33659700.0,3.28,0.86,0.06,2.68
2010-01-13,7.02,6.98,7.15,6.96,33841,23805160.0,2.69,-1.27,-0.09,1.91
2010-01-14,6.98,7.17,7.23,6.97,48856,34730196.0,3.72,2.72,0.19,2.75
2010-01-15,7.19,7.53,7.53,7.16,86140,64256976.0,5.16,5.02,0.36,4.86
2010-01-18,7.55,7.7,7.91,7.51,85780,66545440.0,5.31,2.26,0.17,4.84
2010-01-19,7.68,7.72,7.78,7.53,42440,32543124.0,3.25,0.26,0.02,2.39
2010-01-20,7.74,7.33,7.74,7.33,53797,40234696.0,5.31,-5.05,-0.39,3.03
2010-01-21,7.3,7.4,7.45,7.29,31323,23092210.0,2.18,0.95,0.07,1.77
2010-01-22,7.33,7.14,7.38,7.03,48512,34777664.0,4.73,-3.51,-0.26,2.73
2010-01-25,7.14,7.05,7.15,7.0,20244,14339505.0,2.1,-1.26,-0.09,1.14
2010-01-26,7.06,6.9,7.15,6.8,22855,15964384.0,4.96,-2.13,-0.15,1.29
2010-01-27,6.96,6.83,6.98,6.7,16921,11583347.0,4.06,-1.01,-0.07,0.95
2010-01-28,6.87,6.9,6.95,6.78,16025,11010126.0,2.49,1.02,0.07,0.9
2010-01-29,6.88,6.9,6.97,6.82,16830,11640146.0,2.17,0.0,0.0,0.95
2010-02-01,6.88,6.79,6.96,6.62,22807,15530964.0,4.93,-1.59,-0.11,1.29
2010-02-02,6.73,6.74,6.9,6.73,17928,12235064.0,2.5,-0.74,-0.05,1.01
