日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.89,6.03,6.15,5.84,169834,102411736.29,5.26,2.38,0.14,7.86
2010-01-05,6.05,6.26,6.33,6.0,184970,114530765.03,5.47,3.81,0.23,8.56
2010-01-06,6.23,6.13,6.33,6.1,121445,75333206.97,3.67,-2.08,-0.13,5.62
2010-01-07,6.13,5.9,6.17,5.83,100865,60428796.61,5.55,-3.75,-0.23,4.67
2010-01-08,5.83,5.95,5.97,5.73,74820,43824612.6,4.07,0.85,0.05,3.46
2010-01-11,5.98,5.9,6.02,5.87,47378,28125053.72,2.52,-0.84,-0.05,2.19
2010-01-12,5.89,6.02,6.02,5.85,57945,34485916.44,2.88,2.03,0.12,2.68
2010-01-13,5.9,5.85,6.02,5.8,53605,31668277.33,3.65,-2.82,-0.17,2.48
2010-01-14,5.85,6.03,6.03,5.8,76666,45425397.2,3.93,3.08,0.18,3.55
2010-01-15,6.0,6.07,6.16,5.97,93278,56659881.73,3.15,0.66,0.04,4.32
2010-01-18,6.06,6.15,6.15,6.02,95171,58084968.56,2.14,1.32,0.08,4.4
2010-01-19,6.18,6.15,6.19,6.05,105946,64938785.59,2.28,0.0,0.0,4.9
2010-01-20,6.16,5.88,6.17,5.87,89052,53757031.22,4.88,-4.39,-0.27,4.12
2010-01-21,5.88,5.89,5.96,5.82,56033,33020638.23,2.38,0.17,0.01,2.59
2010-01-22,5.79,5.69,5.91,5.58,63960,36603905.87,5.6,-3.4,-0.2,2.96
2010-01-25,5.6,5.66,5.72,5.6,34144,19325175.89,2.11,-0.53,-0.03,1.58
2010-01-26,5.66,5.3,5.69,5.26,47591,25864059.22,7.6,-6.36,-0.36,2.2
2010-01-27,5.3,5.29,5.41,5.25,33147,17662201.9,3.02,-0.19,-0.01,1.53
2010-01-28,5.29,5.38,5.38,5.29,21651,11571837.23,1.7,1.7,0.09,1.0
2010-01-29,5.38,5.4,5.45,5.34,29006,15657762.35,2.04,0.37,0.02,1.34
2010-02-01,5.32,4.99,5.32,4.86,139598,69141373.0,8.52,-7.59,-0.41,6.46
2010-02-02,4.94,4.87,5.01,4.87,76261,37665382.88,2.81,-2.4,-0.12,3.53
2010-02-03,4.88,4.93,4.94,4.66,65078,31538276.83,5.75,1.23,0.06,3.01
2010-02-04,4.93,5.02,5.12,4.86,77480,38689057.51,5.27,1.83,0.09,3.58
2010-02-05,4.94,4.95,5.06,4.88,50122,24843212.19,3.59,-1.39,-0.07,2.32
2010-02-08,4.95,5.08,5.16,4.85,52719,26611100.04,6.26,2.63,0.13,2.44
2010-02-09,5.03,5.06,5.1,5.0,39515,19954131.14,1.97,-0.39,-0.02,1.83
2010-02-10,5.09,5.22,5.24,5.04,60572,31084451.69,3.95,3.16,0.16,2.8
2010-02-11,5.18,5.14,5.22,5.13,31213,16131539.14,1.72,-1.53,-0.08,1.44
2010-02-12,5.13,5.15,5.19,5.13,33821,17435904.0,1.17,0.19,0.01,1.56
2010-02-22,5.13,5.18,5.23,5.1,31490,16310343.99,2.52,0.58,0.03,1.46
2010-02-23,5.18,5.27,5.31,5.08,65868,34353428.12,4.44,1.74,0.09,3.05
2010-02-24,5.23,5.38,5.4,5.22,55957,29918792.99,3.42,2.09,0.11,2.59
2010-02-25,5.39,5.43,5.45,5.35,57829,31199244.47,1.86,0.93,0.05,2.68
2010-02-26,5.42,5.45,5.52,5.38,60701,33176177.06,2.58,0.37,0.02,2.81
2010-03-01,5.5,5.66,5.66,5.48,90878,50866292.45,3.3,3.85,0.21,4.2
2010-03-02,5.66,5.56,5.66,5.51,74577,41438786.21,2.65,-1.77,-0.1,3.45
2010-03-03,5.57,5.7,5.73,5.57,82485,46756612.24,2.88,2.52,0.14,3.82
