日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-12-05,4.11,4.51,4.51,4.11,85,102239.0,13.07,47.39,1.45,0.04
2017-12-06,4.98,4.98,4.98,4.98,72,94758.0,0.0,10.42,0.47,0.03
2017-12-07,5.5,5.5,5.5,5.5,41,59069.0,0.0,10.44,0.52,0.02
2017-12-08,6.07,6.07,6.07,6.07,45,72090.0,0.0,10.36,0.57,0.02
2017-12-11,6.7,6.7,6.7,6.7,154,272088.0,0.0,10.38,0.63,0.07
2017-12-12,7.39,7.39,7.39,7.39,235,455061.0,0.0,10.3,0.69,0.1
2017-12-13,8.15,8.15,8.15,8.15,221,470852.0,0.0,10.28,0.76,0.1
2017-12-14,8.98,8.98,8.98,8.98,432,1012899.0,0.0,10.18,0.83,0.19
2017-12-15,9.9,9.9,9.9,9.9,1058,2729227.0,0.0,10.24,0.92,0.46
2017-12-18,10.92,10.92,10.92,10.92,1965,5576357.0,0.0,10.3,1.02,0.85
2017-12-19,12.03,12.03,12.03,12.03,2753,8596177.0,0.0,10.16,1.11,1.18
2017-12-20,13.25,13.25,13.25,13.25,1372,4710143.0,0.0,10.14,1.22,0.59
2017-12-21,14.6,14.6,14.6,14.6,1459,5510151.0,0.0,10.19,1.35,0.63
2017-12-22,16.08,16.08,16.08,16.05,60234,250271968.0,0.21,10.14,1.48,25.92
2018-01-02,17.71,17.71,17.71,17.71,13741,62809379.0,0.0,10.14,1.63,5.91
2018-01-03,18.22,17.31,18.81,17.3,164093,765169296.0,8.53,-2.26,-0.4,70.61
2018-01-04,15.95,16.25,16.81,15.66,120155,501934688.0,6.64,-6.12,-1.06,51.7
2018-01-05,16.6,17.9,17.9,16.57,88383,400794832.0,8.18,10.15,1.65,38.03
2018-01-08,18.96,17.52,19.71,17.26,147351,702837776.0,13.69,-2.12,-0.38,63.4
2018-01-09,16.7,17.25,17.78,16.49,101608,445799424.0,7.36,-1.54,-0.27,43.72
2018-01-10,17.31,19.0,19.0,16.86,148927,696472688.0,12.41,10.14,1.75,64.08
2018-01-11,17.98,18.22,19.1,17.11,122998,577917056.0,10.47,-4.11,-0.78,52.93
2018-01-12,17.64,16.41,18.57,16.37,120873,539141616.0,12.07,-9.93,-1.81,52.01
2018-01-15,15.26,14.75,15.62,14.75,89651,347236528.0,5.3,-10.12,-1.66,38.58
2018-01-16,14.69,14.94,15.35,14.56,71088,276621168.0,5.36,1.29,0.19,30.59
2018-01-17,14.73,15.16,15.47,14.33,74799,289060448.0,7.63,1.47,0.22,32.19
2018-01-18,15.02,14.37,15.03,14.37,58866,223352798.0,4.35,-5.21,-0.79,25.33
2018-01-19,14.06,14.59,15.28,13.99,62722,240117104.0,8.98,1.53,0.22,26.99
2018-01-22,14.17,13.44,14.44,13.14,62361,220906048.0,8.91,-7.88,-1.15,26.83
2018-01-23,13.71,13.9,14.1,13.43,51944,185183805.0,4.99,3.42,0.46,22.35
2018-01-24,13.75,14.25,14.96,13.71,65248,242618673.0,8.99,2.52,0.35,28.08
2018-01-25,13.99,15.7,15.7,13.99,118212,468880784.0,12.0,10.18,1.45,50.87
2018-01-26,14.81,15.06,15.98,14.81,89428,352051792.0,7.45,-4.08,-0.64,38.48
2018-01-29,14.81,15.5,15.69,14.41,80436,313453504.0,8.5,2.92,0.44,34.61
2018-01-30,15.47,14.64,15.62,14.6,57709,224831576.0,6.58,-5.55,-0.86,24.83
2018-01-31,14.22,13.15,14.22,13.15,71950,252747614.0,7.31,-10.18,-1.49,30.96
2018-02-01,12.81,12.48,13.23,12.3,47137,156580306.0,7.07,-5.1,-0.67,20.28
2018-02-02,12.48,11.93,12.62,11.77,42080,133237330.0,6.81,-4.41,-0.55,18.11
2018-02-05,11.5,11.09,11.75,10.85,40939,121043838.0,7.54,-7.04,-0.84,17.62
2018-02-06,10.77,10.17,10.97,10.13,43886,119979429.0,7.57,-8.3,-0.92,18.88
2018-02-07,10.53,10.77,11.2,10.12,59497,165165509.0,10.62,5.9,0.6,25.6
2018-02-08,10.63,10.86,11.13,10.62,41596,118032816.0,4.74,0.84,0.09,17.9
2018-02-09,10.41,10.55,10.84,10.15,37046,101118230.0,6.35,-2.85,-0.31,15.94
2018-02-12,10.73,10.93,11.17,10.69,33480,95519224.0,4.55,3.6,0.38,14.41
2018-02-13,10.83,10.94,11.71,10.69,43985,126924621.0,9.33,0.09,0.01,18.93
2018-02-14,10.76,10.41,11.0,10.26,30805,85421337.0,6.76,-4.84,-0.53,13.26
2018-02-22,10.64,10.81,10.92,10.45,25894,72198170.0,4.51,3.84,0.4,11.14
2018-02-23,10.76,11.26,11.47,10.75,41558,119097867.0,6.66,4.16,0.45,17.88
2018-02-26,11.61,11.64,11.92,11.37,52477,158825700.0,4.88,3.37,0.38,22.58
2018-02-27,11.57,12.83,12.83,11.43,60746,190583891.0,12.03,10.22,1.19,26.14
2018-02-28,12.57,12.32,12.73,12.06,60022,193084217.0,5.22,-3.98,-0.51,25.83
2018-03-01,12.33,13.1,13.46,12.15,79088,264537546.0,10.63,6.33,0.78,34.03
2018-03-02,12.5,12.57,12.88,12.3,58490,190915704.0,4.43,-4.05,-0.53,25.17
