日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-07-08,5.06,6.15,6.15,5.06,81,115161.0,26.33,48.55,2.01,0.04
2016-07-11,6.81,6.81,6.81,6.81,19,30248.0,0.0,10.73,0.66,0.01
2016-07-12,7.53,7.53,7.53,7.53,25,43389.0,0.0,10.57,0.72,0.01
2016-07-13,8.33,8.33,8.33,8.33,18,34668.0,0.0,10.62,0.8,0.01
2016-07-14,9.21,9.21,9.21,9.21,34,72046.0,0.0,10.56,0.88,0.01
2016-07-15,10.17,10.17,10.17,10.17,27,63543.0,0.0,10.42,0.96,0.01
2016-07-18,11.23,11.23,11.23,11.23,26,66433.0,0.0,10.42,1.06,0.01
2016-07-19,12.39,12.39,12.39,12.39,59,165111.0,0.0,10.33,1.16,0.03
2016-07-20,13.67,13.67,13.67,13.67,15,46530.0,0.0,10.33,1.28,0.01
2016-07-21,15.08,15.08,15.08,15.08,71,243139.0,0.0,10.31,1.41,0.03
2016-07-22,16.63,16.63,16.63,16.63,82,308721.0,0.0,10.28,1.55,0.04
2016-07-25,18.34,18.34,18.34,18.34,272,1122361.0,0.0,10.28,1.71,0.12
2016-07-26,20.21,20.21,20.21,20.21,162,736141.0,0.0,10.2,1.87,0.07
2016-07-27,22.28,22.28,22.28,22.28,206,1031417.0,0.0,10.24,2.07,0.09
2016-07-28,24.55,24.55,24.55,24.55,531,2919273.0,0.0,10.19,2.27,0.23
2016-07-29,27.05,27.05,27.05,27.05,501,3029935.0,0.0,10.18,2.5,0.22
2016-08-01,29.8,29.8,29.8,29.8,858,5706099.0,0.0,10.17,2.75,0.37
2016-08-02,32.82,32.82,32.82,32.82,1439,10526797.0,0.0,10.13,3.02,0.63
2016-08-03,36.15,36.15,36.15,36.15,2037,16395682.0,0.0,10.15,3.33,0.89
2016-08-04,39.81,39.81,39.81,39.81,1006,8903430.0,0.0,10.12,3.66,0.44
2016-08-05,43.83,43.83,43.83,43.83,1073,10446924.0,0.0,10.1,4.02,0.47
2016-08-08,48.26,45.12,48.26,45.01,146827,1508087648.0,7.42,2.94,1.29,63.84
2016-08-09,47.3,47.88,49.67,45.97,127164,1356169200.0,8.2,6.12,2.76,55.29
2016-08-10,46.85,47.52,49.37,46.07,99449,1050225104.0,6.89,-0.75,-0.36,43.24
2016-08-11,46.4,48.53,50.14,46.16,102752,1104744640.0,8.38,2.13,1.01,44.67
2016-08-12,47.45,50.47,50.47,47.39,97062,1059601760.0,6.35,4.0,1.94,42.2
2016-08-15,50.08,50.75,52.07,49.14,86638,972032048.0,5.81,0.55,0.28,37.67
2016-08-16,50.19,54.11,55.48,50.19,88040,1030055584.0,10.42,6.62,3.36,38.28
2016-08-17,55.48,59.57,59.57,55.43,86745,1107087136.0,7.65,10.09,5.46,37.72
2016-08-18,60.18,59.48,63.53,59.17,81698,1104921872.0,7.32,-0.15,-0.09,35.52
2016-08-19,59.3,59.57,62.25,59.13,53454,715177408.0,5.25,0.15,0.09,23.24
2016-08-22,57.81,55.63,60.71,55.56,61246,779596720.0,8.65,-6.61,-3.94,26.63
2016-08-23,56.3,59.97,60.12,55.71,59746,763631776.0,7.93,7.8,4.34,25.98
2016-08-24,59.26,57.44,60.39,57.21,48313,629475232.0,5.3,-4.22,-2.53,21.01
2016-08-25,56.85,55.98,56.92,52.85,47611,580890704.0,7.09,-2.54,-1.46,20.7
2016-08-26,55.68,53.61,56.99,53.61,38336,471311088.0,6.04,-4.23,-2.37,16.67
2016-08-29,52.76,54.26,55.18,52.3,24435,293689536.0,5.37,1.21,0.65,10.62
2016-08-30,54.57,59.72,59.72,54.57,62535,806854208.0,9.49,10.06,5.46,27.19
2016-08-31,59.61,65.74,65.74,58.41,62054,850376800.0,12.27,10.08,6.02,26.98
2016-09-01,66.85,67.06,68.21,64.79,52752,774706720.0,5.2,2.01,1.32,22.94
2016-09-02,66.51,67.74,69.12,65.14,49097,729627632.0,5.93,1.01,0.68,21.35
2016-09-05,66.48,63.62,66.74,61.93,50139,712970640.0,7.1,-6.08,-4.12,21.8
2016-09-06,63.86,64.57,65.94,61.94,48447,687778384.0,6.29,1.49,0.95,21.06
2016-09-07,64.56,63.94,65.86,62.1,38347,542301840.0,5.82,-0.98,-0.63,16.67
2016-09-08,63.31,64.26,68.8,63.31,53916,787898176.0,8.59,0.5,0.32,23.44
2016-09-09,64.12,59.94,64.12,57.96,53034,709351536.0,9.59,-6.72,-4.32,23.06
2016-09-12,58.27,60.04,63.47,58.27,38578,523886624.0,8.68,0.17,0.1,16.77
2016-09-13,60.94,60.81,62.76,59.5,37044,499888576.0,5.43,1.28,0.77,16.11
2016-09-14,60.03,58.66,61.85,58.28,28026,371489632.0,5.87,-3.54,-2.15,12.19
2016-09-19,59.48,61.2,61.2,59.16,22191,296008992.0,3.48,4.33,2.54,9.65
2016-09-20,60.66,60.47,62.53,59.72,19682,264749705.0,4.59,-1.19,-0.73,8.56
2016-09-21,60.03,59.72,61.16,58.73,18482,245545954.0,4.02,-1.24,-0.75,8.04
2016-09-22,61.16,61.4,62.53,60.3,37126,505586976.0,3.73,2.81,1.68,16.14
2016-09-23,61.4,60.76,61.61,60.1,20890,280622864.0,2.46,-1.04,-0.64,9.08
2016-09-26,60.03,54.64,60.03,54.64,47928,592401184.0,8.87,-10.07,-6.12,20.84
2016-09-27,54.48,55.52,55.69,52.76,25802,311599184.0,5.36,1.61,0.88,11.22
2016-09-28,54.94,54.61,55.28,54.13,14043,170328998.0,2.07,-1.64,-0.91,6.11
2016-09-29,54.85,54.7,56.64,53.82,19888,243893617.0,5.16,0.16,0.09,8.65
2016-09-30,53.89,54.15,54.57,53.56,12225,146503034.0,1.85,-1.01,-0.55,5.32
2016-10-10,54.35,56.95,58.06,54.35,27029,338983328.0,6.85,5.17,2.8,11.75
2016-10-11,56.67,55.26,57.2,54.57,33410,411603824.0,4.62,-2.97,-1.69,14.53
2016-10-12,54.57,55.74,55.89,54.41,19184,235691465.0,2.68,0.87,0.48,8.34
2016-10-13,55.49,53.76,55.89,53.41,31598,378794720.0,4.45,-3.55,-1.98,13.74
2016-10-14,53.26,54.28,54.52,53.19,16522,197676222.0,2.47,0.97,0.52,7.18
2016-10-17,54.43,55.47,56.77,53.76,31142,383254176.0,5.55,2.19,1.19,13.54
2016-10-18,54.83,56.56,56.99,54.1,34614,430656960.0,5.21,1.97,1.09,15.05
2016-10-19,56.9,62.26,62.26,56.9,67029,916560768.0,9.48,10.08,5.7,29.14
2016-10-20,62.39,60.03,62.6,58.21,47643,637157120.0,7.05,-3.58,-2.23,20.71
2016-10-21,59.73,59.12,59.98,57.11,27512,356608736.0,4.78,-1.52,-0.91,11.96
2016-10-24,58.87,59.01,59.48,57.57,20778,269394016.0,3.23,-0.19,-0.11,9.03
2016-10-25,58.61,58.61,59.8,58.44,18526,242048123.0,2.3,-0.68,-0.4,8.05
2016-10-26,58.26,55.48,58.31,54.57,31494,390492496.0,6.38,-5.34,-3.13,13.69
2016-10-27,55.03,55.71,56.05,54.58,19536,240910903.0,2.65,0.41,0.23,8.49
2016-10-28,55.94,55.76,57.92,55.71,24979,314938112.0,3.97,0.09,0.05,10.86
2016-10-31,54.84,54.94,55.63,52.86,17353,208028472.0,4.97,-1.47,-0.82,7.54
2016-11-01,54.85,55.76,56.17,54.6,13979,171953729.0,2.86,1.49,0.82,6.08
2016-11-02,55.04,54.47,55.43,54.41,14607,177283829.0,1.83,-2.31,-1.29,6.35
2016-11-03,54.07,54.28,55.03,53.67,15043,181767584.0,2.5,-0.35,-0.19,6.54
2016-11-04,54.29,54.89,55.6,54.29,14810,180524459.0,2.41,1.12,0.61,6.44
2016-11-07,54.41,53.21,54.89,52.96,25296,301231232.0,3.52,-3.06,-1.68,11.0
2016-11-08,53.21,53.52,53.87,52.97,10532,124799932.0,1.69,0.58,0.31,4.58
2016-11-09,53.48,52.2,53.89,48.53,18367,215513663.0,10.01,-2.47,-1.32,7.99
2016-11-10,52.76,53.8,54.57,52.66,25637,304787632.0,3.66,3.07,1.6,11.15
2016-11-11,53.77,52.91,54.47,52.55,21594,255629030.0,3.57,-1.65,-0.89,9.39
2016-11-14,52.84,53.21,53.57,52.56,15526,182744396.0,1.91,0.57,0.3,6.75
2016-11-15,53.22,51.66,53.31,51.3,19972,229730007.0,3.78,-2.91,-1.55,8.68
2016-11-16,51.87,53.37,53.65,51.66,24301,285025248.0,3.85,3.31,1.71,10.57
2016-11-17,52.76,51.76,52.98,51.59,13606,156962187.0,2.6,-3.02,-1.61,5.92
2016-11-18,51.85,51.86,52.62,51.81,9921,114815175.0,1.56,0.19,0.1,4.31
2016-11-21,52.08,52.18,52.89,51.67,13414,155321772.0,2.35,0.62,0.32,5.83
2016-11-22,52.85,55.47,56.02,52.85,37265,450426464.0,6.08,6.31,3.29,16.2
2016-11-23,55.94,53.91,56.66,53.39,30535,372764832.0,5.9,-2.81,-1.56,13.28
2016-11-24,53.8,52.87,54.57,52.54,17184,204005887.0,3.77,-1.93,-1.04,7.47
2016-11-25,52.85,52.0,52.85,49.71,29626,334104944.0,5.94,-1.65,-0.87,12.88
2016-11-28,51.66,50.17,51.69,49.72,15584,175026746.0,3.79,-3.52,-1.83,6.78
2016-11-29,50.43,49.8,50.62,49.74,10559,117425434.0,1.75,-0.74,-0.37,4.59
2016-11-30,49.72,49.91,50.35,49.12,8470,93698614.0,2.47,0.22,0.11,3.68
2016-12-01,50.21,50.12,51.16,49.94,10264,114964373.0,2.44,0.42,0.21,4.46
2016-12-02,50.03,46.57,50.03,46.4,18895,202321955.0,7.24,-7.08,-3.55,8.22
2016-12-05,45.48,45.89,46.52,44.58,8669,88198978.0,4.17,-1.46,-0.68,3.77
2016-12-06,45.05,45.73,46.48,45.05,9915,101020557.0,3.12,-0.35,-0.16,4.31
2016-12-07,45.41,46.44,46.67,45.41,8807,90160330.0,2.76,1.55,0.71,3.83
2016-12-08,46.39,45.14,46.61,44.7,10442,105738849.0,4.11,-2.8,-1.3,4.54
2016-12-09,44.87,43.03,45.32,42.51,20947,203378082.0,6.23,-4.67,-2.11,9.11
2016-12-12,42.56,38.68,42.76,38.68,22881,206706561.0,9.48,-10.11,-4.35,9.95
2016-12-13,37.98,38.1,38.57,36.85,18334,154129002.0,4.45,-1.5,-0.58,7.97
2016-12-14,38.1,36.63,38.26,36.48,16642,137966015.0,4.67,-3.86,-1.47,7.24
2016-12-15,36.39,36.93,38.02,36.17,14646,121525120.0,5.05,0.82,0.3,6.37
2016-12-16,37.29,37.3,38.04,37.03,13893,115870166.0,2.73,1.0,0.37,6.04
2016-12-19,37.75,37.01,37.75,36.7,8681,71634084.0,2.82,-0.78,-0.29,3.77
2016-12-20,37.01,37.21,37.48,36.76,7722,63776018.0,1.95,0.54,0.2,3.36
2016-12-21,37.35,38.01,38.01,36.85,14834,123795432.0,3.12,2.15,0.8,6.45
2016-12-22,37.76,37.69,37.89,37.16,12394,103438304.0,1.92,-0.84,-0.32,5.39
2016-12-23,37.43,37.53,39.8,37.41,24586,209869464.0,6.34,-0.42,-0.16,10.69
2016-12-26,37.0,36.19,37.0,33.94,22076,173146198.0,8.15,-3.57,-1.34,9.6
2016-12-27,35.94,35.46,35.94,35.04,16250,128115769.0,2.49,-2.02,-0.73,7.07
2016-12-28,35.48,35.35,35.93,35.26,12975,102785292.0,1.89,-0.31,-0.11,5.64
2016-12-29,34.57,34.57,35.52,34.52,11266,87556548.0,2.83,-2.21,-0.78,4.9
2016-12-30,34.71,34.26,34.98,33.75,11357,86988580.0,3.56,-0.9,-0.31,4.94
2017-01-03,34.63,34.7,34.94,34.41,9913,76419771.0,1.55,1.28,0.44,4.31
2017-01-04,35.03,35.29,35.67,34.81,14991,117744640.0,2.48,1.7,0.59,6.52
2017-01-05,35.03,34.66,35.16,34.66,11833,91790221.0,1.42,-1.79,-0.63,5.14
2017-01-06,34.56,33.03,34.69,32.76,17858,133861236.0,5.57,-4.7,-1.63,7.76
2017-01-09,32.76,32.89,33.16,32.08,11050,80291783.0,3.27,-0.42,-0.14,4.8
2017-01-10,32.76,32.46,33.78,32.3,12608,92963229.0,4.5,-1.31,-0.43,5.48
2017-01-11,32.3,32.31,32.98,32.12,10852,78783330.0,2.65,-0.46,-0.15,4.72
2017-01-12,32.48,32.8,33.21,32.33,11629,84848598.0,2.72,1.52,0.49,5.06
2017-01-13,32.81,30.66,32.96,30.52,16156,114135922.0,7.44,-6.52,-2.14,7.02
2017-01-16,30.39,27.62,30.39,27.55,18410,117208808.0,9.26,-9.92,-3.04,8.0
2017-01-17,27.19,28.62,29.48,26.49,19539,122165998.0,10.83,3.62,1.0,8.5
2017-01-18,28.42,27.58,28.42,27.51,14040,87523774.0,3.18,-3.63,-1.04,6.1
2017-01-19,27.58,28.08,28.66,26.85,14777,92770860.0,6.56,1.81,0.5,6.42
2017-01-20,27.8,30.93,30.93,27.76,19446,130917336.0,11.29,10.15,2.85,8.45
2017-01-23,31.36,31.28,31.62,30.46,30169,208802768.0,3.75,1.13,0.35,13.12
2017-01-24,31.07,30.35,31.07,30.12,14810,100696040.0,3.04,-2.97,-0.93,6.44
2017-01-25,30.35,30.84,31.85,30.17,20399,141087425.0,5.54,1.61,0.49,8.87
2017-01-26,30.88,30.74,31.12,30.21,11049,75344331.0,2.95,-0.32,-0.1,4.8
2017-02-03,30.83,30.42,31.1,30.21,7746,52831076.0,2.9,-1.04,-0.32,3.37
2017-02-06,30.42,31.29,31.3,30.31,13686,94235912.0,3.25,2.86,0.87,5.95
2017-02-07,31.06,30.79,31.31,30.41,13358,91850970.0,2.88,-1.6,-0.5,5.81
2017-02-08,30.88,31.37,31.48,30.48,14159,98120670.0,3.25,1.88,0.58,6.16
2017-02-09,31.39,32.01,33.57,31.08,26748,193407161.0,7.94,2.04,0.64,11.63
2017-02-10,32.07,30.88,32.07,30.84,16095,112452743.0,3.84,-3.53,-1.13,7.0
2017-02-13,30.57,31.18,31.51,29.98,15034,103425446.0,4.95,0.97,0.3,6.54
2017-02-14,31.29,31.11,31.4,30.96,12986,90274147.0,1.41,-0.22,-0.07,5.65
2017-02-15,31.07,30.8,31.61,30.67,17174,119039243.0,3.02,-1.0,-0.31,7.47
2017-02-16,30.94,30.55,30.94,30.33,13156,89707035.0,1.98,-0.81,-0.25,5.72
2017-02-17,30.85,29.03,30.85,29.03,19031,126441953.0,5.96,-4.98,-1.52,8.27
2017-02-20,28.82,29.34,29.47,28.3,11132,72039588.0,4.03,1.07,0.31,4.84
2017-02-21,29.56,29.94,30.1,29.27,15396,102028053.0,2.83,2.04,0.6,6.69
2017-02-22,30.01,29.87,30.09,29.66,11404,75856635.0,1.44,-0.23,-0.07,4.96
2017-02-23,29.88,30.13,30.51,29.63,11432,76967428.0,2.95,0.87,0.26,4.97
2017-02-24,30.14,30.98,31.16,30.08,17168,117609920.0,3.58,2.82,0.85,7.46
2017-02-27,30.76,30.51,31.1,30.42,13134,89978937.0,2.19,-1.52,-0.47,5.71
2017-02-28,30.52,30.94,31.03,30.51,11337,77781174.0,1.7,1.41,0.43,4.93
2017-03-01,30.94,31.16,31.62,30.76,16917,117840181.0,2.78,0.71,0.22,7.36
2017-03-02,31.16,30.54,31.16,30.31,13638,93220732.0,2.73,-1.99,-0.62,5.93
2017-03-03,30.37,30.95,31.1,30.03,15202,103925322.0,3.5,1.34,0.41,6.61
2017-03-06,31.07,32.7,32.97,31.07,32170,232330941.0,6.14,5.65,1.75,13.99
2017-03-07,32.71,33.29,33.39,32.08,31720,231295640.0,4.01,1.8,0.59,13.79
2017-03-08,33.15,32.99,34.48,32.88,30777,230845248.0,4.81,-0.9,-0.3,13.38
2017-03-09,32.98,34.04,34.04,32.53,27127,202011754.0,4.58,3.18,1.05,11.79
2017-03-10,34.03,35.48,35.91,33.72,38184,296696400.0,6.43,4.23,1.44,16.6
2017-03-13,35.51,38.66,39.07,35.1,70754,592993504.0,11.19,8.96,3.18,30.76
2017-03-14,37.76,37.66,38.62,36.87,47013,394057072.0,4.53,-2.59,-1.0,20.44
2017-03-15,37.12,36.19,37.38,35.99,36018,293614960.0,3.69,-3.9,-1.47,15.66
2017-03-16,36.21,36.44,36.78,35.73,33339,269212432.0,2.9,0.69,0.25,14.5
2017-03-17,36.46,35.16,36.46,35.16,27632,221228688.0,3.57,-3.51,-1.28,12.01
2017-03-20,34.61,35.64,35.71,34.12,24540,190894974.0,4.52,1.37,0.48,10.67
2017-03-21,35.71,36.01,36.11,35.12,24954,198752724.0,2.78,1.04,0.37,10.85
2017-03-22,35.69,35.71,36.34,35.35,17857,142335144.0,2.75,-0.83,-0.3,7.76
2017-03-23,35.73,35.94,36.46,35.63,28163,225755916.0,2.32,0.64,0.23,12.24
2017-03-24,35.94,36.88,37.29,35.94,33985,278624928.0,3.76,2.62,0.94,14.78
2017-03-27,37.13,37.18,38.21,37.1,28335,236805492.0,3.01,0.81,0.3,12.32
2017-03-28,36.66,36.16,37.3,36.09,18063,146688142.0,3.25,-2.74,-1.02,7.85
2017-03-29,36.16,32.98,36.16,32.76,25209,191935450.0,9.4,-8.79,-3.18,10.96
2017-03-30,32.76,31.21,32.76,31.16,22799,161223075.0,4.85,-5.37,-1.77,9.91
2017-03-31,31.12,30.71,31.56,30.15,14750,101667043.0,4.52,-1.6,-0.5,6.41
2017-04-05,30.71,30.94,31.16,30.36,11844,81631912.0,2.61,0.75,0.23,5.15
2017-04-06,30.95,30.88,31.32,30.85,14360,99450164.0,1.52,-0.19,-0.06,6.24
2017-04-07,30.85,29.84,30.85,29.67,15133,101761012.0,3.82,-3.37,-1.04,6.58
2017-04-10,29.35,27.01,29.37,26.85,20970,130231267.0,8.45,-9.48,-2.83,9.12
2017-04-11,26.82,27.72,27.76,26.66,12598,77348858.0,4.07,2.63,0.71,5.48
2017-04-12,27.74,27.13,28.07,27.11,8260,50914327.0,3.46,-2.13,-0.59,3.59
2017-04-13,27.04,27.14,27.6,27.04,7726,47202393.0,2.06,0.04,0.01,3.36
2017-04-14,27.14,26.75,27.21,26.59,7546,45202778.0,2.28,-1.44,-0.39,3.28
2017-04-17,26.14,24.46,26.14,24.13,14884,83426183.0,7.51,-8.56,-2.29,6.47
2017-04-18,24.56,24.6,25.24,24.52,9061,50423395.0,2.94,0.57,0.14,3.94
2017-04-19,24.56,25.02,25.1,24.37,10435,57682565.0,2.97,1.71,0.42,4.54
2017-04-20,24.98,24.57,25.19,24.06,9189,50685876.0,4.52,-1.8,-0.45,4.0
2017-04-21,24.76,24.19,24.86,24.12,6533,35787794.0,3.01,-1.55,-0.38,2.84
2017-04-24,24.16,23.26,24.29,23.16,7917,41492706.0,4.67,-3.84,-0.93,3.44
2017-04-25,23.48,23.51,23.84,23.28,7388,39101387.0,2.41,1.07,0.25,3.21
2017-04-26,23.44,23.71,23.89,23.27,7203,38189728.0,2.64,0.85,0.2,3.13
2017-04-27,23.66,25.1,25.26,23.23,15058,81519562.0,8.56,5.86,1.39,6.55
2017-04-28,24.94,25.02,25.14,24.66,7831,43700334.0,1.91,-0.32,-0.08,3.4
2017-05-02,24.89,24.69,25.19,24.56,6306,34979325.0,2.52,-1.32,-0.33,2.74
2017-05-03,24.69,25.37,25.47,24.39,9519,53339460.0,4.37,2.75,0.68,4.14
2017-05-04,25.34,24.85,25.34,24.64,7578,42323398.0,2.76,-2.05,-0.52,3.29
2017-05-05,24.76,25.37,25.88,24.72,15076,85464241.0,4.67,2.09,0.52,6.55
2017-05-08,25.13,24.48,25.26,24.48,8884,49513723.0,3.07,-3.51,-0.89,3.86
2017-05-09,23.89,24.48,24.57,23.66,9408,50834925.0,3.72,0.0,0.0,4.09
2017-05-10,24.44,24.43,25.39,23.98,13357,74402470.0,5.76,-0.2,-0.05,5.81
2017-05-11,23.8,24.13,24.27,22.76,11827,62753492.0,6.18,-1.23,-0.3,5.14
2017-05-12,24.1,23.96,24.35,23.68,6324,34007877.0,2.78,-0.7,-0.17,2.75
2017-05-15,23.93,23.94,24.48,23.91,5658,30582754.0,2.38,-0.08,-0.02,2.46
2017-05-16,23.66,24.71,24.71,23.15,11860,63320099.0,6.52,3.22,0.77,5.16
2017-05-17,24.8,25.18,25.57,24.57,14345,80790286.0,4.05,1.9,0.47,6.24
2017-05-18,24.95,26.25,26.84,24.73,23111,134636886.0,8.38,4.25,1.07,10.05
2017-05-19,26.21,25.69,26.21,25.39,12771,73594911.0,3.12,-2.13,-0.56,5.55
2017-05-22,25.48,23.71,25.61,23.69,12982,71542010.0,7.47,-7.71,-1.98,5.64
2017-05-23,23.21,22.36,23.8,22.34,10624,55012900.0,6.16,-5.69,-1.35,4.62
2017-05-24,22.36,22.61,22.66,21.49,8729,43334658.0,5.23,1.12,0.25,3.8
2017-05-25,22.44,22.41,22.66,21.62,9227,45849474.0,4.6,-0.88,-0.2,4.01
2017-05-26,22.24,22.44,22.61,21.98,6412,32205230.0,2.81,0.13,0.03,2.79
2017-05-31,23.28,22.46,23.78,22.42,9881,51201815.0,6.06,0.09,0.02,4.3
2017-06-01,22.21,20.17,22.46,20.17,18164,85899531.0,10.2,-10.2,-2.29,7.9
2017-06-02,19.98,20.71,20.88,19.57,10386,47351644.0,6.49,2.68,0.54,4.52
2017-06-05,20.93,20.88,21.35,20.72,7702,36327569.0,3.04,0.82,0.17,3.35
2017-06-06,20.86,21.0,21.11,20.57,5285,24790691.0,2.59,0.57,0.12,2.3
2017-06-07,21.19,22.53,23.05,20.97,20177,100261635.0,9.9,7.29,1.53,8.77
2017-06-08,22.62,23.01,23.38,22.36,19301,99097146.0,4.53,2.13,0.48,8.39
2017-06-09,22.58,22.81,23.02,22.34,11344,57504617.0,2.96,-0.87,-0.2,4.93
2017-06-12,22.44,21.44,22.47,21.28,11933,58553499.0,5.22,-6.01,-1.37,5.19
2017-06-13,21.62,22.83,23.19,21.39,18481,93383046.0,8.4,6.48,1.39,8.04
2017-06-14,22.76,22.49,23.44,22.44,16729,85778887.0,4.38,-1.49,-0.34,7.27
2017-06-15,22.75,23.87,24.23,22.49,24903,131340463.0,7.74,6.14,1.38,10.83
2017-06-16,23.8,23.87,24.54,23.57,18752,100611481.0,4.06,0.0,0.0,8.15
2017-06-19,23.74,24.01,24.66,23.57,14518,78023286.0,4.57,0.59,0.14,6.31
2017-06-20,24.02,23.32,24.28,23.16,14517,76783246.0,4.66,-2.87,-0.69,6.31
2017-06-21,23.33,23.41,23.66,22.93,11373,59420573.0,3.13,0.39,0.09,4.94
2017-06-22,23.32,22.84,24.19,22.81,15645,82615645.0,5.89,-2.43,-0.57,6.8
2017-06-23,22.82,23.04,23.4,22.23,13015,66378434.0,5.12,0.88,0.2,5.66
2017-06-26,23.07,23.17,23.3,22.67,8587,44285864.0,2.73,0.56,0.13,3.73
2017-06-27,23.11,23.15,23.57,23.03,10542,55054244.0,2.33,-0.09,-0.02,4.58
2017-06-28,23.15,23.32,23.52,22.98,9457,49259503.0,2.33,0.73,0.17,4.11
2017-06-29,23.48,23.76,24.11,23.38,15666,83394849.0,3.13,1.89,0.44,6.81
2017-06-30,23.44,23.43,23.66,23.31,9676,50852541.0,1.47,-1.39,-0.33,4.21
2017-07-03,23.4,23.25,23.62,22.89,8850,46029146.0,3.12,-0.77,-0.18,3.85
2017-07-04,23.25,23.16,23.42,22.89,7675,39695331.0,2.28,-0.39,-0.09,3.34
2017-07-05,23.16,23.25,23.37,23.0,8841,45965760.0,1.6,0.39,0.09,3.84
2017-07-06,23.25,22.22,23.26,22.07,21424,108194612.0,5.12,-4.43,-1.03,9.31
2017-07-07,22.22,22.62,22.71,22.11,9764,49208158.0,2.7,1.8,0.4,4.25
2017-07-10,22.47,22.44,22.76,22.33,7788,39286794.0,1.9,-0.8,-0.18,1.52
2017-07-11,22.41,22.26,22.59,22.16,5869,29469964.0,1.92,-0.8,-0.18,1.15
2017-07-12,22.76,22.85,23.01,22.44,15714,80111505.0,2.56,2.65,0.59,3.07
2017-07-13,22.67,22.03,22.67,21.39,10704,52787287.0,5.6,-3.59,-0.82,2.09
2017-07-14,21.62,21.68,22.18,21.48,6567,32170254.0,3.18,-1.59,-0.35,1.28
2017-07-17,21.8,19.89,21.83,19.8,10322,47171233.0,9.36,-8.26,-1.79,2.02
2017-07-18,19.73,19.03,20.02,18.23,22021,42859155.0,9.0,-4.32,-0.86,1.95
2017-07-19,19.05,18.65,19.22,18.25,20005,37910153.0,5.1,-2.0,-0.38,1.78
2017-07-20,18.63,18.87,19.38,18.54,18924,36727211.0,4.5,1.18,0.22,1.68
2017-07-21,19.22,18.54,19.23,18.38,11801,22495352.0,4.5,-1.75,-0.33,1.05
2017-07-24,18.24,18.33,18.51,17.64,14184,26161617.0,4.69,-1.13,-0.21,1.26
2017-07-25,18.43,18.26,18.68,17.96,11412,21307264.0,3.93,-0.38,-0.07,1.01
2017-07-26,17.58,17.23,17.58,16.89,34915,61322373.0,3.78,-5.64,-1.03,3.1
2017-07-27,16.95,17.88,18.0,16.95,28600,51229624.0,6.09,3.77,0.65,2.54
2017-07-28,17.86,17.48,17.91,17.46,16751,30222195.0,2.52,-2.24,-0.4,1.49
2017-07-31,17.59,19.27,19.27,17.34,54786,105912717.0,11.04,10.24,1.79,4.86
2017-08-01,19.32,19.78,20.56,19.24,94768,191748049.0,6.85,2.65,0.51,8.41
2017-08-02,19.48,19.05,19.81,19.03,50548,99214859.0,3.94,-3.69,-0.73,4.49
2017-08-03,18.9,18.98,19.43,18.65,36510,71059361.0,4.09,-0.37,-0.07,3.24
2017-08-04,19.03,18.37,19.03,18.34,29837,56744639.0,3.64,-3.21,-0.61,2.65
2017-08-07,18.33,18.59,18.8,18.29,13687,25966925.0,2.78,1.2,0.22,1.21
2017-08-08,18.61,18.43,18.78,18.02,22071,41316493.0,4.09,-0.86,-0.16,1.96
2017-08-09,18.44,18.5,18.57,18.25,12987,24406097.0,1.74,0.38,0.07,1.15
2017-08-10,18.51,17.95,18.59,17.91,17930,33319801.0,3.68,-2.97,-0.55,1.59
2017-08-11,17.95,17.48,17.95,17.48,15184,27494481.0,2.62,-2.62,-0.47,1.35
2017-08-14,17.49,18.62,18.89,17.39,31776,59285110.0,8.58,6.52,1.14,2.82
2017-08-15,18.45,18.58,18.83,18.19,21630,40896825.0,3.44,-0.21,-0.04,1.92
2017-08-16,18.71,19.73,20.42,18.42,60137,119982030.0,10.76,6.19,1.15,5.34
2017-08-17,19.39,20.15,20.62,19.19,70521,143181536.0,7.25,2.13,0.42,6.26
2017-08-18,19.81,19.54,20.08,19.44,34361,69041842.0,3.18,-3.03,-0.61,3.05
2017-08-21,19.53,20.31,20.62,19.53,40716,83353188.0,5.58,3.94,0.77,3.61
2017-08-22,19.98,19.57,20.09,19.35,37976,76074809.0,3.64,-3.64,-0.74,3.37
2017-08-23,19.17,19.41,19.49,19.17,20007,39415327.0,1.64,-0.82,-0.16,1.78
2017-08-24,19.48,18.88,19.58,18.84,19411,37820115.0,3.81,-2.73,-0.53,1.72
2017-08-25,18.91,19.15,19.54,18.91,21834,42854983.0,3.34,1.43,0.27,1.94
2017-08-28,19.1,21.1,21.1,19.04,40530,84324170.0,10.76,10.18,1.95,3.6
2017-08-29,21.78,22.09,23.06,21.24,138578,309531728.0,8.63,4.69,0.99,12.3
2017-08-30,21.7,21.63,22.13,21.38,70916,156647010.0,3.4,-2.08,-0.46,6.3
2017-08-31,21.62,21.97,22.3,21.51,59903,133362063.0,3.65,1.57,0.34,5.32
2017-09-01,22.13,23.19,23.81,21.51,94252,214825504.0,10.47,5.55,1.22,8.37
