日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-07-08,7.53,7.04,7.72,6.8,146248,284084280.0,16.08,23.08,1.32,79.48
2010-07-09,6.8,6.73,6.91,6.36,91846,168358810.0,7.81,-4.4,-0.31,49.92
2010-07-12,6.61,6.64,6.8,6.57,44666,82031176.0,3.42,-1.34,-0.09,24.28
2010-07-13,6.52,6.65,6.75,6.46,37799,69096939.0,4.37,0.15,0.01,20.54
2010-07-14,6.64,6.65,6.84,6.63,40500,74911041.0,3.16,0.0,0.0,22.01
2010-07-15,6.61,6.14,6.63,6.13,44782,79009590.0,7.52,-7.67,-0.51,24.34
2010-07-16,6.13,6.08,6.14,5.92,22578,37909974.0,3.58,-0.98,-0.06,12.27
2010-07-19,6.0,6.23,6.24,5.94,17415,29709545.0,4.93,2.47,0.15,9.46
2010-07-20,6.23,6.4,6.44,6.2,25826,45147925.0,3.85,2.73,0.17,14.04
2010-07-21,6.44,6.44,6.63,6.4,35974,64865430.0,3.59,0.63,0.04,19.55
2010-07-22,6.41,6.54,6.55,6.32,20089,35868830.0,3.57,1.55,0.1,10.92
2010-07-23,6.54,6.56,6.64,6.46,21330,38500214.0,2.75,0.31,0.02,11.59
2010-07-26,6.56,6.65,6.67,6.52,22210,40482049.0,2.29,1.37,0.09,12.07
2010-07-27,6.64,6.56,6.68,6.54,16872,30681014.0,2.11,-1.35,-0.09,9.17
2010-07-28,6.55,6.66,6.67,6.54,22420,40972742.0,1.98,1.52,0.1,12.18
2010-07-29,6.67,6.67,6.75,6.62,22175,40776672.0,1.95,0.15,0.01,12.05
2010-07-30,6.62,6.62,6.69,6.56,11481,20921422.0,1.95,-0.75,-0.05,6.24
2010-08-02,6.6,6.81,6.82,6.6,20795,38583090.0,3.32,2.87,0.19,11.3
2010-08-03,6.81,6.64,6.84,6.64,24004,44499900.0,2.94,-2.5,-0.17,13.05
2010-08-04,6.64,6.72,6.74,6.58,12581,23016484.0,2.41,1.2,0.08,6.84
2010-08-05,6.69,6.74,6.9,6.69,20660,38722431.0,3.13,0.3,0.02,11.23
2010-08-06,6.72,6.99,6.99,6.72,24121,45716103.0,4.01,3.71,0.25,13.11
2010-08-09,6.93,7.31,7.64,6.93,31804,63617862.0,10.16,4.58,0.32,17.28
2010-08-10,7.32,7.14,7.48,7.13,32973,65511993.0,4.79,-2.33,-0.17,17.92
2010-08-11,7.1,7.43,7.48,7.06,30467,60880852.0,5.88,4.06,0.29,16.56
2010-08-12,7.29,7.2,7.52,7.16,27894,55916353.0,4.85,-3.1,-0.23,15.16
2010-08-13,7.2,7.22,7.25,7.04,14498,28419370.0,2.92,0.28,0.02,7.88
2010-08-16,7.2,7.31,7.34,7.13,21505,42563228.0,2.91,1.25,0.09,11.69
