日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-02,28.53,34.56,34.56,28.53,202,1092645.0,25.66,47.06,11.06,0.06
2017-03-03,38.18,38.18,38.18,38.18,38,226936.0,0.0,10.47,3.62,0.01
2017-03-06,42.16,42.16,42.16,42.16,77,508966.0,0.0,10.42,3.98,0.02
2017-03-07,46.54,46.54,46.54,46.54,73,527498.0,0.0,10.39,4.38,0.02
2017-03-08,51.36,51.36,51.36,51.36,196,1558719.0,0.0,10.36,4.82,0.06
2017-03-09,56.66,56.66,56.66,56.66,345,3016854.0,0.0,10.32,5.3,0.1
2017-03-10,62.49,62.49,62.49,62.49,582,5598541.0,0.0,10.29,5.83,0.17
2017-03-13,68.9,68.9,68.9,68.9,2677,28322554.0,0.0,10.26,6.41,0.76
2017-03-14,75.95,75.95,75.95,75.95,6322,73570082.0,0.0,10.23,7.05,1.81
2017-03-15,83.66,83.71,83.71,81.03,122294,1549904240.0,3.53,10.22,7.76,34.94
2017-03-16,87.7,92.25,92.25,86.37,148194,2065047120.0,7.02,10.2,8.54,42.34
2017-03-17,92.29,88.37,95.73,87.7,171910,2395976688.0,8.7,-4.21,-3.88,49.12
2017-03-20,86.36,87.05,88.21,83.71,85866,1128564048.0,5.09,-1.49,-1.32,24.53
2017-03-21,86.37,90.79,91.67,85.09,97158,1305254064.0,7.56,4.3,3.74,27.76
2017-03-22,89.08,90.83,93.35,88.37,95161,1324742512.0,5.49,0.04,0.04,27.19
2017-03-23,89.7,86.29,90.67,84.5,83724,1123988752.0,6.79,-5.0,-4.54,23.92
2017-03-24,86.29,87.59,89.27,85.21,57466,765880560.0,4.71,1.51,1.3,16.42
2017-03-27,87.05,85.97,87.55,85.09,45975,605221088.0,2.81,-1.85,-1.62,13.14
2017-03-28,85.24,81.61,87.03,81.59,60992,788187824.0,6.33,-5.07,-4.36,17.43
2017-03-29,80.38,74.17,81.37,74.17,76032,896716048.0,8.82,-9.12,-7.44,21.72
2017-03-30,72.4,72.89,75.02,70.37,53711,600242576.0,6.27,-1.73,-1.28,15.35
2017-03-31,72.37,68.47,73.68,67.76,48340,525372432.0,8.12,-6.06,-4.42,13.81
2017-04-05,67.57,71.57,73.03,66.39,46077,496936080.0,9.7,4.53,3.1,13.16
2017-04-06,71.25,74.39,76.83,70.87,50981,582531536.0,8.33,3.94,2.82,14.57
2017-04-07,75.03,75.61,77.8,75.03,51798,606557936.0,3.72,1.64,1.22,14.8
2017-04-10,75.62,73.13,76.94,71.1,36935,421610928.0,7.72,-3.28,-2.48,10.55
2017-04-11,73.03,74.58,75.87,70.37,33505,377143792.0,7.52,1.98,1.45,9.57
2017-04-12,74.26,70.65,74.67,70.37,26197,291724512.0,5.77,-5.27,-3.93,7.48
2017-04-13,70.03,69.31,71.68,68.57,23445,252838891.0,4.4,-1.9,-1.34,6.7
2017-04-14,69.37,66.23,69.69,66.15,27300,281465680.0,5.11,-4.44,-3.08,7.8
2017-04-17,62.95,60.29,62.95,60.03,34204,322374864.0,4.41,-8.97,-5.94,9.77
2017-04-18,60.37,60.83,62.28,59.51,21976,206973406.0,4.59,0.9,0.54,6.28
2017-04-19,60.93,63.43,63.54,59.71,28446,272029744.0,6.3,4.27,2.6,8.13
2017-04-20,63.37,62.27,63.97,61.5,20674,198651225.0,3.89,-1.83,-1.16,5.91
2017-04-21,62.28,59.62,62.53,59.45,23488,218842028.0,4.95,-4.26,-2.65,6.71
2017-04-24,59.41,58.3,59.41,56.23,18849,168741401.0,5.33,-2.21,-1.32,5.39
2017-04-25,58.45,59.45,60.23,58.45,16167,148395261.0,3.05,1.97,1.15,4.62
2017-04-26,59.07,59.87,60.68,59.07,17467,161890519.0,2.71,0.71,0.42,4.99
2017-04-27,58.96,61.21,61.89,57.05,30975,283159824.0,8.08,2.24,1.34,8.85
2017-04-28,60.78,61.03,61.98,60.57,18162,171580826.0,2.3,-0.29,-0.18,5.19
2017-05-02,60.63,59.86,61.62,59.78,12237,114389472.0,3.01,-1.92,-1.17,3.5
2017-05-03,59.77,60.63,61.03,58.42,14694,135775488.0,4.36,1.29,0.77,4.2
2017-05-04,60.69,60.54,61.49,59.17,14942,139996728.0,3.83,-0.15,-0.09,4.27
2017-05-05,60.11,60.81,61.66,59.91,16009,150268550.0,2.89,0.45,0.27,4.57
2017-05-08,60.43,59.97,61.34,59.7,16179,151031007.0,2.7,-1.38,-0.84,4.62
2017-05-09,59.54,61.96,62.03,59.43,20737,195137576.0,4.34,3.32,1.99,5.92
2017-05-10,61.97,61.17,63.83,61.17,21972,212018223.0,4.29,-1.28,-0.79,6.28
2017-05-11,60.03,59.87,61.03,58.04,25906,237901751.0,4.89,-2.13,-1.3,7.4
2017-05-12,59.38,57.87,60.17,57.47,21613,194260579.0,4.51,-3.34,-2.0,6.18
2017-05-15,57.7,56.91,58.67,56.78,12856,113691449.0,3.27,-1.66,-0.96,3.67
2017-05-16,57.03,58.14,58.16,55.04,23058,200427585.0,5.48,2.16,1.23,6.59
2017-05-17,58.54,58.44,60.01,58.14,20814,189510782.0,3.22,0.52,0.3,5.95
2017-05-18,57.62,56.3,58.23,56.29,18849,166198294.0,3.32,-3.66,-2.14,5.39
2017-05-19,56.51,56.91,57.95,56.37,14962,131940063.0,2.81,1.08,0.61,4.27
2017-05-22,57.7,55.84,58.01,55.83,17049,149773724.0,3.83,-1.88,-1.07,4.87
2017-05-23,55.5,53.0,56.27,52.92,16596,139610227.0,6.0,-5.09,-2.84,4.74
2017-05-24,53.03,53.95,54.29,51.79,13188,109536733.0,4.72,1.79,0.95,3.77
2017-05-25,53.45,54.26,54.65,53.27,11821,98572996.0,2.56,0.57,0.31,3.38
2017-05-26,54.27,54.3,54.8,53.57,11296,94811935.0,2.27,0.07,0.04,3.23
2017-05-31,55.23,54.28,56.75,54.25,19207,165387476.0,4.6,-0.04,-0.02,5.49
2017-06-01,53.7,50.08,54.37,49.83,20595,165640588.0,8.36,-7.74,-4.2,5.88
2017-06-02,49.7,51.1,51.31,49.7,16230,127394012.0,3.21,2.04,1.02,4.64
2017-06-05,51.77,51.51,52.37,51.29,12826,102814742.0,2.11,0.8,0.41,3.66
2017-06-06,51.53,50.77,51.53,50.34,11975,93534486.0,2.31,-1.44,-0.74,3.42
2017-06-07,50.77,54.21,54.7,50.77,21804,177285678.0,7.74,6.78,3.44,6.23
2017-06-08,53.7,53.73,55.47,53.55,18501,154631123.0,3.54,-0.89,-0.48,5.29
2017-06-09,54.01,53.52,54.02,52.87,11833,96914391.0,2.14,-0.39,-0.21,3.38
2017-06-12,53.3,52.23,53.35,52.17,10278,83152040.0,2.2,-2.41,-1.29,2.94
2017-06-13,51.92,57.37,57.57,51.92,35467,305356768.0,10.82,9.84,5.14,10.13
2017-06-14,57.5,58.04,60.3,57.25,37986,342105008.0,5.32,1.17,0.67,10.85
2017-06-15,58.37,58.84,60.14,57.37,25546,230934667.0,4.77,1.38,0.8,7.3
2017-06-16,58.86,59.34,60.57,58.84,28207,258054747.0,2.94,0.85,0.5,8.06
2017-06-19,59.09,58.82,59.86,58.03,18300,165122759.0,3.08,-0.88,-0.52,5.23
2017-06-20,60.03,61.67,63.15,60.03,36612,345206400.0,5.3,4.85,2.85,10.46
2017-06-21,61.57,61.23,62.37,60.25,20446,192349193.0,3.44,-0.71,-0.44,5.84
2017-06-22,61.37,60.7,62.54,60.49,21886,206704315.0,3.35,-0.87,-0.53,6.25
2017-06-23,59.91,59.43,60.63,57.29,24638,223479078.0,5.5,-2.09,-1.27,7.04
2017-06-26,58.9,59.81,60.01,58.42,13819,125810897.0,2.68,0.64,0.38,3.95
2017-06-27,59.97,59.37,60.68,58.9,11239,102808086.0,2.98,-0.74,-0.44,3.21
2017-06-28,59.04,57.42,59.04,56.89,16503,146609761.0,3.62,-3.28,-1.95,4.72
2017-06-29,57.51,58.05,58.57,57.51,11833,105504823.0,1.85,1.1,0.63,3.38
2017-06-30,57.53,59.23,59.23,57.51,12962,116365971.0,2.96,2.03,1.18,3.7
2017-07-03,59.07,61.0,61.03,58.93,16952,156392577.0,3.55,2.99,1.77,4.84
2017-07-04,61.29,61.16,63.03,61.07,22750,216333105.0,3.21,0.26,0.16,6.5
2017-07-05,61.02,61.97,62.37,60.71,15683,148419047.0,2.71,1.32,0.81,4.48
2017-07-06,61.76,60.72,64.1,60.61,33454,319608912.0,5.63,-2.02,-1.25,9.56
2017-07-07,60.61,64.63,65.16,60.61,35756,345931472.0,7.49,6.44,3.91,10.22
2017-07-10,64.37,62.31,66.03,61.7,35072,340036688.0,6.7,-3.59,-2.32,10.02
2017-07-11,61.83,60.67,62.67,60.55,21616,203343056.0,3.4,-2.63,-1.64,6.18
2017-07-12,60.59,61.87,61.93,60.57,15766,147796473.0,2.24,1.98,1.2,4.5
2017-07-13,62.13,59.25,62.23,58.89,19202,176425369.0,5.4,-4.23,-2.62,5.49
2017-07-14,58.81,59.23,60.24,58.81,10553,96400629.0,2.41,-0.03,-0.02,3.02
2017-07-17,53.37,53.18,54.51,53.18,30148,247625435.0,2.25,-10.21,-6.05,8.61
2017-07-18,51.53,50.41,51.91,48.77,25833,200889607.0,5.9,-5.21,-2.77,7.38
2017-07-19,50.43,50.05,50.7,49.24,16399,125971324.0,2.9,-0.71,-0.36,4.69
2017-07-20,50.6,51.61,52.35,50.07,20337,162009803.0,4.56,3.12,1.56,5.81
2017-07-21,51.97,51.73,52.83,51.37,11889,95387378.0,2.83,0.23,0.12,3.4
2017-07-24,51.72,50.7,51.72,49.93,13402,104245274.0,3.46,-1.99,-1.03,3.83
2017-07-25,50.93,52.47,52.62,50.37,11900,94635023.0,4.44,3.49,1.77,3.4
2017-07-26,52.61,52.43,53.72,52.1,9261,75380272.0,3.09,-0.08,-0.04,2.65
2017-07-27,52.57,53.2,53.77,51.15,10167,82428650.0,5.0,1.47,0.77,2.9
2017-07-28,53.03,54.23,55.27,52.85,14340,119877690.0,4.55,1.94,1.03,4.1
2017-07-31,54.09,55.02,55.33,54.09,9637,81374867.0,2.29,1.46,0.79,2.75
2017-08-01,55.37,54.93,55.37,54.17,5631,47383738.0,2.18,-0.16,-0.09,1.61
2017-08-02,55.32,52.9,55.32,52.37,10333,85423053.0,5.37,-3.7,-2.03,2.95
