日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-06-11,4.84,5.29,5.29,4.84,132,142638.0,12.36,45.33,1.65,0.03
2015-06-12,5.83,5.83,5.83,5.83,25,29800.0,0.0,10.21,0.54,0.01
2015-06-15,6.43,6.43,6.43,6.43,58,76038.0,0.0,10.29,0.6,0.01
2015-06-16,7.08,7.08,7.08,7.08,34,49028.0,0.0,10.11,0.65,0.01
2015-06-17,7.8,7.8,7.8,7.8,146,231556.0,0.0,10.17,0.72,0.03
2015-06-18,8.6,8.6,8.6,8.6,61,106445.0,0.0,10.26,0.8,0.01
2015-06-19,9.47,9.47,9.47,9.47,608,1166400.0,0.0,10.12,0.87,0.13
2015-06-23,10.43,10.43,10.43,10.43,232,489984.0,0.0,10.14,0.96,0.05
2015-06-24,11.49,11.49,11.49,11.49,111,257853.0,0.0,10.16,1.06,0.02
2015-06-25,12.65,12.65,12.65,12.65,137,350035.0,0.0,10.1,1.16,0.03
2015-06-26,13.93,13.93,13.93,13.93,6019,16918003.0,0.0,10.12,1.28,1.31
2015-06-29,15.33,15.33,15.33,13.04,256240,752867728.0,16.44,10.05,1.4,55.95
2015-06-30,14.02,16.88,16.88,14.02,222827,700458496.0,18.66,10.11,1.55,48.65
2015-07-01,16.87,17.87,18.58,16.37,199947,721266320.0,13.09,5.86,0.99,43.66
2015-07-02,16.07,16.07,17.42,16.07,151837,500360928.0,7.55,-10.07,-1.8,33.15
2015-07-03,14.45,14.45,15.66,14.45,106144,312882448.0,7.53,-10.08,-1.62,23.18
2015-07-06,15.91,12.99,15.91,12.99,128902,379672240.0,20.21,-10.1,-1.46,28.14
2015-07-07,11.68,11.68,11.88,11.68,28688,67788541.0,1.54,-10.08,-1.31,6.26
2015-07-08,10.5,10.5,10.5,10.5,1397,2970022.0,0.0,-10.1,-1.18,0.31
2015-07-09,9.44,11.57,11.57,9.44,160991,338155808.0,20.29,10.19,1.07,35.15
2015-07-10,12.56,12.74,12.74,11.63,67508,171758146.0,9.59,10.11,1.17,14.74
2015-07-13,13.78,14.02,14.02,13.38,98104,273320880.0,5.02,10.05,1.28,21.42
2015-07-14,14.38,15.44,15.44,14.05,160258,486334864.0,9.91,10.13,1.42,34.99
2015-07-15,14.55,13.88,14.77,13.88,56973,162734251.0,5.76,-10.1,-1.56,12.44
2015-07-16,12.49,12.89,14.32,12.48,114183,304054160.0,13.26,-7.13,-0.99,24.93
2015-07-17,13.03,13.52,13.99,12.89,92461,249444506.0,8.53,4.89,0.63,20.19
2015-07-20,13.32,13.33,13.86,13.03,90880,246378664.0,6.14,-1.41,-0.19,19.84
2015-07-21,13.17,14.34,14.62,12.89,99774,280818288.0,12.98,7.58,1.01,21.78
2015-07-22,14.14,14.96,15.27,13.97,114752,339825168.0,9.07,4.32,0.62,25.05
2015-07-23,14.7,16.47,16.47,14.68,88595,278873680.0,11.97,10.09,1.51,19.34
2015-07-24,17.29,16.16,18.07,15.82,159818,550234976.0,13.66,-1.88,-0.31,34.89
2015-07-27,15.31,14.53,17.17,14.53,116844,377535840.0,16.34,-10.09,-1.63,25.51
2015-07-28,13.37,14.71,15.56,13.14,92599,265860927.0,16.66,1.24,0.18,20.22
2015-07-29,15.11,16.2,16.2,13.63,101104,306478960.0,17.47,10.13,1.49,22.08
2015-07-30,16.17,17.83,17.83,15.9,142330,488984096.0,11.91,10.06,1.63,31.08
2015-07-31,17.47,19.63,19.63,16.93,223783,854551312.0,15.14,10.1,1.8,48.86
2015-08-03,18.87,19.4,19.87,18.11,198594,760512704.0,8.97,-1.17,-0.23,43.36
2015-08-04,19.07,17.46,20.52,17.45,186833,688174656.0,15.82,-10.0,-1.94,40.79
2015-08-05,16.82,19.04,19.22,16.48,180090,659165968.0,15.69,9.05,1.58,39.32
2015-08-06,18.12,17.52,18.6,17.12,135366,482786880.0,7.77,-7.98,-1.52,29.56
2015-08-07,17.17,17.69,18.35,17.17,99718,359106000.0,6.74,0.97,0.17,21.77
2015-08-10,17.86,18.37,18.66,17.47,97854,356834816.0,6.73,3.84,0.68,21.37
2015-08-11,18.21,19.4,20.1,18.13,121464,470019216.0,10.72,5.61,1.03,26.52
2015-08-12,19.37,18.04,19.57,18.03,102564,386576096.0,7.94,-7.01,-1.36,22.39
2015-08-13,17.82,18.1,18.53,17.44,60789,219722857.0,6.04,0.33,0.06,13.27
2015-08-14,18.15,17.88,18.49,17.67,56731,205926957.0,4.53,-1.22,-0.22,12.39
2015-08-17,17.92,16.67,17.92,16.54,68479,234461247.0,7.72,-6.77,-1.21,14.95
2015-08-18,16.67,15.11,17.47,14.99,63875,212474048.0,14.88,-9.36,-1.56,13.95
2015-08-19,14.7,15.39,15.6,13.67,64807,193430680.0,12.77,1.85,0.28,14.15
2015-08-20,15.27,14.27,15.27,14.27,40425,121007783.0,6.5,-7.28,-1.12,8.83
2015-08-21,13.96,12.93,14.12,12.86,46733,126975716.0,8.83,-9.39,-1.34,10.2
2015-08-24,12.35,11.63,12.35,11.63,29584,70702997.0,5.57,-10.05,-1.3,6.46
2015-08-25,10.46,10.57,12.36,10.45,85619,190962786.0,16.42,-9.11,-1.06,18.69
2015-08-26,10.97,11.64,11.64,10.57,97166,223099882.0,10.12,10.12,1.07,21.22
2015-08-27,12.17,12.41,12.7,11.02,111274,267411156.0,14.43,6.62,0.77,24.3
2015-08-28,12.27,13.05,13.26,11.82,95953,241633750.0,11.6,5.16,0.64,20.95
2015-08-31,12.55,11.73,12.77,11.73,55355,138186686.0,7.97,-10.11,-1.32,12.09
2015-09-01,11.77,10.55,11.77,10.55,55685,122387992.0,10.4,-10.06,-1.18,12.16
2015-09-02,9.62,9.87,11.05,9.59,48161,101357463.0,13.84,-6.45,-0.68,10.52
2015-09-07,10.21,10.34,10.78,10.13,38995,82524947.0,6.59,4.76,0.47,8.51
2015-09-08,10.31,11.38,11.38,10.17,59045,132795006.0,11.7,10.06,1.04,12.89
2015-09-09,12.32,12.53,12.53,12.03,113771,285571696.0,4.39,10.11,1.15,24.84
2015-09-10,11.88,11.87,12.47,11.78,85760,209259955.0,5.51,-5.27,-0.66,18.72
2015-09-11,11.79,12.36,12.61,11.79,68822,170934447.0,6.91,4.13,0.49,15.03
2015-09-14,12.12,11.11,12.56,11.11,68313,162359169.0,11.73,-10.11,-1.25,14.92
2015-09-15,10.77,10.54,11.27,10.23,45828,99134857.0,9.36,-5.13,-0.57,10.01
2015-09-16,10.87,11.6,11.6,10.78,86192,199679595.0,7.78,10.06,1.06,18.82
2015-09-17,12.03,11.48,12.22,11.06,93729,224669858.0,10.0,-1.03,-0.12,20.46
2015-09-18,11.58,11.69,11.8,11.16,48934,114139716.0,5.57,1.83,0.21,10.68
2015-09-21,11.57,12.51,12.52,11.37,67921,167364025.0,9.84,7.01,0.82,14.83
2015-09-22,12.5,12.53,12.77,12.17,79658,201101034.0,4.8,0.16,0.02,17.39
2015-09-23,12.27,12.61,13.04,12.18,66363,169971192.0,6.86,0.64,0.08,14.49
2015-09-24,12.61,12.61,13.07,12.41,56621,145565509.0,5.23,0.0,0.0,12.36
2015-09-25,12.8,11.88,12.87,11.77,56234,139394194.0,8.72,-5.79,-0.73,12.28
2015-09-28,11.88,12.39,12.45,11.88,37376,92703373.0,4.8,4.29,0.51,8.16
2015-09-29,12.12,11.95,12.2,11.72,37784,91435859.0,3.87,-3.55,-0.44,8.25
2015-09-30,12.02,12.21,12.41,11.82,38496,94557806.0,4.94,2.18,0.26,8.41
2015-10-08,12.68,12.73,13.0,12.37,52771,135367510.0,5.16,4.26,0.52,11.52
2015-10-09,12.67,12.92,13.12,12.57,53429,138881253.0,4.32,1.49,0.19,11.67
2015-10-12,13.11,13.61,13.86,12.98,72539,196261307.0,6.81,5.34,0.69,15.84
2015-10-13,13.39,13.47,13.55,13.29,51465,139346798.0,1.91,-1.03,-0.14,11.24
2015-10-14,13.35,13.76,14.08,13.28,73891,205233119.0,5.94,2.15,0.29,16.13
2015-10-15,13.57,14.37,14.47,13.55,64880,184600423.0,6.69,4.43,0.61,14.17
2015-10-16,14.37,14.21,14.62,13.9,54078,155042235.0,5.01,-1.11,-0.16,11.81
2015-10-19,14.13,13.91,14.47,13.68,54092,153754895.0,5.56,-2.11,-0.3,11.81
2015-10-20,13.91,14.32,14.42,13.76,54784,155838072.0,4.74,2.95,0.41,11.96
2015-10-21,14.39,12.88,14.46,12.88,72722,199741255.0,11.03,-10.06,-1.44,15.88
2015-10-22,12.9,13.26,13.37,12.62,45370,119807318.0,5.82,2.95,0.38,9.91
2015-10-23,13.5,13.52,13.57,13.22,40529,109801180.0,2.64,1.96,0.26,8.85
2015-10-26,13.57,14.02,14.22,13.57,55861,156440633.0,4.81,3.7,0.5,12.2
2015-10-27,13.82,14.34,14.36,13.12,53057,147941137.0,8.84,2.28,0.32,11.58
2015-10-28,14.08,13.84,14.51,13.75,49878,142691093.0,5.3,-3.49,-0.5,10.89
2015-10-29,14.02,14.3,14.62,13.93,57472,165897125.0,4.99,3.32,0.46,12.55
2015-10-30,14.27,14.13,14.37,13.67,45469,129182136.0,4.9,-1.19,-0.17,9.93
2015-11-02,13.68,14.63,15.55,13.68,80290,239971752.0,13.23,3.54,0.5,17.53
2015-11-03,14.68,15.58,15.88,14.61,90641,278676656.0,8.68,6.49,0.95,19.79
2015-11-04,15.57,16.12,16.22,15.38,71261,227888663.0,5.39,3.47,0.54,15.56
2015-11-05,16.17,16.92,17.75,16.13,99657,345924112.0,10.05,4.96,0.8,21.76
2015-11-06,16.44,17.39,17.46,16.37,83647,287778768.0,6.44,2.78,0.47,18.26
2015-11-09,17.16,18.54,18.87,17.02,72230,262677109.0,10.64,6.61,1.15,15.77
2015-11-10,18.12,18.43,18.87,17.9,71480,263776204.0,5.23,-0.59,-0.11,15.61
2015-11-11,18.37,20.12,20.29,18.25,90276,356324224.0,11.07,9.17,1.69,19.71
2015-11-12,20.41,20.81,21.37,19.53,94355,387253568.0,9.15,3.43,0.69,20.6
2015-11-13,19.9,18.72,20.25,18.72,117218,451033568.0,7.35,-10.04,-2.09,25.59
2015-11-16,17.67,18.54,18.9,17.43,55979,207076270.0,7.85,-0.96,-0.18,12.22
2015-11-17,18.77,18.07,19.16,17.98,59747,224080171.0,6.36,-2.54,-0.47,13.05
2015-11-18,18.08,17.17,18.35,17.12,43054,152895843.0,6.81,-4.98,-0.9,9.4
2015-11-19,17.32,18.9,18.9,17.32,112567,419946064.0,9.2,10.08,1.73,24.58
2015-11-20,18.92,18.9,19.12,18.4,94300,357677984.0,3.81,0.0,0.0,20.59
2015-11-23,18.68,19.29,20.12,18.56,93415,365648080.0,8.25,2.06,0.39,20.4
2015-11-24,19.31,21.23,21.23,19.09,91327,377932800.0,11.09,10.06,1.94,19.94
2015-11-25,22.04,21.69,23.37,21.37,140437,631620960.0,9.42,2.17,0.46,30.66
2015-11-26,21.22,21.06,22.62,21.02,100343,437111616.0,7.38,-2.9,-0.63,21.91
2015-11-27,20.71,19.87,21.51,19.67,78997,327406176.0,8.74,-5.65,-1.19,17.25
2015-11-30,19.88,21.46,21.8,19.66,79369,329402128.0,10.77,8.0,1.59,17.33
2015-12-01,21.22,20.22,22.11,19.84,85997,364299616.0,10.58,-5.78,-1.24,18.78
2015-12-02,19.6,19.43,20.12,18.62,56992,222813577.0,7.42,-3.91,-0.79,12.44
2015-12-03,19.64,20.35,20.53,19.52,48505,195525442.0,5.2,4.73,0.92,10.59
2015-12-04,20.32,19.98,20.77,19.67,63383,257909888.0,5.41,-1.82,-0.37,13.84
2015-12-07,20.02,20.09,20.27,19.72,34998,140961037.0,2.75,0.55,0.11,7.64
2015-12-08,19.97,20.17,20.77,19.67,53676,219699770.0,5.48,0.4,0.08,11.72
2015-12-09,19.87,19.25,20.12,19.12,45876,180146176.0,4.96,-4.56,-0.92,10.02
2015-12-10,19.31,18.9,19.47,18.77,38376,146917159.0,3.64,-1.82,-0.35,8.38
2015-12-11,18.94,18.97,19.16,18.77,22828,87097755.0,2.06,0.37,0.07,4.98
2015-12-14,18.96,20.37,20.48,18.79,42622,168242611.0,8.91,7.38,1.4,9.31
2015-12-15,20.14,20.31,20.6,20.05,37356,152773984.0,2.7,-0.29,-0.06,8.16
2015-12-16,20.6,22.36,22.36,20.6,44009,194982167.0,8.67,10.09,2.05,9.61
2015-12-17,23.38,24.12,24.37,22.87,155957,741035760.0,6.71,7.87,1.76,34.05
2015-12-18,23.87,25.38,26.55,23.81,126657,647577584.0,11.36,5.22,1.26,27.65
2015-12-21,25.0,25.4,26.25,24.02,86263,434189328.0,8.79,0.08,0.02,18.83
2015-12-22,25.12,24.67,25.52,24.12,62343,309836224.0,5.51,-2.87,-0.73,13.61
2015-12-23,24.69,23.95,25.91,23.72,62796,311482592.0,8.88,-2.92,-0.72,13.71
2015-12-24,23.9,24.67,24.67,23.5,40638,197734107.0,4.89,3.01,0.72,8.87
2015-12-25,24.39,23.82,24.85,23.67,45465,220451293.0,4.78,-3.45,-0.85,9.93
2015-12-28,23.95,24.51,25.98,23.94,102736,519896096.0,8.56,2.9,0.69,22.43
2015-12-29,24.92,24.47,25.31,23.62,63892,313270784.0,6.9,-0.16,-0.04,13.95
2015-12-30,24.06,25.66,26.37,23.77,87532,446709072.0,10.63,4.86,1.19,19.11
2015-12-31,26.37,24.65,27.37,24.62,86391,453034400.0,10.72,-3.94,-1.01,18.86
2016-01-04,23.87,22.17,24.31,22.17,66290,302496976.0,8.68,-10.06,-2.48,14.47
2016-01-05,19.94,20.56,21.86,19.94,69394,286533904.0,8.66,-7.26,-1.61,15.15
2016-01-06,20.81,21.22,21.36,19.94,57056,239147458.0,6.91,3.21,0.66,12.46
2016-01-07,20.72,19.09,20.72,19.09,13852,54708652.0,7.68,-10.04,-2.13,3.02
2016-01-08,19.73,19.02,19.75,17.37,50457,193889901.0,12.47,-0.37,-0.07,11.02
2016-01-11,18.45,17.11,19.37,17.11,53778,197383818.0,11.88,-10.04,-1.91,11.74
2016-01-12,17.15,17.39,17.86,16.62,50768,176568982.0,7.25,1.64,0.28,11.08
2016-01-13,17.63,16.2,17.87,15.88,39154,135936799.0,11.44,-6.84,-1.19,8.55
2016-01-14,15.4,16.98,17.2,15.06,41450,136174364.0,13.21,4.81,0.78,9.05
2016-01-15,16.73,16.4,17.65,16.37,43364,149136103.0,7.54,-3.42,-0.58,9.47
2016-01-18,15.66,17.61,17.71,15.65,43802,149950054.0,12.56,7.38,1.21,9.56
2016-01-19,17.39,18.31,18.52,17.28,50002,179743102.0,7.04,3.98,0.7,10.92
2016-01-20,17.97,18.35,18.81,17.92,47500,175824519.0,4.86,0.22,0.04,10.37
2016-01-21,17.96,17.87,19.27,17.77,50855,189865950.0,8.17,-2.62,-0.48,11.1
2016-01-22,18.08,18.42,18.57,17.73,36918,135290068.0,4.7,3.08,0.55,8.06
2016-01-25,18.62,17.97,18.99,17.75,42194,155843574.0,6.73,-2.44,-0.45,9.21
2016-01-26,17.62,16.16,17.75,16.16,32842,111788416.0,8.85,-10.07,-1.81,7.17
2016-01-27,16.37,15.67,16.37,14.53,30770,95344441.0,11.39,-3.03,-0.49,6.72
2016-01-28,15.57,14.09,15.57,14.09,28025,83708593.0,9.44,-10.08,-1.58,6.12
2016-01-29,13.89,15.32,15.51,13.89,43752,130745628.0,11.5,8.73,1.23,9.55
2016-02-01,15.27,14.45,15.27,14.12,31282,92944796.0,7.51,-5.68,-0.87,6.83
2016-02-02,14.46,15.16,15.52,14.46,29219,89430085.0,7.34,4.91,0.71,6.38
2016-02-03,14.87,15.25,15.35,14.66,22138,66755315.0,4.55,0.59,0.09,4.83
2016-02-04,15.26,15.7,16.05,15.26,27084,85971220.0,5.18,2.95,0.45,5.91
2016-02-05,15.7,15.22,15.93,15.22,22525,70741307.0,4.52,-3.06,-0.48,4.92
2016-02-15,14.5,14.87,15.13,13.69,23124,68556045.0,9.46,-2.3,-0.35,5.05
2016-02-16,14.97,15.67,15.86,14.97,26608,83398382.0,5.99,5.38,0.8,5.81
2016-02-17,15.66,16.22,16.52,15.66,40752,132584891.0,5.49,3.51,0.55,8.9
2016-02-18,16.62,16.57,17.37,16.47,60553,204634855.0,5.55,2.16,0.35,13.22
2016-02-19,16.31,16.34,16.61,16.12,36824,121068065.0,2.96,-1.39,-0.23,8.04
2016-02-22,16.38,16.96,17.36,16.27,63036,213648816.0,6.67,3.79,0.62,13.76
2016-02-23,16.91,16.87,17.26,16.51,41453,141141760.0,4.42,-0.53,-0.09,9.05
2016-02-24,16.83,16.59,17.22,15.87,41652,138985157.0,8.0,-1.66,-0.28,9.09
2016-02-25,16.46,14.92,16.6,14.92,45163,141274646.0,10.13,-10.07,-1.67,9.86
2016-02-26,14.92,14.4,15.16,14.22,32777,96673205.0,6.3,-3.49,-0.52,7.16
2016-02-29,14.27,12.95,14.27,12.95,35513,94748743.0,9.17,-10.07,-1.45,7.75
2016-03-01,13.0,13.35,13.47,12.67,33251,88227950.0,6.18,3.09,0.4,7.26
2016-03-02,13.47,13.98,14.06,13.23,30993,85711601.0,6.22,4.72,0.63,6.77
2016-03-03,14.0,13.84,14.51,13.84,35339,100908186.0,4.79,-1.0,-0.14,7.72
2016-03-04,13.77,12.84,13.87,12.54,28318,75462079.0,9.61,-7.23,-1.0,6.18
2016-03-07,13.06,13.38,13.57,13.06,21830,58953659.0,3.97,4.21,0.54,4.77
2016-03-08,13.37,13.78,13.81,12.62,26192,70043106.0,8.89,2.99,0.4,5.72
2016-03-09,13.38,13.51,13.77,13.22,20874,57094957.0,3.99,-1.96,-0.27,4.56
2016-03-10,13.67,13.26,13.87,13.23,19416,53022849.0,4.74,-1.85,-0.25,4.24
2016-03-11,12.98,13.63,13.8,12.88,28063,76325054.0,6.94,2.79,0.37,6.13
2016-03-14,13.96,14.35,14.56,13.82,44150,127428049.0,5.43,5.28,0.72,9.64
