日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,4.8,4.9,5.09,4.71,136975,208350096.0,7.9,1.87,0.09,6.65
2010-01-05,4.88,4.88,5.01,4.83,102828,157250016.0,3.67,-0.41,-0.02,4.99
2010-01-06,4.85,5.01,5.16,4.84,115452,179550960.0,6.56,2.66,0.13,5.6
2010-01-07,4.98,4.74,5.06,4.7,114473,173610448.0,7.19,-5.39,-0.27,5.55
2010-01-08,4.73,5.28,5.28,4.7,153281,237199024.0,12.24,11.39,0.54,7.44
2010-01-11,5.37,5.45,5.74,5.29,203184,344969536.0,8.52,3.22,0.17,9.86
2010-01-12,5.44,5.52,5.71,5.39,126584,215499264.0,5.87,1.28,0.07,6.14
2010-01-13,5.43,5.59,5.71,5.39,119086,203789232.0,5.8,1.27,0.07,5.78
2010-01-14,5.64,5.59,5.86,5.53,138002,239369280.0,5.9,0.0,0.0,6.7
2010-01-15,5.57,5.47,5.57,5.36,104191,175116720.0,3.76,-2.15,-0.12,5.06
2010-01-18,5.49,5.67,5.7,5.46,92285,158321856.0,4.39,3.66,0.2,4.48
2010-01-19,5.65,5.52,5.67,5.48,62668,106690712.0,3.35,-2.65,-0.15,3.04
2010-01-20,5.57,5.06,5.57,4.99,105886,172072416.0,10.51,-8.33,-0.46,5.14
2010-01-21,5.03,5.01,5.15,4.92,74493,116715824.0,4.55,-0.99,-0.05,3.61
2010-01-22,4.9,4.95,5.05,4.75,70006,106993616.0,5.99,-1.2,-0.06,3.4
2010-01-25,4.92,4.92,5.11,4.92,53901,84060848.0,3.84,-0.61,-0.03,2.62
2010-01-26,4.92,4.73,4.96,4.62,57739,86298432.0,6.91,-3.86,-0.19,2.8
2010-01-27,4.73,4.76,4.91,4.72,51768,77915992.0,4.02,0.63,0.03,2.51
2010-01-28,4.77,4.92,4.97,4.73,55122,83948128.0,5.04,3.36,0.16,2.67
2010-01-29,4.86,4.88,5.02,4.84,61197,94264512.0,3.66,-0.81,-0.04,2.97
2010-02-01,4.83,5.04,5.12,4.83,101822,157880272.0,5.94,3.28,0.16,4.94
2010-02-02,5.05,5.09,5.21,4.99,79314,124912552.0,4.37,0.99,0.05,3.85
2010-02-03,5.1,5.01,5.13,4.73,70821,108764872.0,7.86,-1.57,-0.08,3.44
2010-02-04,5.0,5.05,5.17,4.9,83893,131933336.0,5.39,0.8,0.04,4.07
2010-02-05,4.85,4.9,4.95,4.73,73185,110773144.0,4.36,-2.97,-0.15,3.55
2010-02-09,4.82,4.82,4.93,4.77,47890,72347496.0,3.27,-1.63,-0.08,2.32
2010-02-10,4.88,4.84,4.88,4.8,25148,37929272.0,1.66,0.41,0.02,1.22
2010-02-11,4.84,4.82,4.9,4.79,23074,34821964.0,2.27,-0.41,-0.02,1.12
2010-02-12,4.81,4.88,4.99,4.81,34291,52310720.0,3.73,1.24,0.06,1.66
2010-02-22,4.88,4.97,5.05,4.86,52074,80500048.0,3.89,1.84,0.09,2.53
2010-02-23,4.98,5.12,5.13,4.92,61914,96683304.0,4.23,3.02,0.15,3.0
2010-02-24,5.07,5.18,5.2,5.04,60596,96330992.0,3.13,1.17,0.06,2.94
2010-02-25,5.18,5.18,5.22,5.12,53239,85230400.0,1.93,0.0,0.0,2.58
2010-02-26,5.18,5.16,5.24,5.14,52637,84623120.0,1.93,-0.39,-0.02,2.55
2010-03-01,5.13,5.21,5.29,5.12,53785,86864624.0,3.29,0.97,0.05,2.61
2010-03-02,5.21,5.22,5.33,5.19,59062,95972680.0,2.69,0.19,0.01,2.87
2010-03-03,5.24,5.35,5.35,5.17,60038,97754608.0,3.45,2.49,0.13,2.91
2010-03-04,5.35,5.04,5.39,5.01,67689,108762688.0,7.1,-5.79,-0.31,3.28
2010-03-05,5.05,4.97,5.11,4.91,43920,68395280.0,3.97,-1.39,-0.07,2.13
2010-03-08,4.97,5.04,5.1,4.95,27841,43400972.0,3.02,1.41,0.07,1.35
2010-03-09,5.01,4.99,5.05,4.92,27777,43027876.0,2.58,-0.99,-0.05,1.35
2010-03-10,4.99,4.86,5.08,4.84,49385,75819168.0,4.81,-2.61,-0.13,2.4
2010-03-11,4.88,4.83,4.9,4.73,34647,52040360.0,3.5,-0.62,-0.03,1.68
2010-03-12,4.84,4.77,4.9,4.76,28844,43460756.0,2.9,-1.24,-0.06,1.4
2010-03-15,4.79,4.68,4.79,4.64,24156,35467116.0,3.14,-1.89,-0.09,1.17
2010-03-16,4.68,4.75,4.76,4.67,22089,32623504.0,1.92,1.5,0.07,1.07
2010-03-17,4.79,4.92,4.93,4.75,40919,61964604.0,3.79,3.58,0.17,1.99
2010-03-18,4.95,5.02,5.17,4.92,70576,110676920.0,5.08,2.03,0.1,3.42
2010-03-19,5.04,5.05,5.08,4.97,36929,57689872.0,2.19,0.6,0.03,1.79
2010-03-22,5.02,5.13,5.16,4.99,50747,80273560.0,3.37,1.58,0.08,2.46
2010-03-23,5.13,5.02,5.13,4.98,39120,61080056.0,2.92,-2.14,-0.11,1.9
2010-03-24,5.03,4.99,5.07,4.98,27531,42891008.0,1.79,-0.6,-0.03,1.34
2010-03-25,4.97,4.88,4.97,4.82,41000,62504304.0,3.01,-2.2,-0.11,1.99
2010-03-26,4.86,5.01,5.08,4.85,35099,54308092.0,4.71,2.66,0.13,1.7
2010-03-29,4.95,5.09,5.12,4.95,44633,69981744.0,3.39,1.6,0.08,2.17
2010-03-30,5.07,5.1,5.2,5.06,44544,70744488.0,2.75,0.2,0.01,2.16
2010-03-31,5.13,5.17,5.21,5.09,56871,90864680.0,2.35,1.37,0.07,2.76
2010-04-01,5.17,5.28,5.35,5.13,82767,134901712.0,4.26,2.13,0.11,4.02
2010-04-02,5.31,5.25,5.33,5.23,60489,98292272.0,1.89,-0.57,-0.03,2.94
2010-04-06,5.25,5.21,5.31,5.16,54785,88566032.0,2.86,-0.76,-0.04,2.66
2010-04-07,5.26,5.26,5.39,5.21,53433,87104952.0,3.45,0.96,0.05,2.59
