日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-04-07,2.87,2.88,2.92,2.83,49113,144632861.0,2.98,-4.64,-0.14,26.55
2011-04-08,2.89,2.97,3.02,2.87,23109,70280415.0,5.21,3.13,0.09,12.49
2011-04-11,2.97,2.91,3.01,2.88,17553,52837635.0,4.38,-2.02,-0.06,9.49
2011-04-12,2.91,2.9,2.93,2.88,7371,21902034.0,1.72,-0.34,-0.01,3.98
2011-04-13,2.89,2.93,2.94,2.87,4774,14300907.0,2.41,1.03,0.03,2.58
2011-04-14,2.92,2.89,2.93,2.89,5220,15553868.0,1.37,-1.37,-0.04,2.82
2011-04-15,2.88,2.91,2.91,2.88,3973,11831483.0,1.04,0.69,0.02,2.15
2011-04-18,2.89,2.91,2.94,2.89,2695,8043651.0,1.72,0.0,0.0,1.46
2011-04-19,2.9,2.84,2.9,2.82,5653,16511032.0,2.75,-2.41,-0.07,3.06
2011-04-20,2.82,2.84,2.85,2.82,2009,5860984.0,1.06,0.0,0.0,1.09
2011-04-21,2.83,2.85,2.87,2.83,1591,4659042.0,1.41,0.35,0.01,0.86
2011-04-22,2.85,2.85,2.85,2.84,1734,5071190.0,0.35,0.0,0.0,0.94
2011-04-25,2.85,2.85,2.86,2.83,1787,5232450.0,1.05,0.0,0.0,0.97
2011-04-26,2.85,2.87,2.9,2.85,3298,9746053.0,1.75,0.7,0.02,1.78
2011-04-27,2.88,2.9,2.92,2.86,6500,19361720.0,2.09,1.05,0.03,3.51
2011-04-28,2.9,2.84,2.98,2.82,9787,29422245.0,5.52,-2.07,-0.06,5.29
2011-04-29,2.83,2.88,2.89,2.83,2697,7919353.0,2.11,1.41,0.04,1.46
2011-05-03,2.89,2.92,2.92,2.85,3421,10188893.0,2.43,1.39,0.04,1.85
2011-05-04,2.91,2.87,2.94,2.85,4321,12827086.0,3.08,-1.71,-0.05,2.34
2011-05-05,2.86,2.91,2.92,2.82,2015,5965242.0,3.48,1.39,0.04,1.09
2011-05-06,2.91,2.93,2.95,2.87,3725,11193010.0,2.75,0.69,0.02,2.01
2011-05-09,2.93,2.91,2.94,2.88,2740,8171902.0,2.05,-0.68,-0.02,1.48
2011-05-10,2.91,2.86,2.91,2.84,5378,15785317.0,2.41,-1.72,-0.05,2.91
2011-05-11,2.86,2.73,2.87,2.72,6966,20086426.0,5.24,-4.55,-0.13,3.77
2011-05-12,2.73,2.72,2.73,2.69,2260,6311428.0,1.47,-0.37,-0.01,1.22
2011-05-13,2.7,2.74,2.74,2.67,1561,4343542.0,2.57,0.74,0.02,0.84
2011-05-16,2.74,2.71,2.74,2.71,1104,3090292.0,1.09,-1.09,-0.03,0.6
2011-05-17,2.74,2.71,2.8,2.7,1762,4914136.0,3.69,0.0,0.0,0.95
2011-05-18,2.71,2.7,2.72,2.7,822,2292342.0,0.74,-0.37,-0.01,0.44
2011-05-19,2.7,2.68,2.71,2.66,1675,4627445.0,1.85,-0.74,-0.02,0.91
2011-05-20,2.68,2.62,2.68,2.62,2151,5828808.0,2.24,-2.24,-0.06,1.16
2011-05-24,2.59,2.62,2.66,2.42,3051,7996578.0,9.16,0.0,0.0,1.65
2011-05-25,2.62,2.52,2.63,2.51,908,2397695.0,4.58,-3.82,-0.1,0.49
2011-05-26,2.57,2.5,2.58,2.5,709,1857618.0,3.17,-0.79,-0.02,0.38
2011-05-27,2.5,2.49,2.55,2.49,1145,2963818.0,2.4,-0.4,-0.01,0.62
2011-05-30,2.52,2.5,2.54,2.47,785,2045747.0,2.81,0.4,0.01,0.42
2011-05-31,2.45,2.54,2.57,2.45,753,1970501.0,4.8,1.6,0.04,0.41
2011-06-01,2.56,2.53,2.56,2.47,636,1658327.0,3.54,-0.39,-0.01,0.34
2011-06-02,2.52,2.51,2.58,2.48,797,2055697.0,3.95,-0.79,-0.02,0.43
2011-06-03,2.51,2.57,2.58,2.48,4441,11747781.0,3.98,2.39,0.06,2.4
2011-06-07,2.57,2.58,2.58,2.55,1065,2819619.0,1.17,0.39,0.01,0.58
2011-06-08,2.59,2.58,2.6,2.55,506,1340966.0,1.94,0.0,0.0,0.27
2011-06-09,2.55,2.53,2.57,2.53,323,849205.0,1.55,-1.94,-0.05,0.17
2011-06-10,2.5,2.5,2.53,2.47,776,1994522.0,2.37,-1.19,-0.03,0.42
2011-06-13,2.5,2.5,2.51,2.44,467,1200253.0,2.8,0.0,0.0,0.25
2011-06-14,2.47,2.52,2.53,2.47,649,1684026.0,2.4,0.8,0.02,0.35
2011-06-15,2.51,2.53,2.56,2.51,830,2169578.0,1.98,0.4,0.01,0.45
2011-06-16,2.52,2.48,2.52,2.48,415,1065571.0,1.58,-1.98,-0.05,0.22
2011-06-17,2.47,2.49,2.51,2.47,565,1453119.0,1.61,0.4,0.01,0.31
2011-06-20,2.47,2.47,2.5,2.46,363,926027.0,1.61,-0.8,-0.02,0.2
2011-06-21,2.5,2.5,2.5,2.45,727,1862102.0,2.02,1.21,0.03,0.39
2011-06-22,2.51,2.49,2.51,2.47,668,1721771.0,1.6,-0.4,-0.01,0.36
2011-06-23,2.51,2.53,2.55,2.48,1548,4033354.0,2.81,1.61,0.04,0.84
2011-06-24,2.53,2.57,2.59,2.52,1930,5102131.0,2.77,1.58,0.04,1.04
2011-06-27,2.57,2.57,2.59,2.56,2614,6936922.0,1.17,0.0,0.0,1.41
2011-06-28,2.59,2.63,2.65,2.55,2730,7293221.0,3.89,2.33,0.06,1.48
2011-06-29,2.63,2.66,2.78,2.63,7856,21818588.0,5.7,1.14,0.03,4.25
2011-06-30,2.68,2.68,2.72,2.66,4763,13164702.0,2.26,0.75,0.02,2.57
2011-07-01,2.68,2.69,2.73,2.67,2067,5731640.0,2.24,0.37,0.01,1.12
2011-07-04,2.72,2.83,2.87,2.72,6743,19510683.0,5.58,5.2,0.14,3.64
2011-07-05,2.83,2.81,2.85,2.79,3785,10965311.0,2.12,-0.71,-0.02,2.05
2011-07-06,2.79,2.83,2.84,2.79,4331,12569784.0,1.78,0.71,0.02,2.34
2011-07-07,2.84,2.89,2.91,2.84,17018,50474552.0,2.47,2.12,0.06,7.4
2011-07-08,2.9,2.94,3.0,2.89,17765,53585017.0,3.81,1.73,0.05,7.72
2011-07-11,2.98,3.0,3.03,2.97,15870,49085685.0,2.04,2.04,0.06,6.9
2011-07-12,2.98,3.0,3.04,2.92,11754,36309301.0,4.0,0.0,0.0,5.11
2011-07-13,3.04,3.04,3.06,3.01,12960,40387409.0,1.67,1.33,0.04,5.63
2011-07-14,3.02,3.04,3.08,3.02,10386,32480973.0,1.97,0.0,0.0,4.52
2011-07-15,3.04,3.01,3.05,2.97,10683,33172735.0,2.63,-0.99,-0.03,4.64
2011-07-18,3.01,3.02,3.09,3.01,8676,27103079.0,2.66,0.33,0.01,3.77
2011-07-19,3.02,3.16,3.17,2.98,24642,78386429.0,6.29,4.64,0.14,10.71
2011-07-20,3.17,3.16,3.17,3.09,13023,41854175.0,2.53,0.0,0.0,5.66
2011-07-21,3.16,3.06,3.16,3.05,11126,35220119.0,3.48,-3.16,-0.1,4.84
2011-07-22,3.08,3.08,3.11,3.06,4991,15790223.0,1.63,0.65,0.02,2.17
2011-07-25,3.07,3.05,3.1,3.03,11693,36726808.0,2.27,-0.97,-0.03,5.08
2011-07-26,3.02,3.05,3.07,2.97,6009,18588697.0,3.28,0.0,0.0,2.61
2011-07-27,3.05,3.1,3.13,2.99,8423,26691562.0,4.59,1.64,0.05,3.66
2011-07-28,3.06,3.24,3.26,3.06,17752,58110740.0,6.45,4.52,0.14,7.72
2011-07-29,3.23,3.25,3.35,3.2,16732,56315409.0,4.63,0.31,0.01,7.27
2011-08-01,3.23,3.32,3.35,3.23,8877,29977196.0,3.69,2.15,0.07,3.86
2011-08-02,3.28,3.4,3.41,3.26,13626,46339589.0,4.52,2.41,0.08,5.92
2011-08-03,3.33,3.36,3.42,3.33,7831,27123382.0,2.65,-1.18,-0.04,3.4
2011-08-04,3.33,3.31,3.45,3.3,8948,30615541.0,4.46,-1.49,-0.05,3.89
2011-08-05,3.22,3.3,3.38,3.2,12328,41876130.0,5.44,-0.3,-0.01,5.36
2011-08-08,3.28,3.36,3.38,3.08,17519,58509133.0,9.09,1.82,0.06,7.62
2011-08-09,3.31,3.47,3.51,3.19,16201,55807389.0,9.52,3.27,0.11,7.04
2011-08-10,3.52,3.56,3.73,3.49,14024,51613369.0,6.92,2.59,0.09,6.1
2011-08-11,3.56,3.56,3.67,3.46,14474,52539090.0,5.9,0.0,0.0,6.29
2011-08-12,3.57,3.6,3.63,3.53,7808,28433635.0,2.81,1.12,0.04,3.39
2011-08-15,3.62,3.54,3.64,3.54,12878,46962023.0,2.78,-1.67,-0.06,5.6
2011-08-17,3.6,3.5,3.6,3.42,18058,64392693.0,5.08,-1.13,-0.04,7.85
2011-08-18,3.48,3.5,3.57,3.42,7948,28224853.0,4.29,0.0,0.0,3.46
2011-08-19,3.43,3.64,3.67,3.43,16040,58609585.0,6.86,4.0,0.14,6.97
2011-08-22,3.62,3.64,3.77,3.58,7625,28577682.0,5.22,0.0,0.0,3.32
2011-08-23,3.6,3.68,3.71,3.6,5609,20999102.0,3.02,1.1,0.04,2.44
2011-08-24,3.69,3.69,3.74,3.65,4194,15810542.0,2.45,0.27,0.01,1.82
2011-08-25,3.73,3.71,3.82,3.6,6376,24004926.0,5.96,0.54,0.02,2.77
2011-08-26,3.66,3.67,3.7,3.59,8083,29882408.0,2.96,-1.08,-0.04,3.51
2011-08-29,3.66,3.59,3.69,3.57,7764,28482993.0,3.27,-2.18,-0.08,3.38
2011-08-30,3.62,3.57,3.65,3.55,8057,29561323.0,2.79,-0.56,-0.02,3.5
2011-08-31,3.58,3.6,3.61,3.52,5577,20192204.0,2.52,0.84,0.03,2.42
2011-09-01,3.6,3.52,3.61,3.49,4219,15297098.0,3.33,-2.22,-0.08,1.83
2011-09-02,3.5,3.47,3.52,3.45,4125,14634691.0,1.99,-1.42,-0.05,1.79
2011-09-05,3.43,3.38,3.43,3.38,3032,10580621.0,1.44,-2.59,-0.09,1.32
2011-09-06,3.37,3.27,3.37,3.25,9418,31787381.0,3.55,-3.25,-0.11,4.09
2011-09-07,3.27,3.3,3.34,3.27,5657,19211657.0,2.14,0.92,0.03,2.46
2011-09-08,3.31,3.22,3.34,3.2,7202,24243624.0,4.24,-2.42,-0.08,3.13
2011-09-13,3.18,3.2,3.22,3.07,6801,22145788.0,4.66,-0.62,-0.02,2.96
2011-09-14,3.22,3.25,3.26,3.16,1800,5927669.0,3.13,1.56,0.05,0.78
2011-09-15,3.26,3.28,3.34,3.23,4050,13686361.0,3.38,0.92,0.03,1.76
2011-09-16,3.28,3.29,3.31,3.25,1901,6382653.0,1.83,0.3,0.01,0.83
2011-09-19,3.27,3.2,3.27,3.18,4497,14770642.0,2.74,-2.74,-0.09,1.96
2011-09-20,3.2,3.19,3.24,3.15,2337,7630566.0,2.81,-0.31,-0.01,1.02
2011-09-21,3.21,3.39,3.43,3.18,5736,19521061.0,7.84,6.27,0.2,2.49
2011-09-22,3.34,3.32,3.47,3.32,3960,13700081.0,4.42,-2.06,-0.07,1.72
2011-09-23,3.27,3.28,3.32,3.2,4080,13592271.0,3.61,-1.2,-0.04,1.77
2011-09-26,3.26,3.15,3.3,3.1,5069,16616787.0,6.1,-3.96,-0.13,2.2
