日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,11.86,12.08,12.23,11.86,23130,27989472.0,3.11,1.51,0.18,1.57
2010-01-05,12.0,12.13,12.23,12.0,20471,24793137.0,1.9,0.41,0.05,1.39
2010-01-06,11.88,11.56,12.12,11.53,54507,64293971.0,4.86,-4.7,-0.57,3.69
2010-01-07,11.68,11.23,11.68,11.11,35184,39940465.0,4.93,-2.85,-0.33,2.38
2010-01-08,11.22,11.6,11.68,11.12,25267,29028926.0,4.99,3.29,0.37,1.71
2010-01-11,11.6,11.8,11.98,11.3,33275,38939248.0,5.86,1.72,0.2,2.25
2010-01-12,11.8,11.9,12.02,11.64,20980,24992201.0,3.22,0.85,0.1,1.42
2010-01-13,11.73,11.66,11.88,11.56,18431,21570137.0,2.69,-2.02,-0.24,1.25
2010-01-14,11.7,11.97,12.1,11.7,24770,29560970.0,3.43,2.66,0.31,1.68
2010-01-15,12.05,12.06,12.06,11.89,21709,26037451.0,1.42,0.75,0.09,1.47
2010-01-18,12.1,12.24,12.36,12.06,36989,45231640.0,2.49,1.49,0.18,2.5
2010-01-19,12.38,12.08,12.39,11.98,20223,24526335.0,3.35,-1.31,-0.16,1.37
2010-01-20,12.1,11.61,12.24,11.53,27032,32113002.0,5.88,-3.89,-0.47,1.83
2010-01-25,11.26,11.03,11.4,11.03,33332,36964629.0,3.19,-5.0,-0.58,2.26
2010-01-26,10.99,10.48,11.06,10.48,22877,24211819.0,5.26,-4.99,-0.55,1.55
2010-01-27,10.45,10.25,10.64,10.0,23025,23744595.0,6.11,-2.19,-0.23,1.56
2010-01-28,10.23,10.31,10.5,10.08,17224,17710881.0,4.1,0.59,0.06,1.17
2010-01-29,10.46,10.36,10.79,10.31,23924,25258510.0,4.66,0.48,0.05,1.62
2010-02-01,10.36,10.26,10.46,10.05,15458,15923618.0,3.96,-0.97,-0.1,1.05
2010-02-02,10.4,10.35,10.55,10.26,19467,20225643.0,2.83,0.88,0.09,1.32
2010-02-03,10.35,10.56,10.58,9.92,25880,26829291.0,6.38,2.03,0.21,1.75
2010-02-04,10.46,10.74,11.04,10.45,26599,28731446.0,5.59,1.7,0.18,1.8
2010-02-05,10.49,10.88,11.2,10.32,24653,26812756.0,8.19,1.3,0.14,1.67
2010-02-08,10.88,10.6,10.88,10.48,16617,17627856.0,3.68,-2.57,-0.28,1.12
2010-02-09,10.58,10.51,10.64,10.5,11275,11899666.0,1.32,-0.85,-0.09,0.76
2010-02-10,10.55,10.61,10.65,10.4,9430,9938939.0,2.38,0.95,0.1,0.64
2010-02-11,10.58,10.56,10.89,10.45,8245,8796895.0,4.15,-0.47,-0.05,0.56
2010-02-12,10.57,10.72,10.78,10.56,8423,9002068.0,2.08,1.52,0.16,0.57
2010-02-22,10.7,11.08,11.2,10.63,27158,29935165.0,5.32,3.36,0.36,1.84
2010-02-23,11.1,11.28,11.29,10.91,21885,24378206.0,3.43,1.81,0.2,1.48
2010-02-24,11.25,11.28,11.36,11.16,16665,18730933.0,1.77,0.0,0.0,1.13
2010-02-25,11.26,11.36,11.74,11.16,31795,36343221.0,5.14,0.71,0.08,2.15
2010-02-26,11.41,11.48,11.59,11.28,25994,29771065.0,2.73,1.06,0.12,1.76
2010-03-01,11.55,11.51,11.63,11.37,29126,33442598.0,2.26,0.26,0.03,1.97
2010-03-02,11.58,11.18,11.58,11.14,37921,42713866.0,3.82,-2.87,-0.33,2.57
2010-03-03,11.18,11.47,11.57,11.09,35976,40870549.0,4.29,2.59,0.29,2.44
2010-03-04,11.47,12.04,12.04,11.4,108611,129911896.0,5.58,4.97,0.57,7.35
2010-03-05,12.1,11.9,12.25,11.81,49801,59887261.0,3.65,-1.16,-0.14,3.37
2010-03-08,12.0,11.86,12.06,11.73,34471,40893662.0,2.77,-0.34,-0.04,2.33
2010-03-09,11.85,11.87,11.93,11.41,35222,40939869.0,4.38,0.08,0.01,2.38
2010-03-10,11.76,11.45,11.83,11.44,18120,21048321.0,3.29,-3.54,-0.42,1.23
2010-03-11,11.42,11.47,11.58,11.36,16264,18666125.0,1.92,0.17,0.02,1.1
2010-03-12,11.6,11.6,11.85,11.51,22755,26598227.0,2.96,1.13,0.13,1.54
2010-03-15,11.6,11.98,12.0,11.5,32549,38313909.0,4.31,3.28,0.38,2.2
2010-03-16,11.94,12.27,12.4,11.85,50547,61439165.0,4.59,2.42,0.29,3.42
2010-03-17,12.33,12.38,12.49,12.2,42088,52034986.0,2.36,0.9,0.11,2.85
2010-03-18,12.31,12.37,12.44,12.24,24471,30178064.0,1.62,-0.08,-0.01,1.66
2010-03-19,12.42,12.5,12.53,12.32,36236,45151086.0,1.7,1.05,0.13,2.45
2010-03-22,12.55,12.8,13.05,12.43,40634,52034401.0,4.96,2.4,0.3,2.75
2010-03-23,12.8,12.54,13.11,12.52,43348,55514591.0,4.61,-2.03,-0.26,2.93
2010-03-24,12.4,12.41,12.58,12.2,32057,39704907.0,3.03,-1.04,-0.13,2.17
2010-03-25,12.41,12.07,12.48,11.98,40126,48743138.0,4.03,-2.74,-0.34,2.72
2010-03-26,12.0,12.42,12.44,12.0,29629,36479419.0,3.65,2.9,0.35,2.01
2010-03-30,12.6,12.59,12.9,12.15,45134,56594084.0,6.04,1.37,0.17,3.06
2010-03-31,12.5,12.79,12.89,12.28,40021,50799709.0,4.85,1.59,0.2,2.71
2010-04-01,12.78,12.89,13.05,12.68,40096,51789995.0,2.89,0.78,0.1,2.71
2010-04-02,12.8,13.04,13.1,12.8,35380,45887358.0,2.33,1.16,0.15,2.4
2010-04-06,13.08,12.93,13.16,12.87,28012,36317506.0,2.22,-0.84,-0.11,1.9
2010-04-07,12.91,12.66,12.97,12.57,33191,42264335.0,3.09,-2.09,-0.27,2.25
2010-04-08,12.67,12.71,12.89,12.55,36282,46069468.0,2.69,0.39,0.05,2.46
2010-04-09,12.71,12.8,12.83,12.63,29398,37460343.0,1.57,0.71,0.09,1.99
2010-04-12,12.8,12.99,13.08,12.78,49573,64240683.0,2.34,1.48,0.19,3.36
2010-04-13,12.99,12.74,13.21,12.42,50525,65193019.0,6.08,-1.92,-0.25,3.42
2010-04-14,12.79,13.05,13.08,12.7,37826,49112466.0,2.98,2.43,0.31,2.56
2010-04-15,13.26,13.7,13.7,13.26,129912,177650503.0,3.37,4.98,0.65,8.8
2010-04-16,13.5,13.47,13.72,13.36,52594,71003238.0,2.63,-1.68,-0.23,3.56
2010-04-19,13.29,12.8,13.45,12.8,58069,75729569.0,4.83,-4.97,-0.67,3.93
2010-04-20,12.8,12.63,12.95,12.16,40135,50007062.0,6.17,-1.33,-0.17,2.72
