日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-03-16,6.6,7.97,7.97,6.6,73,89244.0,25.14,46.24,2.52,0.02
2017-03-17,8.8,8.8,8.8,8.8,41,55842.0,0.0,10.41,0.83,0.01
2017-03-20,9.71,9.71,9.71,9.71,29,43442.0,0.0,10.34,0.91,0.01
2017-03-21,10.71,10.71,10.71,10.71,32,52192.0,0.0,10.3,1.0,0.01
2017-03-22,11.81,11.81,11.81,11.81,27,48951.0,0.0,10.27,1.1,0.01
2017-03-23,13.01,13.01,13.01,13.01,41,81754.0,0.0,10.16,1.2,0.01
2017-03-24,14.34,14.34,14.34,14.34,157,344958.0,0.0,10.22,1.33,0.05
2017-03-27,15.8,15.8,15.8,15.8,86,207432.0,0.0,10.18,1.46,0.03
2017-03-28,17.41,17.41,17.41,17.41,129,342237.0,0.0,10.19,1.61,0.04
2017-03-29,19.17,19.17,19.17,19.17,382,1114179.0,0.0,10.11,1.76,0.11
2017-03-30,21.12,21.12,21.12,21.12,2268,7279124.0,0.0,10.17,1.95,0.67
2017-03-31,23.26,23.26,23.26,23.26,3348,11823376.0,0.0,10.13,2.14,0.98
2017-04-05,21.63,22.08,23.05,21.06,157895,527364752.0,8.56,-5.07,-1.18,46.44
2017-04-06,22.45,24.31,24.31,22.45,179417,648292896.0,8.42,10.1,2.23,52.77
2017-04-07,23.38,22.27,24.13,22.23,155922,548233712.0,7.82,-8.39,-2.04,45.86
2017-04-10,21.26,20.03,21.55,20.02,108105,341359840.0,6.87,-10.06,-2.24,31.8
2017-04-11,19.72,20.69,20.71,19.49,73165,224583091.0,6.09,3.3,0.66,21.52
2017-04-12,20.32,19.81,21.03,19.75,64806,200907757.0,6.19,-4.25,-0.88,19.06
2017-04-13,19.57,19.47,20.25,19.29,51649,155229957.0,4.85,-1.72,-0.34,15.19
2017-04-14,19.19,18.85,19.35,18.73,42919,123997255.0,3.18,-3.18,-0.62,12.62
2017-04-17,17.61,16.93,17.75,16.93,54855,144145193.0,4.35,-10.19,-1.92,16.13
2017-04-18,17.06,16.93,17.36,16.91,35527,92953360.0,2.66,0.0,0.0,10.45
2017-04-19,16.64,17.71,17.82,16.64,46791,123556791.0,6.97,4.61,0.78,13.76
2017-04-20,17.65,17.21,17.77,16.88,38320,101260374.0,5.03,-2.82,-0.5,11.27
2017-04-21,17.15,17.05,17.4,17.0,21049,55095912.0,2.32,-0.93,-0.16,6.19
2017-04-24,17.05,16.08,17.08,15.72,27652,68884106.0,7.98,-5.69,-0.97,8.13
2017-04-25,16.27,16.32,16.56,16.17,26057,65048361.0,2.43,1.49,0.24,7.66
2017-04-26,16.31,16.46,16.73,16.13,26116,65815749.0,3.68,0.86,0.14,7.68
2017-04-27,16.39,17.66,18.11,16.27,60052,157443702.0,11.18,7.29,1.2,17.66
2017-04-28,17.52,17.57,17.82,17.35,36401,97465976.0,2.66,-0.51,-0.09,10.71
2017-05-02,17.75,17.49,17.77,17.32,24861,66369183.0,2.56,-0.46,-0.08,7.31
2017-05-03,17.49,17.85,17.87,17.46,38065,102533257.0,2.34,2.06,0.36,11.2
2017-05-04,17.73,17.42,17.75,17.39,29040,77717513.0,2.02,-2.41,-0.43,8.54
2017-05-05,17.31,16.54,17.35,16.53,29175,75508685.0,4.71,-5.05,-0.88,8.58
2017-05-08,16.4,15.94,16.4,15.88,20478,50654742.0,3.14,-3.63,-0.6,6.02
2017-05-09,15.72,16.23,16.35,15.67,24516,60141946.0,4.27,1.82,0.29,7.21
2017-05-10,16.13,15.61,16.43,15.59,30149,74365302.0,5.18,-3.82,-0.62,8.87
2017-05-11,15.39,15.96,16.01,15.19,28093,66790317.0,5.25,2.24,0.35,8.26
2017-05-12,15.8,16.11,16.29,15.74,26335,64455868.0,3.45,0.94,0.15,7.75
2017-05-15,16.39,16.13,16.57,16.11,23709,58994666.0,2.86,0.12,0.02,6.97
2017-05-16,15.92,16.58,16.58,15.73,28841,71089310.0,5.27,2.79,0.45,8.48
2017-05-17,16.59,16.69,17.07,16.51,31653,81081824.0,3.38,0.66,0.11,9.31
2017-05-18,16.44,16.43,16.69,16.34,20176,50822929.0,2.1,-1.56,-0.26,5.93
2017-05-19,16.43,16.05,16.54,16.03,19525,48357228.0,3.1,-2.31,-0.38,5.74
2017-05-22,16.05,15.05,16.09,14.93,29409,69367593.0,7.23,-6.23,-1.0,8.65
2017-05-23,14.92,14.03,15.18,13.95,23173,51487243.0,8.17,-6.78,-1.02,6.82
2017-05-24,14.05,14.26,14.31,13.72,18604,40097120.0,4.21,1.64,0.23,5.47
2017-05-25,14.17,14.16,14.37,13.5,23694,50587334.0,6.1,-0.7,-0.1,6.97
2017-05-26,14.09,14.45,14.65,14.05,20974,45986736.0,4.24,2.05,0.29,6.17
2017-05-31,15.05,14.35,15.24,14.26,30485,69600834.0,6.78,-0.69,-0.1,8.97
2017-06-01,14.09,13.22,14.25,13.2,23468,49517712.0,7.32,-7.87,-1.13,6.9
2017-06-02,13.25,13.71,13.83,13.16,19488,40302938.0,5.07,3.71,0.49,5.73
2017-06-05,13.99,13.85,14.09,13.73,15598,33261181.0,2.63,1.02,0.14,4.59
2017-06-06,13.78,13.93,14.02,13.53,11982,25411966.0,3.54,0.58,0.08,3.52
2017-06-07,13.8,14.55,14.61,13.8,24174,53129983.0,5.81,4.45,0.62,7.11
2017-06-08,14.65,14.39,14.65,14.32,20296,45026455.0,2.27,-1.1,-0.16,5.97
2017-06-09,14.4,14.52,14.55,14.19,18664,41041803.0,2.5,0.9,0.13,5.49
2017-06-12,14.2,13.67,14.27,13.65,18965,40479752.0,4.27,-5.85,-0.85,5.58
2017-06-13,13.59,14.12,14.16,13.57,15461,33102428.0,4.32,3.29,0.45,4.55
2017-06-14,14.05,14.04,14.15,13.84,12783,27411700.0,2.2,-0.57,-0.08,3.76
2017-06-15,14.0,14.45,14.59,14.0,22076,48660626.0,4.2,2.92,0.41,6.49
2017-06-16,14.43,14.39,14.57,14.25,13822,30381482.0,2.21,-0.42,-0.06,4.07
2017-06-19,14.49,14.52,14.57,14.32,11700,25876315.0,1.74,0.9,0.13,3.44
2017-06-20,14.63,14.39,14.64,14.29,13766,30479367.0,2.41,-0.9,-0.13,4.05
2017-06-21,14.47,14.29,14.47,14.12,12626,27558852.0,2.43,-0.69,-0.1,3.71
