日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.6,7.61,7.81,7.53,158776,276760284.0,3.69,0.4,0.03,3.92
2010-01-05,7.61,7.69,7.81,7.57,123495,216473265.0,3.15,1.05,0.08,3.05
2010-01-06,7.66,7.73,7.78,7.58,103727,181530979.0,2.6,0.52,0.04,2.56
2010-01-07,7.73,7.36,7.73,7.33,128247,219082786.0,5.17,-4.79,-0.37,3.17
2010-01-08,7.3,7.42,7.43,7.21,91979,152887566.0,2.99,0.82,0.06,2.27
2010-01-11,7.45,7.86,7.92,7.25,176490,308437934.0,9.03,5.93,0.44,4.36
2010-01-12,7.78,7.92,8.04,7.74,196670,354274848.0,3.82,0.76,0.06,4.86
2010-01-13,7.76,8.01,8.25,7.72,188994,345775994.0,6.69,1.14,0.09,4.67
2010-01-14,8.01,8.09,8.22,7.95,166074,305542179.0,3.37,1.0,0.08,4.1
2010-01-15,8.09,8.03,8.12,7.9,111279,201797865.0,2.72,-0.74,-0.06,2.75
2010-01-18,8.02,8.35,8.36,7.94,150714,278895339.0,5.23,3.99,0.32,3.72
2010-01-19,8.26,8.36,8.44,8.09,135604,254067081.0,4.19,0.12,0.01,3.35
2010-01-20,8.32,7.76,8.33,7.69,123403,224230962.0,7.66,-7.18,-0.6,3.05
2010-01-21,7.8,8.01,8.08,7.74,101687,183162810.0,4.38,3.22,0.25,2.51
2010-01-22,7.83,7.65,7.9,7.47,75954,132645441.0,5.37,-4.49,-0.36,1.88
2010-01-25,7.63,7.61,7.76,7.56,36066,62865586.0,2.61,-0.52,-0.04,0.89
2010-01-26,7.57,7.32,7.68,7.21,55071,93074094.0,6.18,-3.81,-0.29,1.36
2010-01-27,7.37,7.26,7.46,7.23,41745,69751308.0,3.14,-0.82,-0.06,1.03
2010-01-28,7.37,7.47,7.54,7.26,59093,99624062.0,3.86,2.89,0.21,1.46
2010-01-29,7.41,7.44,7.57,7.32,48705,82815290.0,3.35,-0.4,-0.03,1.2
2010-02-01,7.43,7.0,7.53,6.86,89313,144112406.0,9.01,-5.91,-0.44,2.21
2010-02-02,7.05,6.91,7.15,6.89,49197,78483409.0,3.71,-1.29,-0.09,1.21
2010-02-03,7.01,7.01,7.02,6.66,48563,75860831.0,5.21,1.45,0.1,1.2
2010-02-04,7.03,7.12,7.31,6.96,54781,89402587.0,4.99,1.57,0.11,1.35
2010-02-05,6.96,6.98,7.07,6.82,35964,56898685.0,3.51,-1.97,-0.14,0.89
2010-02-08,7.01,7.05,7.09,6.94,22911,36580155.0,2.15,1.0,0.07,0.57
2010-02-09,7.05,7.01,7.06,6.83,23208,36635604.0,3.26,-0.57,-0.04,0.57
2010-02-10,7.01,7.07,7.08,6.96,23232,37211403.0,1.71,0.86,0.06,0.57
2010-02-11,7.12,7.07,7.15,6.94,24092,38563089.0,2.97,0.0,0.0,0.59
2010-02-12,7.07,7.1,7.12,6.97,26046,41877176.0,2.12,0.42,0.03,0.64
2010-02-22,7.08,6.94,7.1,6.92,41001,65123641.0,2.54,-2.25,-0.16,1.01
2010-02-23,6.9,6.96,7.02,6.75,62583,98029660.0,3.89,0.29,0.02,1.55
2010-02-24,6.93,7.11,7.12,6.89,61197,98253918.0,3.3,2.16,0.15,1.51
2010-02-25,7.17,7.13,7.25,7.09,91739,149431112.0,2.25,0.28,0.02,2.27
2010-02-26,7.12,7.26,7.28,7.09,82448,135554861.0,2.66,1.82,0.13,2.04
2010-03-01,7.26,7.28,7.32,7.16,68274,112669342.0,2.2,0.28,0.02,1.69
2010-03-02,7.26,7.34,7.48,7.26,110851,186558821.0,3.02,0.82,0.06,2.74
2010-03-03,7.38,7.58,7.72,7.29,123814,212001606.0,5.86,3.27,0.24,3.06
2010-03-04,7.58,7.24,7.71,7.21,106997,179956556.0,6.6,-4.49,-0.34,2.64
2010-03-05,7.26,7.39,7.52,7.12,90310,151147197.0,5.52,2.07,0.15,2.23
2010-03-08,7.35,7.45,7.59,7.3,66741,113590006.0,3.92,0.81,0.06,1.65
2010-03-09,7.45,7.47,7.52,7.38,44908,76167419.0,1.88,0.27,0.02,1.11
2010-03-10,7.48,7.51,7.66,7.37,63545,108731600.0,3.88,0.54,0.04,1.57
2010-03-11,7.51,7.43,7.52,7.33,48594,82007607.0,2.53,-1.07,-0.08,1.2
2010-03-12,7.37,7.42,7.45,7.29,42961,72166482.0,2.15,-0.13,-0.01,1.06
2010-03-15,7.4,7.42,7.46,7.16,52119,86391692.0,4.04,0.0,0.0,1.29
2010-03-16,7.37,7.86,8.17,7.35,220638,395096431.0,11.05,5.93,0.44,5.45
2010-03-17,7.85,7.98,8.07,7.79,145430,262273745.0,3.56,1.53,0.12,3.59
2010-03-18,8.02,8.07,8.25,7.93,158238,292147464.0,4.01,1.13,0.09,3.91
2010-03-19,8.12,8.11,8.2,7.99,89564,164801944.0,2.6,0.5,0.04,2.21
2010-03-22,8.09,8.14,8.26,7.97,110741,203921917.0,3.58,0.37,0.03,2.73
2010-03-23,8.11,8.02,8.11,7.88,100935,182869013.0,2.83,-1.47,-0.12,2.49
2010-03-24,8.01,8.01,8.18,7.91,92212,168386379.0,3.37,-0.12,-0.01,2.28
2010-03-25,7.94,7.95,8.01,7.82,89853,161566165.0,2.37,-0.75,-0.06,2.22
2010-03-26,7.94,8.34,8.41,7.85,186433,349196738.0,7.04,4.91,0.39,4.6
2010-03-29,8.31,8.37,8.39,8.14,129604,244403465.0,3.0,0.36,0.03,3.2
2010-03-30,8.27,8.31,8.34,8.19,53289,100121651.0,1.79,-0.72,-0.06,1.32
2010-03-31,8.28,8.56,8.6,8.28,111665,215829956.0,3.85,3.01,0.25,2.76
2010-04-01,8.55,8.57,8.65,8.49,73084,142361027.0,1.87,0.12,0.01,1.8
2010-04-02,8.52,8.54,8.67,8.45,70075,135914776.0,2.57,-0.35,-0.03,1.73
2010-04-06,8.55,8.39,8.6,8.31,69760,132993067.0,3.4,-1.76,-0.15,1.72
2010-04-07,8.43,8.43,8.43,8.23,62663,118599489.0,2.38,0.48,0.04,1.55
2010-04-08,8.41,8.39,8.42,8.25,70128,132747895.0,2.02,-0.47,-0.04,1.73
2010-04-09,8.34,8.69,8.77,8.34,104259,204330319.0,5.13,3.58,0.3,2.57
2010-04-12,8.73,9.05,9.11,8.73,133049,269255373.0,4.37,4.14,0.36,3.29
2010-04-13,9.02,8.82,9.02,8.46,143252,284776591.0,6.19,-2.54,-0.23,3.54
2010-04-14,8.77,8.98,9.05,8.68,95263,193087817.0,4.2,1.81,0.16,2.35
2010-04-15,8.94,9.28,9.34,8.94,183543,382967446.0,4.45,3.34,0.3,4.53
2010-04-16,9.21,9.39,9.56,9.12,116854,248666819.0,4.74,1.19,0.11,2.89
2010-04-19,9.29,9.07,9.36,8.85,116598,241545030.0,5.43,-3.41,-0.32,2.88
2010-04-20,9.06,9.42,9.47,8.76,125644,263266217.0,7.83,3.86,0.35,3.1
2010-04-21,9.47,9.61,9.96,9.47,199070,438530284.0,5.2,2.02,0.19,4.92
2010-04-22,9.52,9.81,9.94,9.48,130493,289518333.0,4.79,2.08,0.2,3.22
2010-04-23,9.85,9.68,10.13,9.49,124569,276160246.0,6.52,-1.33,-0.13,3.08
2010-04-26,9.75,9.68,9.86,9.45,86946,189367940.0,4.24,0.0,0.0,2.15
2010-04-27,9.74,10.0,10.01,9.6,158651,351575774.0,4.24,3.31,0.32,3.92
2010-04-28,9.69,10.1,10.36,9.62,193162,439253074.0,7.4,1.0,0.1,4.77
2010-04-29,10.05,9.46,10.23,9.12,124659,275366707.0,10.99,-6.34,-0.64,3.08
2010-04-30,9.25,9.41,9.46,8.83,103861,215988266.0,6.66,-0.53,-0.05,2.56
2010-05-04,9.42,8.99,9.61,8.94,88148,184665190.0,7.12,-4.46,-0.42,2.18
2010-05-05,8.74,9.35,9.36,8.73,112312,232398351.0,7.01,4.0,0.36,2.77
2010-05-06,9.35,9.24,9.46,9.11,136300,287621088.0,3.74,-1.18,-0.11,3.37
