日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-08-01,12.94,14.24,14.24,12.94,157,949189.0,13.68,49.89,4.74,0.08
2017-08-02,15.79,15.79,15.79,15.79,114,758888.0,0.0,10.88,1.55,0.06
2017-08-03,17.49,17.49,17.49,17.49,172,1260917.0,0.0,10.77,1.7,0.09
2017-08-04,19.37,17.87,19.37,17.84,82863,643152528.0,8.75,2.17,0.38,41.43
2017-08-07,17.88,16.8,17.93,16.71,57670,416452768.0,6.83,-5.99,-1.07,28.84
2017-08-08,17.03,16.81,17.15,16.6,39897,281873488.0,3.27,0.06,0.01,19.95
2017-08-09,16.68,16.55,16.8,16.42,25709,179258675.0,2.26,-1.55,-0.26,12.85
2017-08-10,16.58,16.42,16.77,16.11,33882,234229926.0,3.99,-0.79,-0.13,16.94
2017-08-11,16.23,17.05,17.31,16.22,47324,334953136.0,6.64,3.84,0.63,23.66
2017-08-14,16.8,17.04,17.34,16.68,25009,177740359.0,3.87,-0.06,-0.01,12.5
2017-08-15,16.99,17.14,17.18,16.6,26717,189173132.0,3.4,0.59,0.1,13.36
2017-08-16,17.19,17.16,17.41,16.98,32868,237214544.0,2.51,0.12,0.02,16.43
2017-08-17,17.02,17.2,17.32,16.78,27427,195460240.0,3.15,0.23,0.04,13.71
2017-08-18,17.32,17.32,18.06,17.29,30423,224274235.0,4.48,0.7,0.12,15.21
2017-08-21,17.31,17.84,17.99,17.25,27758,205678174.0,4.27,3.0,0.52,13.88
2017-08-22,17.7,18.18,18.47,17.52,34951,262715849.0,5.33,1.91,0.34,17.48
2017-08-23,18.11,17.95,18.47,17.83,27433,208132904.0,3.52,-1.27,-0.23,13.72
2017-08-24,17.86,17.54,18.46,17.5,32233,242773440.0,5.35,-2.28,-0.41,16.12
2017-08-25,17.37,17.96,18.05,17.36,28932,214364244.0,3.93,2.39,0.42,14.47
2017-08-28,18.39,19.88,19.88,18.36,51227,412738272.0,8.46,10.69,1.92,25.61
2017-08-29,20.52,20.5,21.88,20.37,75026,652407728.0,7.6,3.12,0.62,37.51
2017-08-30,19.94,19.74,20.4,19.37,44724,368757152.0,5.02,-3.71,-0.76,22.36
2017-08-31,19.96,20.56,20.67,19.96,40776,343985040.0,3.6,4.15,0.82,20.39
2017-09-01,20.73,20.9,21.11,20.27,46051,395603856.0,4.09,1.65,0.34,23.03
2017-09-04,20.68,20.01,20.77,19.98,29788,249218812.0,3.78,-4.26,-0.89,14.89
2017-09-05,20.01,20.15,20.33,19.88,16595,138559953.0,2.25,0.7,0.14,8.3
2017-09-06,19.88,20.6,20.76,19.77,24233,203565984.0,4.91,2.23,0.45,12.12
2017-09-07,20.4,20.12,21.19,20.11,28664,245255931.0,5.24,-2.33,-0.48,14.33
2017-09-08,20.02,20.24,20.43,19.86,20722,172745527.0,2.83,0.6,0.12,10.36
2017-09-11,20.37,21.64,22.06,20.27,33548,293247824.0,8.84,6.92,1.4,16.77
2017-09-12,21.29,20.53,21.37,20.42,26578,229322909.0,4.39,-5.13,-1.11,13.29
2017-09-13,20.45,20.99,21.13,20.45,15782,135541760.0,3.31,2.24,0.46,7.89
2017-09-14,21.02,20.9,21.16,20.58,15473,133827877.0,2.76,-0.43,-0.09,7.74
2017-09-15,20.73,20.49,20.9,20.16,12885,109504217.0,3.54,-1.96,-0.41,6.44
2017-09-18,20.21,20.53,20.54,20.08,8266,69625636.0,2.24,0.2,0.04,4.13
2017-09-19,20.51,20.5,20.88,20.39,9946,84794752.0,2.39,-0.15,-0.03,4.97
2017-09-20,20.42,20.78,20.82,20.3,11346,96875337.0,2.54,1.37,0.28,5.67
2017-09-21,20.75,20.52,21.23,20.42,13878,119331002.0,3.9,-1.25,-0.26,6.94
2017-09-22,20.37,20.78,20.78,20.14,11999,102016194.0,3.12,1.27,0.26,6.0
2017-09-25,20.65,20.36,20.95,20.29,8992,76984670.0,3.18,-2.02,-0.42,4.5
2017-09-26,20.35,19.66,20.4,19.13,20508,166847707.0,6.24,-3.44,-0.7,10.25
2017-09-27,19.57,19.8,19.82,19.45,8134,66482512.0,1.88,0.71,0.14,4.07
2017-09-28,19.76,19.89,20.19,19.63,7950,65880498.0,2.83,0.45,0.09,3.97
2017-09-29,19.85,20.21,20.26,19.84,7270,60581157.0,2.11,1.61,0.32,3.63
2017-10-09,20.37,20.29,20.47,20.26,6775,57153643.0,1.04,0.4,0.08,3.39
2017-10-10,20.29,20.75,20.82,20.2,12842,109839569.0,3.06,2.27,0.46,6.42
2017-10-11,20.67,20.41,20.88,20.32,9741,82738802.0,2.7,-1.64,-0.34,4.87
2017-10-12,20.41,20.66,20.77,20.28,8117,69107734.0,2.4,1.22,0.25,4.06
2017-10-13,20.67,21.55,21.8,20.48,21442,188597661.0,6.39,4.31,0.89,10.72
2017-10-16,21.43,20.6,21.61,20.49,15260,132592675.0,5.2,-4.41,-0.95,7.63
2017-10-17,20.48,21.0,21.18,20.4,10478,90552469.0,3.79,1.94,0.4,5.24
2017-10-18,20.86,20.78,21.75,20.73,17165,151017786.0,4.86,-1.05,-0.22,8.58
2017-10-19,20.75,21.41,21.46,20.53,18814,164439040.0,4.48,3.03,0.63,9.41
2017-10-20,21.25,21.78,21.8,21.14,15190,134731284.0,3.08,1.73,0.37,7.59
2017-10-23,21.82,21.77,22.22,21.55,18552,167627575.0,3.08,-0.05,-0.01,9.28
2017-10-24,21.81,21.14,21.92,20.88,17961,157292752.0,4.78,-2.89,-0.63,8.98
2017-10-25,21.03,21.0,21.11,20.41,26916,231059907.0,3.31,-0.66,-0.14,13.46
2017-10-26,20.98,20.89,20.98,20.52,15188,130564798.0,2.19,-0.52,-0.11,7.59
2017-10-27,20.88,20.84,21.11,20.77,11686,100917786.0,1.63,-0.24,-0.05,5.84
2017-10-30,20.84,19.87,20.84,19.66,15736,130781784.0,5.66,-4.65,-0.97,7.87
2017-10-31,19.87,20.37,20.47,19.83,11409,95599670.0,3.22,2.52,0.5,5.7
2017-11-01,20.37,20.85,20.97,20.27,21153,181759610.0,3.44,2.36,0.48,10.58
2017-11-02,20.69,20.76,21.26,20.57,16511,142845727.0,3.31,-0.43,-0.09,8.26
2017-11-03,20.55,20.43,20.86,20.18,11608,98426184.0,3.28,-1.59,-0.33,5.8
2017-11-06,20.63,21.14,21.25,20.49,20129,174446489.0,3.72,3.48,0.71,10.06
2017-11-07,21.14,21.29,21.34,20.82,15758,137364799.0,2.46,0.71,0.15,7.88
2017-11-08,21.32,21.12,21.79,21.11,19438,172455348.0,3.19,-0.8,-0.17,9.72
2017-11-09,21.11,21.92,22.52,21.11,37108,336414896.0,6.68,3.79,0.8,18.55
2017-11-10,21.85,22.1,22.19,21.64,21517,194959462.0,2.51,0.82,0.18,10.76
2017-11-13,22.57,24.44,24.44,22.49,52869,522283216.0,8.82,10.59,2.34,26.43
2017-11-14,24.03,23.74,25.01,23.74,44133,438535712.0,5.2,-2.86,-0.7,22.07
2017-11-15,23.78,24.43,25.37,23.78,39756,400727248.0,6.7,2.91,0.69,19.88
2017-11-16,24.28,23.26,24.87,23.09,35921,358154928.0,7.29,-4.79,-1.17,17.96
2017-11-17,23.09,23.39,23.85,22.2,38820,367494800.0,7.09,0.56,0.13,19.41
2017-11-20,24.37,24.83,25.65,23.88,45031,456974160.0,7.57,6.16,1.44,22.52
2017-11-21,24.4,24.93,24.93,23.51,38734,384475536.0,5.72,0.4,0.1,19.37
2017-11-22,24.5,24.08,24.92,23.8,26967,268785360.0,4.49,-3.41,-0.85,13.48
2017-11-23,23.59,23.09,23.92,23.06,25597,245845793.0,3.57,-4.11,-0.99,12.8
2017-11-24,23.09,24.14,24.87,22.83,27926,275913488.0,8.83,4.55,1.05,13.96
2017-11-27,23.42,22.47,23.48,22.3,25254,238088805.0,4.89,-6.92,-1.67,12.63
2017-11-28,22.54,23.36,23.42,22.54,16826,159794339.0,3.92,3.96,0.89,8.41
2017-11-29,23.34,24.22,24.44,23.11,27153,267878654.0,5.69,3.68,0.86,13.58
2017-11-30,24.09,24.23,24.59,23.63,21049,208251473.0,3.96,0.04,0.01,10.52
2017-12-01,24.19,24.58,24.82,23.98,21558,215546240.0,3.47,1.44,0.35,10.78
