日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-12,8.5,8.97,9.09,8.41,229276,709854127.57,11.51,51.78,3.06,73.11
2010-01-13,8.58,9.05,9.34,8.44,140243,440456889.06,10.03,0.89,0.08,44.72
2010-01-14,8.94,9.08,9.28,8.85,90396,290994415.24,4.75,0.33,0.03,28.83
2010-01-15,8.97,9.19,9.24,8.88,68318,218794270.62,3.96,1.21,0.11,21.78
2010-01-18,9.25,9.07,9.53,9.03,56011,182264476.49,5.44,-1.31,-0.12,17.86
2010-01-19,9.07,8.89,9.13,8.81,44597,141101192.07,3.53,-1.98,-0.18,14.22
2010-01-20,8.86,8.27,8.89,8.22,54251,165161876.72,7.54,-6.97,-0.62,17.3
2010-01-21,8.36,8.43,8.55,8.26,25383,75945414.08,3.51,1.93,0.16,8.09
2010-01-22,8.25,7.94,8.28,7.86,29102,83943495.19,4.98,-5.81,-0.49,9.28
2010-01-25,7.87,7.83,8.08,7.79,12035,34279292.6,3.65,-1.39,-0.11,3.84
2010-01-26,7.84,7.53,7.95,7.47,16285,45354594.06,6.13,-3.83,-0.3,5.19
2010-01-27,7.53,7.56,7.74,7.43,17788,48602705.32,4.12,0.4,0.03,5.67
2010-01-28,7.53,7.56,7.67,7.47,13144,35859463.79,2.65,0.0,0.0,4.19
2010-01-29,7.56,7.42,7.63,7.34,24541,66402306.29,3.84,-1.85,-0.14,7.83
2010-02-01,7.37,6.85,7.38,6.8,27517,69879760.71,7.82,-7.68,-0.57,8.77
2010-02-02,6.93,6.88,7.11,6.87,21434,54614783.61,3.5,0.44,0.03,6.83
2010-02-03,6.96,6.79,7.0,6.38,23943,58482875.12,9.01,-1.31,-0.09,7.63
2010-02-04,6.75,6.83,6.98,6.59,19722,48861813.86,5.74,0.59,0.04,6.29
2010-02-05,6.66,6.54,6.73,6.48,16090,38878195.67,3.66,-4.25,-0.29,5.13
2010-02-08,6.56,6.82,6.94,6.5,18489,45867292.12,6.73,4.28,0.28,5.9
2010-02-09,6.72,6.8,6.95,6.63,12095,30153186.11,4.69,-0.29,-0.02,3.86
2010-02-10,6.84,6.94,6.96,6.81,12741,32041584.69,2.21,2.06,0.14,4.06
2010-02-11,6.94,6.91,6.98,6.9,11343,28706904.94,1.15,-0.43,-0.03,3.62
2010-02-12,6.9,7.05,7.07,6.9,12800,32675617.0,2.46,2.03,0.14,4.08
2010-02-22,7.05,6.88,7.09,6.88,12444,31503653.7,2.98,-2.41,-0.17,3.97
2010-02-23,6.85,6.69,6.87,6.58,12445,30389240.54,4.22,-2.76,-0.19,3.97
2010-02-24,6.82,7.45,7.45,6.82,29530,78127750.07,9.42,11.36,0.76,9.42
2010-02-25,7.66,7.75,8.08,7.65,63397,177962952.42,5.77,4.03,0.3,20.22
2010-02-26,7.62,7.65,7.77,7.55,21153,58390087.43,2.84,-1.29,-0.1,6.75
2010-03-01,7.6,7.75,7.83,7.6,26164,73130694.5,3.01,1.31,0.1,8.34
2010-03-02,7.75,7.66,7.8,7.61,16651,46029503.97,2.45,-1.16,-0.09,5.31
2010-03-03,7.66,7.78,7.78,7.49,22225,61094251.2,3.79,1.57,0.12,7.09
2010-03-04,7.81,7.36,7.83,7.36,20141,55070687.66,6.04,-5.4,-0.42,6.42
2010-03-05,7.39,7.25,7.45,7.25,16078,42632155.84,2.72,-1.49,-0.11,5.13
2010-03-08,7.28,7.35,7.43,7.28,9960,26527717.76,2.07,1.38,0.1,3.18
2010-03-09,7.33,7.41,7.48,7.23,14489,38659946.65,3.4,0.82,0.06,4.62
2010-03-10,7.41,7.42,7.53,7.34,11933,32103039.16,2.56,0.13,0.01,3.81
2010-03-11,7.41,7.6,7.61,7.27,13013,34981266.88,4.58,2.43,0.18,4.15
2010-03-12,7.63,7.52,7.78,7.51,24923,68702676.02,3.55,-1.05,-0.08,7.95
2010-03-15,7.52,7.36,7.57,7.24,13577,36056016.22,4.39,-2.13,-0.16,4.33
2010-03-16,7.37,7.39,7.4,7.25,7766,20598649.9,2.04,0.41,0.03,2.48
2010-03-17,7.43,7.59,7.62,7.34,14011,38061514.09,3.79,2.71,0.2,4.47
2010-03-18,7.55,7.56,7.68,7.52,10402,28495882.02,2.11,-0.4,-0.03,3.32
2010-03-19,7.56,7.76,7.78,7.48,23098,63968465.86,3.97,2.65,0.2,7.37
2010-03-22,7.72,7.7,7.73,7.61,13588,37509561.85,1.55,-0.77,-0.06,4.33
2010-03-23,7.7,7.6,7.75,7.6,10307,28460130.46,1.95,-1.3,-0.1,3.29
2010-03-24,7.6,7.81,7.86,7.59,23830,66669649.79,3.55,2.76,0.21,7.6
2010-03-25,7.81,7.94,8.0,7.74,29702,84290345.32,3.33,1.66,0.13,9.47
2010-03-26,7.88,7.88,7.97,7.71,16352,46105940.49,3.27,-0.76,-0.06,5.21
2010-03-30,7.95,8.1,8.18,7.88,24418,70361510.94,3.81,2.79,0.22,7.79
2010-03-31,8.1,8.19,8.4,8.06,31302,92837443.03,4.2,1.11,0.09,9.98
2010-04-01,8.16,8.35,8.49,8.13,29513,88162164.75,4.4,1.95,0.16,9.41
2010-04-02,8.35,8.16,8.51,8.14,23141,68364456.79,4.43,-2.28,-0.19,7.38
2010-04-06,8.15,8.26,8.28,8.04,20042,58332864.58,2.94,1.23,0.1,6.39
