日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.32,3.27,3.39,3.2,125257,117352021.0,5.72,-1.51,-0.05,3.12
2010-01-05,3.27,3.49,3.57,3.23,214629,206170405.0,10.4,6.73,0.22,5.34
2010-01-06,3.44,3.36,3.55,3.36,121175,118225482.0,5.44,-3.72,-0.13,3.01
2010-01-07,3.31,3.25,3.39,3.14,138377,128055667.0,7.44,-3.27,-0.11,3.44
2010-01-08,3.22,3.4,3.44,3.18,138906,132077626.0,8.0,4.62,0.15,3.46
2010-01-11,3.45,3.39,3.47,3.27,109459,104287318.0,5.88,-0.29,-0.01,2.72
2010-01-12,3.37,3.57,3.69,3.36,157126,156705652.0,9.73,5.31,0.18,3.91
2010-01-13,3.49,3.56,3.72,3.44,138556,138411776.0,7.84,-0.28,-0.01,3.45
2010-01-14,3.53,3.59,3.61,3.42,115498,113867530.0,5.34,0.84,0.03,2.87
2010-01-15,3.57,3.53,3.62,3.49,71517,70919494.0,3.62,-1.67,-0.06,1.78
2010-01-18,3.49,3.75,3.77,3.49,146536,150985913.0,7.93,6.23,0.22,3.65
2010-01-19,3.76,3.67,3.76,3.62,73092,74731825.0,3.73,-2.13,-0.08,1.82
2010-01-20,3.7,3.43,3.71,3.36,111512,109840622.0,9.54,-6.54,-0.24,2.77
2010-01-21,3.43,3.46,3.5,3.4,59870,58206245.0,2.92,0.87,0.03,1.49
2010-01-22,3.35,3.27,3.41,3.12,83174,77002170.0,8.38,-5.49,-0.19,2.07
2010-01-25,3.22,3.08,3.3,3.03,67913,61348255.0,8.26,-5.81,-0.19,1.69
2010-01-26,3.09,3.02,3.16,2.99,80015,70925222.0,5.52,-1.95,-0.06,1.99
2010-01-27,3.05,3.08,3.19,3.01,64457,57712081.0,5.96,1.99,0.06,1.6
2010-01-28,3.08,3.26,3.26,3.08,77497,70870105.0,5.84,5.84,0.18,1.93
2010-01-29,3.22,3.22,3.31,3.19,55162,51075011.0,3.68,-1.23,-0.04,1.37
2010-02-01,3.16,3.29,3.33,3.11,63300,58332768.0,6.83,2.17,0.07,1.57
