日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-01-17,10.22,12.44,12.44,10.22,1484,2175319.0,26.59,48.98,4.09,0.05
2018-01-18,13.78,13.78,13.78,13.78,796,1289520.0,0.0,10.77,1.34,0.03
2018-01-19,15.25,15.25,15.25,15.25,1453,2589246.0,0.0,10.67,1.47,0.05
2018-01-22,16.87,16.87,16.87,16.87,4849,9504452.0,0.0,10.62,1.62,0.15
2018-01-23,18.65,18.65,18.65,18.65,35685,76936041.0,0.0,10.55,1.78,1.13
2018-01-24,19.94,20.62,20.62,19.15,1559026,3600984528.0,7.88,10.56,1.97,49.49
2018-01-25,20.51,19.38,20.51,19.25,1189361,2724937760.0,6.11,-6.01,-1.24,37.76
2018-01-26,18.67,19.61,20.26,18.14,1081463,2364162064.0,10.94,1.19,0.23,34.33
2018-01-29,19.15,20.13,20.37,19.14,951284,2179615536.0,6.27,2.65,0.52,30.2
2018-01-30,20.13,19.11,20.96,19.05,833137,1914404720.0,9.49,-5.07,-1.02,26.45
2018-01-31,18.14,18.61,19.37,17.79,490648,1060859024.0,8.27,-2.62,-0.5,15.58
2018-02-01,18.51,18.6,19.14,18.34,498564,1081159728.0,4.3,-0.05,-0.01,15.83
2018-02-02,18.28,17.44,18.29,16.78,503704,1023864128.0,8.12,-6.24,-1.16,15.99
2018-02-05,16.93,16.09,17.2,16.03,482755,929558160.0,6.71,-7.74,-1.35,15.33
2018-02-06,15.27,16.11,16.53,15.05,501484,935277568.0,9.2,0.12,0.02,15.92
2018-02-07,16.54,15.69,16.71,15.15,401225,746449664.0,9.68,-2.61,-0.42,12.74
2018-02-08,15.57,15.64,15.94,15.5,249815,457572736.0,2.8,-0.32,-0.05,7.93
2018-02-09,14.74,14.22,15.13,14.14,374903,643430224.0,6.33,-9.08,-1.42,11.9
2018-02-12,15.1,14.7,15.46,14.65,351031,614852768.0,5.7,3.38,0.48,11.14
2018-02-13,14.54,14.44,14.96,14.42,295229,507192624.0,3.67,-1.77,-0.26,9.37
2018-02-14,14.41,14.51,14.72,14.34,164243,279184592.0,2.63,0.48,0.07,5.21
2018-02-22,14.68,15.0,15.03,14.44,257209,444161104.0,4.07,3.38,0.49,8.17
2018-02-23,14.87,14.91,15.03,14.75,214362,372931440.0,1.87,-0.6,-0.09,6.81
2018-02-26,15.19,15.73,15.8,15.04,416429,746327712.0,5.1,5.5,0.82,13.22
2018-02-27,15.44,15.41,15.64,15.25,282340,509210144.0,2.48,-2.03,-0.32,8.96
2018-02-28,15.19,14.76,15.19,14.71,264032,459232720.0,3.11,-4.22,-0.65,8.38
2018-03-01,14.53,14.76,14.84,14.44,197837,340442000.0,2.71,0.0,0.0,6.28
2018-03-02,14.56,14.56,14.74,14.52,148125,253595037.0,1.49,-1.36,-0.2,4.7
2018-03-05,14.61,14.84,14.89,14.47,192560,331243088.0,2.88,1.92,0.28,6.11
2018-03-06,14.78,14.95,15.13,14.69,225525,393365792.0,2.96,0.74,0.11,7.16
2018-03-07,14.96,14.66,15.0,14.63,194152,335374816.0,2.47,-1.94,-0.29,6.16
2018-03-08,14.81,15.27,15.51,14.79,411480,729470848.0,4.91,4.16,0.61,13.06
2018-03-09,15.1,15.32,15.45,15.02,324561,577489776.0,2.82,0.33,0.05,10.3
2018-03-12,15.41,15.66,15.67,15.24,358329,646721168.0,2.81,2.22,0.34,11.38
2018-03-13,15.67,15.24,15.67,15.24,241115,433498784.0,2.75,-2.68,-0.42,7.65
2018-03-14,15.11,15.54,15.89,15.04,325269,592289520.0,5.58,1.97,0.3,10.33
2018-03-15,15.27,14.82,15.37,14.63,288963,506509952.0,4.76,-4.63,-0.72,9.17
2018-03-16,14.84,14.74,15.11,14.69,135615,235744524.0,2.83,-0.54,-0.08,4.31
2018-03-19,14.68,14.86,14.94,14.67,118777,206327897.0,1.83,0.81,0.12,3.77
2018-03-20,14.69,14.71,14.85,14.54,151813,260663824.0,2.09,-1.01,-0.15,4.82
2018-03-21,14.82,14.8,15.11,14.74,198446,346194448.0,2.52,0.61,0.09,6.3
2018-03-22,14.84,14.71,14.94,14.54,170046,293329520.0,2.7,-0.61,-0.09,5.4
2018-03-23,14.04,13.14,14.18,13.14,336395,538885840.0,7.07,-10.67,-1.57,10.68
2018-03-26,12.74,13.09,13.14,12.14,180561,271628976.0,7.61,-0.38,-0.05,5.73
2018-03-27,13.29,13.34,13.44,13.17,160054,250884545.0,2.06,1.91,0.25,5.08
2018-03-28,13.11,13.04,13.29,12.98,125512,194442758.0,2.32,-2.25,-0.3,3.98
2018-03-29,13.21,13.25,13.39,13.15,138397,216347892.0,1.84,1.61,0.21,4.39
2018-03-30,13.33,13.4,13.65,13.28,152177,240932576.0,2.79,1.13,0.15,4.83
2018-04-02,13.31,13.32,13.58,13.31,135046,213582893.0,2.01,-0.6,-0.08,4.29
2018-04-03,13.05,12.94,13.05,12.81,138836,211805668.0,1.8,-2.85,-0.38,4.41
2018-04-09,13.49,13.72,14.04,13.49,268954,433905328.0,4.25,6.03,0.78,8.54
2018-04-10,13.6,13.68,13.82,13.43,151633,242444754.0,2.84,-0.29,-0.04,4.81
2018-04-11,13.74,13.84,13.93,13.62,172497,279278000.0,2.27,1.17,0.16,5.48
2018-04-12,13.89,14.7,15.08,13.78,448236,762238288.0,9.39,6.21,0.86,14.23
2018-04-13,14.51,15.24,15.57,14.47,458881,813083504.0,7.48,3.67,0.54,14.57
2018-04-16,15.24,14.64,15.28,14.58,259387,449184688.0,4.59,-3.94,-0.6,8.23
2018-04-17,14.64,14.06,14.83,13.97,229941,384773728.0,5.87,-3.96,-0.58,7.3
2018-04-18,14.14,14.08,14.26,13.42,169046,275984688.0,5.97,0.14,0.02,5.37
2018-04-19,14.04,13.89,14.19,13.83,141216,232179730.0,2.56,-1.35,-0.19,4.48
2018-04-20,13.77,13.46,14.02,13.4,150445,241705982.0,4.46,-3.1,-0.43,4.78
2018-04-23,13.46,13.41,13.62,13.07,92277,145316026.0,4.09,-0.37,-0.05,2.93
2018-04-24,13.49,14.03,14.05,13.43,143657,234182296.0,4.62,4.62,0.62,4.56
2018-04-25,13.95,13.84,13.96,13.78,94727,154197407.0,1.28,-1.35,-0.19,3.01
2018-04-26,13.83,13.36,13.94,13.35,113456,181090103.0,4.26,-3.47,-0.48,3.6
2018-04-27,13.63,13.44,13.74,13.4,80225,128166452.0,2.54,0.6,0.08,2.55
2018-05-02,13.48,13.64,13.82,13.48,68948,110536405.0,2.53,1.49,0.2,2.19
2018-05-03,13.62,13.86,13.87,13.44,99317,160034407.0,3.15,1.61,0.22,3.15
2018-05-04,13.85,13.68,13.95,13.64,86397,140033269.0,2.24,-1.3,-0.18,2.74
2018-05-07,13.72,13.84,13.88,13.67,113428,183912230.0,1.54,1.17,0.16,3.6
2018-05-08,13.84,14.24,14.28,13.78,188329,311646032.0,3.61,2.89,0.4,5.98
2018-05-09,14.41,14.09,14.42,14.0,140865,234384774.0,2.95,-1.05,-0.15,4.47
2018-05-10,14.05,14.04,14.24,13.96,101642,168220221.0,1.99,-0.35,-0.05,3.23
2018-05-11,14.05,13.8,14.16,13.77,105492,173057646.0,2.78,-1.71,-0.24,3.35
2018-05-14,13.67,13.67,13.87,13.57,84098,135704848.0,2.17,-0.94,-0.13,2.67
2018-05-15,13.69,13.82,13.84,13.55,95144,153402605.0,2.12,1.1,0.15,3.02
2018-05-16,13.82,14.17,14.45,13.71,208911,346332720.0,5.35,2.53,0.35,6.63
2018-05-17,14.1,14.04,14.27,13.93,109602,180889910.0,2.4,-0.92,-0.13,3.48
2018-05-18,14.0,14.04,14.15,13.85,90853,149347966.0,2.14,0.0,0.0,2.88
2018-05-21,14.15,14.49,14.63,14.07,212646,358339664.0,3.99,3.21,0.45,6.75
2018-05-22,14.59,15.04,15.17,14.41,349710,608662208.0,5.24,3.8,0.55,11.1
2018-05-23,15.1,14.38,15.1,14.37,265921,456460240.0,4.85,-4.39,-0.66,8.44
2018-05-24,14.14,14.48,14.66,14.14,145603,246846397.0,3.62,0.7,0.1,4.62
2018-05-25,14.4,14.88,14.92,14.27,236265,406148496.0,4.49,2.76,0.4,7.5
2018-05-28,14.97,14.63,15.04,14.58,187671,324972640.0,3.09,-1.68,-0.25,5.96
2018-05-29,14.51,15.02,15.34,14.46,302593,533134688.0,6.02,2.67,0.39,9.61
2018-05-30,14.64,15.16,15.86,14.33,481375,857073344.0,10.19,0.93,0.14,15.28
2018-05-31,15.33,16.45,16.76,15.19,698077,1309719136.0,10.36,8.51,1.29,22.16
2018-06-01,16.22,15.58,16.41,15.25,496540,919659856.0,7.05,-5.29,-0.87,15.76
2018-06-04,15.83,15.84,16.05,15.37,291470,534855680.0,4.36,1.67,0.26,9.25
2018-06-05,15.85,15.99,16.02,15.44,253376,465563296.0,3.66,0.95,0.15,8.04
2018-06-06,15.82,15.61,15.91,15.52,226935,414961120.0,2.44,-2.38,-0.38,7.2
2018-06-07,15.65,15.94,16.28,15.54,324053,603525152.0,4.74,2.11,0.33,10.29
2018-06-08,15.77,15.26,15.84,15.01,277429,498212736.0,5.21,-4.27,-0.68,8.81
2018-06-11,15.13,14.72,15.24,14.62,193099,335046704.0,4.06,-3.54,-0.54,6.13
2018-06-12,14.74,14.85,14.96,14.48,158940,274656208.0,3.26,0.88,0.13,5.05
2018-06-13,14.74,14.34,14.84,14.33,151182,257747394.0,3.43,-3.43,-0.51,4.8
2018-06-14,14.29,14.34,14.58,14.19,105878,178395685.0,2.72,0.0,0.0,3.36
2018-06-15,14.4,14.52,14.72,14.33,139605,237917839.0,2.72,1.26,0.18,4.43
2018-06-19,14.22,13.04,14.31,12.97,232075,369293040.0,9.23,-10.19,-1.48,7.37
2018-06-20,12.96,13.34,13.44,12.94,116013,181098360.0,3.83,2.3,0.3,3.68
2018-06-21,13.42,13.03,13.44,12.95,111760,173527753.0,3.67,-2.32,-0.31,3.55
2018-06-22,12.98,13.23,13.34,12.72,80260,121749896.0,4.76,1.53,0.2,2.55
2018-06-25,13.36,13.23,13.55,13.19,86900,134008765.0,2.72,0.0,0.0,2.76
2018-06-26,12.98,13.36,13.42,12.8,76360,116279691.0,4.69,0.98,0.13,2.42
2018-06-27,13.41,13.13,13.48,13.09,67142,102711695.0,2.92,-1.72,-0.23,2.13
2018-06-28,13.05,12.58,13.23,12.54,106605,159138509.0,5.26,-4.19,-0.55,3.38
2018-06-29,12.58,13.24,13.33,12.35,130810,194432377.0,7.79,5.25,0.66,4.15
2018-07-02,13.14,12.94,13.37,12.73,99164,150045846.0,4.83,-2.27,-0.3,3.15
2018-07-03,13.01,13.06,13.09,12.62,93397,139404515.0,3.63,0.93,0.12,2.96
2018-07-04,12.98,12.6,13.01,12.54,82428,121307902.0,3.6,-3.52,-0.46,2.62
2018-07-05,12.53,11.85,12.7,11.84,105115,149323028.0,6.83,-5.95,-0.75,3.34
2018-07-06,11.94,12.01,12.24,11.71,93851,130739182.0,4.47,1.35,0.16,2.98
2018-07-09,12.07,12.47,12.53,12.07,85008,121780401.0,3.83,3.83,0.46,2.7
2018-07-10,12.48,12.61,12.84,12.44,92548,135050216.0,3.21,1.12,0.14,2.94
2018-07-11,12.3,12.34,12.51,12.13,79090,112738296.0,3.01,-2.14,-0.27,2.51
2018-07-12,12.35,12.78,12.89,12.35,114628,168359218.0,4.38,3.57,0.44,3.64
2018-07-13,12.74,12.64,12.77,12.57,73924,108181258.0,1.56,-1.1,-0.14,2.35
2018-07-16,12.66,12.49,12.74,12.37,81321,117435738.0,2.93,-1.19,-0.15,2.58
2018-07-17,12.44,12.45,12.48,12.34,49219,70740095.0,1.12,-0.32,-0.04,1.56
2018-07-18,12.49,12.34,12.56,12.32,58072,83821344.0,1.93,-0.88,-0.11,1.84
2018-07-19,12.36,12.06,12.39,11.94,75415,106069212.0,3.65,-2.27,-0.28,2.39
2018-07-20,11.98,12.34,12.42,11.98,71105,100932944.0,3.65,2.32,0.28,2.26
2018-07-23,12.25,12.53,12.57,12.25,80646,116430187.0,2.59,1.54,0.19,2.56
2018-07-24,12.52,12.84,12.94,12.5,144370,214234797.0,3.51,2.47,0.31,4.58
2018-07-25,12.83,12.7,12.84,12.68,73418,108183359.0,1.25,-1.09,-0.14,2.33
