日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-06-29,1.68,1.78,1.85,1.62,100858,306739874.0,16.08,24.48,0.35,87.7
2011-06-30,1.71,1.82,1.84,1.69,56337,174478357.0,8.43,2.25,0.04,48.99
2011-07-01,1.79,1.8,1.89,1.79,42733,138464052.0,5.49,-1.1,-0.02,37.16
2011-07-04,1.81,1.87,1.88,1.79,32632,105381612.0,5.0,3.89,0.07,28.38
2011-07-05,1.86,1.85,1.91,1.83,26521,86902435.0,4.28,-1.07,-0.02,23.06
2011-07-06,1.82,1.89,1.95,1.82,32199,106300407.0,7.03,2.16,0.04,28.0
2011-07-07,1.89,1.99,2.07,1.89,38388,133503489.0,9.52,5.29,0.1,33.38
2011-07-08,1.96,2.08,2.11,1.95,35747,127842550.0,8.04,4.52,0.09,31.08
2011-07-11,2.07,2.11,2.14,2.06,23009,83773326.0,3.85,1.44,0.03,20.01
2011-07-12,2.08,2.04,2.09,2.03,17682,63632785.0,2.84,-3.32,-0.07,15.38
2011-07-13,2.05,2.19,2.25,2.05,19926,74351469.0,9.8,7.35,0.15,17.33
2011-07-14,2.21,2.24,2.28,2.16,19942,76608489.0,5.48,2.28,0.05,17.34
2011-07-15,2.21,2.22,2.31,2.21,17993,70218746.0,4.46,-0.89,-0.02,15.65
2011-07-18,2.23,2.2,2.25,2.19,11181,42859323.0,2.7,-0.9,-0.02,9.72
2011-07-19,2.18,2.12,2.18,2.12,13651,50739046.0,2.73,-3.64,-0.08,11.87
2011-07-20,2.14,2.17,2.22,2.13,14963,56563496.0,4.25,2.36,0.05,13.01
2011-07-21,2.16,2.13,2.17,2.11,11197,41584842.0,2.76,-1.84,-0.04,9.74
2011-07-22,2.14,2.16,2.2,2.12,8435,31713238.0,3.76,1.41,0.03,7.33
2011-07-25,2.15,2.02,2.16,2.0,15631,56362403.0,7.41,-6.48,-0.14,13.59
2011-07-26,2.01,2.04,2.05,2.01,7786,27590927.0,1.98,0.99,0.02,6.77
2011-07-27,2.03,2.15,2.18,2.01,15282,56440545.0,8.33,5.39,0.11,13.29
2011-07-28,2.11,2.19,2.21,2.11,12198,46011374.0,4.65,1.86,0.04,10.61
2011-07-29,2.19,2.09,2.2,2.09,14255,52752665.0,5.02,-4.57,-0.1,12.4
