日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-05-03,10.17,12.75,12.82,10.17,528361,649300144.0,34.55,66.23,5.08,85.77
2012-05-04,11.68,11.34,11.92,11.34,363208,465245344.0,4.55,-11.06,-1.41,58.96
2012-05-07,10.77,11.06,11.19,10.7,231117,282406832.0,4.32,-2.47,-0.28,37.52
2012-05-08,10.93,11.3,11.32,10.75,192465,237863869.0,5.15,2.17,0.24,31.24
2012-05-09,11.06,10.75,11.13,10.72,124854,152798982.0,3.63,-4.87,-0.55,20.27
2012-05-10,10.58,10.58,10.82,10.39,110444,131649325.0,4.0,-1.58,-0.17,17.93
2012-05-11,10.49,10.52,10.62,10.38,69420,82102905.0,2.27,-0.57,-0.06,11.27
2012-05-14,10.56,10.62,10.86,10.41,101724,122082278.0,4.28,0.95,0.1,16.51
2012-05-15,10.47,10.5,10.56,10.18,85382,99505685.0,3.58,-1.13,-0.12,13.86
2012-05-16,10.47,10.98,11.24,10.37,189992,232302415.0,8.29,4.57,0.48,30.84
2012-05-17,10.91,11.04,11.05,10.74,126157,154598910.0,2.82,0.55,0.06,20.48
2012-05-18,10.87,10.4,10.97,10.36,104937,125304483.0,5.53,-5.8,-0.64,17.04
2012-05-21,10.28,9.84,10.4,9.79,86496,98487527.0,5.87,-5.38,-0.56,14.04
2012-05-22,9.92,10.03,10.04,9.85,48520,54722032.0,1.93,1.93,0.19,7.88
2012-05-23,9.94,9.78,10.01,9.66,74662,83017785.0,3.49,-2.49,-0.25,12.12
2012-05-24,9.73,9.76,9.84,9.68,43300,48046723.0,1.64,-0.2,-0.02,7.03
2012-05-25,9.76,9.38,9.79,9.3,73051,78827827.0,5.02,-3.89,-0.38,11.86
2012-05-28,9.35,9.34,9.35,9.0,57033,59871820.0,3.73,-0.43,-0.04,9.26
2012-05-29,9.27,9.56,9.59,9.2,77568,83402253.0,4.18,2.36,0.22,12.59
2012-05-30,9.46,9.35,9.49,9.3,47785,51259400.0,1.99,-2.2,-0.21,7.76
2012-05-31,9.3,9.78,10.14,9.2,109972,120986585.0,10.05,4.6,0.43,17.85
2012-06-01,9.67,9.59,9.73,9.55,50230,55081853.0,1.84,-1.94,-0.19,8.15
2012-06-04,9.33,9.16,9.44,9.16,39691,42157759.0,2.92,-4.48,-0.43,6.44
2012-06-05,9.24,9.22,9.35,9.15,27619,29180690.0,2.18,0.66,0.06,4.48
2012-06-06,9.19,9.15,9.35,9.1,26415,27865263.0,2.71,-0.76,-0.07,4.29
2012-06-07,9.28,8.96,9.33,8.94,30910,32335890.0,4.26,-2.08,-0.19,5.02
2012-06-08,9.11,8.93,9.14,8.88,28352,29315845.0,2.9,-0.33,-0.03,4.6
2012-06-11,8.99,9.13,9.22,8.9,25761,26768811.0,3.58,2.24,0.2,4.18
2012-06-12,8.99,8.91,9.03,8.87,24602,25265458.0,1.75,-2.41,-0.22,3.99
2012-06-13,8.97,9.12,9.16,8.89,30565,31755354.0,3.03,2.36,0.21,4.96
2012-06-14,9.06,9.08,9.25,9.04,34686,36386561.0,2.3,-0.44,-0.04,5.63
2012-06-15,9.11,9.06,9.18,8.87,26024,27021767.0,3.41,-0.22,-0.02,4.22
2012-06-18,9.08,9.24,9.25,9.08,31240,32822568.0,1.88,1.99,0.18,5.07
2012-06-19,9.24,9.14,9.24,9.08,25144,26278454.0,1.73,-1.08,-0.1,4.08
2012-06-21,9.11,9.55,9.95,9.06,134627,147451864.0,9.74,4.49,0.41,21.86
2012-06-25,9.46,9.41,9.7,9.3,62423,67667574.0,4.19,-1.47,-0.14,10.13
2012-06-26,9.27,8.88,9.27,8.75,49251,50461654.0,5.53,-5.63,-0.53,8.0
2012-06-27,8.87,8.86,9.08,8.78,35896,36794850.0,3.38,-0.23,-0.02,5.83
2012-06-28,8.88,8.69,8.99,8.68,33607,34176775.0,3.5,-1.92,-0.17,5.46
2012-06-29,8.64,8.68,8.68,8.29,31423,31043221.0,4.49,-0.12,-0.01,5.1
2012-07-02,8.69,8.75,8.9,8.6,40682,41131841.0,3.46,0.81,0.07,6.6
2012-07-03,8.67,8.95,8.97,8.6,48344,49228225.0,4.23,2.29,0.2,7.85
2012-07-04,8.91,8.88,9.12,8.82,31511,32358827.0,3.35,-0.78,-0.07,5.12
2012-07-05,8.83,8.61,8.85,8.48,26909,26809568.0,4.17,-3.04,-0.27,4.37
2012-07-06,8.66,8.85,8.9,8.52,25457,25561973.0,4.41,2.79,0.24,4.13
2012-07-09,8.77,8.63,8.91,8.61,24127,24264695.0,3.39,-2.49,-0.22,3.92
2012-07-10,8.58,8.53,8.68,8.51,14644,14481436.0,1.97,-1.16,-0.1,2.38
2012-07-11,8.53,8.66,8.67,8.43,15751,15629056.0,2.81,1.52,0.13,2.56
2012-07-12,8.65,8.77,8.83,8.5,29793,29849246.0,3.81,1.27,0.11,4.84
2012-07-13,8.84,8.61,8.84,8.59,17797,17846119.0,2.85,-1.82,-0.16,2.89
2012-07-16,8.61,8.2,8.61,8.16,27179,26216081.0,5.23,-4.76,-0.41,4.41
2012-07-17,8.2,8.25,8.3,8.13,12817,12244415.0,2.07,0.61,0.05,2.08
2012-07-18,8.25,7.98,8.25,7.79,32091,29854564.0,5.58,-3.27,-0.27,5.21
2012-07-19,7.95,8.1,8.25,7.9,21574,20141835.0,4.39,1.5,0.12,3.5
2012-07-20,8.21,8.79,9.04,8.2,114243,115451880.0,10.37,8.52,0.69,18.55
2012-07-23,8.47,8.3,8.59,8.24,53561,51719234.0,3.98,-5.57,-0.49,8.69
2012-07-24,8.19,8.29,8.4,8.07,30519,29071345.0,3.98,-0.12,-0.01,4.95
2012-07-25,8.22,8.35,8.58,8.17,33106,31926411.0,4.95,0.72,0.06,5.37
2012-07-26,8.31,8.15,8.38,8.13,21721,20626761.0,2.99,-2.4,-0.2,3.53
2012-07-27,8.22,8.17,8.28,8.14,14770,13969029.0,1.72,0.25,0.02,2.4
2012-07-30,8.15,8.02,8.25,8.0,14047,13143062.0,3.06,-1.84,-0.15,2.28
2012-07-31,7.98,7.68,8.05,7.65,16727,15230749.0,4.99,-4.24,-0.34,2.72
2012-08-01,7.79,7.92,8.02,7.71,20465,18697206.0,4.04,3.13,0.24,3.32
2012-08-02,7.86,7.83,8.02,7.8,15615,14252618.0,2.78,-1.14,-0.09,2.53
2012-08-03,7.83,7.93,8.04,7.45,92822,82895762.0,7.54,1.28,0.1,12.05
2012-08-06,7.76,8.06,8.08,7.71,96840,88590592.0,4.67,1.64,0.13,12.58
2012-08-07,7.99,8.11,8.27,7.97,86571,81125916.0,3.72,0.62,0.05,11.24
2012-08-08,8.11,8.14,8.25,8.04,53560,50339314.0,2.59,0.37,0.03,6.96
2012-08-09,8.15,8.2,8.24,8.05,45988,43282074.0,2.33,0.74,0.06,5.97
2012-08-10,8.21,8.12,8.23,8.04,45458,42627704.0,2.32,-0.98,-0.08,5.9
2012-08-13,8.08,7.77,8.08,7.74,45558,41795025.0,4.19,-4.31,-0.35,5.92
2012-08-14,7.74,7.85,7.86,7.58,34135,30618748.0,3.6,1.03,0.08,4.43
2012-08-15,7.82,7.64,7.82,7.63,26299,23534034.0,2.42,-2.68,-0.21,3.42
2012-08-16,7.64,7.75,7.81,7.61,21248,19043396.0,2.62,1.44,0.11,2.76
2012-08-17,7.76,7.7,7.78,7.6,17815,15914555.0,2.32,-0.65,-0.05,2.31
2012-08-20,7.65,7.8,7.84,7.57,17364,15563478.0,3.51,1.3,0.1,2.26
2012-08-21,7.77,7.96,8.07,7.73,44145,40476309.0,4.36,2.05,0.16,5.73
2012-08-22,7.93,7.98,8.11,7.86,49298,45712490.0,3.14,0.25,0.02,6.4
2012-08-23,7.97,8.21,8.43,7.92,98823,93810153.0,6.39,2.88,0.23,12.83
2012-08-24,8.1,7.94,8.27,7.88,47458,44333929.0,4.75,-3.29,-0.27,6.16
2012-08-27,7.91,7.66,7.93,7.64,25977,23392764.0,3.65,-3.53,-0.28,3.37
2012-08-28,7.66,7.8,7.92,7.63,24102,21750614.0,3.79,1.83,0.14,3.13
2012-08-29,7.76,7.81,7.94,7.75,25031,22792397.0,2.44,0.13,0.01,3.25
2012-08-30,7.79,7.89,8.0,7.65,36511,33182254.0,4.48,1.02,0.08,4.74
2012-08-31,7.88,8.1,8.18,7.86,51652,48114104.0,4.06,2.66,0.21,6.71
2012-09-03,8.05,8.13,8.33,8.02,62448,58916871.0,3.83,0.37,0.03,8.11
2012-09-04,8.19,8.21,8.32,8.07,54526,51422200.0,3.08,0.98,0.08,7.08
2012-09-05,8.18,8.33,8.37,8.12,51270,48808919.0,3.05,1.46,0.12,6.66
2012-09-06,8.3,8.3,8.4,8.18,53282,50717944.0,2.64,-0.36,-0.03,6.92
2012-09-07,8.35,8.48,8.67,8.25,107749,104677647.0,5.06,2.17,0.18,13.99
2012-09-10,8.39,8.48,8.54,8.36,59218,57493363.0,2.12,0.0,0.0,7.69
2012-09-11,8.43,8.33,8.48,8.25,45018,43155473.0,2.71,-1.77,-0.15,5.85
2012-09-12,8.37,8.65,8.72,8.31,88308,86502088.0,4.92,3.84,0.32,11.47
2012-09-13,8.6,8.4,8.69,8.39,54788,53644665.0,3.47,-2.89,-0.25,7.12
2012-09-14,8.44,8.42,8.57,8.33,35922,34789863.0,2.86,0.24,0.02,4.67
2012-09-17,8.37,8.15,8.48,8.15,28493,27222257.0,3.92,-3.21,-0.27,3.7
2012-09-18,8.12,8.09,8.2,8.05,22711,21316162.0,1.84,-0.74,-0.06,2.95
2012-09-19,8.11,8.28,8.3,8.11,19207,18159408.0,2.35,2.35,0.19,2.49
2012-09-20,8.24,7.81,8.25,7.8,33351,30970879.0,5.43,-5.68,-0.47,4.33
2012-09-21,7.8,7.67,7.9,7.61,28857,26051377.0,3.71,-1.79,-0.14,3.75
2012-09-24,7.68,7.74,7.81,7.55,13585,12169099.0,3.39,0.91,0.07,1.76
2012-09-25,7.78,7.6,7.82,7.55,15636,13935873.0,3.49,-1.81,-0.14,2.03
2012-09-26,7.61,7.31,7.65,7.25,28369,24512124.0,5.26,-3.82,-0.29,3.68
2012-09-27,7.32,7.48,7.54,7.23,27133,23469342.0,4.24,2.33,0.17,3.52
2012-09-28,7.39,7.61,7.62,7.36,20021,17608712.0,3.48,1.74,0.13,2.6
2012-10-08,7.63,7.43,7.64,7.34,23435,20427606.0,3.94,-2.37,-0.18,3.04
2012-10-09,7.49,7.73,7.77,7.43,31158,27739554.0,4.58,4.04,0.3,4.05
2012-10-10,7.66,7.78,7.85,7.63,22192,19944479.0,2.85,0.65,0.05,2.88
2012-10-11,7.79,7.55,7.8,7.53,28937,25698116.0,3.47,-2.96,-0.23,3.76
2012-10-12,7.61,7.53,7.66,7.47,16666,14683668.0,2.52,-0.26,-0.02,2.16
2012-10-15,7.5,7.4,7.52,7.27,19731,16998615.0,3.32,-1.73,-0.13,2.56
2012-10-16,7.39,7.44,7.52,7.35,15377,13383569.0,2.3,0.54,0.04,2.0
2012-10-17,7.46,7.48,7.49,7.31,16463,14261460.0,2.42,0.54,0.04,2.14
