日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,8.17,7.98,8.17,7.96,30244,25736052.0,2.59,-1.6,-0.13,0.56
2010-01-05,7.96,8.07,8.11,7.8,41590,34873184.0,3.88,1.13,0.09,0.76
2010-01-06,8.07,8.03,8.36,7.99,46453,39925308.0,4.58,-0.5,-0.04,0.85
2010-01-07,7.95,7.67,8.03,7.35,44758,36807728.0,8.47,-4.48,-0.36,0.82
2010-01-08,7.62,7.76,7.77,7.6,17602,14292272.0,2.22,1.17,0.09,0.32
2010-01-11,7.68,7.73,7.82,7.67,20086,16370598.0,1.93,-0.39,-0.03,0.37
2010-01-12,7.74,7.91,7.92,7.67,25727,21230908.0,3.23,2.33,0.18,0.47
2010-01-13,7.77,7.7,7.85,7.68,27238,22273194.0,2.15,-2.65,-0.21,0.5
2010-01-14,7.7,7.89,7.9,7.67,26427,21832551.0,2.99,2.47,0.19,0.49
2010-01-15,7.85,8.04,8.09,7.85,31682,26727090.0,3.04,1.9,0.15,0.58
2010-01-18,8.05,8.14,8.21,7.97,34551,29469005.0,2.99,1.24,0.1,0.64
2010-01-19,8.17,8.13,8.2,8.02,30321,25836549.0,2.21,-0.12,-0.01,0.56
2010-01-20,8.13,7.8,8.14,7.73,31859,26651963.0,5.04,-4.06,-0.33,0.59
2010-01-21,7.79,7.92,8.02,7.77,22652,18859683.0,3.21,1.54,0.12,0.42
2010-01-22,7.91,7.99,8.07,7.63,38561,32204775.0,5.56,0.88,0.07,0.71
2010-01-25,7.96,8.26,8.4,7.87,99733,86129546.0,6.63,3.38,0.27,1.83
2010-01-26,8.21,7.69,8.36,7.6,70453,60008096.0,9.2,-6.9,-0.57,1.3
2010-01-27,7.53,6.98,7.53,6.88,72296,54224290.0,8.45,-9.23,-0.71,1.33
2010-01-28,6.95,6.85,6.96,6.63,41878,30274343.0,4.73,-1.86,-0.13,0.77
2010-01-29,6.77,6.94,6.98,6.7,34375,25142980.0,4.09,1.31,0.09,0.63
2010-02-01,6.92,6.98,7.11,6.84,29829,22160506.0,3.89,0.58,0.04,0.55
2010-02-02,7.02,6.84,7.09,6.83,20944,15453617.0,3.72,-2.01,-0.14,0.39
2010-02-03,6.85,6.8,6.92,6.38,30528,21740015.0,7.89,-0.58,-0.04,0.56
2010-02-04,6.77,6.9,6.95,6.68,27744,20139096.0,3.97,1.47,0.1,0.51
2010-02-05,6.76,6.75,7.01,6.61,23552,16932734.0,5.8,-2.17,-0.15,0.43
2010-02-08,6.77,6.84,6.87,6.7,18557,13395723.0,2.52,1.33,0.09,0.34
2010-02-09,6.76,6.92,7.07,6.75,21035,15385747.0,4.68,1.17,0.08,0.39
2010-02-10,6.91,6.93,6.95,6.77,13702,10026797.0,2.6,0.14,0.01,0.25
2010-02-11,6.95,6.82,6.95,6.81,12151,8881815.0,2.02,-1.59,-0.11,0.22
2010-02-12,6.89,6.94,6.97,6.82,15847,11604323.0,2.2,1.76,0.12,0.29
2010-02-22,6.88,6.95,7.0,6.88,16368,12064753.0,1.73,0.14,0.01,0.3
2010-02-23,6.98,7.03,7.05,6.83,20659,15244215.0,3.17,1.15,0.08,0.38
2010-02-24,7.0,7.21,7.23,6.92,32377,24441029.0,4.41,2.56,0.18,0.6
2010-02-25,7.21,7.25,7.32,7.13,39270,30009075.0,2.64,0.55,0.04,0.72
2010-02-26,7.22,7.28,7.3,7.17,28580,21954879.0,1.79,0.41,0.03,0.53
2010-03-01,7.3,7.49,7.51,7.25,38159,29746442.0,3.57,2.88,0.21,0.7
2010-03-02,7.41,7.48,7.53,7.36,31343,24606190.0,2.27,-0.13,-0.01,0.58
2010-03-03,7.45,7.59,7.73,7.42,48399,38700905.0,4.14,1.47,0.11,0.89
2010-03-04,7.6,7.22,7.61,7.18,31821,24833110.0,5.67,-4.87,-0.37,0.59
2010-03-05,7.23,7.37,7.45,7.15,29456,22841771.0,4.16,2.08,0.15,0.54
2010-03-08,7.37,7.52,7.56,7.3,28305,22407623.0,3.53,2.04,0.15,0.52
2010-03-09,7.47,7.7,7.77,7.47,50192,40704765.0,3.99,2.39,0.18,0.92
2010-03-10,7.7,7.54,7.77,7.43,28007,22439609.0,4.42,-2.08,-0.16,0.52
2010-03-11,7.47,7.45,7.58,7.35,14204,11191986.0,3.05,-1.19,-0.09,0.26
2010-03-12,7.48,7.22,7.52,7.21,16085,12482834.0,4.16,-3.09,-0.23,0.3
2010-03-15,7.24,7.16,7.24,7.06,14206,10729600.0,2.49,-0.83,-0.06,0.26
2010-03-16,7.17,7.38,7.39,7.09,21124,16221544.0,4.19,3.07,0.22,0.39
2010-03-17,7.37,7.47,7.49,7.22,23212,18189774.0,3.66,1.22,0.09,0.43
2010-03-18,7.44,7.45,7.56,7.41,25085,19858779.0,2.01,-0.27,-0.02,0.46
2010-03-19,7.42,7.58,7.6,7.41,24973,19813603.0,2.55,1.74,0.13,0.46
2010-03-22,7.58,7.63,7.64,7.49,30459,24450965.0,1.98,0.66,0.05,0.56
2010-03-23,7.6,7.64,7.66,7.5,24780,19903229.0,2.1,0.13,0.01,0.46
2010-03-24,7.64,7.66,7.71,7.54,28862,23318942.0,2.23,0.26,0.02,0.53
2010-03-25,7.65,7.48,7.65,7.42,21407,16970616.0,3.0,-2.35,-0.18,0.39
2010-03-26,7.43,7.59,7.64,7.37,24226,19301494.0,3.61,1.47,0.11,0.45
2010-03-29,7.6,7.61,7.82,7.59,40023,32479963.0,3.03,0.26,0.02,0.74
2010-03-30,7.61,7.78,7.83,7.6,39099,31916353.0,3.02,2.23,0.17,0.72
2010-03-31,7.79,7.7,7.79,7.67,22053,17932302.0,1.54,-1.03,-0.08,0.41
2010-04-01,7.7,7.9,7.91,7.7,42770,35282140.0,2.73,2.6,0.2,0.79
2010-04-02,7.9,7.83,7.92,7.8,29516,24454109.0,1.52,-0.89,-0.07,0.54
2010-04-06,7.82,7.77,7.87,7.68,30442,24917198.0,2.43,-0.77,-0.06,0.56
2010-04-07,7.77,7.87,7.88,7.7,31318,25739023.0,2.32,1.29,0.1,0.58
