日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-10-12,4.39,5.0,5.13,4.39,116159,248085137.0,16.89,14.16,0.62,78.49
2011-10-13,4.7,4.98,5.19,4.64,87699,192096121.0,11.0,-0.4,-0.02,59.26
2011-10-14,4.83,4.77,4.87,4.67,53866,116118537.0,4.02,-4.22,-0.21,36.4
2011-10-17,4.78,5.31,5.31,4.78,75643,174542279.0,11.11,11.32,0.54,51.11
2011-10-18,5.38,5.02,5.38,5.0,89865,210795461.0,7.16,-5.46,-0.29,60.72
2011-10-19,4.95,4.79,5.15,4.73,51772,115192414.0,8.37,-4.58,-0.23,34.98
2011-10-20,4.73,4.54,4.73,4.46,34449,71299980.0,5.64,-5.22,-0.25,23.28
2011-10-21,4.53,4.47,4.62,4.39,28177,57699191.0,5.07,-1.54,-0.07,19.04
2011-10-24,4.5,4.44,4.52,4.06,36220,71393789.0,10.29,-0.67,-0.03,24.47
2011-10-25,4.38,4.66,4.75,4.32,46062,95555142.0,9.68,4.95,0.22,31.12
2011-10-26,4.61,4.7,4.83,4.57,45091,95713892.0,5.58,0.86,0.04,30.47
2011-10-27,4.68,4.92,5.05,4.65,53523,116865576.0,8.51,4.68,0.22,36.16
2011-10-28,4.92,4.97,5.02,4.78,46495,102524472.0,4.88,1.02,0.05,31.42
2011-10-31,4.91,5.0,5.05,4.84,35717,79517325.0,4.23,0.6,0.03,24.13
2011-11-01,4.96,4.99,5.0,4.78,37268,82246261.0,4.4,-0.2,-0.01,25.18
2011-11-02,4.85,5.55,5.55,4.82,59647,138998469.0,14.63,11.22,0.56,40.3
2011-11-03,5.85,6.16,6.16,5.81,105299,278116864.0,6.31,10.99,0.61,71.15
2011-11-04,6.18,6.02,6.27,5.84,67538,179976830.0,6.98,-2.27,-0.14,45.63
2011-11-07,5.98,5.97,6.21,5.9,48510,129749870.0,5.15,-0.83,-0.05,32.78
2011-11-08,5.94,5.8,6.0,5.65,36799,94502954.0,5.86,-2.85,-0.17,24.86
2011-11-09,5.76,5.96,6.03,5.69,45860,119372156.0,5.86,2.76,0.16,30.99
2011-11-10,5.79,5.73,6.1,5.71,47196,122783440.0,6.54,-3.86,-0.23,31.89
2011-11-11,5.63,5.5,5.69,5.41,33776,83517161.0,4.89,-4.01,-0.23,22.82
2011-11-14,5.58,5.72,5.96,5.55,40041,102286543.0,7.45,4.0,0.22,27.05
2011-11-15,5.7,5.71,5.73,5.56,26310,65991377.0,2.97,-0.17,-0.01,17.78
2011-11-16,5.73,5.6,5.83,5.51,26927,67985961.0,5.6,-1.93,-0.11,18.19
2011-11-17,5.6,5.77,5.98,5.58,39697,101832823.0,7.14,3.04,0.17,26.82
2011-11-18,5.68,5.53,5.72,5.51,24180,59942847.0,3.64,-4.16,-0.24,16.34
2011-11-22,5.27,5.3,5.43,5.14,22367,52721214.0,5.24,-4.16,-0.23,15.11
