日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,5.71,5.61,5.83,5.54,22872,84067865.31,5.03,-2.77,-0.16,9.41
2010-01-05,5.61,5.47,5.66,5.4,24292,87013540.32,4.63,-2.5,-0.14,10.0
2010-01-06,5.43,5.44,5.54,5.42,12632,45345146.86,2.19,-0.55,-0.03,5.2
2010-01-07,5.4,5.53,5.56,5.4,18039,65001558.78,2.94,1.65,0.09,7.42
2010-01-08,5.59,5.48,5.59,5.41,13977,50312459.06,3.25,-0.9,-0.05,5.75
2010-01-11,5.42,5.45,5.48,5.23,19030,66801470.35,4.56,-0.55,-0.03,7.83
2010-01-12,5.45,5.63,5.68,5.35,25399,92501190.16,6.06,3.3,0.18,10.45
2010-01-13,5.46,5.46,5.62,5.45,13984,50473480.35,3.02,-3.02,-0.17,5.75
2010-01-14,5.46,5.66,5.72,5.45,19309,70920695.39,4.95,3.66,0.2,7.95
2010-01-15,5.67,5.73,5.73,5.61,16275,60288068.85,2.12,1.24,0.07,6.7
2010-01-18,5.75,6.1,6.14,5.75,33275,129904078.5,6.81,6.46,0.37,13.69
2010-01-19,6.0,5.85,6.05,5.78,24661,94221517.53,4.43,-4.1,-0.25,10.15
2010-01-20,5.81,5.4,5.85,5.33,19847,72638994.56,8.89,-7.69,-0.45,8.17
2010-01-21,5.4,5.46,5.56,5.4,7885,28282449.4,2.96,1.11,0.06,3.24
2010-01-22,5.4,5.26,5.42,5.14,14865,51532670.68,5.13,-3.66,-0.2,6.12
2010-01-25,5.24,5.06,5.24,5.03,8097,27383623.11,3.99,-3.8,-0.2,3.33
2010-01-26,5.03,4.61,5.16,4.6,13196,42687977.01,11.07,-8.89,-0.45,5.43
2010-01-27,4.61,4.5,4.66,4.46,8978,27230216.14,4.34,-2.39,-0.11,3.69
2010-01-28,4.38,4.42,4.5,4.38,12029,35656697.17,2.67,-1.78,-0.08,4.95
2010-01-29,4.42,4.66,4.88,4.42,16051,49934101.55,10.41,5.43,0.24,6.61
2010-02-01,4.68,4.61,4.78,4.5,10349,31959725.1,6.01,-1.07,-0.05,4.26
2010-02-02,4.68,4.41,4.69,4.41,7207,21829674.89,6.07,-4.34,-0.2,2.97
2010-02-03,4.39,4.39,4.47,4.08,11386,32561150.24,8.84,-0.45,-0.02,4.69
2010-02-04,4.33,4.46,4.5,4.27,7773,23052226.41,5.24,1.59,0.07,3.2
2010-02-05,4.35,4.21,4.38,4.17,7357,21016064.91,4.71,-5.61,-0.25,3.03
2010-02-08,4.18,4.22,4.27,4.18,3151,8941242.08,2.14,0.24,0.01,1.3
2010-02-09,4.21,4.31,4.34,4.2,4380,12597442.96,3.32,2.13,0.09,1.8
2010-02-10,4.38,4.41,4.42,4.31,5285,15484561.52,2.55,2.32,0.1,2.17
2010-02-11,4.41,4.45,4.55,4.35,5532,16545813.85,4.54,0.91,0.04,2.28
2010-02-12,4.47,4.55,4.57,4.47,4466,13496984.61,2.25,2.25,0.1,1.84
2010-02-22,4.55,4.43,4.57,4.43,4749,14180497.41,3.08,-2.64,-0.12,1.95
2010-02-23,4.43,4.33,4.48,4.2,6389,18417322.79,6.32,-2.26,-0.1,2.63
2010-02-24,4.31,4.61,4.62,4.22,9774,29375840.12,9.24,6.47,0.28,4.02
2010-02-25,4.63,4.73,4.76,4.59,11039,34184805.71,3.69,2.6,0.12,4.54
2010-02-26,4.69,4.64,4.71,4.63,8413,26010633.85,1.69,-1.9,-0.09,3.46
2010-03-01,4.61,4.68,4.68,4.61,8057,24855758.51,1.51,0.86,0.04,3.32
2010-03-02,4.67,4.69,4.69,4.6,7156,22055866.3,1.92,0.21,0.01,2.95
2010-03-03,4.71,4.86,4.93,4.66,12604,40235973.12,5.76,3.62,0.17,5.19
2010-03-04,4.83,4.66,4.94,4.65,10678,33912111.25,5.97,-4.12,-0.2,4.39
2010-03-05,4.63,4.64,4.71,4.51,6626,20398038.91,4.29,-0.43,-0.02,2.73
2010-03-08,4.65,4.64,4.71,4.62,3706,11467894.21,1.94,0.0,0.0,1.53
2010-03-09,4.62,4.6,4.65,4.55,4039,12351496.7,2.16,-0.86,-0.04,1.66
2010-03-10,4.59,4.45,4.64,4.43,5136,15452769.93,4.57,-3.26,-0.15,2.11
2010-03-11,4.47,4.36,4.5,4.32,7412,21717775.91,4.04,-2.02,-0.09,3.05
2010-03-12,4.38,4.36,4.44,4.34,4299,12627184.7,2.29,0.0,0.0,1.77
2010-03-15,4.33,4.38,4.38,4.25,5280,15184719.02,2.98,0.46,0.02,2.17
2010-03-16,4.4,4.56,4.61,4.4,12930,39169404.2,4.79,4.11,0.18,5.32
2010-03-17,4.58,4.68,4.72,4.58,9518,29423566.01,3.07,2.63,0.12,3.92
2010-03-18,4.65,4.66,4.68,4.63,6320,19565954.92,1.07,-0.43,-0.02,2.6
2010-03-19,4.7,4.65,4.72,4.62,4994,15423367.92,2.15,-0.21,-0.01,2.06
2010-03-22,4.65,4.76,4.8,4.65,8222,25830526.44,3.23,2.37,0.11,3.38
2010-03-23,4.78,4.82,4.87,4.74,10494,33379907.52,2.73,1.26,0.06,4.32
2010-03-24,4.8,5.0,5.08,4.8,14552,47890093.26,5.81,3.73,0.18,5.99
2010-03-25,4.96,5.06,5.12,4.91,11846,39428153.74,4.2,1.2,0.06,4.87
2010-03-26,4.98,4.98,5.16,4.95,11365,37645714.09,4.15,-1.58,-0.08,4.68
2010-03-29,5.0,5.02,5.16,5.0,6532,21819189.78,3.21,0.8,0.04,2.69
2010-03-30,5.06,5.04,5.07,4.95,7871,25999459.88,2.39,0.4,0.02,3.24
2010-03-31,5.06,5.16,5.16,4.98,9101,30476031.08,3.57,2.38,0.12,3.75
2010-04-01,5.18,5.32,5.38,5.18,15717,54913961.13,3.88,3.1,0.16,6.47
2010-04-02,5.32,5.47,5.47,5.32,17041,60617081.8,2.82,2.82,0.15,7.01
2010-04-06,5.54,5.04,5.59,5.03,33822,116981808.24,10.24,-7.86,-0.43,13.92
2010-04-07,5.09,5.23,5.23,4.92,40553,135563499.49,6.15,3.77,0.19,16.69
2010-04-08,5.21,5.09,5.21,5.08,20107,68021135.19,2.49,-2.68,-0.14,8.27
2010-04-09,5.1,5.11,5.15,5.02,13989,46890435.77,2.55,0.39,0.02,5.76
2010-04-12,5.12,5.22,5.23,5.12,17554,60035233.27,2.15,2.15,0.11,7.22
2010-04-13,5.25,5.13,5.33,4.67,18444,61526311.72,12.64,-1.72,-0.09,7.59
2010-04-14,5.1,5.17,5.21,4.88,11013,37008527.9,6.43,0.78,0.04,4.53
2010-04-15,5.16,4.97,5.16,4.96,7746,25725619.56,3.87,-3.87,-0.2,3.19
2010-04-16,4.91,4.99,5.03,4.91,2968,9741322.14,2.41,0.4,0.02,1.22
2010-04-19,4.93,4.75,5.0,4.75,4930,15935148.47,5.01,-4.81,-0.24,2.03
2010-04-20,4.71,4.62,4.82,4.56,5425,16759423.67,5.47,-2.74,-0.13,2.23
2010-04-21,4.62,4.78,4.78,4.6,7916,24661908.02,3.9,3.46,0.16,3.26
2010-04-22,4.77,4.93,5.02,4.7,9412,30542209.3,6.69,3.14,0.15,3.87
2010-04-23,4.95,4.9,5.04,4.85,6114,19948042.5,3.85,-0.61,-0.03,2.52
2010-04-26,4.9,4.92,4.97,4.84,4236,13766759.79,2.65,0.41,0.02,1.74
2010-04-27,4.91,4.63,4.91,4.59,5223,16329261.89,6.5,-5.89,-0.29,2.15
2010-04-28,4.56,4.53,4.56,4.3,8323,24607508.46,5.62,-2.16,-0.1,3.43
2010-04-30,4.33,4.25,4.33,4.05,5008,14201949.51,6.18,-6.18,-0.28,2.06
2010-05-04,4.16,4.16,4.23,4.07,2092,5885395.68,3.76,-2.12,-0.09,0.86
2010-05-05,4.21,4.27,4.32,4.14,8983,25564740.4,4.33,2.64,0.11,3.7
2010-05-06,4.27,4.17,4.36,4.17,4874,13975372.79,4.45,-2.34,-0.1,2.01
2010-05-07,4.0,3.98,4.15,3.96,5140,14003937.48,4.56,-4.56,-0.19,2.12
2010-05-10,4.02,3.69,4.07,3.61,9686,25038251.64,11.56,-7.29,-0.29,3.99
2010-05-11,3.76,3.61,3.81,3.58,5680,14369746.47,6.23,-2.17,-0.08,2.34
2010-05-12,3.59,3.48,3.61,3.48,3832,9272397.1,3.6,-3.6,-0.13,1.58
2010-05-13,3.44,3.57,3.58,3.33,7452,17876457.36,7.18,2.59,0.09,3.07
2010-05-14,3.51,3.55,3.64,3.41,6601,10582626.39,6.44,-0.56,-0.02,1.81
2010-05-17,3.55,3.15,3.55,3.15,7878,11813942.24,11.27,-11.27,-0.4,2.16
2010-05-18,3.07,3.15,3.23,2.97,6708,9545093.05,8.25,0.0,0.0,1.84
2010-05-19,3.15,3.15,3.25,3.03,5901,8520141.34,6.98,0.0,0.0,1.62
2010-05-20,3.14,3.1,3.24,3.07,8161,11930911.6,5.4,-1.59,-0.05,2.24
2010-05-21,3.03,3.08,3.14,2.94,9555,13461706.57,6.45,-0.65,-0.02,2.62
2010-05-24,3.13,3.4,3.4,3.09,12643,18877257.63,10.06,10.39,0.32,3.47
2010-05-25,3.35,3.39,3.49,3.31,11966,18510206.37,5.29,-0.29,-0.01,3.28
2010-05-26,3.36,3.34,3.46,3.26,14168,21511162.28,5.9,-1.47,-0.05,3.89
2010-05-27,3.29,3.41,3.42,3.24,12912,19657703.4,5.39,2.1,0.07,3.54
2010-05-28,3.41,3.61,3.61,3.37,22408,35555002.66,7.04,5.87,0.2,6.15
2010-05-31,3.53,3.41,3.59,3.41,16403,26180754.77,4.99,-5.54,-0.2,4.5
2010-06-01,3.28,3.24,3.38,3.18,10442,15622971.78,5.87,-4.99,-0.17,2.86
2010-06-02,3.21,3.36,3.36,3.21,5477,8173842.91,4.63,3.7,0.12,1.5
2010-06-03,3.37,3.3,3.47,3.3,9783,15108099.23,5.06,-1.79,-0.06,2.68
2010-06-04,3.26,3.38,3.38,3.25,6454,9756775.8,3.94,2.42,0.08,1.77
2010-06-07,3.26,3.51,3.61,3.26,12920,20106856.74,10.36,3.85,0.13,3.54
2010-06-08,3.48,3.68,3.68,3.46,27141,44348834.55,6.27,4.84,0.17,7.45
2010-06-09,3.71,3.74,3.75,3.61,27273,45335920.56,3.8,1.63,0.06,7.48
2010-06-10,3.75,4.09,4.17,3.68,65492,118205981.82,13.1,9.36,0.35,17.97
2010-06-11,4.06,3.94,4.06,3.92,36145,64275524.73,3.42,-3.67,-0.15,9.92
2010-06-17,3.91,3.79,3.99,3.78,20480,35560720.84,5.33,-3.81,-0.15,5.62
2010-06-18,3.7,3.62,3.87,3.6,14702,24664052.58,7.12,-4.49,-0.17,4.03
2010-06-21,3.61,3.74,3.75,3.55,9861,16314246.44,5.52,3.31,0.12,2.71
2010-06-22,3.73,3.72,3.83,3.69,12127,20514372.94,3.74,-0.53,-0.02,3.33
2010-06-23,3.7,3.73,3.75,3.62,9577,15939240.65,3.49,0.27,0.01,2.63
2010-06-24,3.77,3.69,3.77,3.65,5734,9597745.52,3.22,-1.07,-0.04,1.57
