日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.0,2.99,3.03,2.97,55016,36493670.0,2.0,-0.33,-0.01,1.49
2010-01-05,2.98,2.97,3.0,2.93,66712,43698950.0,2.34,-0.67,-0.02,1.81
2010-01-06,2.98,2.98,3.05,2.97,87170,58084863.0,2.69,0.34,0.01,2.37
2010-01-07,2.95,2.92,3.02,2.89,94847,61868768.0,4.36,-2.01,-0.06,2.57
2010-01-08,2.92,2.99,3.0,2.9,69221,45112354.0,3.42,2.4,0.07,1.88
2010-01-11,3.0,3.13,3.16,2.96,204273,138566123.0,6.69,4.68,0.14,5.54
2010-01-12,3.11,3.14,3.16,3.08,176976,122018337.0,2.56,0.32,0.01,4.8
2010-01-13,3.04,3.04,3.12,3.03,118903,80522965.0,2.87,-3.18,-0.1,3.23
2010-01-15,3.12,3.15,3.21,3.11,177606,123239227.0,3.29,3.62,0.11,4.82
2010-01-18,3.11,3.22,3.24,3.08,128689,89351332.0,5.08,2.22,0.07,3.49
2010-01-19,3.21,3.18,3.22,3.15,90472,63329921.0,2.17,-1.24,-0.04,2.46
2010-01-20,3.17,3.1,3.22,3.08,110519,76530545.0,4.4,-2.52,-0.08,3.0
2010-01-21,3.1,3.12,3.14,3.08,59265,40578155.0,1.94,0.65,0.02,1.61
2010-01-22,3.11,3.16,3.22,3.05,150250,104365073.0,5.45,1.28,0.04,4.08
2010-01-25,3.13,3.15,3.21,3.09,87736,60997110.0,3.8,-0.32,-0.01,2.38
2010-01-26,3.15,2.94,3.19,2.93,115905,78925801.0,8.25,-6.67,-0.21,3.15
2010-01-27,2.92,2.92,2.97,2.82,64365,41522512.0,5.1,-0.68,-0.02,1.75
2010-01-28,2.91,2.96,3.0,2.83,34949,22797011.0,5.82,1.37,0.04,0.95
2010-01-29,2.97,2.94,2.99,2.92,30813,20180340.0,2.36,-0.68,-0.02,0.84
2010-02-01,2.91,3.0,3.01,2.89,56396,36901697.0,4.08,2.04,0.06,1.53
2010-02-02,3.04,2.98,3.08,2.97,45925,30704289.0,3.67,-0.67,-0.02,1.25
2010-02-03,2.94,3.05,3.06,2.91,52798,34919377.0,5.03,2.35,0.07,1.43
2010-02-04,3.03,3.14,3.14,3.0,86068,58750731.0,4.59,2.95,0.09,2.34
2010-02-05,3.06,3.23,3.3,3.06,195182,137130723.0,7.64,2.87,0.09,5.3
2010-02-08,3.21,3.17,3.24,3.14,62967,44025264.0,3.1,-1.86,-0.06,1.71
2010-02-09,3.16,3.21,3.25,3.14,68303,48124177.0,3.47,1.26,0.04,1.85
2010-02-10,3.24,3.22,3.25,3.17,56779,40027421.0,2.49,0.31,0.01,1.54
2010-02-11,3.21,3.24,3.3,3.16,86595,61386984.0,4.35,0.62,0.02,2.35
2010-02-12,3.23,3.23,3.26,3.19,55471,39184987.0,2.16,-0.31,-0.01,1.51
2010-02-22,3.21,3.32,3.4,3.2,150505,109440132.0,6.19,2.79,0.09,4.08
2010-02-23,3.3,3.52,3.57,3.29,238756,180164126.0,8.43,6.02,0.2,6.48
2010-02-24,3.48,3.56,3.58,3.44,150094,115609811.0,3.98,1.14,0.04,4.07
2010-02-25,3.53,3.57,3.61,3.53,123427,95826546.0,2.25,0.28,0.01,3.35
2010-02-26,3.53,3.48,3.6,3.46,160032,122669432.0,3.92,-2.52,-0.09,4.34
2010-03-01,3.47,3.63,3.65,3.45,148155,114282743.0,5.75,4.31,0.15,4.02
2010-03-02,3.63,3.55,3.67,3.49,117691,91545134.0,4.96,-2.2,-0.08,3.19
2010-03-03,3.56,3.58,3.61,3.52,88395,68562094.0,2.54,0.85,0.03,2.4
2010-03-04,3.58,3.44,3.61,3.41,108448,82928882.0,5.59,-3.91,-0.14,2.94
2010-03-05,3.44,3.43,3.49,3.39,62358,46817849.0,2.91,-0.29,-0.01,1.69
2010-03-08,3.44,3.53,3.59,3.44,64576,49646539.0,4.37,2.92,0.1,1.75
2010-03-09,3.56,3.54,3.61,3.5,56224,43609435.0,3.12,0.28,0.01,1.53
2010-03-10,3.55,3.56,3.64,3.52,72118,56273247.0,3.39,0.56,0.02,1.96
2010-03-11,3.57,3.7,3.76,3.53,185657,148140093.0,6.46,3.93,0.14,5.04
2010-03-12,3.68,3.5,3.72,3.49,103824,81366126.0,6.22,-5.41,-0.2,2.82
2010-03-15,3.47,3.51,3.54,3.42,65027,49328937.0,3.43,0.29,0.01,1.76
2010-03-16,3.48,3.58,3.6,3.47,52600,40735128.0,3.7,1.99,0.07,1.43
2010-03-17,3.6,3.66,3.66,3.56,63201,49979301.0,2.79,2.23,0.08,1.72
2010-03-18,3.65,3.63,3.72,3.59,58506,46299987.0,3.55,-0.82,-0.03,1.59
2010-03-19,3.66,3.76,3.78,3.62,123724,100223026.0,4.41,3.58,0.13,3.36
2010-03-22,3.78,3.77,3.81,3.69,82596,67179657.0,3.19,0.27,0.01,2.24
2010-03-23,3.77,3.72,3.77,3.69,58531,47214485.0,2.12,-1.33,-0.05,1.59
2010-03-24,3.72,3.79,3.8,3.7,68855,55988026.0,2.69,1.88,0.07,1.87
2010-03-25,3.77,3.84,3.99,3.75,156946,132189447.0,6.33,1.32,0.05,4.26
2010-03-26,3.81,3.97,4.02,3.81,113314,96768156.0,5.47,3.39,0.13,3.08
2010-03-29,3.96,4.17,4.17,3.9,156704,136762542.0,6.8,5.04,0.2,4.25
2010-03-30,4.18,4.28,4.47,4.17,297541,276900746.0,7.19,2.64,0.11,8.08
2010-03-31,4.73,4.74,4.74,4.42,1316205,1286112054.0,7.48,10.75,0.46,35.72
2010-04-01,4.62,4.74,4.8,4.6,686573,690246190.0,4.22,0.0,0.0,18.63
2010-04-02,4.75,4.94,5.16,4.69,646273,676484712.0,9.92,4.22,0.2,17.54
2010-04-06,4.99,5.01,5.09,4.94,360940,384942465.0,3.04,1.42,0.07,9.8
2010-04-07,4.97,5.16,5.21,4.97,368591,400139741.0,4.79,2.99,0.15,10.0
