日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,12.96,12.87,13.04,12.8,46402,76914285.0,1.86,-0.39,-0.05,1.38
2010-01-05,12.86,12.73,12.96,12.52,47068,76778736.0,3.42,-1.09,-0.14,1.4
2010-01-06,12.73,12.53,12.73,12.35,60175,97192742.0,2.99,-1.57,-0.2,1.78
2010-01-07,12.53,12.75,12.86,12.35,82522,134014818.0,4.07,1.76,0.22,2.45
2010-01-08,12.56,12.96,12.97,12.45,74354,122305436.0,4.08,1.65,0.21,2.2
2010-01-11,12.95,13.4,13.54,12.86,131038,222278183.0,5.25,3.4,0.44,3.88
2010-01-12,13.42,13.45,13.55,13.1,87994,149938107.0,3.36,0.37,0.05,2.61
2010-01-13,13.15,13.56,13.73,13.05,126003,215889454.0,5.06,0.82,0.11,3.74
2010-01-14,13.6,13.88,14.08,13.41,158332,275493900.0,4.94,2.36,0.32,4.69
2010-01-15,13.88,13.67,13.97,13.59,98665,171629592.0,2.74,-1.51,-0.21,2.93
2010-01-18,13.64,13.59,13.65,13.38,79402,136221332.0,1.98,-0.59,-0.08,2.35
2010-01-19,13.55,13.53,13.65,13.41,60318,103363539.0,1.77,-0.44,-0.06,1.79
2010-01-20,13.48,12.66,13.65,12.61,86462,144781361.0,7.69,-6.43,-0.87,2.56
2010-01-21,12.65,12.6,12.83,12.35,55611,90110565.0,3.79,-0.47,-0.06,1.65
2010-01-22,12.54,12.27,12.54,11.95,60251,95691026.0,4.68,-2.62,-0.33,1.79
2010-01-25,12.27,12.26,12.6,12.2,23804,38222774.0,3.26,-0.08,-0.01,0.71
2010-01-26,12.35,11.4,12.47,11.25,45030,69270418.0,9.95,-7.01,-0.86,1.34
2010-01-27,11.42,11.28,11.6,11.23,25574,38507557.0,3.25,-1.05,-0.12,0.76
2010-01-28,11.28,11.48,11.6,11.25,26350,39780094.0,3.1,1.77,0.2,0.78
2010-01-29,11.49,11.77,11.94,11.41,28765,44216418.0,4.62,2.53,0.29,0.85
2010-02-01,11.77,11.43,11.77,11.36,28318,42790812.0,3.48,-2.89,-0.34,0.84
2010-02-02,11.41,11.21,11.61,11.16,28747,43277744.0,3.94,-1.92,-0.22,0.85
2010-02-03,11.26,11.39,11.48,10.73,27817,41237799.0,6.69,1.61,0.18,0.82
2010-02-04,11.38,11.36,11.52,11.14,37326,55933959.0,3.34,-0.26,-0.03,1.11
2010-02-05,10.85,11.11,11.2,10.8,29252,42949110.0,3.52,-2.2,-0.25,0.87
2010-02-08,10.97,11.39,11.54,10.97,28078,41997469.0,5.13,2.52,0.28,0.83
2010-02-09,11.41,11.33,11.75,11.23,23245,35219017.0,4.57,-0.53,-0.06,0.69
2010-02-10,11.38,11.45,11.53,11.35,15061,22695239.0,1.59,1.06,0.12,0.45
2010-02-11,11.45,11.47,11.58,11.45,18945,28695088.0,1.14,0.17,0.02,0.56
