日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-21,0.59,1.07,1.07,0.59,22467,60310235.0,228.57,409.52,0.86,10.43
2014-01-22,0.97,1.13,1.28,0.79,147900,404559104.0,45.79,5.61,0.06,68.66
2014-01-23,0.99,1.07,1.17,0.95,90294,250354322.0,19.47,-5.31,-0.06,41.92
2014-01-24,1.07,1.34,1.34,1.07,55575,165157338.0,25.23,25.23,0.27,25.8
2014-01-27,1.38,1.41,1.58,1.24,100096,312172944.0,25.37,5.22,0.07,46.47
2014-01-28,1.29,1.29,1.38,1.19,64078,193194862.0,13.48,-8.51,-0.12,29.75
2014-01-29,1.26,1.16,1.26,1.11,61697,177550368.0,11.63,-10.08,-0.13,28.64
2014-01-30,1.12,1.14,1.21,1.09,28966,82899086.0,10.34,-1.72,-0.02,13.45
2014-02-07,1.13,1.22,1.23,1.13,28651,83132889.0,8.77,7.02,0.08,13.3
2014-02-10,1.21,1.32,1.38,1.16,56711,170201330.0,18.03,8.2,0.1,26.33
2014-02-11,1.31,1.58,1.6,1.29,73512,231858122.0,23.48,19.7,0.26,34.13
2014-02-12,1.51,1.64,1.83,1.48,83812,281643056.0,22.15,3.8,0.06,38.91
2014-02-13,1.57,1.54,1.61,1.5,43778,143009614.0,6.71,-6.1,-0.1,20.32
2014-02-14,1.51,1.73,1.79,1.51,54445,186009976.0,18.18,12.34,0.19,25.28
2014-02-17,1.75,1.92,1.93,1.69,63111,224066390.0,13.87,10.98,0.19,29.3
2014-02-18,1.88,1.86,2.03,1.8,65146,236384022.0,11.98,-3.13,-0.06,30.24
2014-02-19,1.82,1.77,1.88,1.59,41462,143656085.0,15.59,-4.84,-0.09,19.25
2014-02-20,1.74,1.75,1.89,1.67,32307,112911525.0,12.43,-1.13,-0.02,15.0
2014-02-21,1.72,1.74,1.77,1.67,21628,74354084.0,5.71,-0.57,-0.01,10.04
2014-02-24,1.75,1.78,1.79,1.73,19889,69303217.0,3.45,2.3,0.04,9.23
2014-02-25,1.85,1.58,1.95,1.52,44751,157903819.0,24.16,-11.24,-0.2,20.78
2014-02-26,1.51,1.48,1.52,1.29,28092,88525757.0,14.56,-6.33,-0.1,13.04
2014-02-27,1.48,1.36,1.58,1.32,24619,77719355.0,17.57,-8.11,-0.12,11.43
2014-02-28,1.31,1.59,1.65,1.31,32809,105593860.0,25.0,16.91,0.23,15.23
2014-03-03,1.57,1.92,1.92,1.55,52424,185844374.0,23.27,20.75,0.33,24.34
2014-03-04,2.02,1.8,2.17,1.75,71841,264468765.0,21.88,-6.25,-0.12,33.35
2014-03-05,1.75,1.93,1.97,1.69,46935,167525227.0,15.56,7.22,0.13,21.79
2014-03-06,1.91,2.07,2.19,1.75,53696,199810581.0,22.8,7.25,0.14,24.93
2014-03-07,2.03,1.81,2.03,1.76,41519,150748526.0,13.04,-12.56,-0.26,19.28
2014-03-10,1.74,1.66,1.78,1.64,20019,68569627.0,7.73,-8.29,-0.15,9.29
2014-03-11,1.63,1.68,1.77,1.63,18225,62477316.0,8.43,1.2,0.02,8.46
2014-03-12,1.68,1.57,1.73,1.44,25543,84140429.0,17.26,-6.55,-0.11,11.86
2014-03-13,1.57,1.59,1.61,1.5,11772,38684930.0,7.01,1.27,0.02,5.46
2014-03-14,1.57,1.59,1.65,1.54,13199,43786177.0,6.92,0.0,0.0,6.13
2014-03-17,1.59,1.62,1.62,1.56,10899,36103135.0,3.77,1.89,0.03,5.06
2014-03-18,1.62,1.62,1.7,1.57,15470,52281954.0,8.02,0.0,0.0,7.18
2014-03-19,1.57,1.52,1.61,1.46,18322,59284775.0,9.26,-6.17,-0.1,8.51
2014-03-20,1.51,1.46,1.54,1.46,11888,38423348.0,5.26,-3.95,-0.06,5.52
2014-03-21,1.44,1.5,1.51,1.34,15428,48872599.0,11.64,2.74,0.04,7.16
2014-03-24,1.41,1.35,1.48,1.35,17867,55690417.0,8.67,-10.0,-0.15,8.29
2014-03-25,1.33,1.29,1.38,1.28,11295,34227102.0,7.41,-4.44,-0.06,5.24
2014-03-26,1.29,1.33,1.38,1.29,7374,22588734.0,6.98,3.1,0.04,3.42
2014-03-27,1.35,1.18,1.35,1.18,13531,39814030.0,12.78,-11.28,-0.15,6.28
2014-03-28,1.18,1.19,1.28,1.09,13733,40030308.0,16.1,0.85,0.01,6.38
2014-03-31,1.19,1.14,1.21,1.12,7445,21390458.0,7.56,-4.2,-0.05,3.46
2014-04-01,1.15,1.2,1.24,1.15,6588,19203807.0,7.89,5.26,0.06,3.06
2014-04-02,1.2,1.3,1.35,1.15,13337,39565007.0,16.67,8.33,0.1,6.19
2014-04-03,1.26,1.26,1.35,1.25,10099,30425904.0,7.69,-3.08,-0.04,4.69
2014-04-04,1.25,1.26,1.28,1.22,5716,16935837.0,4.76,0.0,0.0,2.65
2014-04-08,1.25,1.29,1.33,1.22,9284,27860463.0,8.73,2.38,0.03,4.31
2014-04-09,1.31,1.34,1.38,1.29,12446,37913777.0,6.98,3.88,0.05,5.78
2014-04-10,1.37,1.38,1.42,1.35,17300,53715921.0,5.22,2.99,0.04,8.03
2014-04-11,1.36,1.37,1.4,1.33,11105,34197110.0,5.07,-0.72,-0.01,5.16
2014-04-14,1.37,1.37,1.41,1.35,6545,20261923.0,4.38,0.0,0.0,3.04
2014-04-15,1.36,1.34,1.36,1.34,6690,20460702.0,1.46,-2.19,-0.03,3.11
2014-04-16,1.33,1.35,1.37,1.32,6147,18801789.0,3.73,0.75,0.01,2.85
2014-04-17,1.37,1.36,1.4,1.35,11554,35731932.0,3.7,0.74,0.01,5.36
2014-04-18,1.34,1.37,1.38,1.33,5320,16321830.0,3.68,0.74,0.01,2.47
2014-04-21,1.34,1.46,1.5,1.33,22676,71796522.0,12.41,6.57,0.09,10.53
2014-04-22,1.46,1.34,1.46,1.32,12908,38913657.0,9.59,-8.22,-0.12,5.99
2014-04-23,1.33,1.3,1.37,1.29,8257,24456803.0,5.97,-2.99,-0.04,3.83
2014-04-24,1.29,1.19,1.3,1.17,9993,28530243.0,10.0,-8.46,-0.11,4.64
2014-04-25,1.2,1.21,1.26,1.2,6206,17744869.0,5.04,1.68,0.02,2.88
2014-04-28,1.24,1.07,1.3,1.04,9145,25423471.0,21.49,-11.57,-0.14,4.25
2014-04-29,1.07,1.14,1.15,1.07,8245,22685897.0,7.48,6.54,0.07,3.83
2014-04-30,1.14,1.17,1.18,1.12,5172,14402200.0,5.26,2.63,0.03,2.4
2014-05-05,1.16,1.22,1.23,1.11,7666,21641908.0,10.26,4.27,0.05,3.56
2014-05-06,1.2,1.28,1.32,1.19,14225,41526132.0,10.66,4.92,0.06,6.6
2014-05-07,1.27,1.34,1.41,1.24,18239,54071483.0,13.28,4.69,0.06,8.47
2014-05-08,1.3,1.27,1.36,1.27,11025,32507277.0,6.72,-5.22,-0.07,5.12
2014-05-09,1.26,1.27,1.3,1.23,7983,23159672.0,5.51,0.0,0.0,3.71
2014-05-12,1.29,1.32,1.34,1.26,10805,31840448.0,6.3,3.94,0.05,5.02
2014-05-13,1.32,1.29,1.37,1.28,9762,28840130.0,6.82,-2.27,-0.03,4.53
2014-05-14,1.28,1.35,1.35,1.26,15447,45388139.0,6.98,4.65,0.06,7.17
2014-05-15,1.34,1.33,1.4,1.31,15869,47520132.0,6.67,-1.48,-0.02,7.37
2014-05-16,1.34,1.23,1.34,1.18,12485,36181658.0,12.03,-7.52,-0.1,5.8
2014-05-19,1.22,1.2,1.25,1.19,4283,12223796.0,4.88,-2.44,-0.03,1.99
2014-05-20,1.28,1.29,1.4,1.28,16079,47801883.0,10.0,7.5,0.09,7.46
2014-05-21,1.28,1.31,1.32,1.23,8493,24730499.0,6.98,1.55,0.02,3.94
2014-05-22,1.32,1.27,1.35,1.27,8949,26396597.0,6.11,-3.05,-0.04,4.15
2014-05-23,1.27,1.33,1.34,1.26,7619,22377218.0,6.3,4.72,0.06,3.54
2014-05-26,1.31,1.38,1.39,1.31,12813,38402620.0,6.02,3.76,0.05,5.95
2014-05-27,1.38,1.37,1.4,1.35,10679,32191171.0,3.62,-0.72,-0.01,4.96
2014-05-28,1.35,1.39,1.4,1.34,11872,35802959.0,4.38,1.46,0.02,5.51
2014-05-29,1.39,1.36,1.43,1.36,11599,35071267.0,5.04,-2.16,-0.03,5.38
2014-05-30,1.35,1.36,1.37,1.33,8728,26011978.0,2.94,0.0,0.0,4.05
2014-06-03,1.35,1.33,1.37,1.32,5662,16858255.0,3.68,-2.21,-0.03,2.63
2014-06-04,1.34,1.33,1.35,1.31,4821,14266526.0,3.01,0.0,0.0,2.24
2014-06-05,1.35,1.35,1.37,1.32,6445,19256312.0,3.76,1.5,0.02,2.99
2014-06-06,1.36,1.41,1.42,1.34,12429,37606602.0,5.93,4.44,0.06,5.77
2014-06-09,1.41,1.35,1.42,1.35,8856,26686202.0,4.96,-4.26,-0.06,4.11
2014-06-10,1.36,1.43,1.43,1.35,14499,44112744.0,5.93,5.93,0.08,6.73
