日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-11-10,0.44,0.44,0.44,0.44,500,144000.0,0.0,-92.37,-5.33,0.86
2017-02-15,3.4,3.4,3.4,3.4,10,8800.0,0.0,672.73,2.96,0.01
2017-03-28,3.44,3.44,3.44,3.44,20,17760.0,0.0,1.18,0.04,0.02
2017-05-04,3.58,3.58,3.58,3.58,10,9150.0,0.0,4.07,0.14,0.01
2017-07-17,3.59,3.59,3.59,3.59,20,18360.0,0.0,0.28,0.01,0.02
2017-07-21,3.59,3.59,3.59,3.59,40,36720.0,0.0,0.0,0.0,0.04
2017-08-17,3.6,3.75,3.75,3.6,50,47050.0,4.18,4.46,0.16,0.05
2017-09-08,3.8,3.8,3.8,3.8,20,19190.0,0.0,1.33,0.05,0.02
2017-09-11,4.0,4.0,4.0,4.0,30,30000.0,0.0,5.26,0.2,0.03
2017-09-12,4.1,4.1,4.1,4.1,30,30570.0,0.0,2.5,0.1,0.03
2017-09-14,4.15,4.15,4.15,4.15,10,10300.0,0.0,1.22,0.05,0.01
2017-09-15,4.26,4.26,4.26,4.26,10,10520.0,0.0,2.65,0.11,0.01
2017-09-18,4.39,4.39,4.39,4.39,20,21560.0,0.0,3.05,0.13,0.02
2017-09-22,4.58,4.63,4.63,4.58,30,33560.0,1.14,5.47,0.24,0.03
2017-09-25,4.65,4.65,4.65,4.65,20,22580.0,0.0,0.43,0.02,0.02
2017-09-26,4.71,4.79,4.79,4.71,20,22980.0,1.72,3.01,0.14,0.02
2017-09-27,5.0,5.0,5.0,5.0,20,24000.0,0.0,4.38,0.21,0.02
2017-10-09,5.21,5.21,5.28,5.21,40,49810.0,1.4,4.2,0.21,0.04
2017-10-10,5.43,5.63,5.63,5.43,50,65190.0,3.84,8.06,0.42,0.05
2017-10-11,5.84,6.46,6.55,5.84,100,144950.0,12.61,14.74,0.83,0.1
2018-01-12,6.35,4.9,6.35,4.79,90,115430.0,24.15,-24.15,-1.56,0.09
2018-02-02,4.68,4.67,4.68,4.63,30,33980.0,1.02,-4.69,-0.23,0.03
2018-03-09,4.5,4.5,4.5,4.5,10,11000.0,0.0,-3.64,-0.17,0.01
2018-03-12,4.47,4.47,4.47,4.47,20,21860.0,0.0,-0.67,-0.03,0.02
2018-04-03,4.32,4.32,4.32,4.32,20,21280.0,0.0,-3.36,-0.15,0.02
2018-04-04,4.19,4.19,4.19,4.19,20,20740.0,0.0,-3.01,-0.13,0.02
2018-05-28,4.05,4.05,4.05,4.05,20,20180.0,0.0,-3.34,-0.14,0.01
2018-09-12,4.17,4.17,4.17,4.17,20,20680.0,0.0,2.96,0.12,0.01
2018-10-24,4.17,4.17,4.17,4.17,250,258500.0,0.0,0.0,0.0,0.18
2018-10-25,4.19,4.19,4.19,4.19,250,259500.0,0.0,0.48,0.02,0.18
2018-11-08,4.1,4.1,4.1,4.1,20,20400.0,0.0,-2.15,-0.09,0.01
2018-12-24,5.07,4.43,5.07,4.08,30,32580.0,24.15,8.05,0.33,0.02
2019-01-02,4.0,4.0,4.0,4.0,10,10000.0,0.0,-9.71,-0.43,0.01
2019-01-21,3.9,3.9,3.9,3.9,30,29400.0,0.0,-2.5,-0.1,0.02
2019-03-05,3.85,3.85,3.85,3.85,20,19380.0,0.0,-1.28,-0.05,0.01
2019-04-30,3.76,3.76,3.76,3.76,40,38040.0,0.0,-2.34,-0.09,0.03
2019-05-16,3.55,3.55,3.55,3.55,20,18180.0,0.0,-5.59,-0.21,0.01
