日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-11-10,7.44,9.25,9.25,7.44,242,314089.0,30.47,55.72,3.31,0.03
2017-11-13,10.33,10.33,10.33,10.33,120,171480.0,0.0,11.68,1.08,0.02
2017-11-14,11.52,11.52,11.52,11.52,80,125760.0,0.0,11.52,1.19,0.01
2017-11-15,12.83,12.83,12.83,12.83,195,336671.0,0.0,11.37,1.31,0.03
2017-11-16,14.27,14.27,14.27,14.27,312,593424.0,0.0,11.22,1.44,0.04
2017-11-17,15.86,15.86,15.86,15.86,1446,3023986.0,0.0,11.14,1.59,0.19
2017-11-20,17.6,17.6,17.6,17.6,2242,5157853.0,0.0,10.97,1.74,0.29
2017-11-21,19.16,16.18,19.16,15.86,365925,821734816.0,18.75,-8.07,-1.42,48.15
2017-11-22,15.78,17.96,17.96,15.17,317523,694987856.0,17.24,11.0,1.78,41.78
2017-11-23,17.59,17.94,19.91,17.03,443405,1052273232.0,16.04,-0.11,-0.02,58.34
2017-11-24,16.42,15.99,17.92,15.99,264700,576737408.0,10.76,-10.87,-1.95,34.83
2017-11-27,15.36,14.23,15.76,14.23,210451,415885136.0,9.57,-11.01,-1.76,27.69
2017-11-28,14.09,14.35,14.87,14.06,142772,273737056.0,5.69,0.84,0.12,18.79
2017-11-29,14.26,14.16,14.51,13.17,188163,349262272.0,9.34,-1.32,-0.19,24.76
2017-11-30,14.23,14.67,15.24,14.06,207291,406563520.0,8.33,3.6,0.51,27.28
2017-12-01,14.26,14.24,14.51,13.6,132071,249421642.0,6.2,-2.93,-0.43,17.38
2017-12-04,13.76,12.82,14.07,12.68,140154,249924655.0,9.76,-9.97,-1.42,18.44
2017-12-05,12.65,12.38,12.97,12.16,87702,148278369.0,6.32,-3.43,-0.44,11.54
2017-12-06,12.32,12.67,12.75,12.13,75718,127685312.0,5.01,2.34,0.29,9.96
2017-12-07,12.55,12.32,12.65,12.28,60926,102423391.0,2.92,-2.76,-0.35,8.02
2017-12-08,12.26,12.57,12.87,12.17,87841,149900713.0,5.68,2.03,0.25,11.56
2017-12-11,12.6,12.63,12.71,12.45,66481,112914512.0,2.07,0.48,0.06,8.75
2017-12-12,12.54,11.79,12.55,11.76,86423,142067762.0,6.25,-6.65,-0.84,11.37
2017-12-13,11.75,11.87,12.0,11.66,40651,65505453.0,2.88,0.68,0.08,5.35
2017-12-14,11.93,12.15,12.34,11.77,74656,122742731.0,4.8,2.36,0.28,9.82
2017-12-15,12.02,12.13,12.36,11.85,61444,100887188.0,4.2,-0.16,-0.02,8.08
2017-12-18,12.05,12.08,12.23,11.81,47106,76821531.0,3.46,-0.41,-0.05,6.2
2017-12-19,11.93,12.24,12.39,11.93,53037,87495809.0,3.81,1.32,0.16,6.98
2017-12-20,12.16,11.82,12.22,11.77,49493,80392328.0,3.68,-3.43,-0.42,6.51
2017-12-21,11.75,11.57,11.76,11.36,55154,87068034.0,3.38,-2.12,-0.25,7.26
2017-12-22,11.66,11.55,11.89,11.54,39172,62442557.0,3.03,-0.17,-0.02,5.15
2017-12-25,11.4,11.52,11.58,10.95,68632,105864954.0,5.45,-0.26,-0.03,9.03
2017-12-26,11.38,12.47,12.76,11.31,134277,222147301.0,12.59,8.25,0.95,17.67
2017-12-27,12.22,12.62,13.03,12.22,152407,259913464.0,6.5,1.2,0.15,20.05
2017-12-28,12.37,13.08,13.15,12.32,155360,269461744.0,6.58,3.65,0.46,20.44
2017-12-29,12.9,12.72,13.12,12.61,93878,162333603.0,3.9,-2.75,-0.36,12.35
2018-01-02,12.91,13.93,14.16,12.72,214357,391575888.0,11.32,9.51,1.21,28.2
2018-01-03,13.61,13.62,13.93,13.26,146578,266483390.0,4.81,-2.23,-0.31,19.29
2018-01-04,13.43,13.17,13.77,13.14,100078,179924612.0,4.63,-3.3,-0.45,13.17
2018-01-05,13.04,12.78,13.42,12.77,88892,155670182.0,4.94,-2.96,-0.39,11.7
2018-01-08,12.73,13.66,13.83,12.6,149255,267967878.0,9.62,6.89,0.88,19.64
2018-01-09,13.51,13.21,13.59,13.14,105856,189646124.0,3.29,-3.29,-0.45,13.93
2018-01-10,13.12,12.83,13.14,12.59,93630,161822335.0,4.16,-2.88,-0.38,12.32
2018-01-11,12.69,13.16,13.54,12.69,109734,194586505.0,6.63,2.57,0.33,14.44
2018-01-12,12.92,13.27,13.51,12.71,110596,195132904.0,6.08,0.84,0.11,14.55
2018-01-15,13.25,13.8,14.67,12.9,205748,380931376.0,13.34,3.99,0.53,27.07
2018-01-16,13.84,14.41,14.89,13.59,210530,401936144.0,9.42,4.42,0.61,27.7
2018-01-17,14.2,14.21,14.67,13.85,142583,270330912.0,5.69,-1.39,-0.2,18.76
2018-01-18,14.17,14.92,15.07,13.97,201841,391509488.0,7.74,5.0,0.71,26.56
2018-01-19,14.69,14.07,14.9,13.97,160489,309486656.0,6.23,-5.7,-0.85,21.12
