日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-08-02,7.59,9.31,9.31,7.59,16953,19143329.0,27.92,51.14,3.15,0.51
2019-08-05,10.33,10.33,10.33,10.33,8342,10385416.0,0.0,10.96,1.02,0.25
2019-08-06,11.47,11.47,11.47,11.47,23927,32779948.0,0.0,11.04,1.14,0.72
2019-08-07,12.72,10.84,12.72,10.73,1563958,2105558624.0,17.35,-5.49,-0.63,46.92
2019-08-08,10.33,9.97,10.68,9.74,1120258,1369081072.0,8.67,-8.03,-0.87,33.61
2019-08-09,9.74,9.2,9.79,9.16,832750,958878768.0,6.32,-7.72,-0.77,24.98
2019-08-12,9.04,9.31,9.41,9.04,501862,564987232.0,4.02,1.2,0.11,15.06
2019-08-13,9.13,8.84,9.16,8.8,527056,575030080.0,3.87,-5.05,-0.47,15.81
2019-08-14,8.98,8.69,9.04,8.65,468590,505168272.0,4.41,-1.7,-0.15,14.06
2019-08-15,8.33,8.48,8.62,8.24,439722,454478544.0,4.37,-2.42,-0.21,13.19
2019-08-16,8.49,8.56,8.78,8.4,494801,522942160.0,4.48,0.94,0.08,14.84
2019-08-19,8.48,9.0,9.2,8.4,709289,758472832.0,9.35,5.14,0.44,21.28
2019-08-20,8.88,8.79,8.96,8.75,475292,513850816.0,2.33,-2.33,-0.21,14.26
2019-08-21,8.81,8.56,8.87,8.52,348580,369950192.0,3.98,-2.62,-0.23,10.46
2019-08-22,8.59,8.61,8.64,8.51,243937,256703188.0,1.52,0.58,0.05,7.32
2019-08-23,8.61,8.59,8.74,8.52,295389,312609872.0,2.56,-0.23,-0.02,8.86
2019-08-26,8.32,8.32,8.4,8.3,260045,266544690.0,1.16,-3.14,-0.27,7.8
2019-08-27,8.36,8.63,8.86,8.36,474780,501905456.0,6.01,3.73,0.31,14.24
2019-08-28,8.57,8.46,8.61,8.44,269320,280908864.0,1.97,-1.97,-0.17,8.08
2019-08-29,8.5,8.4,8.54,8.38,217071,225084894.0,1.89,-0.71,-0.06,6.51
2019-08-30,8.47,8.29,8.55,8.25,285134,293261616.0,3.57,-1.31,-0.11,8.55
2019-09-02,8.3,8.62,8.74,8.3,508276,534876928.0,5.31,3.98,0.33,15.25
2019-09-03,8.57,8.53,8.61,8.42,367229,383034032.0,2.2,-1.04,-0.09,11.02
2019-09-04,8.53,8.82,9.01,8.47,705926,760424784.0,6.33,3.4,0.29,21.18
2019-09-05,8.92,9.0,9.33,8.84,928406,1027222384.0,5.56,2.04,0.18,27.85
2019-09-06,9.07,8.9,9.15,8.77,480661,521575024.0,4.22,-1.11,-0.1,14.42
2019-09-09,9.15,8.95,9.15,8.89,537963,590111584.0,2.92,0.56,0.05,16.14
2019-09-10,8.91,8.89,8.97,8.76,367755,397157696.0,2.35,-0.67,-0.06,11.03
2019-09-11,8.96,8.83,8.96,8.79,330218,358310720.0,1.91,-0.67,-0.06,9.91
2019-09-12,8.83,8.89,8.9,8.8,254008,274646448.0,1.13,0.68,0.06,7.62
2019-09-16,8.89,8.77,8.92,8.74,270933,291282352.0,2.02,-1.35,-0.12,8.13
2019-09-17,8.72,8.43,8.73,8.36,326167,341644240.0,4.22,-3.88,-0.34,9.79
2019-09-18,8.45,8.42,8.54,8.41,184392,191665174.0,1.54,-0.12,-0.01,5.53
2019-09-19,8.47,8.5,8.53,8.32,211089,218121644.0,2.49,0.95,0.08,6.33
2019-09-20,8.51,8.48,8.52,8.41,181552,189014075.0,1.29,-0.24,-0.02,5.45
2019-09-23,8.42,8.41,8.45,8.33,155711,160234144.0,1.42,-0.83,-0.07,4.67
2019-09-24,8.47,8.52,8.64,8.45,296741,311634784.0,2.26,1.31,0.11,8.9
2019-09-25,8.42,8.45,8.62,8.35,275622,287112992.0,3.17,-0.82,-0.07,8.27
2019-09-26,8.46,8.78,8.9,8.39,715025,760453328.0,6.04,3.91,0.33,21.45
2019-09-27,8.68,8.71,8.79,8.55,440107,466317872.0,2.73,-0.8,-0.07,13.2
2019-09-30,8.7,8.22,8.78,8.19,406209,424780624.0,6.77,-5.63,-0.49,12.19
2019-10-08,8.08,7.99,8.17,7.84,347472,344063296.0,4.01,-2.8,-0.23,10.42
2019-10-09,7.93,8.15,8.37,7.9,319162,321576192.0,5.88,2.0,0.16,9.57
2019-10-10,8.11,8.09,8.16,8.03,212525,211821491.0,1.6,-0.74,-0.06,6.38
2019-10-11,8.07,8.18,8.26,8.04,261211,263165081.0,2.72,1.11,0.09,7.84
2019-10-14,8.2,8.8,9.1,8.19,814004,871668592.0,11.12,7.58,0.62,24.42
2019-10-15,8.71,9.12,9.22,8.66,827982,902898800.0,6.36,3.64,0.32,24.84
2019-10-16,9.15,8.98,9.37,8.86,706414,780924576.0,5.59,-1.54,-0.14,21.19
2019-10-17,8.9,8.83,9.0,8.75,369251,399860304.0,2.78,-1.67,-0.15,11.08
2019-10-18,8.84,8.41,8.95,8.32,485758,512770960.0,7.13,-4.76,-0.42,14.57
2019-10-21,8.32,8.32,8.47,8.16,278141,284582880.0,3.69,-1.07,-0.09,8.34
2019-10-22,8.39,8.35,8.45,8.23,232532,238008424.0,2.64,0.36,0.03,6.98
2019-10-23,8.32,8.28,8.42,8.25,197024,201558398.0,2.04,-0.84,-0.07,5.91
2019-10-24,8.24,8.48,8.57,8.22,323050,335255232.0,4.23,2.42,0.2,9.69
2019-10-25,8.45,8.42,8.46,8.27,233372,239832743.0,2.24,-0.71,-0.06,7.0
2019-10-28,8.38,8.41,8.41,8.29,220279,226107138.0,1.43,-0.12,-0.01,6.61
2019-10-29,8.39,8.19,8.39,8.19,271702,276782688.0,2.38,-2.62,-0.22,8.15
2019-10-30,8.16,8.03,8.24,8.02,225696,225769804.0,2.69,-1.95,-0.16,6.77
2019-10-31,8.06,8.0,8.08,7.93,152416,150512304.0,1.87,-0.37,-0.03,4.57
2019-11-01,7.96,8.08,8.14,7.93,153535,152512423.0,2.63,1.0,0.08,4.61
2019-11-04,8.07,8.02,8.17,7.99,158219,157425782.0,2.23,-0.74,-0.06,4.75
2019-11-05,8.03,8.14,8.17,7.97,218931,218692280.0,2.49,1.5,0.12,6.57
2019-11-06,8.11,8.02,8.14,7.98,161563,160429457.0,1.97,-1.47,-0.12,4.85
2019-11-07,8.03,8.01,8.07,7.98,90348,89417481.0,1.12,-0.12,-0.01,2.71
2019-11-08,8.06,7.94,8.08,7.93,128478,126698922.0,1.87,-0.87,-0.07,3.85
2019-11-11,7.9,7.6,7.9,7.57,204961,196105624.0,4.16,-4.28,-0.34,6.15
2019-11-12,7.58,7.53,7.64,7.44,116373,108998701.0,2.63,-0.92,-0.07,3.49
2019-11-13,7.52,7.38,7.52,7.37,107159,99276050.0,1.99,-1.99,-0.15,3.21
2019-11-14,7.34,7.42,7.51,7.32,112498,103735001.0,2.57,0.54,0.04,3.37
2019-11-15,7.39,7.22,7.42,7.21,142026,129195949.0,2.83,-2.7,-0.2,4.26
2019-11-18,7.2,7.18,7.23,7.07,103952,93177424.0,2.22,-0.55,-0.04,3.12
2019-11-19,7.16,7.25,7.25,7.14,86238,77814303.0,1.53,0.97,0.07,2.59
2019-11-20,7.25,7.21,7.36,7.19,119887,108651089.0,2.34,-0.55,-0.04,3.6
2019-11-21,7.17,7.13,7.19,7.12,78171,69863956.0,0.97,-1.11,-0.08,2.35
