日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.3,6.0,6.33,5.99,131753,109018693.0,5.46,-3.69,-0.23,1.54
2010-01-05,6.0,5.82,6.07,5.72,322783,255449605.0,5.83,-3.0,-0.18,3.76
2010-01-06,5.83,5.83,5.96,5.78,197074,157069191.0,3.09,0.17,0.01,2.3
2010-01-07,5.83,5.72,5.93,5.67,185443,145973701.0,4.46,-1.89,-0.11,2.16
2010-01-08,5.73,5.86,5.87,5.7,100431,79360304.0,2.97,2.45,0.14,1.17
2010-01-11,5.86,5.7,5.93,5.66,143116,112119118.0,4.61,-2.73,-0.16,1.67
2010-01-12,5.7,5.88,5.92,5.65,157794,124758331.0,4.74,3.16,0.18,1.84
2010-01-13,5.77,5.62,5.77,5.58,182601,141592555.0,3.23,-4.42,-0.26,2.13
2010-01-14,5.63,5.71,5.71,5.56,113751,88050963.0,2.67,1.6,0.09,1.33
2010-01-15,5.74,5.8,5.86,5.72,143931,113749436.0,2.45,1.58,0.09,1.68
2010-01-18,5.79,5.97,5.98,5.79,161180,129181984.0,3.28,2.93,0.17,1.88
2010-01-19,5.97,5.93,6.01,5.87,147315,118245785.0,2.35,-0.67,-0.04,1.72
2010-01-20,5.91,5.59,5.95,5.53,210088,163137667.0,7.08,-5.73,-0.34,2.45
2010-01-21,5.59,5.64,5.67,5.47,88045,67281750.0,3.58,0.89,0.05,1.03
2010-01-22,5.59,5.47,5.6,5.38,81383,61158296.0,3.9,-3.01,-0.17,0.95
2010-01-25,5.38,5.3,5.48,5.28,56871,41994733.0,3.66,-3.11,-0.17,0.66
2010-01-26,5.3,4.93,5.36,4.88,127040,88952034.0,9.06,-6.98,-0.37,1.48
2010-01-27,4.98,4.98,5.08,4.89,64838,44915944.0,3.85,1.01,0.05,0.76
2010-01-28,4.98,5.03,5.08,4.95,49604,34568809.0,2.61,1.0,0.05,0.58
2010-01-29,5.06,5.07,5.13,5.0,58057,40842493.0,2.58,0.8,0.04,0.68
2010-02-01,5.03,5.18,5.22,4.93,84965,59243716.0,5.72,2.17,0.11,0.99
2010-02-02,5.18,5.12,5.33,5.08,92744,66700439.0,4.83,-1.16,-0.06,1.08
2010-02-03,5.16,5.11,5.16,4.79,105202,73102234.0,7.23,-0.2,-0.01,1.23
2010-02-04,5.05,5.11,5.18,4.98,111819,78856400.0,3.91,0.0,0.0,1.3
2010-02-05,4.97,4.87,5.01,4.78,121653,83069093.0,4.5,-4.7,-0.24,1.42
2010-02-08,4.82,4.85,4.9,4.82,42957,29093532.0,1.64,-0.41,-0.02,0.5
2010-02-09,4.85,4.89,4.93,4.8,39627,26913491.0,2.68,0.82,0.04,0.46
2010-02-10,4.92,4.98,4.98,4.87,59620,40878783.0,2.25,1.84,0.09,0.69
2010-02-11,4.95,5.14,5.21,4.95,129323,91250635.0,5.22,3.21,0.16,1.51
2010-02-12,5.18,5.13,5.18,5.08,54182,38388402.0,1.95,-0.19,-0.01,0.63
2010-02-22,5.08,5.18,5.23,5.03,83637,59085448.0,3.9,0.97,0.05,0.97
2010-02-23,5.14,5.37,5.43,5.13,196147,142867690.0,5.79,3.67,0.19,2.29
2010-02-24,5.3,5.39,5.42,5.27,114593,84278212.0,2.79,0.37,0.02,1.34
2010-02-25,5.41,5.64,5.86,5.36,228886,174542343.0,9.28,4.64,0.25,2.67
2010-02-26,5.59,5.54,5.66,5.5,92299,70446545.0,2.84,-1.77,-0.1,1.08
2010-03-01,5.49,5.54,5.58,5.4,121220,91394491.0,3.25,0.0,0.0,1.41
2010-03-02,5.53,5.58,5.63,5.43,140565,106684021.0,3.61,0.72,0.04,1.64
2010-03-03,5.58,5.55,5.58,5.46,105132,79485777.0,2.15,-0.54,-0.03,1.23
2010-03-04,5.55,5.33,5.68,5.3,132915,100596740.0,6.85,-3.96,-0.22,1.55
2010-03-05,5.38,5.33,5.41,5.26,69368,50875174.0,2.81,0.0,0.0,0.81
2010-03-08,5.33,5.36,5.45,5.29,80790,59806973.0,3.0,0.56,0.03,0.94
2010-03-09,5.38,5.58,5.73,5.36,228806,175161547.0,6.9,4.1,0.22,2.67
2010-03-10,5.55,5.47,5.62,5.43,91177,69021074.0,3.41,-1.97,-0.11,1.06
2010-03-11,5.48,5.43,5.53,5.18,60954,45320810.0,6.4,-0.73,-0.04,0.71
2010-03-12,5.37,5.25,5.41,5.21,68492,50012511.0,3.68,-3.31,-0.18,0.8
2010-03-15,5.26,5.16,5.28,5.13,52711,37716148.0,2.86,-1.71,-0.09,0.61
2010-03-16,5.14,5.2,5.24,5.13,35030,25107406.0,2.13,0.78,0.04,0.41
2010-03-17,5.22,5.34,5.36,5.21,60976,44574526.0,2.88,2.69,0.14,0.71
2010-03-18,5.38,5.93,5.96,5.34,639803,505460841.0,11.61,11.05,0.59,7.46
2010-03-19,5.8,6.06,6.2,5.73,547044,443315548.0,7.93,2.19,0.13,6.38
2010-03-22,6.04,6.05,6.08,5.92,232084,188877999.0,2.64,-0.17,-0.01,2.71
2010-03-23,6.03,5.93,6.03,5.86,205019,165287708.0,2.81,-1.98,-0.12,2.39
2010-03-24,5.98,5.91,5.98,5.8,144918,115742536.0,3.04,-0.34,-0.02,1.69
2010-03-25,5.87,5.72,5.87,5.68,153334,120374854.0,3.21,-3.21,-0.19,1.79
2010-03-26,5.7,5.85,5.96,5.69,134621,107316430.0,4.72,2.27,0.13,1.57
2010-03-29,5.9,6.19,6.52,5.9,547303,466685289.0,10.6,5.81,0.34,6.38
2010-03-31,6.18,6.38,6.62,6.09,391480,333928475.0,8.56,3.07,0.19,4.56
2010-04-01,6.38,6.51,6.53,6.35,258718,224073999.0,2.82,2.04,0.13,3.02
2010-04-02,6.47,6.41,6.58,6.37,225087,195410199.0,3.23,-1.54,-0.1,2.62
2010-04-06,6.42,6.34,6.55,6.18,273763,233460639.0,5.77,-1.09,-0.07,3.19
2010-04-07,6.27,6.29,6.36,6.19,166782,141143083.0,2.68,-0.79,-0.05,1.94
2010-04-08,6.34,6.13,6.35,6.12,158491,132878676.0,3.66,-2.54,-0.16,1.85
