日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2.28,2.04,2.29,2.01,42823,85662803.06,12.56,-8.52,-0.19,2.74
2010-01-05,2.01,1.88,2.02,1.81,59286,114249865.41,10.29,-7.84,-0.16,3.8
2010-01-06,1.86,1.99,2.05,1.81,45803,89574555.43,12.77,5.85,0.11,2.94
2010-01-07,1.95,1.91,2.06,1.81,53417,103823039.23,12.56,-4.02,-0.08,3.42
2010-01-08,1.86,1.93,1.96,1.83,27900,53783024.36,6.81,1.05,0.02,1.79
2010-01-11,1.88,1.55,1.93,1.49,108591,198353955.38,22.8,-19.69,-0.38,6.96
2010-01-12,1.56,1.6,1.65,1.38,72510,128509833.37,17.42,3.23,0.05,4.65
2010-01-13,1.38,1.41,1.55,1.35,60338,104998560.53,12.5,-11.88,-0.19,3.87
2010-01-14,1.41,1.46,1.48,1.29,64535,110758530.66,13.48,3.55,0.05,4.14
2010-01-15,1.47,1.68,1.74,1.47,99115,180992747.2,18.49,15.07,0.22,6.35
2010-01-18,1.7,1.79,1.81,1.61,51938,96638158.01,11.9,6.55,0.11,3.33
2010-01-19,1.8,1.73,1.82,1.7,58193,108865746.89,6.7,-3.35,-0.06,3.73
2010-01-20,1.73,1.46,1.77,1.43,38521,68964924.35,19.65,-15.61,-0.27,2.47
2010-01-22,1.46,1.57,1.63,1.35,28519,50310399.78,19.18,7.53,0.11,1.83
2010-01-25,1.53,1.53,1.63,1.47,21052,37826253.0,10.19,-2.55,-0.04,1.35
2010-01-26,1.51,1.34,1.59,1.27,35996,61449781.83,20.92,-12.42,-0.19,2.31
2010-01-27,1.34,1.34,1.46,1.27,31905,54442814.4,14.18,0.0,0.0,2.04
2010-01-28,1.32,1.24,1.4,1.19,46869,78413328.44,15.67,-7.46,-0.1,3.0
2010-01-29,1.24,1.21,1.28,1.2,20674,34301874.46,6.45,-2.42,-0.03,1.32
2010-02-01,1.22,1.23,1.29,0.94,39174,62266982.13,28.93,1.65,0.02,2.51
2010-02-02,1.23,1.32,1.48,1.22,48770,83846721.29,21.14,7.32,0.09,3.13
2010-02-03,1.32,1.35,1.39,1.0,58634,96268782.86,29.55,2.27,0.03,3.76
2010-02-04,1.28,1.35,1.43,1.22,43403,74017489.97,15.56,0.0,0.0,2.78
2010-02-05,1.07,1.17,1.33,1.07,20484,33705992.51,19.26,-13.33,-0.18,1.31
2010-02-08,1.14,1.09,1.18,1.09,20786,33591244.56,7.69,-6.84,-0.08,1.33
2010-02-09,1.1,1.19,1.2,1.1,29927,48784952.93,9.17,9.17,0.1,1.92
2010-02-10,1.2,1.31,1.34,1.18,19105,32011442.98,13.45,10.08,0.12,1.22
2010-02-11,1.31,1.44,1.51,1.31,41071,71786282.99,15.27,9.92,0.13,2.63
2010-02-12,1.44,1.44,1.5,1.39,12263,21368246.16,7.64,0.0,0.0,0.79
2010-02-22,1.39,1.33,1.41,1.32,12282,20937494.78,6.25,-7.64,-0.11,0.79
2010-02-23,1.33,1.23,1.33,1.14,27687,45546119.01,14.29,-7.52,-0.1,1.77
2010-02-24,1.18,1.38,1.38,1.14,18598,31370032.82,19.51,12.2,0.15,1.19
2010-02-25,1.39,1.57,1.63,1.38,36202,64260029.03,18.12,13.77,0.19,2.32
2010-02-26,1.59,1.58,1.59,1.51,22739,40859578.28,5.1,0.64,0.01,1.46
2010-03-01,1.58,1.58,1.6,1.46,19697,35107669.35,8.86,0.0,0.0,1.26
2010-03-02,1.58,1.65,1.7,1.53,27583,50509778.89,10.76,4.43,0.07,1.77
2010-03-03,1.65,1.66,1.67,1.6,21375,38995423.88,4.24,0.61,0.01,1.37
2010-03-04,1.65,1.44,1.77,1.38,48701,88142082.89,23.49,-13.25,-0.22,3.12
2010-03-05,1.46,1.44,1.51,1.42,14011,24485747.34,6.25,0.0,0.0,0.9
2010-03-08,1.47,1.54,1.57,1.41,23881,42216733.28,11.11,6.94,0.1,1.53
2010-03-09,1.54,1.82,1.89,1.5,81901,154340804.68,25.32,18.18,0.28,5.25
2010-03-10,1.82,1.68,1.87,1.67,39150,73711755.2,10.99,-7.69,-0.14,2.51
2010-03-11,1.68,1.73,1.84,1.65,18993,35460914.34,11.31,2.98,0.05,1.22
2010-03-12,1.69,1.68,1.74,1.58,20470,37392589.3,9.25,-2.89,-0.05,1.31
2010-03-15,1.68,1.54,1.68,1.48,36045,64402547.15,11.9,-8.33,-0.14,2.31
2010-03-16,1.53,1.63,1.63,1.52,11619,20965635.35,7.14,5.84,0.09,0.74
2010-03-17,1.65,1.84,1.87,1.65,34229,64794183.76,13.5,12.88,0.21,2.19
2010-03-18,1.87,2.03,2.07,1.85,81105,159560132.74,11.96,10.33,0.19,5.2
2010-03-19,2.01,1.99,2.08,1.9,44986,88933898.57,8.87,-1.97,-0.04,2.88
2010-03-22,2.04,2.09,2.18,2.03,45302,91231261.9,7.54,5.03,0.1,2.9
2010-03-23,2.08,1.99,2.08,1.97,25845,51197012.05,5.26,-4.78,-0.1,1.66
2010-03-24,1.99,2.04,2.1,1.96,24770,49311417.71,7.04,2.51,0.05,1.59
2010-03-25,2.01,2.0,2.02,1.9,21076,41318093.21,5.88,-1.96,-0.04,1.35
2010-03-26,1.99,2.07,2.11,1.87,26958,53695557.37,12.0,3.5,0.07,1.73
2010-03-29,2.07,2.25,2.29,2.07,34076,70274485.23,10.63,8.7,0.18,2.18
2010-03-30,2.25,2.28,2.36,2.21,36491,76772758.09,6.67,1.33,0.03,2.34
2010-03-31,2.25,2.41,2.53,2.25,35437,76023886.84,12.28,5.7,0.13,2.27
2010-04-01,2.44,2.39,2.52,2.37,44315,95935591.68,6.22,-0.83,-0.02,2.84
2010-04-02,2.44,2.52,2.66,2.4,53118,116950087.59,10.88,5.44,0.13,3.4
