日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.03,2.98,3.05,2.98,32173,25290414.0,2.31,-1.65,-0.05,2.59
2010-01-05,2.98,3.07,3.07,2.88,64106,49827612.0,6.38,3.02,0.09,5.15
2010-01-06,3.02,3.07,3.12,3.02,78876,63592844.0,3.26,0.0,0.0,6.34
2010-01-07,3.01,2.97,3.08,2.96,48260,37964412.0,3.91,-3.26,-0.1,3.88
2010-01-08,2.94,3.01,3.03,2.94,24474,19178334.0,3.03,1.35,0.04,1.97
2010-01-11,3.01,2.9,3.04,2.89,46914,36181268.0,4.98,-3.65,-0.11,3.77
2010-01-12,2.92,2.98,2.99,2.9,31568,24450050.0,3.1,2.76,0.08,2.54
2010-01-13,2.92,2.87,2.95,2.86,40268,30638540.0,3.02,-3.69,-0.11,3.24
2010-01-14,2.87,2.97,2.98,2.87,47371,36423380.0,3.83,3.48,0.1,3.81
2010-01-15,2.96,3.02,3.05,2.95,62651,49561000.0,3.37,1.68,0.05,5.03
2010-01-18,3.03,3.06,3.07,3.0,46001,36651368.0,2.32,1.32,0.04,3.7
2010-01-19,3.08,3.05,3.08,3.01,46259,36920104.0,2.29,-0.33,-0.01,3.72
2010-01-20,3.05,2.98,3.07,2.92,47390,37151804.0,4.92,-2.3,-0.07,3.81
2010-01-21,3.07,3.12,3.2,3.07,159889,130979344.0,4.36,4.7,0.14,12.85
2010-01-22,3.05,2.99,3.05,2.92,70382,55202312.0,4.17,-4.17,-0.13,5.66
2010-01-25,2.94,2.91,2.99,2.91,27163,20962864.0,2.68,-2.68,-0.08,2.18
2010-01-26,2.92,2.7,2.98,2.69,48896,35690788.0,9.97,-7.22,-0.21,3.93
2010-01-27,2.72,2.68,2.76,2.64,23636,16800776.0,4.44,-0.74,-0.02,1.9
2010-01-28,2.69,2.72,2.74,2.65,21590,15292995.0,3.36,1.49,0.04,1.73
2010-01-29,2.7,2.7,2.74,2.67,19866,14178263.0,2.57,-0.74,-0.02,1.6
2010-02-01,2.7,2.69,2.71,2.57,35856,24792332.0,5.19,-0.37,-0.01,2.88
2010-02-02,2.69,2.66,2.73,2.64,25814,18290598.0,3.35,-1.12,-0.03,2.07
2010-02-03,2.68,2.72,2.72,2.56,27722,19357744.0,6.02,2.26,0.06,2.23
