日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,3.84,3.8,3.86,3.8,38446,30517578.0,1.57,-0.78,-0.03,2.86
2010-01-05,3.8,3.83,3.83,3.72,41411,32468478.0,2.89,0.79,0.03,3.08
2010-01-06,3.84,3.87,3.93,3.79,54622,43777052.0,3.66,1.04,0.04,4.06
2010-01-07,3.87,3.72,3.88,3.71,42084,33060456.0,4.39,-3.88,-0.15,3.13
2010-01-08,3.68,3.74,3.76,3.67,25002,19255698.0,2.42,0.54,0.02,1.86
2010-01-11,3.76,3.74,3.78,3.69,31587,24434128.0,2.41,0.0,0.0,2.35
2010-01-12,3.71,3.84,3.84,3.71,41792,33001448.0,3.48,2.67,0.1,3.11
2010-01-13,3.76,3.8,3.86,3.74,36164,28593958.0,3.13,-1.04,-0.04,2.69
2010-01-14,3.8,3.93,3.95,3.8,62165,50114540.0,3.95,3.42,0.13,4.62
2010-01-15,3.94,3.91,3.96,3.88,44232,35836712.0,2.04,-0.51,-0.02,3.29
2010-01-18,3.95,4.04,4.04,3.94,67429,55941836.0,2.56,3.32,0.13,5.01
2010-01-19,4.01,4.0,4.05,3.94,40296,33264226.0,2.72,-0.99,-0.04,3.0
2010-01-20,4.0,3.8,4.03,3.77,59073,48019324.0,6.5,-5.0,-0.2,4.39
2010-01-21,3.78,3.87,3.92,3.78,38267,30578200.0,3.68,1.84,0.07,2.84
2010-01-22,3.82,3.86,3.9,3.71,39109,30851550.0,4.91,-0.26,-0.01,2.91
2010-01-25,3.83,3.95,3.96,3.82,71410,57904448.0,3.63,2.33,0.09,5.31
2010-01-26,3.92,3.67,3.97,3.64,63594,50205340.0,8.35,-7.09,-0.28,4.73
2010-01-27,3.66,3.6,3.7,3.54,36243,27164778.0,4.36,-1.91,-0.07,2.69
2010-01-28,3.61,3.66,3.67,3.59,21006,15838804.0,2.22,1.67,0.06,1.56
2010-01-29,3.62,3.68,3.72,3.61,24367,18638094.0,3.01,0.55,0.02,1.81
2010-02-01,3.71,3.57,3.71,3.52,35159,26181174.0,5.16,-2.99,-0.11,2.61
2010-02-02,3.58,3.57,3.64,3.57,25779,19287546.0,1.96,0.0,0.0,1.92
2010-02-03,3.57,3.67,3.7,3.5,28766,21670896.0,5.6,2.8,0.1,2.14
2010-02-04,3.67,3.84,3.88,3.64,67256,53082344.0,6.54,4.63,0.17,5.0
2010-02-05,3.77,3.91,4.01,3.66,101423,81975792.0,9.11,1.82,0.07,7.54
2010-02-08,3.92,3.89,3.99,3.84,54746,44259952.0,3.84,-0.51,-0.02,4.07
2010-02-09,3.82,3.86,3.9,3.79,36690,29285738.0,2.83,-0.77,-0.03,2.73
2010-02-10,3.89,4.07,4.09,3.86,107135,88252800.0,5.96,5.44,0.21,7.96
2010-02-11,4.04,4.01,4.09,3.96,60663,50447248.0,3.19,-1.47,-0.06,4.51
2010-02-12,4.03,4.03,4.08,3.97,50395,42051404.0,2.74,0.5,0.02,3.75
2010-02-22,4.04,3.91,4.04,3.86,52856,43242088.0,4.47,-2.98,-0.12,3.93
2010-02-23,3.89,4.32,4.32,3.89,132107,114581864.0,11.0,10.49,0.41,9.82
2010-02-24,4.4,4.36,4.45,4.26,196774,177000400.0,4.4,0.93,0.04,14.63
2010-02-25,4.31,4.4,4.54,4.28,160769,146851184.0,5.96,0.92,0.04,11.95
2010-02-26,4.34,4.51,4.59,4.29,126299,116013560.0,6.82,2.5,0.11,9.39
2010-03-01,4.51,4.59,4.66,4.45,120755,113563336.0,4.66,1.77,0.08,8.98
2010-03-02,4.6,4.5,4.81,4.47,169636,162502832.0,7.41,-1.96,-0.09,12.61
2010-03-03,4.46,4.54,4.59,4.38,99237,91469856.0,4.67,0.89,0.04,7.38
2010-03-04,4.49,4.29,4.57,4.27,75181,68624224.0,6.61,-5.51,-0.25,5.59
2010-03-05,4.29,4.24,4.34,4.21,45080,39823876.0,3.03,-1.17,-0.05,3.35
2010-03-08,4.26,4.26,4.35,4.23,62935,55580900.0,2.83,0.47,0.02,4.68
2010-03-09,4.26,4.21,4.31,4.12,61658,53295932.0,4.46,-1.17,-0.05,4.58
2010-03-10,4.21,4.27,4.31,4.19,48461,42493164.0,2.85,1.43,0.06,3.6
2010-03-11,4.27,4.42,4.44,4.22,76947,69019056.0,5.15,3.51,0.15,5.72
2010-03-12,4.37,4.19,4.44,4.17,58153,51593716.0,6.11,-5.2,-0.23,4.32
2010-03-15,4.12,4.13,4.2,4.11,30003,25711760.0,2.15,-1.43,-0.06,2.23
2010-03-16,4.13,4.45,4.53,4.11,105682,94859312.0,10.17,7.75,0.32,7.86
2010-03-17,4.44,4.59,4.61,4.39,112252,104837096.0,4.94,3.15,0.14,8.34
2010-03-18,4.57,4.6,4.64,4.53,71521,67452256.0,2.4,0.22,0.01,5.32
2010-03-19,4.6,4.72,4.75,4.56,77404,74341872.0,4.13,2.61,0.12,5.75
2010-03-22,4.73,5.2,5.2,4.61,168210,175567440.0,12.5,10.17,0.48,12.5
2010-03-23,5.44,5.51,5.7,5.22,412239,456714624.0,9.23,5.96,0.31,30.64
2010-03-24,5.39,5.29,5.44,5.24,181805,199045728.0,3.63,-3.99,-0.22,13.51
2010-03-25,5.27,5.01,5.3,4.97,140552,146544032.0,6.24,-5.29,-0.28,10.45
2010-03-26,4.99,5.08,5.13,4.94,83268,86566768.0,3.79,1.4,0.07,6.19
2010-03-29,5.05,5.05,5.13,4.98,79567,82527304.0,2.95,-0.59,-0.03,5.91
2010-03-30,5.07,5.09,5.15,4.97,70002,72723768.0,3.56,0.79,0.04,5.2
2010-03-31,5.1,5.13,5.26,5.05,71164,75493192.0,4.13,0.79,0.04,4.26
2010-04-01,5.12,5.19,5.24,5.01,76169,80290584.0,4.48,1.17,0.06,4.56
2010-04-02,5.19,5.08,5.19,5.06,51404,53836788.0,2.5,-2.12,-0.11,3.08
2010-04-06,5.08,5.02,5.08,4.94,55739,57233904.0,2.76,-1.18,-0.06,3.34
2010-04-07,5.01,5.06,5.08,4.98,36993,38271480.0,1.99,0.8,0.04,2.21
2010-04-08,5.05,5.02,5.1,4.99,41386,42804244.0,2.17,-0.79,-0.04,2.48
2010-04-09,5.02,5.22,5.22,4.99,70905,74794320.0,4.58,3.98,0.2,4.24
2010-04-12,5.21,5.26,5.3,5.11,76423,81541784.0,3.64,0.77,0.04,4.57
2010-04-13,5.22,5.07,5.25,4.91,54191,56680276.0,6.46,-3.61,-0.19,3.24
2010-04-14,5.07,5.09,5.14,5.0,35462,37044288.0,2.76,0.39,0.02,2.12
2010-04-15,5.08,4.97,5.16,4.94,44363,45988288.0,4.32,-2.36,-0.12,2.66
2010-04-16,4.94,5.05,5.08,4.94,37256,38475136.0,2.82,1.61,0.08,2.23
2010-04-19,5.04,4.91,5.16,4.91,59082,61152300.0,4.95,-2.77,-0.14,3.54
2010-04-20,4.92,4.92,5.0,4.77,39782,39897652.0,4.68,0.2,0.01,2.38
2010-04-21,4.94,5.09,5.11,4.92,44312,45960840.0,3.86,3.46,0.17,2.65
2010-04-22,5.09,5.27,5.35,5.06,97245,104532504.0,5.7,3.54,0.18,5.82
2010-04-23,5.26,5.22,5.41,5.22,86149,93834032.0,3.61,-0.95,-0.05,5.16
2010-04-26,5.22,5.07,5.27,5.04,53391,55928048.0,4.41,-2.87,-0.15,3.2
2010-04-27,5.02,4.96,5.1,4.79,51612,51863368.0,6.11,-2.17,-0.11,3.09
2010-04-28,4.86,4.87,5.0,4.81,27444,27587898.0,3.83,-1.81,-0.09,1.64
2010-04-29,4.9,4.61,4.95,4.59,32960,32529708.0,7.39,-5.34,-0.26,1.97
2010-04-30,4.6,4.31,4.71,4.19,35426,32207110.0,11.28,-6.51,-0.3,2.12
2010-05-04,4.24,4.31,4.43,4.15,20940,18652516.0,6.5,0.0,0.0,1.25
2010-05-05,4.26,4.48,4.49,4.23,23558,21357714.0,6.03,3.94,0.17,1.41
2010-05-06,4.48,4.36,4.55,4.36,24911,22930064.0,4.24,-2.68,-0.12,1.49
2010-05-07,4.28,4.28,4.4,4.21,18457,16462911.0,4.36,-1.83,-0.08,1.1
2010-05-10,4.36,4.01,4.36,3.96,28198,23990642.0,9.35,-6.31,-0.27,1.69
2010-05-11,4.15,3.85,4.18,3.79,24648,20293648.0,9.73,-3.99,-0.16,1.48
2010-05-12,3.81,3.79,3.91,3.71,19730,15481220.0,5.19,-1.56,-0.06,1.18
2010-05-13,3.79,3.92,3.92,3.72,21718,17261924.0,5.28,3.43,0.13,1.3
2010-05-14,3.89,4.0,4.01,3.86,23404,19160970.0,3.83,2.04,0.08,1.4
2010-05-17,3.91,3.76,3.96,3.76,24245,19357368.0,5.0,-6.0,-0.24,1.45
2010-05-18,3.75,3.96,4.01,3.66,42420,33927400.0,9.31,5.32,0.2,2.54
2010-05-19,3.95,4.12,4.16,3.89,50525,42373972.0,6.82,4.04,0.16,3.02
2010-05-20,4.09,4.14,4.24,4.01,57794,49026900.0,5.58,0.49,0.02,3.46
2010-05-21,4.03,4.13,4.21,3.94,68394,57918048.0,6.52,-0.24,-0.01,4.09
2010-05-24,4.11,4.3,4.35,4.06,67604,58973668.0,7.02,4.12,0.17,4.05
2010-05-25,4.24,4.14,4.26,4.11,39934,34440460.0,3.49,-3.72,-0.16,2.39
2010-05-26,4.14,4.15,4.19,4.08,23710,20284178.0,2.66,0.24,0.01,1.42
2010-05-27,4.16,4.19,4.21,4.06,28262,24190150.0,3.61,0.96,0.04,1.69
2010-05-28,4.23,4.14,4.25,4.11,28461,24493726.0,3.34,-1.19,-0.05,1.7
2010-05-31,4.14,4.12,4.26,4.11,44830,38896936.0,3.62,-0.48,-0.02,2.68
2010-06-01,4.0,3.9,4.05,3.82,32933,26782498.0,5.58,-5.34,-0.22,1.97
2010-06-02,3.84,3.98,3.98,3.84,18168,14715262.0,3.59,2.05,0.08,1.09
2010-06-03,4.0,3.95,4.04,3.93,18033,14865464.0,2.76,-0.75,-0.03,1.08
2010-06-04,3.95,4.0,4.0,3.8,36777,29547110.0,5.06,1.27,0.05,2.2
2010-06-07,3.92,3.92,3.95,3.87,28078,22766458.0,2.0,-2.0,-0.08,1.68
2010-06-08,3.9,3.97,4.0,3.88,23842,19456892.0,3.06,1.28,0.05,1.43
2010-06-09,3.96,4.08,4.08,3.94,33012,27376740.0,3.53,2.77,0.11,1.98
2010-06-10,4.06,4.06,4.11,4.02,27601,23250398.0,2.21,-0.49,-0.02,1.65
2010-06-11,4.07,3.96,4.1,3.95,22905,18986956.0,3.69,-2.46,-0.1,1.37
2010-06-17,4.01,3.9,4.01,3.9,14998,12254907.0,2.78,-1.52,-0.06,0.9
2010-06-18,3.89,3.75,3.93,3.74,18148,14465609.0,4.87,-3.85,-0.15,1.09
2010-06-21,3.72,3.86,3.86,3.71,14550,11442016.0,4.0,2.93,0.11,0.87
2010-06-22,3.85,3.92,3.99,3.83,18610,15152230.0,4.15,1.55,0.06,1.11
2010-06-23,3.91,3.85,3.94,3.79,16924,13505568.0,3.83,-1.79,-0.07,1.01
2010-06-24,3.83,3.92,3.98,3.79,21163,17042192.0,4.94,1.82,0.07,1.27
2010-06-25,3.88,3.81,3.89,3.79,16106,12789086.0,2.55,-2.81,-0.11,0.96
2010-06-28,3.81,3.75,3.84,3.73,8672,6791936.0,2.89,-1.57,-0.06,0.52
2010-06-29,3.78,3.47,3.81,3.45,19402,14368379.0,9.6,-7.47,-0.28,1.16
2010-07-01,3.4,3.35,3.44,3.31,14475,10183050.0,3.75,-3.46,-0.12,0.87
2010-07-02,3.39,3.26,3.39,3.11,15782,10658377.0,8.36,-2.69,-0.09,0.94
2010-07-05,3.24,3.23,3.29,3.17,7226,4860626.5,3.68,-0.92,-0.03,0.43
2010-07-06,3.21,3.32,3.33,3.21,10166,6983768.5,3.72,2.79,0.09,0.61
2010-07-07,3.33,3.39,3.44,3.31,11502,8080416.5,3.92,2.11,0.07,0.69
2010-07-08,3.74,3.74,3.74,3.74,22133,17175006.0,0.0,10.32,0.35,1.32
2010-07-09,3.74,3.9,3.94,3.67,90552,71983304.0,7.22,4.28,0.16,5.42
2010-07-13,3.79,3.9,4.05,3.73,55932,44813888.0,8.21,0.0,0.0,3.35
2010-07-14,3.81,3.98,4.01,3.81,56817,46241388.0,5.13,2.05,0.08,3.4
2010-07-15,3.96,3.85,4.04,3.83,33136,26845046.0,5.28,-3.27,-0.13,1.98
2010-07-16,3.85,3.85,3.89,3.72,23998,18923588.0,4.42,0.0,0.0,1.44
2010-07-19,3.76,3.93,3.93,3.75,26278,21034262.0,4.68,2.08,0.08,1.57
2010-07-20,3.9,4.01,4.03,3.9,45789,37628848.0,3.31,2.04,0.08,2.74
2010-07-21,3.97,4.02,4.07,3.92,43377,35923752.0,3.74,0.25,0.01,2.6
2010-07-22,4.01,4.06,4.07,3.93,41342,34420512.0,3.48,1.0,0.04,2.47
2010-07-23,4.09,4.11,4.12,3.98,41171,34612264.0,3.45,1.23,0.05,2.46
2010-07-26,4.12,4.22,4.33,4.07,69830,60984096.0,6.33,2.68,0.11,4.18
2010-07-27,4.26,4.25,4.34,4.15,55520,47555920.0,4.5,0.71,0.03,3.32
2010-07-28,4.19,4.28,4.35,4.14,59545,51519192.0,4.94,0.71,0.03,3.56
2010-07-29,4.29,4.25,4.33,4.19,41710,36067096.0,3.27,-0.7,-0.03,2.5
2010-07-30,4.25,4.38,4.4,4.19,58953,51503372.0,4.94,3.06,0.13,3.53
2010-08-02,4.38,4.41,4.47,4.35,61932,55243136.0,2.74,0.68,0.03,3.71
2010-08-03,4.39,4.4,4.5,4.34,61640,55314896.0,3.63,-0.23,-0.01,3.69
2010-08-04,4.41,4.59,4.61,4.39,87874,80099576.0,5.0,4.32,0.19,5.26
2010-08-05,4.56,4.54,4.68,4.51,61970,57698808.0,3.7,-1.09,-0.05,3.71
2010-08-06,4.5,4.57,4.63,4.42,43981,40390964.0,4.63,0.66,0.03,2.63
2010-08-09,4.55,4.55,4.6,4.5,35993,33176682.0,2.19,-0.44,-0.02,2.15
2010-08-10,4.52,4.31,4.56,4.31,37892,33961752.0,5.49,-5.27,-0.24,2.27
2010-08-11,4.29,4.35,4.41,4.27,31970,28111252.0,3.25,0.93,0.04,1.91
2010-08-12,4.32,4.28,4.48,4.26,34837,31033078.0,5.06,-1.61,-0.07,2.08
2010-08-13,4.31,4.38,4.38,4.24,29801,26055870.0,3.27,2.34,0.1,1.78
2010-08-16,4.4,4.46,4.48,4.35,26795,24106832.0,2.97,1.83,0.08,1.6
2010-08-17,4.47,4.45,4.51,4.38,33630,30235070.0,2.91,-0.22,-0.01,2.01
2010-08-18,4.45,4.53,4.57,4.42,53666,49015432.0,3.37,1.8,0.08,3.21
2010-08-19,4.5,4.51,4.54,4.42,40459,36813688.0,2.65,-0.44,-0.02,2.42
2010-08-20,4.48,4.38,4.48,4.32,28695,25549422.0,3.55,-2.88,-0.13,1.72
2010-08-23,4.35,4.39,4.42,4.35,24979,22181778.0,1.6,0.23,0.01,1.49
2010-08-24,4.39,4.47,4.48,4.34,26864,24133770.0,3.19,1.82,0.08,1.61
2010-08-25,4.44,4.6,4.62,4.42,80215,73686936.0,4.47,2.91,0.13,4.8
2010-08-26,4.6,4.69,4.77,4.54,93055,88105144.0,5.0,1.96,0.09,5.57
2010-08-27,4.67,4.71,4.76,4.61,44270,42131136.0,3.2,0.43,0.02,2.65
2010-08-30,4.72,4.75,4.84,4.66,62185,60073840.0,3.82,0.85,0.04,3.72
2010-08-31,4.75,4.73,4.76,4.63,48652,46385580.0,2.74,-0.42,-0.02,2.91
2010-09-01,4.74,4.52,4.76,4.47,58575,54708588.0,6.13,-4.44,-0.21,3.51
2010-09-02,4.57,4.6,4.61,4.44,38579,35596752.0,3.76,1.77,0.08,2.31
2010-09-03,4.6,4.65,4.7,4.55,39009,36615484.0,3.26,1.09,0.05,2.33
2010-09-06,4.7,4.78,4.88,4.65,83642,80879240.0,4.95,2.8,0.13,5.01
2010-09-07,4.79,4.79,4.82,4.7,40007,38556676.0,2.51,0.21,0.01,2.39
2010-09-08,4.75,4.86,4.87,4.74,52131,51060252.0,2.71,1.46,0.07,3.12
2010-09-09,4.86,4.78,4.97,4.76,59907,59057748.0,4.32,-1.65,-0.08,3.59
2010-09-10,4.78,4.79,4.86,4.61,42459,40744268.0,5.23,0.21,0.01,2.54
2010-09-13,4.8,4.92,4.96,4.8,49560,49221084.0,3.34,2.71,0.13,2.97
2010-09-14,4.92,4.86,4.96,4.83,47051,46458408.0,2.64,-1.22,-0.06,2.82
2010-09-15,4.87,4.73,4.9,4.7,30737,29667232.0,4.12,-2.67,-0.13,1.84
2010-09-16,4.71,4.57,4.78,4.51,31936,29752018.0,5.71,-3.38,-0.16,1.91
2010-09-17,4.57,4.6,4.67,4.54,20035,18737266.0,2.84,0.66,0.03,1.2
2010-09-20,4.61,4.47,4.65,4.44,23611,21683370.0,4.57,-2.83,-0.13,1.41
2010-09-21,4.5,4.45,4.55,4.43,12014,10867724.0,2.68,-0.45,-0.02,0.72
2010-09-27,4.45,4.57,4.57,4.45,16336,14998371.0,2.7,2.7,0.12,0.98
2010-09-28,4.59,4.51,4.59,4.47,18538,17021992.0,2.63,-1.31,-0.06,1.11
2010-09-29,4.51,4.46,4.51,4.44,13865,12577893.0,1.55,-1.11,-0.05,0.83
2010-09-30,4.45,4.51,4.52,4.44,10769,9810971.0,1.79,1.12,0.05,0.64
2010-10-08,4.55,4.63,4.63,4.51,29973,27839618.0,2.66,2.66,0.12,1.79
2010-10-11,4.61,4.6,4.67,4.55,35521,33151434.0,2.59,-0.65,-0.03,2.13
2010-10-12,4.59,4.52,4.6,4.52,27874,25705038.0,1.74,-1.74,-0.08,1.67
2010-10-13,4.55,4.57,4.59,4.52,21217,19574948.0,1.55,1.11,0.05,1.27
2010-10-14,4.57,4.33,4.57,4.29,48041,42945244.0,6.13,-5.25,-0.24,2.88
2010-10-15,4.32,4.22,4.34,4.14,36484,31264898.0,4.62,-2.54,-0.11,2.18
2010-10-18,4.19,4.1,4.23,4.0,32788,27129512.0,5.45,-2.84,-0.12,1.96
2010-10-19,4.1,4.21,4.22,4.08,19406,16464895.0,3.41,2.68,0.11,1.16
2010-10-20,4.16,4.25,4.3,4.13,30693,26343570.0,4.04,0.95,0.04,1.84
2010-10-21,4.28,4.2,4.3,4.17,16736,14296966.0,3.06,-1.18,-0.05,1.0
2010-10-22,4.2,4.24,4.26,4.18,17105,14685941.0,1.9,0.95,0.04,1.02
2010-10-25,4.26,4.34,4.35,4.25,27182,23764746.0,2.36,2.36,0.1,1.63
2010-10-26,4.34,4.45,4.48,4.32,43395,38672764.0,3.69,2.53,0.11,2.6
2010-10-27,4.44,4.4,4.51,4.38,38200,34334332.0,2.92,-1.12,-0.05,2.29
2010-10-29,4.43,4.44,4.5,4.38,34804,31307488.0,2.73,0.91,0.04,2.08
2010-11-01,4.44,4.56,4.56,4.43,50245,46105236.0,2.93,2.7,0.12,3.01
2010-11-02,4.58,4.61,4.74,4.54,60001,56836948.0,4.39,1.1,0.05,3.59
2010-11-03,4.61,4.58,4.73,4.54,33761,31553834.0,4.12,-0.65,-0.03,2.02
2010-11-04,4.59,4.86,4.86,4.59,74677,71833784.0,5.9,6.11,0.28,4.47
2010-11-05,4.86,5.36,5.36,4.83,223143,235994688.0,10.91,10.29,0.5,13.35
2010-11-08,5.36,5.53,5.74,5.2,158194,173779968.0,10.07,3.17,0.17,9.47
2010-11-09,5.49,5.74,5.77,5.36,137693,155787248.0,7.41,3.8,0.21,8.24
2010-11-10,5.63,5.68,5.77,5.51,72869,83253416.0,4.53,-1.05,-0.06,4.36
2010-11-11,5.62,5.48,5.73,5.46,75963,86076640.0,4.75,-3.52,-0.2,4.55
2010-11-12,5.46,5.22,5.55,5.19,71640,77451592.0,6.57,-4.74,-0.26,4.29
2010-11-15,5.27,5.75,5.75,5.2,107124,119636840.0,10.54,10.15,0.53,6.41
2010-11-16,5.74,5.43,5.83,5.24,96957,109380720.0,10.26,-5.57,-0.32,5.8
2010-11-17,5.33,5.94,5.98,5.24,262033,311793824.0,13.63,9.39,0.51,15.68
2010-11-18,5.34,5.34,5.59,5.34,213247,232640512.0,4.21,-10.1,-0.6,12.76
2010-11-19,5.43,5.56,5.71,5.34,146550,163289104.0,6.93,4.12,0.22,8.77
2010-11-22,5.41,5.81,5.84,5.25,154978,173707472.0,10.61,4.5,0.25,9.28
2010-11-23,5.66,6.25,6.39,5.54,230343,281068800.0,14.63,7.57,0.44,13.79
2010-11-24,6.07,6.41,6.48,5.95,167455,211963600.0,8.48,2.56,0.16,10.02
2010-11-25,6.39,6.35,6.56,6.19,118087,151376432.0,5.77,-0.94,-0.06,7.07
2010-11-26,6.38,6.11,6.49,6.0,113435,141725808.0,7.72,-3.78,-0.24,6.79
2010-11-29,6.14,6.24,6.29,6.04,116874,146188464.0,4.09,2.13,0.13,6.99
2010-11-30,6.16,5.83,6.16,5.67,97984,116754128.0,7.85,-6.57,-0.41,5.86
2010-12-01,5.76,5.67,5.86,5.61,52441,60431308.0,4.29,-2.74,-0.16,3.14
2010-12-02,5.73,5.68,5.84,5.65,44215,51354508.0,3.35,0.18,0.01,2.65
