日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,6.78,6.94,7.08,6.75,160129,239799373.0,4.87,2.51,0.17,4.77
2010-01-05,7.03,7.28,7.3,6.91,208828,319489339.0,5.62,4.9,0.34,6.22
2010-01-06,7.28,7.36,7.66,7.2,270666,432560072.0,6.32,1.1,0.08,8.07
2010-01-07,7.41,7.42,7.62,7.21,271116,430732804.0,5.57,0.82,0.06,8.08
2010-01-08,7.33,7.83,7.92,7.3,333205,546537254.0,8.36,5.53,0.41,9.93
2010-01-11,8.18,8.42,8.65,7.92,539231,963178459.0,9.32,7.54,0.59,16.07
2010-01-12,8.29,8.19,8.62,8.02,365805,645950757.0,7.13,-2.73,-0.23,10.9
2010-01-13,7.91,8.21,8.34,7.86,243689,422447045.0,5.86,0.24,0.02,7.26
2010-01-14,8.14,8.49,8.56,8.07,229544,409858911.0,5.97,3.41,0.28,6.84
2010-01-15,8.49,8.34,8.54,8.25,171735,306349647.0,3.42,-1.77,-0.15,5.12
2010-01-18,8.36,8.52,8.61,8.23,174613,313840116.0,4.56,2.16,0.18,5.2
2010-01-19,8.55,8.58,8.77,8.44,169452,310361507.0,3.87,0.7,0.06,5.05
2010-01-20,8.59,7.94,8.65,7.87,211001,369755926.0,9.09,-7.46,-0.64,6.29
2010-01-21,7.98,8.07,8.26,7.92,132618,228837742.0,4.28,1.64,0.13,3.95
2010-01-22,7.87,7.56,8.08,7.43,195657,323333182.0,8.05,-6.32,-0.51,5.83
2010-01-25,7.67,7.26,7.9,7.17,199311,319554903.0,9.66,-3.97,-0.3,5.94
2010-01-26,7.23,6.89,7.32,6.79,139863,209624255.0,7.3,-5.1,-0.37,4.17
2010-01-27,6.9,7.05,7.22,6.88,171097,260474168.0,4.93,2.32,0.16,5.1
2010-01-28,7.05,7.24,7.26,6.94,83610,127291000.0,4.54,2.7,0.19,2.49
2010-01-29,7.28,7.26,7.46,7.17,121557,191043169.0,4.01,0.28,0.02,3.62
2010-02-01,7.22,6.84,7.23,6.79,113671,169127180.0,6.06,-5.79,-0.42,3.39
2010-02-02,6.91,6.93,7.17,6.88,88011,132809998.0,4.24,1.32,0.09,2.62
2010-02-03,7.02,7.67,7.67,6.98,347682,553451751.0,9.96,10.68,0.74,10.36
2010-02-04,7.78,8.48,8.48,7.6,615972,1084086056.0,11.47,10.56,0.81,18.36
2010-02-05,8.51,8.0,8.89,7.9,655299,1172260379.0,11.67,-5.66,-0.48,19.53
2010-02-08,7.74,7.49,7.75,7.23,271475,435293419.0,6.5,-6.38,-0.51,8.09
2010-02-09,7.35,7.34,7.71,7.23,194415,309590688.0,6.41,-2.0,-0.15,5.79
2010-02-10,7.4,7.37,7.45,7.24,120169,189170391.0,2.86,0.41,0.03,3.58
2010-02-11,7.34,7.08,7.41,7.05,134569,208673008.0,4.88,-3.93,-0.29,4.01
2010-02-12,7.14,7.35,7.38,7.08,106230,165956156.0,4.24,3.81,0.27,3.17
2010-02-22,7.38,7.73,8.05,7.28,249092,411924492.0,10.48,5.17,0.38,7.42
2010-02-23,7.67,8.14,8.46,7.49,313811,535116810.0,12.55,5.3,0.41,9.35
2010-02-24,8.14,8.06,8.24,7.88,174993,299293895.0,4.42,-0.98,-0.08,5.21
2010-02-25,8.06,8.31,8.51,7.98,289423,514009938.0,6.58,3.1,0.25,8.62
2010-02-26,8.26,8.15,8.39,8.12,145636,254611644.0,3.25,-1.93,-0.16,4.34
2010-03-01,8.31,8.2,8.39,8.06,224500,393107691.0,4.05,0.61,0.05,6.69
2010-03-02,8.21,7.89,8.24,7.86,215325,366024984.0,4.63,-3.78,-0.31,6.42
2010-03-03,7.83,7.92,8.03,7.82,130208,220089727.0,2.66,0.38,0.03,3.88
2010-03-04,7.92,7.58,8.04,7.54,159508,265975779.0,6.31,-4.29,-0.34,4.75
2010-03-05,7.58,7.53,7.67,7.44,113892,183703234.0,3.03,-0.66,-0.05,3.39
2010-03-08,7.61,7.75,7.99,7.6,159659,266205403.0,5.18,2.92,0.22,4.76
2010-03-09,7.77,7.69,7.81,7.6,80243,131429721.0,2.71,-0.77,-0.06,2.39
2010-03-10,7.69,7.61,7.77,7.58,66165,108474704.0,2.47,-1.04,-0.08,1.97
2010-03-11,7.63,7.56,7.71,7.47,73273,118469833.0,3.15,-0.66,-0.05,2.18
2010-03-12,7.57,7.75,7.96,7.53,181278,300880706.0,5.69,2.51,0.19,5.4
2010-03-15,7.73,7.67,7.74,7.52,67861,110236564.0,2.84,-1.03,-0.08,2.02
2010-03-16,7.75,7.94,7.97,7.61,200998,337266827.0,4.69,3.52,0.27,5.99
2010-03-17,7.95,8.03,8.06,7.85,180525,306791051.0,2.64,1.13,0.09,5.38
2010-03-18,8.02,7.94,8.04,7.88,123563,209302680.0,1.99,-1.12,-0.09,3.68
2010-03-19,7.96,7.96,8.16,7.92,175530,300891722.0,3.02,0.25,0.02,5.23
2010-03-22,7.92,7.78,7.92,7.68,167847,278400479.0,3.02,-2.26,-0.18,5.0
2010-03-23,7.76,7.66,7.77,7.63,91712,150419684.0,1.8,-1.54,-0.12,2.73
2010-03-24,7.66,7.7,7.72,7.62,87280,143076202.0,1.31,0.52,0.04,2.6
2010-03-25,7.65,7.41,7.65,7.41,155211,248480920.0,3.12,-3.77,-0.29,4.63
2010-03-26,7.38,7.46,7.47,7.32,71158,113180806.0,2.02,0.67,0.05,2.12
2010-03-29,7.47,7.54,7.6,7.47,88828,143381852.0,1.74,1.07,0.08,2.65
2010-03-30,7.55,7.44,7.59,7.37,114576,182171346.0,2.92,-1.33,-0.1,3.41
2010-03-31,7.45,7.31,7.46,7.28,114491,179905900.0,2.42,-1.75,-0.13,3.41
2010-04-01,7.32,7.46,7.5,7.32,110162,175447010.0,2.46,2.05,0.15,3.28
2010-04-02,7.5,7.58,7.6,7.45,126926,205293119.0,2.01,1.61,0.12,3.78
2010-04-06,7.59,7.67,7.71,7.53,133547,217465590.0,2.37,1.19,0.09,3.98
2010-04-07,7.63,7.54,7.63,7.51,78347,126455587.0,1.56,-1.69,-0.13,2.33
2010-04-08,7.61,7.73,7.91,7.61,250911,417539673.0,3.98,2.52,0.19,7.48
2010-04-09,7.67,7.77,7.84,7.63,114638,189236080.0,2.72,0.52,0.04,3.42
2010-04-12,7.77,7.54,7.77,7.48,159963,259672612.0,3.73,-2.96,-0.23,4.77
2010-04-13,7.52,7.32,7.52,7.18,159251,250225633.0,4.51,-2.92,-0.22,4.75
2010-04-14,7.32,7.47,7.52,7.28,90710,144554536.0,3.28,2.05,0.15,2.7
2010-04-15,7.42,7.24,7.42,7.23,104855,163733469.0,2.54,-3.08,-0.23,3.12
2010-04-16,7.25,7.26,7.33,7.19,62268,96848111.0,1.93,0.28,0.02,1.86
2010-04-19,7.22,6.94,7.26,6.93,91393,138821505.0,4.55,-4.41,-0.32,2.72
2010-04-20,6.94,6.9,7.02,6.65,84322,123715133.0,5.33,-0.58,-0.04,2.51
2010-04-21,6.91,7.05,7.09,6.69,119884,177550486.0,5.8,2.17,0.15,3.57
2010-04-22,7.03,7.14,7.25,6.81,136097,205712117.0,6.24,1.28,0.09,4.06
2010-04-23,7.08,6.93,7.15,6.92,83268,125785803.0,3.22,-2.94,-0.21,2.48
2010-04-26,6.95,7.11,7.15,6.89,83943,127017646.0,3.75,2.6,0.18,2.31
2010-04-27,7.12,6.84,7.12,6.7,77332,113658745.0,5.91,-3.8,-0.27,2.12
2010-04-29,6.93,6.51,6.98,6.49,75829,110491916.0,7.16,-4.82,-0.33,2.08
2010-04-30,6.51,5.91,6.51,5.82,110757,143762448.0,10.6,-9.22,-0.6,3.04
2010-05-04,5.71,5.6,5.82,5.51,66691,82241153.0,5.25,-5.25,-0.31,1.83
2010-05-05,5.51,5.71,5.73,5.45,64504,79339781.0,5.0,1.96,0.11,1.77
2010-05-06,5.71,5.64,5.94,5.6,73311,92344774.0,5.95,-1.23,-0.07,2.01
2010-05-07,5.48,5.59,5.83,5.38,64830,79468381.0,7.98,-0.89,-0.05,1.78
2010-05-10,5.58,5.64,5.77,5.5,63987,78675049.0,4.83,0.89,0.05,1.76
2010-05-11,5.79,5.42,5.8,5.4,74424,90601913.0,7.09,-3.9,-0.22,2.04
2010-05-12,5.36,5.03,5.44,4.96,79840,89924135.0,8.86,-7.2,-0.39,2.19
2010-05-13,5.06,5.2,5.22,4.71,101964,111568241.0,10.14,3.38,0.17,2.8
2010-05-14,5.11,5.13,5.26,5.02,70525,79465348.0,4.62,-1.35,-0.07,1.94
2010-05-17,5.04,4.59,5.04,4.58,105223,110800903.0,8.97,-10.53,-0.54,2.89
2010-05-18,4.59,4.66,4.72,4.44,99606,100699217.0,6.1,1.53,0.07,2.74
2010-05-19,4.59,4.65,4.81,4.56,80494,83302551.0,5.36,-0.21,-0.01,2.21
2010-05-20,4.62,4.74,4.99,4.57,118222,125196263.0,9.03,1.94,0.09,3.25
2010-05-21,4.56,5.26,5.26,4.52,272260,300573705.0,15.61,10.97,0.52,7.48
2010-05-24,5.35,5.68,5.78,5.26,301417,366166024.0,9.89,7.98,0.42,8.28
2010-05-25,5.55,5.48,5.65,5.41,190539,229032897.0,4.23,-3.52,-0.2,5.23
2010-05-26,5.41,5.63,5.7,5.36,160079,193330450.0,6.2,2.74,0.15,4.4
2010-05-27,5.63,5.69,5.76,5.51,165843,205174478.0,4.44,1.07,0.06,4.55
2010-05-28,5.72,5.66,5.77,5.62,122187,151145975.0,2.64,-0.53,-0.03,3.36
2010-05-31,5.66,5.41,5.89,5.39,148033,183823550.0,8.83,-4.42,-0.25,4.07
2010-06-01,5.35,5.16,5.39,4.97,129357,146644114.0,7.76,-4.62,-0.25,3.55
2010-06-02,5.11,5.25,5.25,5.03,81206,91590936.0,4.26,1.74,0.09,2.23
