日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,7.4,7.49,7.61,7.27,20835,67019224.53,4.62,1.77,0.13,7.44
2010-01-05,7.44,7.52,7.55,7.42,14181,45816053.77,1.74,0.4,0.03,5.06
2010-01-06,7.59,7.71,7.88,7.49,27765,92334971.26,5.19,2.53,0.19,9.92
2010-01-07,7.71,7.52,7.8,7.49,19991,65481937.25,4.02,-2.46,-0.19,7.14
2010-01-08,7.52,8.17,8.24,7.34,55516,187838216.01,11.97,8.64,0.65,19.83
2010-01-11,8.06,8.24,8.68,7.9,56611,200544043.37,9.55,0.86,0.07,20.22
2010-01-12,8.24,8.26,8.45,8.11,31758,112288526.31,4.13,0.24,0.02,11.34
2010-01-13,7.93,7.98,8.22,7.93,28912,99480802.29,3.51,-3.39,-0.28,10.33
2010-01-14,7.98,8.41,8.43,7.93,35926,126723948.15,6.27,5.39,0.43,12.83
2010-01-15,8.43,8.59,8.67,8.29,36908,133386389.86,4.52,2.14,0.18,13.18
2010-01-18,8.57,8.65,8.83,8.46,30550,112425474.85,4.31,0.7,0.06,10.91
2010-01-19,8.6,8.31,8.62,8.27,28127,100418826.97,4.05,-3.93,-0.34,10.05
2010-01-20,8.22,7.7,8.4,7.68,30428,104483661.85,8.66,-7.34,-0.61,10.87
2010-01-21,7.67,7.71,7.82,7.57,15714,52031723.28,3.25,0.13,0.01,5.61
2010-01-22,7.65,7.34,7.65,7.16,21804,69133644.48,6.36,-4.8,-0.37,7.79
2010-01-25,7.34,7.35,7.56,7.28,8786,28182575.87,3.81,0.14,0.01,3.14
2010-01-26,7.41,7.07,7.47,6.95,13842,43037349.13,7.07,-3.81,-0.28,4.94
2010-01-27,7.07,6.94,7.15,6.84,9377,28515485.82,4.38,-1.84,-0.13,3.35
2010-01-28,7.05,7.26,7.28,6.97,16836,52377074.19,4.47,4.61,0.32,6.01
2010-01-29,7.19,7.25,7.35,7.17,13554,42740426.3,2.48,-0.14,-0.01,4.84
2010-02-01,7.25,6.92,7.25,6.87,11695,35446449.73,5.24,-4.55,-0.33,4.18
2010-02-02,6.93,6.79,7.1,6.78,10686,32315512.43,4.62,-1.88,-0.13,3.82
2010-02-03,6.64,7.2,7.54,6.12,79067,228589329.11,20.91,6.04,0.41,22.59
2010-02-04,6.9,7.38,7.56,6.83,59733,188532921.06,10.14,2.5,0.18,17.07
2010-02-05,7.26,7.03,7.71,6.9,57888,183797137.05,10.98,-4.74,-0.35,16.54
2010-02-08,6.94,6.82,7.05,6.72,20645,61273506.92,4.69,-2.99,-0.21,5.9
2010-02-09,6.7,6.72,6.98,6.59,19184,56412777.48,5.72,-1.47,-0.1,5.48
2010-02-10,6.78,6.75,6.83,6.66,13143,38526577.27,2.53,0.45,0.03,3.76
2010-02-11,6.75,6.61,6.78,6.57,14989,43681593.66,3.11,-2.07,-0.14,4.28
2010-02-22,6.69,6.88,7.14,6.68,29818,89975842.09,6.96,4.08,0.27,8.52
2010-02-23,6.92,7.21,7.25,6.92,41016,126275690.24,4.8,4.8,0.33,11.72
2010-02-24,7.25,7.28,7.28,7.05,24268,75379056.97,3.19,0.97,0.07,6.93
2010-02-25,7.31,7.46,7.67,7.26,32403,104616357.38,5.63,2.47,0.18,9.26
2010-02-26,7.46,7.32,7.46,7.28,23618,74940453.65,2.41,-1.88,-0.14,6.75
2010-03-01,7.31,7.44,7.54,7.17,29486,94197351.45,5.05,1.64,0.12,8.42
2010-03-02,7.48,7.5,7.55,7.42,24807,80069695.39,1.75,0.81,0.06,7.09
2010-03-03,7.49,7.67,7.72,7.36,28370,92845540.89,4.8,2.27,0.17,8.11
2010-03-04,7.7,7.35,7.9,7.32,31044,101826002.83,7.56,-4.17,-0.32,8.87
2010-03-05,7.35,7.49,7.52,7.34,18851,60549704.86,2.45,1.9,0.14,5.39
2010-03-08,7.49,7.46,7.65,7.42,15908,51592307.57,3.07,-0.4,-0.03,4.55
2010-03-09,7.54,7.62,7.72,7.34,26962,88228761.16,5.09,2.14,0.16,7.7
2010-03-10,7.65,7.57,7.88,7.56,26011,85894244.86,4.2,-0.66,-0.05,7.43
2010-03-11,7.57,7.34,7.67,7.26,19910,63512497.88,5.42,-3.04,-0.23,5.69
2010-03-12,7.35,7.46,7.62,7.35,27359,88664053.46,3.68,1.63,0.12,7.82
2010-03-15,7.41,7.11,7.41,7.06,19321,60119097.3,4.69,-4.69,-0.35,5.52
2010-03-16,7.06,7.04,7.21,6.97,10937,33514940.64,3.38,-0.98,-0.07,3.12
2010-03-17,7.04,7.22,7.29,7.04,16354,50882370.98,3.55,2.56,0.18,4.67
2010-03-18,7.26,7.31,7.46,7.24,15553,49516368.78,3.05,1.25,0.09,4.44
2010-03-19,7.32,7.46,7.5,7.26,16868,53863874.89,3.28,2.05,0.15,4.82
2010-03-22,7.51,7.49,7.56,7.39,16185,52092508.61,2.28,0.4,0.03,4.62
2010-03-23,7.43,7.59,7.63,7.43,22600,73355461.01,2.67,1.34,0.1,6.46
2010-03-24,7.65,7.72,7.86,7.65,30555,101950287.29,2.77,1.71,0.13,8.73
2010-03-25,7.75,7.54,7.75,7.49,20662,67603114.63,3.37,-2.33,-0.18,5.9
2010-03-26,7.49,7.7,7.74,7.45,15656,51508792.49,3.85,2.12,0.16,4.47
2010-03-29,7.7,7.92,8.06,7.7,38942,132562432.84,4.68,2.86,0.22,11.13
2010-03-30,7.91,7.98,8.05,7.83,26391,89966871.77,2.78,0.76,0.06,7.54
2010-03-31,7.95,7.92,8.0,7.85,22542,76540811.26,1.88,-0.75,-0.06,6.44
2010-04-01,7.93,8.01,8.03,7.85,27369,93258976.39,2.27,1.14,0.09,7.82
2010-04-02,8.01,7.96,8.22,7.95,20467,70631462.96,3.37,-0.62,-0.05,5.85
2010-04-06,7.97,8.1,8.11,7.85,24879,85196098.41,3.27,1.76,0.14,7.11
2010-04-07,8.13,8.41,8.43,8.06,30485,108012046.89,4.57,3.83,0.31,8.71
2010-04-08,8.45,8.25,8.7,8.19,48443,174376204.49,6.06,-1.9,-0.16,13.84
2010-04-09,8.25,8.5,8.7,8.24,57593,208965385.69,5.58,3.03,0.25,16.46
2010-04-12,8.58,8.48,8.65,8.36,35545,128088659.58,3.41,-0.24,-0.02,10.16
2010-04-13,8.45,7.9,8.48,7.67,43260,148214309.52,9.55,-6.84,-0.58,12.36
2010-04-14,7.67,7.96,8.11,7.6,36849,125527387.98,6.46,0.76,0.06,10.53
2010-04-15,7.93,7.62,7.93,7.62,25743,85220932.58,3.89,-4.27,-0.34,7.36
2010-04-16,7.62,7.73,7.78,7.59,14228,47125549.97,2.49,1.44,0.11,4.07
2010-04-19,7.73,7.61,7.9,7.59,23134,77253892.1,4.01,-1.55,-0.12,6.61
2010-04-20,7.7,7.85,7.86,7.6,20831,69666295.05,3.42,3.15,0.24,5.95
2010-04-21,7.87,8.2,8.27,7.87,31237,108271499.45,5.1,4.46,0.35,8.92
2010-04-22,8.18,8.16,8.33,8.06,25324,88552199.6,3.29,-0.49,-0.04,7.24
2010-04-23,8.16,8.25,8.32,8.14,21704,76332966.94,2.21,1.1,0.09,6.2
2010-04-26,8.39,8.2,8.6,8.18,24025,85729607.98,5.09,-0.61,-0.05,6.86
2010-04-27,8.14,7.79,8.14,7.66,18785,62739568.0,5.85,-5.0,-0.41,5.37
2010-04-28,7.8,7.9,7.93,7.75,11932,40241434.82,2.31,1.41,0.11,3.41
2010-04-29,7.87,7.33,7.9,7.31,15471,50932219.79,7.47,-7.22,-0.57,4.42
2010-04-30,7.23,7.16,7.28,6.9,10389,31799190.48,5.18,-2.32,-0.17,2.97
2010-05-04,6.97,7.2,7.39,6.93,8453,26424879.44,6.42,0.56,0.04,2.42
2010-05-06,7.51,7.2,7.64,7.2,14993,48247617.77,6.11,0.0,0.0,4.28
2010-05-07,6.9,6.97,7.2,6.72,14306,42986841.56,6.67,-3.19,-0.23,4.09
2010-05-10,7.0,6.68,7.16,6.46,12653,37356024.01,10.04,-4.16,-0.29,3.62
2010-05-11,6.89,6.51,6.9,6.48,7066,20699060.54,6.29,-2.54,-0.17,2.02
2010-05-12,6.51,6.35,6.64,6.25,8845,24945592.97,5.99,-2.46,-0.16,2.53
2010-05-13,6.25,6.61,6.61,6.25,7603,21592129.08,5.67,4.09,0.26,2.17
2010-05-14,6.58,6.84,6.86,6.56,11837,34946952.51,4.54,3.48,0.23,3.38
2010-05-17,6.82,6.5,6.98,6.46,14171,41941944.27,7.6,-4.97,-0.34,4.05
2010-05-18,6.5,6.85,6.87,6.5,16605,48472969.5,5.69,5.38,0.35,4.74
2010-05-19,6.9,6.87,7.02,6.72,13197,39671362.77,4.38,0.29,0.02,3.77
