日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-06-19,6.08,7.34,7.34,6.08,147,144190.0,25.0,45.63,2.3,0.03
2017-06-20,8.1,8.1,8.1,8.1,44,47887.0,0.0,10.35,0.76,0.01
2017-06-21,8.93,8.93,8.93,8.93,98,117006.0,0.0,10.25,0.83,0.02
2017-06-22,9.84,9.84,9.84,9.84,110,143731.0,0.0,10.19,0.91,0.02
2017-06-23,10.85,10.85,10.85,10.85,791,1137329.0,0.0,10.26,1.01,0.16
2017-06-26,11.96,11.96,11.96,11.96,946,1496888.0,0.0,10.23,1.11,0.19
2017-06-27,13.17,13.17,13.17,13.17,5277,9182345.0,0.0,10.12,1.21,1.04
2017-06-28,14.51,14.51,14.51,14.51,15374,29426525.0,0.0,10.17,1.34,3.03
2017-06-29,15.39,15.98,15.98,15.03,347049,717934448.0,6.55,10.13,1.47,68.29
2017-06-30,15.17,16.14,16.87,14.71,361949,755210672.0,13.52,1.0,0.16,71.22
2017-07-03,15.56,15.27,15.59,14.94,209365,420653120.0,4.03,-5.39,-0.87,41.2
2017-07-04,15.18,15.7,15.91,15.18,210512,431833584.0,4.78,2.82,0.43,41.42
2017-07-05,15.94,16.54,16.82,15.8,267001,573249264.0,6.5,5.35,0.84,52.54
2017-07-06,16.17,15.85,16.25,15.4,211137,439515264.0,5.14,-4.17,-0.69,41.55
2017-07-07,15.57,15.34,15.89,15.26,137576,281681680.0,3.97,-3.22,-0.51,27.07
2017-07-10,14.47,13.87,14.7,13.78,172053,321359408.0,6.0,-9.58,-1.47,33.86
2017-07-11,13.85,13.73,13.99,13.53,77324,140632419.0,3.32,-1.01,-0.14,15.22
2017-07-12,13.65,13.8,13.83,13.14,85397,152572624.0,5.03,0.51,0.07,16.8
2017-07-13,13.64,13.25,13.7,13.17,60947,107734850.0,3.84,-3.99,-0.55,11.99
2017-07-14,13.38,13.14,13.46,13.05,50487,88497431.0,3.09,-0.83,-0.11,9.93
2017-07-17,12.89,11.83,12.97,11.81,83909,134759449.0,8.83,-9.97,-1.31,16.51
2017-07-18,11.83,11.89,12.02,11.6,44294,69464328.0,3.55,0.51,0.06,8.72
2017-07-19,11.75,11.89,11.98,11.6,40460,63292215.0,3.2,0.0,0.0,7.96
2017-07-20,11.84,12.0,12.4,11.83,52012,83697911.0,4.79,0.93,0.11,10.23
2017-07-21,11.87,11.69,12.06,11.67,37637,58726328.0,3.25,-2.58,-0.31,7.41
2017-07-24,11.54,11.84,11.95,11.28,48944,74945432.0,5.73,1.28,0.15,9.63
2017-07-25,11.64,11.74,12.01,11.64,33783,52856916.0,3.13,-0.84,-0.1,6.65
2017-07-26,11.74,11.47,11.84,11.41,29167,44849478.0,3.66,-2.3,-0.27,5.74
2017-07-27,11.5,11.87,11.9,11.4,50497,78487326.0,4.36,3.49,0.4,9.94
2017-07-28,11.87,11.72,12.2,11.71,49246,77704076.0,4.13,-1.26,-0.15,9.69
2017-07-31,11.62,11.6,11.74,11.4,29983,46044781.0,2.9,-1.02,-0.12,5.9
