日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-01-11,7.37,8.25,8.25,7.37,92,126647.0,16.18,51.65,2.81,0.02
2017-01-12,9.17,9.17,9.17,9.17,41,61990.0,0.0,11.15,0.92,0.01
2017-01-13,10.18,10.18,10.18,10.18,71,118641.0,0.0,11.01,1.01,0.01
2017-01-16,11.3,11.3,11.3,11.3,368,675685.0,0.0,11.0,1.12,0.07
2017-01-17,12.52,12.52,12.52,12.52,367,741568.0,0.0,10.8,1.22,0.07
2017-01-18,13.87,13.87,13.87,13.87,448,996352.0,0.0,10.78,1.35,0.09
2017-01-19,15.35,15.35,15.35,15.35,840,2054640.0,0.0,10.67,1.48,0.17
2017-01-20,15.78,16.98,16.98,15.06,206127,526955296.0,12.51,10.62,1.63,41.23
2017-01-23,17.58,17.02,18.03,16.45,260812,710404240.0,9.31,0.24,0.04,52.16
2017-01-24,16.76,15.26,16.78,15.24,196029,495423328.0,9.05,-10.34,-1.76,39.21
2017-01-25,14.78,15.6,15.76,14.64,140613,344525600.0,7.34,2.23,0.34,28.12
2017-01-26,15.66,15.87,16.04,15.51,101592,255173126.0,3.4,1.73,0.27,20.32
2017-02-03,15.78,15.48,15.84,15.39,73647,182749639.0,2.84,-2.46,-0.39,14.73
2017-02-06,15.81,17.13,17.13,15.81,172211,453690496.0,8.53,10.66,1.65,34.44
2017-02-07,17.04,17.6,17.6,16.68,180336,488375088.0,5.37,2.74,0.47,36.07
2017-02-08,17.3,18.54,19.43,17.24,204904,598822048.0,12.44,5.34,0.94,40.98
2017-02-09,18.26,18.32,18.8,18.0,142578,412768416.0,4.31,-1.19,-0.22,28.52
2017-02-10,18.34,17.68,18.71,17.68,116457,333253792.0,5.62,-3.49,-0.64,23.29
2017-02-13,17.58,18.49,19.03,17.31,133611,385173696.0,9.73,4.58,0.81,26.72
2017-02-14,18.38,18.79,19.17,18.24,131394,387568976.0,5.03,1.62,0.3,26.28
2017-02-15,18.66,19.28,20.56,18.5,174962,543529760.0,10.96,2.61,0.49,34.99
2017-02-16,18.78,18.84,19.16,18.3,111413,328526320.0,4.46,-2.28,-0.44,22.28
2017-02-17,19.0,18.32,19.7,18.18,100158,298349696.0,8.07,-2.76,-0.52,20.03
2017-02-20,17.84,17.55,18.04,16.99,85873,237675191.0,5.73,-4.2,-0.77,17.17
2017-02-21,17.44,17.96,18.14,17.42,70221,198437475.0,4.1,2.34,0.41,14.04
2017-02-22,17.96,17.84,18.24,17.62,59141,167145222.0,3.45,-0.67,-0.12,11.83
2017-02-23,17.75,18.73,18.74,17.75,93334,269753040.0,5.55,4.99,0.89,18.67
2017-02-24,18.73,18.92,19.38,18.63,105379,315742912.0,4.0,1.01,0.19,21.08
2017-02-27,18.65,19.3,19.7,18.64,97054,292875136.0,5.6,2.01,0.38,19.41
2017-02-28,19.22,19.74,19.8,18.86,101214,308109440.0,4.87,2.28,0.44,20.24
2017-03-01,19.64,18.98,19.88,18.93,99767,303790944.0,4.81,-3.85,-0.76,19.95
2017-03-02,18.88,19.6,19.83,18.78,101512,310212464.0,5.53,3.27,0.62,20.3
2017-03-03,19.38,19.59,19.88,18.98,81898,250434157.0,4.59,-0.05,-0.01,16.38
2017-03-06,19.71,20.4,20.55,19.44,123384,389623888.0,5.67,4.13,0.81,24.68
2017-03-07,20.56,21.0,22.53,20.54,201841,678099568.0,9.75,2.94,0.6,40.37
2017-03-08,20.78,22.14,22.18,20.59,170710,572281632.0,7.57,5.43,1.14,34.14
2017-03-09,21.71,21.12,21.84,20.98,116434,389325856.0,3.88,-4.61,-1.02,23.29
2017-03-10,21.23,20.59,21.24,20.56,78540,256729434.0,3.22,-2.51,-0.53,15.71
2017-03-13,20.62,21.61,21.67,20.04,102653,337116768.0,7.92,4.95,1.02,20.53
2017-03-14,21.46,21.21,21.7,21.18,93357,313504224.0,2.41,-1.85,-0.4,18.67
2017-03-15,21.08,21.01,21.44,20.71,62163,205485072.0,3.44,-0.94,-0.2,12.43
2017-03-16,21.26,21.63,22.02,21.21,106706,362096736.0,3.86,2.95,0.62,21.34
2017-03-17,21.7,20.5,22.12,20.38,127792,427278912.0,8.04,-5.22,-1.13,25.56
2017-03-20,20.18,20.98,21.0,20.14,60453,196518266.0,4.2,2.34,0.48,12.09
2017-03-21,20.88,21.65,21.69,20.85,83725,280731776.0,4.0,3.19,0.67,16.74
2017-03-22,21.44,21.93,22.08,21.1,102752,348115568.0,4.53,1.29,0.28,20.55
2017-03-23,22.13,21.38,22.13,20.71,95904,321950512.0,6.48,-2.51,-0.55,19.18
2017-03-24,21.17,21.74,22.04,21.13,79288,268773200.0,4.26,1.68,0.36,15.86
2017-03-27,22.0,22.3,22.64,21.58,111770,387725536.0,4.88,2.58,0.56,22.35
2017-03-28,22.11,21.43,22.29,21.38,77203,262844459.0,4.08,-3.9,-0.87,15.44
2017-03-29,21.38,19.84,21.51,19.8,85178,273965840.0,7.98,-7.42,-1.59,17.04
2017-03-30,19.44,18.88,19.57,18.47,68127,204447011.0,5.54,-4.84,-0.96,13.63
2017-03-31,18.89,18.86,19.3,18.64,38650,115713730.0,3.5,-0.11,-0.02,7.73
2017-04-05,18.74,19.16,19.28,18.16,39981,119101866.0,5.94,1.59,0.3,8.0
2017-04-06,19.08,19.12,19.63,19.0,40851,124147992.0,3.29,-0.21,-0.04,8.17
2017-04-07,19.06,18.38,19.16,18.31,45203,133376042.0,4.45,-3.87,-0.74,9.04
2017-04-10,18.25,16.72,18.25,16.6,57014,156399163.0,8.98,-9.03,-1.66,11.4
2017-04-11,16.72,17.25,17.37,16.61,39755,107157254.0,4.55,3.17,0.53,7.95
2017-04-12,17.15,16.74,17.18,16.72,26980,72359539.0,2.67,-2.96,-0.51,5.4
2017-04-13,16.78,16.83,17.16,16.62,20613,55377849.0,3.23,0.54,0.09,4.12
2017-04-14,16.73,16.58,16.82,16.38,19545,51502325.0,2.61,-1.49,-0.25,3.91
2017-04-17,15.7,15.44,16.12,15.3,35959,89544142.0,4.95,-6.88,-1.14,7.19
2017-04-18,15.55,15.48,15.77,15.34,19641,48706052.0,2.78,0.26,0.04,3.93
2017-04-19,15.45,16.07,16.08,15.44,32129,80774624.0,4.13,3.81,0.59,6.43
2017-04-20,16.05,16.04,16.18,15.54,27273,68872475.0,3.98,-0.19,-0.03,5.45
2017-04-21,16.02,15.86,16.28,15.84,19226,49093187.0,2.74,-1.12,-0.18,3.85
2017-04-24,15.71,15.54,15.84,15.1,22603,55571624.0,4.67,-2.02,-0.32,4.52
2017-04-25,15.7,15.86,16.09,15.58,23196,58746175.0,3.28,2.06,0.32,4.64
2017-04-26,15.84,16.11,16.3,15.78,26480,67685712.0,3.28,1.58,0.25,5.3
2017-04-27,16.12,16.61,16.68,15.67,40394,104359387.0,6.27,3.1,0.5,8.08
2017-04-28,16.62,16.62,16.74,16.41,27671,72779516.0,1.99,0.06,0.01,5.53
2017-05-02,16.64,16.7,16.92,16.54,27993,74249948.0,2.29,0.48,0.08,5.6
2017-05-03,16.66,16.91,16.92,16.44,29542,78149326.0,2.87,1.26,0.21,5.91
2017-05-04,16.92,16.61,16.96,16.51,24470,65027926.0,2.66,-1.77,-0.3,4.89
2017-05-05,16.44,16.12,16.79,16.06,24950,65440881.0,4.39,-2.95,-0.49,4.99
2017-05-08,15.98,15.33,15.98,15.18,25553,63686084.0,4.96,-4.9,-0.79,5.11
2017-05-09,15.33,15.78,15.88,15.33,20226,50297364.0,3.59,2.94,0.45,4.05
2017-05-10,15.87,15.18,15.97,15.11,26705,66524294.0,5.45,-3.8,-0.6,5.34
2017-05-11,15.07,15.45,15.48,14.78,26897,64986912.0,4.61,1.78,0.27,5.38
2017-05-12,15.28,15.45,15.6,15.18,20762,51007112.0,2.72,0.0,0.0,4.15
2017-05-15,15.58,15.37,15.69,15.31,16806,41480776.0,2.46,-0.52,-0.08,3.36
2017-05-16,15.36,15.82,15.84,14.93,30092,73820497.0,5.92,2.93,0.45,6.02
2017-05-17,15.8,15.88,16.16,15.7,30957,78360256.0,2.91,0.38,0.06,6.19
2017-05-18,15.71,15.67,16.02,15.64,21205,53397310.0,2.39,-1.32,-0.21,4.24
2017-05-19,15.72,15.67,15.9,15.58,15866,39703701.0,2.04,0.0,0.0,3.17
2017-05-22,15.7,14.79,15.93,14.75,28511,69815632.0,7.53,-5.62,-0.88,5.7
2017-05-23,14.77,13.63,14.88,13.58,34978,79125502.0,8.79,-7.84,-1.16,7.0
2017-05-24,13.64,13.89,14.0,13.32,19009,41909518.0,4.99,1.91,0.26,3.8
2017-05-25,13.86,13.97,14.1,13.33,22260,48971512.0,5.54,0.58,0.08,4.45
2017-05-26,13.98,14.1,14.38,13.82,20884,47056247.0,4.01,0.93,0.13,4.18
2017-05-31,14.68,14.03,14.91,14.03,28881,67063981.0,6.24,-0.5,-0.07,5.78
2017-06-01,13.91,13.2,13.98,13.12,28858,62765859.0,6.13,-5.92,-0.83,5.77
2017-06-02,13.06,13.64,13.71,12.96,19915,42850662.0,5.68,3.33,0.44,3.98
2017-06-05,13.8,13.76,14.04,13.76,18269,40713869.0,2.05,0.88,0.12,3.65
2017-06-06,13.63,13.84,13.89,13.61,12622,27855353.0,2.03,0.58,0.08,2.52
2017-06-07,13.85,14.91,14.96,13.75,45486,105271738.0,8.74,7.73,1.07,9.1
2017-06-08,14.83,14.5,15.17,14.43,34243,80184834.0,4.96,-2.75,-0.41,6.85
2017-06-09,14.5,14.66,14.78,14.38,21977,51298212.0,2.76,1.1,0.16,4.4
2017-06-12,14.44,14.01,14.44,13.94,20215,45904744.0,3.41,-4.43,-0.65,4.04
2017-06-13,13.81,14.44,14.58,13.81,23859,54781456.0,5.5,3.07,0.43,4.77
2017-06-14,14.5,14.4,14.56,14.18,18116,41709474.0,2.63,-0.28,-0.04,3.62
2017-06-15,14.28,14.77,14.94,14.28,31302,73897325.0,4.58,2.57,0.37,6.26
2017-06-16,14.79,14.7,14.8,14.53,16755,39290399.0,1.83,-0.47,-0.07,3.35
2017-06-19,14.64,14.77,14.81,14.55,15632,36714891.0,1.77,0.48,0.07,3.13
2017-06-20,14.9,14.5,14.9,14.48,19337,45352498.0,2.84,-1.83,-0.27,3.87
2017-06-21,14.57,14.54,14.61,14.32,12741,29503455.0,2.0,0.28,0.04,2.55
2017-06-22,14.54,14.08,14.67,14.08,18413,42492833.0,4.06,-3.16,-0.46,3.68
2017-06-23,14.34,14.0,14.34,13.64,17957,40122418.0,4.97,-0.57,-0.08,3.59
2017-06-26,13.98,14.24,14.29,13.76,14136,31909410.0,3.79,1.71,0.24,2.83
2017-06-27,14.19,14.24,14.46,14.17,13626,31204032.0,2.04,0.0,0.0,2.73
2017-06-28,14.21,13.95,14.22,13.87,11938,26611126.0,2.46,-2.04,-0.29,2.39
2017-06-29,14.02,14.06,14.19,13.94,10512,23526696.0,1.79,0.79,0.11,2.1
2017-06-30,13.95,14.2,14.32,13.91,16970,38201269.0,2.92,1.0,0.14,3.39
2017-07-03,14.21,14.43,14.44,14.04,19671,44662371.0,2.82,1.62,0.23,3.93
2017-07-04,14.47,14.43,14.6,14.34,15708,36080405.0,1.8,0.0,0.0,3.14
2017-07-05,14.35,14.72,14.79,14.35,22454,52082301.0,3.05,2.01,0.29,4.49
2017-07-06,14.67,14.69,14.77,14.47,21430,49848770.0,2.04,-0.2,-0.03,4.29
2017-07-07,14.73,15.41,15.8,14.7,60377,146396571.0,7.49,4.9,0.72,12.08
2017-07-10,15.27,14.7,15.29,14.65,37041,87995784.0,4.15,-4.61,-0.71,7.41
2017-07-11,14.6,14.62,15.17,14.59,22229,52296042.0,3.95,-0.54,-0.08,4.45
2017-07-12,14.53,14.83,14.83,14.19,23280,53646637.0,4.38,1.44,0.21,4.66
2017-07-13,14.8,14.61,14.81,14.53,16978,39555756.0,1.89,-1.48,-0.22,3.4
2017-07-14,14.47,14.31,14.64,14.25,16069,36773983.0,2.67,-2.05,-0.3,3.21
2017-07-17,14.07,12.79,14.09,12.79,33950,71947115.0,9.08,-10.62,-1.52,6.79
