日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-12-26,10.27,12.41,12.41,10.27,787,1008368.0,25.21,46.17,3.92,0.04
2016-12-27,13.69,13.69,13.69,13.69,329,463983.0,0.0,10.31,1.28,0.02
2016-12-28,15.1,15.1,15.1,15.1,528,819984.0,0.0,10.3,1.41,0.03
2016-12-29,16.65,16.65,16.65,16.65,1210,2066765.0,0.0,10.26,1.55,0.06
2016-12-30,18.36,18.36,18.36,18.36,9452,17760252.0,0.0,10.27,1.71,0.45
2017-01-03,18.57,20.24,20.24,18.07,1075624,2114629056.0,11.82,10.24,1.88,51.22
2017-01-04,19.37,19.92,21.3,19.24,940655,1924484240.0,10.18,-1.58,-0.32,44.79
2017-01-05,19.45,18.68,19.57,18.57,601619,1172100560.0,5.02,-6.22,-1.24,28.65
2017-01-06,18.39,17.17,18.39,16.99,491971,888786288.0,7.49,-8.08,-1.51,23.43
2017-01-09,16.87,16.87,17.1,16.67,272746,470903408.0,2.5,-1.75,-0.3,12.99
2017-01-10,16.86,17.04,17.52,16.8,286634,504353184.0,4.27,1.01,0.17,13.65
2017-01-11,16.83,16.01,16.83,15.96,288388,483464128.0,5.11,-6.04,-1.03,13.73
2017-01-12,15.82,15.56,16.16,15.4,215226,347992992.0,4.75,-2.81,-0.45,10.25
2017-01-13,15.57,15.31,15.69,15.23,164669,260968941.0,2.96,-1.61,-0.25,7.84
2017-01-16,15.12,14.59,15.32,13.95,209107,319720560.0,8.95,-4.7,-0.72,9.96
2017-01-17,14.57,15.35,15.53,14.22,268749,411864720.0,8.98,5.21,0.76,12.8
2017-01-18,15.15,14.71,15.24,14.69,171814,264205101.0,3.58,-4.17,-0.64,8.18
2017-01-19,14.58,14.78,15.14,14.47,157121,239899215.0,4.55,0.48,0.07,7.48
2017-01-20,14.69,15.0,15.17,14.69,159436,246346991.0,3.25,1.49,0.22,7.59
2017-01-23,14.99,15.04,15.2,14.92,136195,211312411.0,1.87,0.27,0.04,6.49
2017-01-24,14.98,14.62,15.0,14.53,147150,222727714.0,3.13,-2.79,-0.42,7.01
2017-01-25,14.62,14.77,14.86,14.5,93676,142208072.0,2.46,1.03,0.15,4.46
2017-01-26,14.77,14.72,14.86,14.62,83880,127129401.0,1.62,-0.34,-0.05,3.99
2017-02-03,14.71,14.74,14.85,14.57,86689,131124537.0,1.9,0.14,0.02,4.13
2017-02-06,14.81,15.41,15.42,14.81,232253,364162992.0,4.14,4.55,0.67,11.06
2017-02-07,15.4,15.36,15.67,15.22,197852,313874304.0,2.92,-0.32,-0.05,9.42
2017-02-08,15.28,15.67,15.68,15.22,174270,277214448.0,2.99,2.02,0.31,8.3
2017-02-09,15.68,15.61,15.8,15.51,161441,259493860.0,1.85,-0.38,-0.06,7.69
2017-02-10,15.61,15.35,15.67,15.33,144212,229023042.0,2.18,-1.67,-0.26,6.87
2017-02-13,15.3,15.78,15.96,15.26,247528,398213136.0,4.56,2.8,0.43,11.79
2017-02-14,15.71,15.67,15.8,15.52,172522,277413872.0,1.77,-0.7,-0.11,8.22
2017-02-15,15.68,16.0,16.55,15.59,411672,680894800.0,6.13,2.11,0.33,19.6
2017-02-16,15.89,16.45,16.5,15.74,315573,522179984.0,4.75,2.81,0.45,15.03
2017-02-17,16.48,16.93,18.14,16.47,622852,1103967952.0,10.15,2.92,0.48,29.66
2017-02-20,16.57,16.67,16.72,16.02,324883,545707216.0,4.13,-1.54,-0.26,15.47
2017-02-21,16.56,16.73,16.82,16.48,222260,379534752.0,2.04,0.36,0.06,10.58
2017-02-22,16.68,16.28,16.68,16.23,200533,336956688.0,2.69,-2.69,-0.45,9.55
2017-02-23,16.29,16.7,16.84,16.28,243418,414500016.0,3.44,2.58,0.42,11.59
2017-02-24,16.81,17.39,17.74,16.73,386674,686035136.0,6.05,4.13,0.69,18.41
2017-02-27,17.32,17.08,17.7,17.0,238470,421931264.0,4.03,-1.78,-0.31,11.36
2017-02-28,17.01,17.2,17.36,16.96,167920,294861680.0,2.34,0.7,0.12,8.0
2017-03-01,17.15,16.96,17.44,16.91,207178,364501840.0,3.08,-1.4,-0.24,9.87
2017-03-02,16.92,17.43,17.73,16.89,342605,608762048.0,4.95,2.77,0.47,16.31
2017-03-03,17.34,17.06,17.34,16.98,178173,312163584.0,2.07,-2.12,-0.37,8.48
2017-03-06,16.97,17.17,17.24,16.94,151550,265742130.0,1.76,0.64,0.11,7.22
2017-03-07,17.16,17.73,17.76,17.09,343477,618262176.0,3.9,3.26,0.56,16.36
2017-03-08,17.73,18.23,18.26,17.43,390421,714146144.0,4.68,2.82,0.5,18.59
2017-03-09,17.97,17.68,18.52,17.64,356923,660047248.0,4.83,-3.02,-0.55,17.0
2017-03-10,17.62,17.46,17.96,17.42,221149,399263184.0,3.05,-1.24,-0.22,10.53
2017-03-13,17.45,17.34,17.45,16.75,190860,335298624.0,4.01,-0.69,-0.12,9.09
2017-03-14,17.35,17.6,17.85,17.28,217982,393491408.0,3.29,1.5,0.26,10.38
2017-03-15,17.45,17.27,17.55,17.15,163419,289882880.0,2.27,-1.88,-0.33,7.78
2017-03-16,17.35,17.91,18.22,17.35,342931,628112256.0,5.04,3.71,0.64,16.33
2017-03-17,17.99,17.81,18.7,17.78,473461,885307136.0,5.14,-0.56,-0.1,22.55
2017-03-20,17.57,18.04,18.06,17.4,232419,422346256.0,3.71,1.29,0.23,11.07
2017-03-21,17.95,18.19,18.25,17.83,223346,413040352.0,2.33,0.83,0.15,10.64
2017-03-22,18.04,18.02,18.16,17.73,214047,393673456.0,2.36,-0.93,-0.17,10.19
2017-03-23,18.06,18.26,18.45,17.78,344582,639830064.0,3.72,1.33,0.24,16.41
2017-03-24,18.1,18.03,18.24,17.89,191908,354555408.0,1.92,-1.26,-0.23,9.14
2017-03-27,18.23,17.8,18.31,17.75,163266,299759632.0,3.11,-1.28,-0.23,7.77
2017-03-28,17.78,16.86,17.79,16.83,247156,438288448.0,5.39,-5.28,-0.94,11.77
2017-03-29,16.93,16.09,16.97,15.87,211057,354571664.0,6.52,-4.57,-0.77,10.05
2017-03-30,15.97,15.91,16.11,15.69,143442,233818995.0,2.61,-1.12,-0.18,6.83
2017-03-31,15.92,15.98,16.18,15.82,97662,160514583.0,2.26,0.44,0.07,4.65
2017-04-05,15.9,16.24,16.27,15.9,90125,149058527.0,2.32,1.63,0.26,4.29
2017-04-06,16.28,16.15,16.35,16.12,95566,159105774.0,1.42,-0.55,-0.09,4.55
2017-04-07,16.15,15.8,16.15,15.78,114527,187117688.0,2.29,-2.17,-0.35,5.45
2017-04-10,15.78,15.04,15.78,14.92,160986,251337613.0,5.44,-4.81,-0.76,7.67
2017-04-11,15.07,15.31,15.32,14.9,100569,156616024.0,2.79,1.8,0.27,4.79
2017-04-12,15.29,15.01,15.29,14.97,73121,113559509.0,2.09,-1.96,-0.3,3.48
2017-04-13,14.98,15.05,15.2,14.94,47374,73394282.0,1.73,0.27,0.04,2.26
2017-04-14,14.99,14.68,15.04,14.62,69522,105627763.0,2.79,-2.46,-0.37,3.31
2017-04-17,14.4,14.46,14.5,14.12,71064,105076477.0,2.59,-1.5,-0.22,3.38
2017-04-18,14.48,14.4,14.7,14.39,50101,75078577.0,2.14,-0.41,-0.06,2.39
2017-04-19,14.39,14.75,14.76,14.2,76871,115084024.0,3.89,2.43,0.35,3.66
2017-04-20,14.73,14.65,14.89,14.47,53250,80431058.0,2.85,-0.68,-0.1,2.54
2017-04-21,14.65,14.6,14.73,14.51,33111,49864635.0,1.5,-0.34,-0.05,1.58
2017-04-24,14.6,14.11,14.63,14.09,48843,71584093.0,3.7,-3.36,-0.49,2.33
2017-04-25,14.15,14.16,14.33,14.12,35349,51849808.0,1.49,0.35,0.05,1.68
2017-04-26,14.21,14.28,14.44,14.13,38964,57262869.0,2.19,0.85,0.12,1.86
2017-04-27,14.23,14.54,14.57,13.83,82630,121292767.0,5.18,1.82,0.26,3.93
2017-04-28,14.36,14.38,14.45,14.3,60819,90134304.0,1.03,-1.1,-0.16,2.9
2017-05-02,14.38,13.93,14.38,13.89,82806,119796025.0,3.41,-3.13,-0.45,3.94
2017-05-03,13.94,13.72,14.03,13.55,88083,124677121.0,3.45,-1.51,-0.21,4.19
2017-05-04,13.69,13.44,13.69,13.39,66462,92575438.0,2.19,-2.04,-0.28,3.16
2017-05-05,13.39,12.91,13.39,12.88,79897,108208267.0,3.79,-3.94,-0.53,3.8
2017-05-08,12.86,12.88,13.34,12.75,68147,91979767.0,4.57,-0.23,-0.03,3.25
2017-05-09,12.92,13.13,13.18,12.92,49774,67277093.0,2.02,1.94,0.25,2.37
2017-05-10,13.2,12.76,13.22,12.75,52036,69929397.0,3.58,-2.82,-0.37,2.48
2017-05-11,12.69,12.73,12.82,12.31,60107,78327930.0,4.0,-0.24,-0.03,2.86
2017-05-12,12.69,12.73,12.79,12.63,40234,52867248.0,1.26,0.0,0.0,1.92
2017-05-15,12.76,12.74,12.97,12.72,34161,45321559.0,1.96,0.08,0.01,1.63
2017-05-16,12.67,12.91,12.92,12.32,78057,101631036.0,4.71,1.33,0.17,3.72
2017-05-17,12.89,12.94,13.03,12.84,67213,89917206.0,1.47,0.23,0.03,3.2
