日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-03-31,4.51,4.51,4.51,4.51,343,210314.0,0.0,46.91,1.44,0.06
2016-04-01,4.97,4.97,4.97,4.97,149,100426.0,0.0,10.2,0.46,0.03
2016-04-05,5.49,5.49,5.49,5.49,120,88920.0,0.0,10.46,0.52,0.02
2016-04-06,6.06,6.06,6.06,6.06,204,166040.0,0.0,10.38,0.57,0.04
2016-04-07,6.69,6.69,6.69,6.69,259,231991.0,0.0,10.4,0.63,0.05
2016-04-08,7.38,7.38,7.38,7.38,465,459202.0,0.0,10.31,0.69,0.08
2016-04-11,8.14,8.14,8.14,8.14,406,441448.0,0.0,10.3,0.76,0.07
2016-04-12,8.98,8.98,8.98,8.98,1098,1312062.0,0.0,10.32,0.84,0.2
2016-04-13,9.91,9.91,9.91,9.91,1037,1363984.0,0.0,10.36,0.93,0.19
2016-04-14,10.92,10.92,10.92,10.92,2636,3814958.0,0.0,10.19,1.01,0.48
2016-04-15,12.04,12.04,12.04,12.04,3556,5661295.0,0.0,10.26,1.12,0.64
2016-04-18,13.26,13.26,13.26,13.26,3454,6047394.0,0.0,10.13,1.22,0.63
2016-04-19,14.61,14.61,14.61,14.61,2249,4331978.0,0.0,10.18,1.35,0.41
2016-04-20,16.09,16.09,16.09,16.09,8603,18229291.0,0.0,10.13,1.48,1.56
2016-04-21,17.72,17.72,17.72,17.72,10033,23386364.0,0.0,10.13,1.63,1.82
2016-04-22,19.51,19.51,19.51,19.51,16395,42036549.0,0.0,10.1,1.79,2.97
2016-04-25,21.48,21.48,21.48,20.79,406540,1139610672.0,3.54,10.1,1.97,73.65
2016-04-26,20.89,23.65,23.65,20.79,325064,951141328.0,13.31,10.1,2.17,58.89
2016-04-27,24.4,23.92,26.04,23.87,328574,1074688448.0,9.18,1.14,0.27,59.52
2016-04-28,23.13,23.49,24.37,22.57,299636,916598800.0,7.53,-1.8,-0.43,54.28
2016-04-29,23.04,22.01,23.16,21.71,227735,668834384.0,6.17,-6.3,-1.48,41.26
2016-05-03,21.66,22.21,22.24,21.07,206405,591701456.0,5.32,0.91,0.2,37.39
2016-05-04,22.09,22.2,22.77,21.84,192207,560704144.0,4.19,-0.05,-0.01,34.82
2016-05-05,21.68,22.0,22.55,21.52,140980,405710704.0,4.64,-0.9,-0.2,25.54
2016-05-06,22.04,21.11,22.54,21.08,157218,451871488.0,6.64,-4.05,-0.89,28.48
2016-05-09,20.56,18.98,20.56,18.98,128864,330171792.0,7.48,-10.09,-2.13,23.34
2016-05-10,18.37,19.18,19.22,18.37,109593,271405472.0,4.48,1.05,0.2,19.85
2016-05-11,19.12,18.18,19.28,18.1,83849,206769509.0,6.15,-5.21,-1.0,15.19
2016-05-12,17.49,17.28,17.5,16.48,103903,232532460.0,5.61,-4.95,-0.9,18.82
2016-05-13,17.02,17.37,17.87,16.87,105567,242418418.0,5.79,0.52,0.09,19.12
2016-05-16,17.17,17.5,17.56,16.74,78762,177561324.0,4.72,0.75,0.13,14.27
2016-05-17,17.47,17.46,17.91,17.17,109877,255640071.0,4.23,-0.23,-0.04,19.91
2016-05-18,16.94,15.9,17.06,15.77,111140,238395098.0,7.39,-8.93,-1.56,20.13
2016-05-19,15.76,15.93,16.54,15.76,73857,156899576.0,4.91,0.19,0.03,13.38
2016-05-20,15.38,16.3,16.33,15.35,79237,166398040.0,6.15,2.32,0.37,14.35
2016-05-23,16.21,17.25,17.34,16.17,126518,281998960.0,7.18,5.83,0.95,22.92
2016-05-24,17.1,16.57,17.1,16.45,78517,172580715.0,3.77,-3.94,-0.68,14.22
2016-05-25,16.72,17.19,17.41,16.57,96732,215779271.0,5.07,3.74,0.62,17.52
