日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,9.21,9.21,9.55,9.13,127357,118812592.0,4.6,0.88,0.08,2.84
2010-01-05,9.22,9.32,9.37,9.15,91147,84590136.0,2.39,1.19,0.11,2.03
2010-01-06,9.33,9.13,9.36,9.1,72314,66703020.0,2.79,-2.04,-0.19,1.61
2010-01-07,9.07,8.89,9.25,8.88,80259,72678336.0,4.05,-2.63,-0.24,1.79
2010-01-08,8.7,8.9,8.94,8.65,79577,69756888.0,3.26,0.11,0.01,1.77
2010-01-11,8.91,8.83,8.96,8.64,76226,66756632.0,3.6,-0.79,-0.07,1.7
2010-01-12,8.82,8.98,9.05,8.7,77575,69123104.0,3.96,1.7,0.15,1.73
2010-01-13,8.76,8.96,9.12,8.71,76502,68268160.0,4.57,-0.22,-0.02,1.7
2010-01-14,8.94,9.2,9.29,8.94,96410,88076488.0,3.91,2.68,0.24,2.15
2010-01-15,9.2,9.33,9.4,9.15,113984,106201800.0,2.72,1.41,0.13,2.54
2010-01-18,9.3,9.4,9.47,9.3,98053,92138728.0,1.82,0.75,0.07,2.18
2010-01-19,9.45,9.27,9.49,9.16,119101,110651464.0,3.51,-1.38,-0.13,2.65
2010-01-20,9.26,8.86,9.26,8.79,105667,95254184.0,5.07,-4.42,-0.41,2.35
2010-01-21,8.71,8.83,8.98,8.71,57569,51064956.0,3.05,-0.34,-0.03,1.28
2010-01-22,8.7,8.74,8.82,8.5,64207,55750940.0,3.62,-1.02,-0.09,1.43
2010-01-25,8.6,8.67,8.85,8.6,28197,24596788.0,2.86,-0.8,-0.07,0.63
2010-01-26,8.67,8.4,8.8,8.35,57500,48775876.0,5.19,-3.11,-0.27,1.28
2010-01-27,8.54,8.38,8.54,8.28,34687,29234340.0,3.1,-0.24,-0.02,0.77
2010-01-28,8.38,8.44,8.5,8.35,23917,20128654.0,1.79,0.72,0.06,0.53
2010-01-29,8.42,8.5,8.69,8.42,32210,27566158.0,3.2,0.71,0.06,0.72
2010-02-01,8.53,8.4,8.59,8.31,42587,35956244.0,3.29,-1.18,-0.1,0.95
2010-02-02,8.48,8.37,8.58,8.35,25859,21817626.0,2.74,-0.36,-0.03,0.58
2010-02-03,8.37,8.34,8.45,7.98,48007,39335736.0,5.62,-0.36,-0.03,1.07
2010-02-04,8.34,8.37,8.48,8.16,45015,37669636.0,3.84,0.36,0.03,1.0
2010-02-05,8.2,8.22,8.28,7.99,61778,50300912.0,3.46,-1.79,-0.15,1.38
2010-02-08,8.2,8.25,8.35,8.1,39818,32856460.0,3.04,0.36,0.03,0.89
2010-02-09,8.27,8.26,8.37,8.14,24139,19916578.0,2.79,0.12,0.01,0.54
2010-02-10,8.34,8.24,8.35,8.19,18811,15531809.0,1.94,-0.24,-0.02,0.42
2010-02-11,8.26,8.49,8.5,8.18,60876,50858460.0,3.88,3.03,0.25,1.36
2010-02-12,8.45,8.48,8.61,8.43,61458,52492896.0,2.12,-0.12,-0.01,1.37
2010-02-22,8.48,8.33,8.5,8.32,33838,28336288.0,2.12,-1.77,-0.15,0.75
2010-02-23,8.33,8.34,8.4,8.04,39289,32244752.0,4.32,0.12,0.01,0.87
2010-02-24,8.3,8.5,8.53,8.22,43667,36749928.0,3.72,1.92,0.16,0.97
2010-02-25,8.52,8.58,8.64,8.46,52857,45247696.0,2.12,0.94,0.08,1.18
2010-02-26,8.5,8.62,8.72,8.5,56754,48976816.0,2.56,0.47,0.04,1.26
2010-03-01,8.63,8.63,8.77,8.62,49679,43190580.0,1.74,0.12,0.01,1.11
