日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-09-08,10.81,11.93,11.93,10.81,150,301430.0,14.3,52.36,4.1,0.03
2016-09-09,13.28,13.28,13.28,13.28,51,113067.0,0.0,11.32,1.35,0.01
2016-09-12,14.76,14.76,14.76,14.76,117,284802.0,0.0,11.14,1.48,0.03
2016-09-13,16.39,16.39,16.39,16.39,57,152931.0,0.0,11.04,1.63,0.01
2016-09-14,18.17,18.17,18.17,18.17,119,351169.0,0.0,10.86,1.78,0.03
2016-09-19,20.14,20.14,20.14,20.14,111,360273.0,0.0,10.84,1.97,0.02
2016-09-20,22.31,22.31,22.31,22.31,326,1164146.0,0.0,10.77,2.17,0.07
2016-09-21,24.69,24.69,24.69,24.69,291,1143480.0,0.0,10.67,2.38,0.06
2016-09-22,27.31,27.31,27.31,27.31,238,1028398.0,0.0,10.61,2.62,0.05
2016-09-23,30.19,30.19,30.19,30.19,2613,12419113.0,0.0,10.55,2.88,0.58
2016-09-26,30.19,27.02,30.19,27.02,194957,868506400.0,10.5,-10.5,-3.17,43.32
2016-09-27,25.54,25.47,26.06,24.25,154361,619381632.0,6.7,-5.74,-1.55,34.3
2016-09-28,25.17,24.03,25.21,24.0,94188,367366752.0,4.75,-5.65,-1.44,20.93
2016-09-29,23.97,24.57,25.62,23.84,107545,425471216.0,7.41,2.25,0.54,23.9
2016-09-30,24.39,23.68,24.59,23.57,74680,285494032.0,4.15,-3.62,-0.89,16.6
2016-10-10,23.64,24.55,24.82,23.63,68942,266222638.0,5.03,3.67,0.87,15.32
2016-10-11,24.58,24.93,25.15,24.39,84358,333008208.0,3.1,1.55,0.38,18.75
2016-10-12,24.55,25.1,25.55,24.51,81226,323758864.0,4.17,0.68,0.17,18.05
2016-10-13,24.98,24.43,25.15,24.37,59457,233457167.0,3.11,-2.67,-0.67,13.21
2016-10-14,24.41,24.49,24.73,24.17,38120,148291605.0,2.29,0.25,0.06,8.47
2016-10-17,24.48,23.81,24.54,23.77,45644,174845944.0,3.14,-2.78,-0.68,10.14
2016-10-18,23.77,24.28,24.33,23.75,37249,142829737.0,2.44,1.97,0.47,8.28
2016-10-19,24.19,25.97,26.73,24.15,127257,517527344.0,10.63,6.96,1.69,28.28
