日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,12.68,12.29,12.69,12.19,57876,95628768.0,3.98,-2.15,-0.27,3.34
2010-01-05,12.22,12.44,12.49,12.14,48988,80632744.0,2.85,1.22,0.15,2.83
2010-01-06,12.46,12.23,12.51,12.21,53135,87323896.0,2.41,-1.69,-0.21,3.07
2010-01-07,12.19,11.52,12.19,11.39,93446,147075040.0,6.54,-5.81,-0.71,5.39
2010-01-08,11.43,11.48,11.54,11.01,60968,93738888.0,4.6,-0.35,-0.04,3.52
2010-01-11,11.47,11.31,11.47,11.19,40640,62646044.0,2.44,-1.48,-0.17,2.35
2010-01-12,11.29,11.67,11.72,11.07,45832,71442464.0,5.75,3.18,0.36,2.65
2010-01-13,11.36,11.71,11.99,11.23,69353,110245560.0,6.51,0.34,0.04,4.0
2010-01-14,11.77,12.62,12.75,11.77,130381,215094896.0,8.37,7.77,0.91,7.53
2010-01-18,12.48,12.76,12.77,12.16,97228,161104816.0,4.83,1.11,0.14,5.61
2010-01-19,12.77,12.51,12.84,12.44,71903,119853136.0,3.13,-1.96,-0.25,4.15
2010-01-20,12.5,11.65,12.51,11.59,65898,106115216.0,7.35,-6.87,-0.86,3.8
2010-01-21,11.59,11.89,12.01,11.59,33976,54016052.0,3.61,2.06,0.24,1.96
2010-01-22,11.79,11.43,11.79,11.13,42787,66298012.0,5.55,-3.87,-0.46,2.47
2010-01-25,11.39,11.39,11.53,11.27,24203,37601480.0,2.27,-0.35,-0.04,1.4
2010-01-26,11.29,10.9,11.77,10.85,46965,72456880.0,8.08,-4.3,-0.49,2.71
2010-01-27,10.96,10.54,11.09,10.48,31127,46159448.0,5.6,-3.3,-0.36,1.8
2010-01-28,10.47,10.6,10.77,10.33,20181,29658124.0,4.17,0.57,0.06,1.17
2010-01-29,10.51,10.99,11.17,10.44,32499,48721696.0,6.89,3.68,0.39,1.88
2010-02-01,10.99,11.11,11.24,10.94,33756,51272508.0,2.73,1.09,0.12,1.95
2010-02-02,11.14,10.99,11.25,10.97,21305,32466102.0,2.52,-1.08,-0.12,1.23
2010-02-03,10.89,11.09,11.24,10.39,22431,33479130.0,7.73,0.91,0.1,1.29
2010-02-04,11.07,11.24,11.38,10.89,31231,47644104.0,4.42,1.35,0.15,1.8
2010-02-05,10.89,10.82,11.1,10.69,24488,36732124.0,3.65,-3.74,-0.42,1.41
2010-02-08,10.82,11.46,11.49,10.82,50344,77502576.0,6.19,5.91,0.64,2.91
2010-02-09,11.44,12.06,12.45,11.24,113704,184033472.0,10.56,5.24,0.6,6.56
2010-02-10,12.08,12.24,12.27,11.86,54538,88364752.0,3.4,1.49,0.18,3.15
2010-02-11,12.19,12.68,12.86,12.19,129992,217353680.0,5.47,3.59,0.44,7.5
2010-02-12,12.51,12.54,12.69,12.3,70513,116901320.0,3.08,-1.1,-0.14,4.07
2010-02-22,12.4,12.88,13.08,12.17,118498,200736752.0,7.26,2.71,0.34,6.84
2010-02-23,12.79,12.85,13.03,12.34,85359,143458928.0,5.36,-0.23,-0.03,4.93
2010-02-24,12.74,12.87,13.12,12.59,93054,157826480.0,4.12,0.16,0.02,5.37
2010-02-25,12.93,12.79,13.13,12.71,86833,147250432.0,3.26,-0.62,-0.08,5.01
2010-02-26,12.74,13.39,13.56,12.64,133877,233022544.0,7.19,4.69,0.6,7.73
2010-03-01,13.34,12.98,13.37,12.9,111034,191045072.0,3.51,-3.06,-0.41,6.41
2010-03-02,12.79,12.61,13.03,12.37,119628,199502720.0,5.08,-2.85,-0.37,6.91
2010-03-03,12.57,12.7,12.96,12.49,67264,113645064.0,3.73,0.71,0.09,3.88
2010-03-04,12.74,12.4,13.07,12.36,76038,127977560.0,5.59,-2.36,-0.3,4.39
2010-03-05,12.38,12.45,12.72,12.3,37220,61997428.0,3.39,0.4,0.05,2.15
2010-03-08,12.41,12.5,12.64,12.08,55896,91992360.0,4.5,0.4,0.05,3.23
2010-03-09,12.47,12.19,12.59,12.13,39298,64486768.0,3.68,-2.48,-0.31,2.27
2010-03-10,12.32,12.14,12.47,12.1,29323,48035944.0,3.04,-0.41,-0.05,1.69
2010-03-11,12.15,11.63,12.22,11.59,44262,70828280.0,5.19,-4.2,-0.51,2.56
2010-03-12,11.64,11.45,11.66,11.27,47703,74180376.0,3.35,-1.55,-0.18,2.75
2010-03-15,11.39,11.47,11.54,11.25,29015,44896008.0,2.53,0.17,0.02,1.67
2010-03-16,11.45,11.79,11.87,11.39,24609,38675496.0,4.18,2.79,0.32,1.42
2010-03-17,11.79,12.24,12.31,11.71,49742,80375616.0,5.09,3.82,0.45,2.87
2010-03-18,12.25,12.39,12.5,12.14,47113,77715064.0,2.94,1.23,0.15,2.72
2010-03-19,12.31,12.17,12.44,11.99,25886,42151656.0,3.63,-1.78,-0.22,1.49
2010-03-22,12.18,12.13,12.29,11.99,21721,35175572.0,2.47,-0.33,-0.04,1.25
2010-03-23,12.19,11.98,12.23,11.91,25446,41247324.0,2.64,-1.24,-0.15,1.47
2010-03-24,11.98,11.7,12.07,11.59,54935,87100184.0,4.01,-2.34,-0.28,3.17
2010-03-25,11.7,11.77,12.04,11.55,22955,36517324.0,4.19,0.6,0.07,1.33
2010-03-26,11.77,11.84,12.04,11.63,28555,45507412.0,3.48,0.59,0.07,1.65
2010-03-29,11.95,12.17,12.19,11.69,39151,62868624.0,4.22,2.79,0.33,2.26
2010-03-30,12.19,12.17,12.26,12.02,31530,51251188.0,1.97,0.0,0.0,1.82
2010-03-31,12.22,11.47,12.26,11.39,122209,191683088.0,7.15,-5.75,-0.7,7.06
2010-04-02,11.34,11.26,11.35,10.81,176414,267661824.0,4.71,-1.83,-0.21,10.18
2010-04-06,11.33,11.11,11.33,11.0,83850,127669600.0,2.93,-1.33,-0.15,4.84
2010-04-07,11.17,11.47,11.47,11.08,77851,119738040.0,3.51,3.24,0.36,4.49
2010-04-08,11.45,10.96,11.45,10.92,88639,134912592.0,4.62,-4.45,-0.51,5.12
2010-04-09,10.97,11.17,11.28,10.97,65888,100574784.0,2.83,1.92,0.21,3.8
2010-04-12,11.2,10.86,11.21,10.57,123547,184405664.0,5.73,-2.78,-0.31,7.13
2010-04-13,10.68,10.79,10.94,10.49,59466,88226432.0,4.14,-0.64,-0.07,3.43
2010-04-14,10.81,11.04,11.04,10.69,71286,107083928.0,3.24,2.32,0.25,4.12
2010-04-15,11.09,10.83,11.15,10.64,78891,118516496.0,4.62,-1.9,-0.21,4.55
2010-04-16,10.79,10.74,10.86,10.59,38828,57506220.0,2.49,-0.83,-0.09,2.24
2010-04-19,10.66,10.23,10.83,10.19,49319,72120360.0,5.96,-4.75,-0.51,2.85
