日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-05-12,16.66,16.66,16.66,16.66,95,380950.0,0.0,60.04,6.25,0.06
2017-05-15,18.7,18.7,18.7,18.7,27,119097.0,0.0,12.24,2.04,0.02
2017-05-16,20.95,20.95,20.95,20.95,49,237748.0,0.0,12.03,2.25,0.03
2017-05-17,23.43,23.43,23.43,23.43,136,724231.0,0.0,11.84,2.48,0.08
2017-05-18,26.15,26.15,26.15,26.15,460,2700836.0,0.0,11.61,2.72,0.27
2017-05-19,29.15,29.15,29.15,29.15,1276,8240408.0,0.0,11.47,3.0,0.75
2017-05-22,32.42,30.9,32.42,29.21,110327,749730080.0,11.01,6.0,1.75,64.9
2017-05-23,31.66,33.1,34.21,30.83,90792,646230784.0,10.94,7.12,2.2,53.41
2017-05-24,31.91,34.02,34.72,30.89,74550,532490912.0,11.57,2.78,0.92,43.85
2017-05-25,34.46,35.98,36.51,33.45,64259,486481344.0,8.99,5.76,1.96,37.8
2017-05-26,34.46,34.49,35.84,33.5,57313,430887984.0,6.5,-4.14,-1.49,33.71
2017-05-31,35.13,31.91,36.7,31.81,70664,533200512.0,14.18,-7.48,-2.58,41.57
2017-06-01,31.0,29.74,31.8,29.68,45264,306835552.0,6.64,-6.8,-2.17,26.63
2017-06-02,29.34,30.2,30.89,28.88,27709,183142152.0,6.76,1.55,0.46,16.3
2017-06-05,30.78,30.06,31.34,29.98,24765,167291447.0,4.5,-0.46,-0.14,14.57
2017-06-06,29.44,28.81,29.62,28.1,27920,179069341.0,5.06,-4.16,-1.25,16.42
2017-06-07,28.44,30.24,30.64,28.44,28401,187586210.0,7.64,4.96,1.43,16.71
2017-06-08,30.13,30.99,31.63,30.13,33647,228115217.0,4.96,2.48,0.75,19.79
2017-06-09,30.49,30.68,30.88,29.8,15774,105477009.0,3.48,-1.0,-0.31,9.28
2017-06-12,30.2,29.41,30.23,29.29,13228,86890626.0,3.06,-4.14,-1.27,7.78
2017-06-13,29.36,30.2,30.58,29.36,10527,69875999.0,4.15,2.69,0.79,6.19
2017-06-14,30.23,30.08,30.73,29.98,10137,67810664.0,2.48,-0.4,-0.12,5.96
2017-06-15,29.91,30.53,31.06,29.88,16193,109470996.0,3.92,1.5,0.45,9.53
2017-06-16,30.46,30.32,31.0,29.65,12232,81460911.0,4.42,-0.69,-0.21,7.2
2017-06-19,30.23,30.36,30.96,30.0,11009,73649745.0,3.17,0.13,0.04,6.48
2017-06-20,30.47,29.71,30.47,29.68,9034,59925134.0,2.6,-2.14,-0.65,5.31
2017-06-21,29.75,29.69,29.93,29.46,4617,30280372.0,1.58,-0.07,-0.02,2.72
2017-06-22,29.86,29.0,30.3,28.95,9182,60599253.0,4.55,-2.32,-0.69,5.4
2017-06-23,29.01,29.18,29.51,28.44,6390,40956092.0,3.69,0.62,0.18,3.76
2017-06-26,29.15,29.46,29.72,28.93,14240,92639603.0,2.71,0.96,0.28,8.38
2017-06-27,29.47,29.46,29.95,29.36,7512,49275185.0,2.0,0.0,0.0,4.42
2017-06-28,29.4,29.25,29.61,29.06,4997,32424831.0,1.87,-0.71,-0.21,2.94
2017-06-29,29.46,29.4,29.64,29.16,5041,32693310.0,1.64,0.51,0.15,2.97
2017-06-30,29.31,29.92,30.16,29.16,8221,54121311.0,3.4,1.77,0.52,4.84
2017-07-03,30.53,32.05,32.07,30.13,21370,146642180.0,6.48,7.12,2.13,12.57
2017-07-04,34.49,33.99,35.38,32.63,43367,320162432.0,8.58,6.05,1.94,25.51
2017-07-05,33.86,36.8,37.28,33.18,36461,277361568.0,12.06,8.27,2.81,21.45
2017-07-06,36.0,36.12,36.51,35.24,18426,143170894.0,3.45,-1.85,-0.68,10.84
2017-07-07,36.01,36.26,37.51,35.74,16601,131084383.0,4.9,0.39,0.14,9.77
2017-07-10,35.75,35.16,36.37,34.31,17084,130411984.0,5.68,-3.03,-1.1,10.05
2017-07-11,35.05,34.49,35.05,33.96,10365,77747300.0,3.1,-1.91,-0.67,6.1
2017-07-12,34.5,36.15,36.25,34.21,12018,92037754.0,5.91,4.81,1.66,7.07
2017-07-13,35.88,33.89,37.1,33.71,15467,118404252.0,9.38,-6.25,-2.26,9.1
2017-07-14,33.6,33.9,34.21,32.88,10451,76652562.0,3.92,0.03,0.01,6.15
2017-07-17,33.39,32.34,33.39,31.4,14236,101352601.0,5.87,-4.6,-1.56,8.37
2017-07-18,32.17,32.57,33.21,31.92,7447,52898327.0,3.99,0.71,0.23,4.38
2017-07-19,32.17,32.86,32.93,31.52,8518,60303800.0,4.33,0.89,0.29,5.01
2017-07-20,32.73,32.37,33.5,32.27,6087,43713742.0,3.74,-1.49,-0.49,3.58
2017-07-21,32.17,31.82,32.88,31.16,8832,61573165.0,5.31,-1.7,-0.55,5.2
2017-07-24,31.61,33.5,33.6,31.31,7997,56698786.0,7.2,5.28,1.68,4.7
2017-07-25,33.39,33.52,33.85,33.3,5112,37393783.0,1.64,0.06,0.02,3.01
2017-07-26,33.6,33.57,33.75,32.71,5189,37824113.0,3.1,0.15,0.05,3.05
2017-07-27,33.47,35.25,35.84,33.24,12393,94038055.0,7.75,5.0,1.68,7.29
2017-07-28,35.1,35.48,35.96,34.87,7375,56863268.0,3.09,0.65,0.23,4.34
2017-07-31,35.48,35.26,36.3,35.13,4769,36715463.0,3.3,-0.62,-0.22,2.81
2017-08-01,35.1,34.65,35.61,34.01,6007,45152519.0,4.54,-1.73,-0.61,3.53
2017-08-02,34.48,33.73,34.9,33.53,5225,38890216.0,3.95,-2.66,-0.92,3.07
2017-08-03,33.39,33.95,34.64,33.25,4502,33486331.0,4.12,0.65,0.22,2.65
2017-08-04,33.95,33.91,34.21,33.6,4093,30279303.0,1.8,-0.12,-0.04,2.41
2017-08-07,34.86,35.48,36.49,34.56,10247,79131668.0,5.69,4.63,1.57,6.03
2017-08-08,34.72,35.56,35.82,34.59,8003,61136536.0,3.47,0.23,0.08,4.71
2017-08-09,35.84,35.69,36.83,35.31,8014,62111049.0,4.27,0.37,0.13,4.71
2017-08-10,34.36,33.73,34.58,33.71,11897,88587531.0,2.44,-5.49,-1.96,7.0
2017-08-11,33.29,33.42,34.06,33.05,5274,38745820.0,2.99,-0.92,-0.31,3.1
2017-08-14,33.78,33.89,34.15,33.39,4105,30339101.0,2.27,1.41,0.47,2.41
2017-08-15,33.8,34.04,34.4,33.58,3956,29299932.0,2.42,0.44,0.15,2.33
2017-08-16,34.04,34.07,34.45,33.7,8301,61863273.0,2.2,0.09,0.03,4.88
2017-08-17,33.95,33.62,34.21,33.44,5556,40838188.0,2.26,-1.32,-0.45,3.27
2017-08-18,33.5,32.65,33.64,32.42,5836,42039242.0,3.63,-2.89,-0.97,3.43
2017-08-21,32.71,33.17,33.19,32.38,2646,19060372.0,2.48,1.59,0.52,1.56
2017-08-22,33.15,32.5,33.32,32.41,5264,37623230.0,2.74,-2.02,-0.67,3.1
2017-08-23,32.53,32.8,33.03,32.53,3794,27224313.0,1.54,0.92,0.3,2.23
2017-08-24,32.91,32.55,32.91,32.18,3745,26602857.0,2.23,-0.76,-0.25,2.2
2017-08-25,32.63,32.79,32.93,32.33,3389,24219710.0,1.84,0.74,0.24,1.99
2017-08-28,32.89,33.9,34.13,32.89,9003,65967640.0,3.78,3.39,1.11,5.3
2017-08-29,33.98,34.92,35.74,33.81,13662,103008722.0,5.69,3.01,1.02,8.04
