日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-12-31,4.16,5.01,5.01,4.16,181,331589.0,24.71,45.64,1.57,0.09
2015-01-05,5.52,5.52,5.52,5.52,61,122633.0,0.0,10.18,0.51,0.03
2015-01-06,6.08,6.08,6.08,6.08,103,229690.0,0.0,10.14,0.56,0.05
2015-01-07,6.7,6.7,6.7,6.7,222,544566.0,0.0,10.2,0.62,0.11
2015-01-08,7.38,7.38,7.38,7.38,785,2117930.0,0.0,10.15,0.68,0.39
2015-01-09,8.13,8.13,8.13,8.13,2522,7485889.0,0.0,10.16,0.75,1.26
2015-01-12,8.96,7.61,8.96,7.49,115990,340895552.0,18.08,-6.4,-0.52,58.0
2015-01-13,7.39,7.83,8.05,7.11,94862,262107375.0,12.35,2.89,0.22,47.43
2015-01-14,7.6,7.25,7.65,7.25,65930,179561332.0,5.11,-7.41,-0.58,32.97
2015-01-15,7.0,7.46,7.94,6.97,74578,205126116.0,13.38,2.9,0.21,37.29
2015-01-16,7.67,8.22,8.22,7.53,49939,145718747.0,9.25,10.19,0.76,24.97
2015-01-19,8.64,9.05,9.05,8.51,112306,367511888.0,6.57,10.1,0.83,56.15
2015-01-20,9.44,9.97,9.97,9.33,39950,142848126.0,7.07,10.17,0.92,19.97
2015-01-21,10.98,10.98,10.98,10.47,99515,395067936.0,5.12,10.13,1.01,49.76
2015-01-22,10.94,10.61,11.16,10.31,112925,438317392.0,7.74,-3.37,-0.37,56.46
2015-01-23,10.31,10.17,10.72,9.98,93928,352605568.0,6.97,-4.15,-0.44,46.96
2015-01-26,9.84,10.05,10.31,9.83,56042,204399900.0,4.72,-1.18,-0.12,28.02
2015-01-27,9.94,10.11,10.53,9.94,63707,236777533.0,5.87,0.6,0.06,31.85
2015-01-28,9.89,10.47,10.86,9.75,89884,341115232.0,10.98,3.56,0.36,44.94
2015-01-29,10.31,9.78,10.56,9.76,70137,257213212.0,7.64,-6.59,-0.69,35.07
2015-01-30,9.51,8.99,9.61,8.99,59602,200581938.0,6.34,-8.08,-0.79,29.8
2015-02-02,8.93,9.06,9.27,8.81,30592,101343836.0,5.12,0.78,0.07,15.3
2015-02-03,9.08,9.24,9.42,8.96,38729,130080470.0,5.08,1.99,0.18,19.36
2015-02-04,9.09,9.01,9.33,8.94,37761,124641814.0,4.22,-2.49,-0.23,18.88
2015-02-05,9.03,8.8,9.15,8.8,33647,110235516.0,3.88,-2.33,-0.21,16.82
2015-02-06,8.72,8.36,8.74,8.31,30286,93412209.0,4.89,-5.0,-0.44,15.14
2015-02-09,8.29,8.28,8.54,8.21,19929,60748828.0,3.95,-0.96,-0.08,9.96
2015-02-10,8.22,8.44,8.47,8.22,16994,51741874.0,3.02,1.93,0.16,8.5
2015-02-11,8.44,8.57,8.68,8.36,19809,61741834.0,3.79,1.54,0.13,9.9
2015-02-12,8.59,9.11,9.32,8.5,49216,160590961.0,9.57,6.3,0.54,24.61
2015-02-13,9.11,9.03,9.14,8.88,35909,117756374.0,2.85,-0.88,-0.08,17.95
