日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-10-16,10.74,12.98,12.98,10.74,163,489214.0,25.28,46.5,4.12,0.04
2017-10-17,14.33,14.33,14.33,14.33,23,76429.0,0.0,10.4,1.35,0.01
2017-10-18,15.81,15.81,15.81,15.81,63,228510.0,0.0,10.33,1.48,0.01
2017-10-19,17.45,17.45,17.45,17.45,229,918878.0,0.0,10.37,1.64,0.05
2017-10-20,19.24,19.24,19.24,19.24,390,1725235.0,0.0,10.26,1.79,0.09
2017-10-23,21.22,21.22,21.22,21.22,1385,6739679.0,0.0,10.29,1.98,0.33
2017-10-24,23.16,21.97,23.39,21.83,200480,1041204048.0,7.35,3.53,0.75,47.73
2017-10-25,21.07,21.46,22.41,20.79,121659,599125232.0,7.37,-2.32,-0.51,28.97
2017-10-26,21.32,19.99,21.32,19.83,126646,589984448.0,6.94,-6.85,-1.47,30.15
2017-10-27,20.03,19.59,20.2,19.51,66011,300273136.0,3.45,-2.0,-0.4,15.72
2017-10-30,19.44,18.72,19.98,18.53,69147,304070112.0,7.4,-4.44,-0.87,16.46
2017-10-31,18.78,18.97,19.05,18.62,44463,192769783.0,2.3,1.34,0.25,10.59
2017-11-01,19.07,19.19,19.49,18.85,54636,240834577.0,3.37,1.16,0.22,13.01
2017-11-02,19.01,19.08,19.4,18.78,49511,217851729.0,3.23,-0.57,-0.11,11.79
2017-11-03,18.99,19.35,19.51,18.96,47520,210773015.0,2.88,1.42,0.27,11.31
2017-11-06,19.56,19.29,19.56,19.16,41442,183868901.0,2.07,-0.31,-0.06,9.87
2017-11-07,19.18,18.65,19.21,18.43,58048,249046209.0,4.04,-3.32,-0.64,13.82
2017-11-08,18.58,19.94,20.38,18.52,110517,497552544.0,9.97,6.92,1.29,26.31
2017-11-09,19.6,19.46,19.8,19.23,58136,259714372.0,2.86,-2.41,-0.48,13.84
2017-11-10,19.42,19.3,19.59,19.21,45924,204523527.0,1.95,-0.82,-0.16,10.93
2017-11-13,19.34,19.5,19.61,19.18,47599,212542641.0,2.23,1.04,0.2,11.33
2017-11-14,19.41,18.69,19.43,18.51,55266,239662769.0,4.72,-4.15,-0.81,13.16
2017-11-15,18.59,18.07,18.65,17.97,38537,161686022.0,3.64,-3.32,-0.62,9.18
2017-11-16,18.05,17.8,18.28,17.75,22901,95082466.0,2.93,-1.49,-0.27,5.45
2017-11-17,17.74,16.31,17.88,16.19,39639,155445845.0,9.49,-8.37,-1.49,9.44
2017-11-20,16.3,16.47,16.59,15.86,21874,82420801.0,4.48,0.98,0.16,5.21
2017-11-21,16.43,16.49,17.09,16.35,26687,102750242.0,4.49,0.12,0.02,6.35
2017-11-22,16.36,16.26,16.54,16.11,18914,71233671.0,2.61,-1.39,-0.23,4.5
2017-11-23,16.37,16.06,16.52,16.03,18608,70036063.0,3.01,-1.23,-0.2,4.43
2017-11-24,15.97,15.88,16.13,15.8,13652,50402996.0,2.05,-1.12,-0.18,3.25
2017-11-27,15.82,15.5,15.91,15.48,17608,63743793.0,2.71,-2.39,-0.38,4.19
2017-11-28,15.57,15.72,15.79,15.51,13336,48275003.0,1.81,1.42,0.22,3.18
2017-11-29,15.86,15.57,15.88,15.26,17430,62459509.0,3.94,-0.95,-0.15,4.15
2017-11-30,15.68,15.64,15.85,15.53,14214,51536845.0,2.06,0.45,0.07,3.38
