日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2011-03-01,6.81,6.84,7.45,6.59,1026867,1563897419.0,22.57,79.53,3.03,32.49
2011-03-02,6.46,6.65,6.8,6.25,668426,967432846.0,8.04,-2.78,-0.19,21.15
2011-03-03,6.65,7.06,7.39,6.6,836261,1298868166.0,11.88,6.17,0.41,26.46
2011-03-04,6.99,7.09,7.2,6.92,493107,762301400.0,3.97,0.42,0.03,15.6
2011-03-07,7.21,7.02,7.44,6.98,500135,786178362.0,6.49,-0.99,-0.07,15.83
2011-03-08,6.84,6.78,6.85,6.64,440809,653719792.0,2.99,-3.42,-0.24,13.95
2011-03-09,6.8,6.65,6.81,6.64,274208,404601974.0,2.51,-1.92,-0.13,8.68
2011-03-10,6.62,6.76,6.88,6.49,282267,417403744.0,5.86,1.65,0.11,8.93
2011-03-11,6.67,6.59,6.81,6.58,194470,286422162.0,3.4,-2.51,-0.17,6.15
2011-03-14,6.54,6.61,6.73,6.51,182970,267094402.0,3.34,0.3,0.02,5.79
2011-03-15,6.62,6.34,6.62,6.21,250749,352332468.0,6.2,-4.08,-0.27,7.93
2011-03-16,6.37,6.38,6.41,6.26,135565,190352442.0,2.37,0.63,0.04,4.29
2011-03-17,6.36,6.09,6.36,6.08,165265,226982605.0,4.39,-4.55,-0.29,5.23
2011-03-18,6.11,6.16,6.25,6.11,102668,140953901.0,2.3,1.15,0.07,3.25
2011-03-21,6.16,6.45,6.47,6.02,202831,283327134.0,7.31,4.71,0.29,6.42
2011-03-22,6.47,6.79,6.86,6.46,453475,673063589.0,6.2,5.27,0.34,14.35
2011-03-23,6.81,6.94,7.1,6.67,392121,595621176.0,6.33,2.21,0.15,12.41
2011-03-24,6.91,7.04,7.14,6.86,283994,437298351.0,4.03,1.44,0.1,8.99
2011-03-25,6.94,7.81,7.81,6.94,611783,1008039901.0,12.36,10.94,0.77,19.36
2011-03-28,8.06,7.97,8.19,7.82,490536,851925208.0,4.74,2.05,0.16,15.52
2011-03-29,7.97,7.66,8.16,7.49,406716,688595450.0,8.41,-3.89,-0.31,12.87
2011-03-30,7.66,7.77,7.95,7.57,293411,498773227.0,4.96,1.44,0.11,9.28
2011-03-31,7.77,7.33,7.77,7.21,257894,415510467.0,7.21,-5.66,-0.44,8.16
2011-04-01,7.32,7.41,7.51,7.13,134680,215518328.0,5.18,1.09,0.08,4.26
2011-04-06,7.31,7.45,7.64,7.29,200464,327016476.0,4.72,0.54,0.04,6.34
2011-04-07,7.46,7.81,7.91,7.46,261993,442095100.0,6.04,4.83,0.36,8.29
2011-04-08,7.79,7.76,7.81,7.59,140084,235083868.0,2.82,-0.64,-0.05,4.43
2011-04-11,7.71,7.45,7.74,7.38,175084,286593814.0,4.64,-3.99,-0.31,5.54
2011-04-12,7.36,7.36,7.58,7.27,124879,202143295.0,4.16,-1.21,-0.09,3.95
2011-04-13,7.36,7.39,7.39,7.15,131719,208899442.0,3.26,0.41,0.03,4.17
2011-04-14,7.39,7.21,7.4,7.17,113139,179846604.0,3.11,-2.44,-0.18,3.58
2011-04-15,7.17,7.37,7.39,7.09,112882,179106798.0,4.16,2.22,0.16,3.57
2011-04-18,7.3,7.21,7.42,7.11,88063,139357872.0,4.21,-2.17,-0.16,2.79
2011-04-19,7.09,6.8,7.09,6.77,153448,232878612.0,4.44,-5.69,-0.41,4.86
2011-04-20,6.85,6.87,7.03,6.79,84395,127911902.0,3.53,1.03,0.07,2.67
2011-04-21,6.87,7.04,7.1,6.87,90974,140406936.0,3.35,2.47,0.17,2.88
2011-04-22,7.11,6.86,7.12,6.85,65540,99707950.0,3.84,-2.56,-0.18,2.07
2011-04-25,6.86,6.53,6.89,6.31,105868,152792574.0,8.45,-4.81,-0.33,3.35
2011-04-26,6.52,6.66,6.68,6.41,71696,103249404.0,4.13,1.99,0.13,2.27
2011-04-27,6.76,6.81,7.0,6.65,104850,157891723.0,5.26,2.25,0.15,3.32
2011-04-28,6.82,6.44,6.89,6.43,69654,101347277.0,6.75,-5.43,-0.37,2.2
2011-04-29,6.44,6.58,6.61,6.44,46327,66985396.0,2.64,2.17,0.14,1.47
2011-05-03,6.63,6.74,6.8,6.6,47350,69973991.0,3.04,2.43,0.16,1.5
2011-05-04,6.7,6.53,6.79,6.5,64060,94190077.0,4.3,-3.12,-0.21,2.03
2011-05-05,6.47,6.53,6.61,6.45,47233,68127541.0,2.45,0.0,0.0,1.49
2011-05-06,6.46,6.55,6.59,6.32,43161,62005020.0,4.13,0.31,0.02,1.37
2011-05-09,6.56,6.63,6.78,6.54,54860,80456740.0,3.66,1.22,0.08,1.74
2011-05-10,6.64,6.7,6.74,6.61,52524,77451675.0,1.96,1.06,0.07,1.66
2011-05-11,6.66,6.8,6.91,6.66,80993,121341283.0,3.73,1.49,0.1,2.56
2011-05-12,6.72,6.57,6.79,6.56,60160,88647875.0,3.38,-3.38,-0.23,1.9
2011-05-13,6.57,6.47,6.61,6.32,92554,131506571.0,4.41,-1.52,-0.1,2.93
2011-05-16,6.47,6.4,6.48,6.35,47841,67894723.0,2.01,-1.08,-0.07,1.51
2011-05-17,6.4,6.45,6.5,6.36,36244,51658796.0,2.19,0.78,0.05,1.15
2011-05-18,6.45,6.47,6.53,6.42,43667,62650626.0,1.71,0.31,0.02,1.38
2011-05-19,6.48,6.37,6.55,6.36,40168,57005531.0,2.94,-1.55,-0.1,1.27
2011-05-20,6.37,6.25,6.44,6.18,54544,75986465.0,4.08,-1.88,-0.12,1.73
2011-05-23,6.28,6.14,6.34,6.14,56139,77722463.0,3.2,-1.76,-0.11,1.78
2011-05-25,6.24,6.1,6.29,6.01,37924,52185091.0,4.56,-0.65,-0.04,1.2
2011-05-26,6.1,5.81,6.21,5.79,105207,139288096.0,6.89,-4.75,-0.29,3.33
2011-05-27,5.76,5.51,5.81,5.5,60999,76639568.0,5.34,-5.16,-0.3,1.93
2011-05-30,5.5,5.54,5.69,5.28,63537,79308108.0,7.44,0.54,0.03,2.01
2011-05-31,5.57,5.66,5.68,5.49,48248,60624721.0,3.43,2.17,0.12,1.53
2011-06-01,5.68,5.61,5.68,5.56,36922,46498446.0,2.12,-0.88,-0.05,1.17
2011-06-02,5.46,5.51,5.71,5.39,38586,48167050.0,5.7,-1.78,-0.1,1.22
2011-06-03,5.59,5.69,5.7,5.51,45982,58133011.0,3.45,3.27,0.18,1.45
2011-06-07,5.69,5.77,5.82,5.55,68404,87289822.0,4.75,1.41,0.08,2.16
2011-06-08,5.72,5.7,5.75,5.61,42210,53718585.0,2.43,-1.21,-0.07,1.34
2011-06-09,5.69,5.44,5.73,5.44,40837,51035707.0,5.09,-4.56,-0.26,1.29
2011-06-10,5.51,5.42,5.58,5.34,49850,60740904.0,4.41,-0.37,-0.02,1.58
2011-06-13,5.31,5.32,5.38,5.26,31992,38388414.0,2.21,-1.85,-0.1,1.01
2011-06-14,5.32,5.92,5.92,5.32,103682,135238774.0,11.28,11.28,0.6,3.28
2011-06-15,6.3,6.2,6.46,6.1,395390,548465090.0,6.08,4.73,0.28,12.51
2011-06-16,6.0,6.04,6.27,5.96,202550,275244456.0,5.0,-2.58,-0.16,6.41
2011-06-17,6.02,6.41,6.71,5.97,429330,606176849.0,12.25,6.13,0.37,13.58
2011-06-20,6.4,6.46,6.58,6.26,223056,317441222.0,4.99,0.78,0.05,7.06
2011-06-21,6.59,6.63,7.06,6.59,372113,558426488.0,7.28,2.63,0.17,11.77
2011-06-22,6.59,6.75,6.86,6.52,247595,366072166.0,5.13,1.81,0.12,7.83
2011-06-23,6.64,7.02,7.15,6.63,376823,572663477.0,7.7,4.0,0.27,11.92
2011-06-24,6.9,7.19,7.79,6.89,610794,975184445.0,12.82,2.42,0.17,19.32
2011-06-27,7.12,7.25,7.32,7.04,227022,358079026.0,3.89,0.83,0.06,7.18
2011-06-28,7.21,7.52,7.75,6.82,470146,753145775.0,12.83,3.72,0.27,14.87
2011-06-29,7.32,7.13,7.41,7.11,247323,393365968.0,3.99,-5.19,-0.39,7.82
2011-06-30,7.06,7.05,7.24,6.97,278176,434994033.0,3.79,-1.12,-0.08,8.8
2011-07-01,7.14,7.12,7.51,7.1,264341,420201170.0,5.82,0.99,0.07,8.36
2011-07-04,7.19,7.46,7.64,7.04,293500,474053971.0,8.43,4.78,0.34,9.28
2011-07-05,7.37,7.33,7.58,7.27,211314,340799569.0,4.16,-1.74,-0.13,6.68
2011-07-06,7.3,7.53,7.64,7.11,247643,399441423.0,7.23,2.73,0.2,7.83
2011-07-07,7.51,7.27,7.51,7.26,189266,304700237.0,3.32,-3.45,-0.26,5.99
2011-07-08,7.22,7.18,7.33,7.05,131677,206842725.0,3.85,-1.24,-0.09,4.17
2011-07-11,7.16,7.21,7.32,7.11,129213,202825391.0,2.92,0.42,0.03,4.09
2011-07-12,7.14,7.03,7.26,6.99,163521,253951212.0,3.74,-2.5,-0.18,5.17
2011-07-13,7.05,7.22,7.24,7.01,176762,275021956.0,3.27,2.7,0.19,5.59
2011-07-14,7.17,7.38,7.42,7.12,336250,534940661.0,4.16,2.22,0.16,10.64
2011-07-15,7.35,7.32,7.7,7.15,383653,618927420.0,7.45,-0.81,-0.06,12.14
2011-07-18,7.2,7.05,7.24,7.02,222783,345263273.0,3.01,-3.69,-0.27,7.05
2011-07-19,6.95,6.66,6.99,6.62,284196,421447130.0,5.25,-5.53,-0.39,8.99
2011-07-20,6.77,6.72,6.81,6.65,127424,187992572.0,2.4,0.9,0.06,4.03
2011-07-21,6.74,6.71,6.79,6.66,91720,135218501.0,1.93,-0.15,-0.01,2.9
2011-07-22,6.76,6.84,6.94,6.63,144600,215993820.0,4.62,1.94,0.13,4.57
2011-07-25,6.74,6.3,6.76,6.22,141145,201600225.0,7.89,-7.89,-0.54,4.46
2011-07-26,6.29,6.14,6.37,6.07,144969,197364911.0,4.76,-2.54,-0.16,4.59
2011-07-27,6.13,6.19,6.23,6.1,145325,198587898.0,2.12,0.81,0.05,4.6
2011-07-28,6.1,6.07,6.14,5.95,127424,170371098.0,3.07,-1.94,-0.12,4.03
2011-07-29,6.09,6.08,6.17,6.01,109825,148054332.0,2.64,0.16,0.01,3.47
2011-08-01,6.02,6.08,6.15,6.02,100526,135770044.0,2.14,0.0,0.0,3.18
2011-08-02,6.02,5.97,6.02,5.8,156538,204633555.0,3.62,-1.81,-0.11,4.95
2011-08-03,5.87,6.54,6.59,5.86,256665,353599871.0,12.23,9.55,0.57,8.12
