日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-12-23,4.41,5.06,5.06,4.41,146,225377.0,18.62,44.99,1.57,0.05
2015-12-24,5.57,5.57,5.57,5.57,36,61128.0,0.0,10.08,0.51,0.01
2015-12-25,6.14,6.14,6.14,6.14,23,42964.0,0.0,10.23,0.57,0.01
2015-12-28,6.76,6.76,6.76,6.76,39,80145.0,0.0,10.1,0.62,0.01
2015-12-29,7.45,7.45,7.45,7.45,38,85918.0,0.0,10.21,0.69,0.01
2015-12-30,8.2,8.2,8.2,8.2,57,141759.0,0.0,10.07,0.75,0.02
2015-12-31,9.03,9.03,9.03,9.03,84,229824.0,0.0,10.12,0.83,0.03
2016-01-04,9.95,9.95,9.95,9.95,409,1231090.0,0.0,10.19,0.92,0.13
2016-01-05,10.95,10.95,10.95,10.95,839,2777929.0,0.0,10.05,1.0,0.26
2016-01-06,12.05,12.05,12.05,12.05,360,1311120.0,0.0,10.05,1.1,0.11
2016-01-07,13.27,13.27,13.27,13.27,506,2025033.0,0.0,10.12,1.22,0.16
2016-01-08,14.6,14.6,14.6,14.6,1142,5031075.0,0.0,10.02,1.33,0.36
2016-01-11,16.07,16.07,16.07,16.07,2633,12765268.0,0.0,10.07,1.47,0.83
2016-01-12,17.69,15.92,17.69,15.91,196687,1005593040.0,11.08,-0.93,-0.15,61.89
2016-01-13,14.41,14.32,15.36,14.32,118127,516888544.0,6.53,-10.05,-1.6,37.17
2016-01-14,13.15,15.76,15.76,13.11,176754,811711664.0,18.51,10.06,1.44,55.62
2016-01-15,15.69,14.17,15.9,14.17,90893,398780544.0,10.98,-10.09,-1.59,28.6
2016-01-18,12.75,12.75,13.55,12.75,142610,555556256.0,5.65,-10.02,-1.42,44.87
2016-01-19,12.45,13.11,13.38,12.45,104304,408861040.0,7.29,2.82,0.36,32.82
2016-01-20,12.98,13.45,14.43,12.98,145675,603242528.0,11.06,2.59,0.34,45.84
2016-01-21,12.85,12.09,13.04,12.09,101120,379345584.0,7.06,-10.11,-1.36,31.82
2016-01-22,12.18,12.28,12.7,11.42,83588,307819248.0,10.59,1.57,0.19,26.3
2016-01-25,12.45,12.35,12.54,12.09,61039,227112138.0,3.66,0.57,0.07,19.21
2016-01-26,12.1,11.11,12.11,11.11,66207,228690962.0,8.1,-10.04,-1.24,20.83
2016-01-27,11.02,11.15,11.39,10.25,67918,220944206.0,10.26,0.36,0.04,21.37
2016-01-28,10.87,10.03,11.0,10.02,53539,170360825.0,8.79,-10.04,-1.12,16.85
2016-01-29,9.93,10.62,10.91,9.92,62873,200440457.0,9.87,5.88,0.59,19.78
2016-02-01,10.51,10.78,11.58,10.42,66705,220694276.0,10.92,1.51,0.16,20.99
2016-02-02,10.62,11.0,11.15,10.5,61422,203560400.0,6.03,2.04,0.22,19.33
2016-02-03,10.75,11.06,11.16,10.42,52050,170059252.0,6.73,0.55,0.06,16.38
2016-02-04,11.08,12.15,12.18,11.05,114932,415454032.0,10.22,9.86,1.09,36.16
2016-02-05,12.08,11.45,12.2,11.35,83328,293958368.0,7.0,-5.76,-0.7,26.22
2016-02-15,10.59,11.17,11.39,10.59,40952,135151492.0,6.99,-2.45,-0.28,12.89
2016-02-16,11.26,11.66,11.86,11.25,51216,180207767.0,5.46,4.39,0.49,16.12
2016-02-17,11.58,11.76,12.12,11.51,61308,218234221.0,5.23,0.86,0.1,19.29
2016-02-18,11.95,12.57,12.94,11.8,112726,423979584.0,9.69,6.89,0.81,35.47
2016-02-19,12.18,12.25,12.64,12.01,70045,261000072.0,5.01,-2.55,-0.32,22.04
2016-02-22,12.64,12.88,12.98,12.25,73388,279908352.0,5.96,5.14,0.63,23.09
2016-02-23,12.81,13.44,13.84,12.64,91583,369121088.0,9.32,4.35,0.56,28.82
2016-02-24,13.18,12.83,13.34,12.43,73885,286866480.0,6.77,-4.54,-0.61,23.25
2016-02-25,12.7,11.54,12.7,11.54,59066,214290446.0,9.04,-10.05,-1.29,18.59
2016-02-26,11.71,11.19,11.84,10.78,43905,150992232.0,9.19,-3.03,-0.35,13.82
2016-02-29,11.1,10.09,11.19,10.07,44713,139041078.0,10.01,-9.83,-1.1,14.07
2016-03-01,10.1,10.41,10.56,9.65,49804,152739350.0,9.02,3.17,0.32,15.67
2016-03-02,10.25,11.0,11.1,10.21,50423,162413059.0,8.55,5.67,0.59,15.87
2016-03-03,11.01,10.75,11.24,10.74,44672,148779276.0,4.55,-2.27,-0.25,14.06
2016-03-04,10.58,9.97,10.91,9.85,40668,127083778.0,9.86,-7.26,-0.78,12.8
2016-03-07,10.17,10.17,10.49,10.02,31586,97972725.0,4.71,2.01,0.2,9.94
2016-03-08,10.13,10.07,10.15,9.42,34679,102927128.0,7.18,-0.98,-0.1,10.91
2016-03-09,9.75,9.95,10.34,9.59,33336,100847964.0,7.45,-1.19,-0.12,10.49
2016-03-10,9.97,9.78,10.14,9.76,20843,62666126.0,3.82,-1.71,-0.17,6.56
2016-03-11,9.65,9.87,9.95,9.55,22503,66526526.0,4.09,0.92,0.09,7.08
2016-03-14,10.06,10.37,10.55,10.06,37760,118359409.0,4.96,5.07,0.5,11.88
2016-03-15,10.35,10.4,10.66,10.31,33524,106307814.0,3.38,0.29,0.03,10.55
2016-03-16,10.58,10.18,10.77,10.15,31047,97941173.0,5.96,-2.12,-0.22,9.77
2016-03-17,10.16,10.58,10.65,10.13,37072,117020901.0,5.11,3.93,0.4,11.67
2016-03-18,10.61,11.25,11.31,10.56,52025,172824513.0,7.09,6.33,0.67,16.37
2016-03-21,11.46,11.49,11.57,11.22,51519,177911342.0,3.11,2.13,0.24,16.21
2016-03-22,11.33,11.83,12.02,11.12,58583,205575998.0,7.83,2.96,0.34,18.43
2016-03-23,11.68,12.09,12.34,11.59,54772,197675727.0,6.34,2.2,0.26,17.23
2016-03-24,11.91,11.36,12.07,11.35,47406,168255516.0,5.96,-6.04,-0.73,14.92
2016-03-25,11.46,11.45,11.57,11.26,27667,95694450.0,2.73,0.79,0.09,8.71
2016-03-28,11.53,11.31,11.9,11.28,30369,106783462.0,5.41,-1.22,-0.14,9.56
2016-03-29,11.29,10.84,11.51,10.76,31216,103768556.0,6.63,-4.16,-0.47,9.82
2016-03-30,11.02,11.46,11.48,10.98,29977,101484644.0,4.61,5.72,0.62,9.43
2016-03-31,11.56,11.8,12.11,11.52,49257,175660896.0,5.15,2.97,0.34,15.5
2016-04-01,11.66,11.49,11.79,11.31,32184,111990427.0,4.07,-2.63,-0.31,10.13
2016-04-05,11.65,12.65,12.65,11.65,71259,264843538.0,8.7,10.1,1.16,22.42
2016-04-06,12.58,12.58,12.81,12.32,71176,270055120.0,3.87,-0.55,-0.07,22.4
2016-04-07,12.58,12.21,12.65,12.18,41366,154470698.0,3.74,-2.94,-0.37,13.02
2016-04-08,11.99,12.86,13.0,11.93,68276,261011934.0,8.76,5.32,0.65,21.48
2016-04-11,13.04,13.37,13.75,12.76,72031,290728896.0,7.7,3.97,0.51,22.67
2016-04-12,14.71,14.71,14.71,14.71,17834,79182294.0,0.0,10.02,1.34,5.61
2016-04-13,15.84,16.19,16.19,15.48,120687,578234048.0,4.83,10.06,1.48,37.98
2016-04-14,16.36,17.82,17.82,16.21,133182,690236736.0,9.94,10.07,1.63,41.91
2016-04-15,17.87,17.0,18.13,16.88,134974,706948448.0,7.01,-4.6,-0.82,42.47
2016-04-18,16.7,17.07,17.63,16.68,94461,490337648.0,5.59,0.41,0.07,29.72
2016-04-19,17.25,18.34,18.78,17.24,129385,717720928.0,9.02,7.44,1.27,40.71
2016-04-20,18.04,17.12,18.51,16.6,118576,624436656.0,10.41,-6.65,-1.22,37.31
2016-04-21,17.08,17.54,18.78,16.95,121825,654987792.0,10.69,2.45,0.42,38.33
2016-04-22,17.03,18.1,18.25,16.47,93758,487168336.0,10.15,3.19,0.56,29.5
2016-04-25,17.98,19.26,19.92,17.98,144010,827489952.0,10.72,6.41,1.16,45.31
2016-04-26,18.72,19.37,19.43,18.42,96152,546476016.0,5.24,0.57,0.11,30.26
2016-04-27,19.45,18.65,20.27,18.52,112624,656747728.0,9.03,-3.72,-0.72,35.44
2016-04-28,18.25,18.63,18.77,17.8,73991,405755024.0,5.2,-0.11,-0.02,23.28
2016-04-29,18.58,19.11,19.85,18.42,90169,520934928.0,7.68,2.58,0.48,28.37
2016-05-03,18.91,19.66,19.91,18.59,76313,442822720.0,6.91,2.88,0.55,24.01
2016-05-04,19.51,20.15,21.41,19.47,109255,670501984.0,9.87,2.49,0.49,34.38
2016-05-05,20.0,21.86,21.91,19.98,115306,727727856.0,9.58,8.49,1.71,36.28
2016-05-06,21.86,21.02,22.37,20.87,109724,711985280.0,6.86,-3.84,-0.84,34.53
2016-05-09,20.8,21.29,21.97,20.66,78648,504239648.0,6.23,1.28,0.27,24.75
2016-05-10,21.02,19.21,21.46,19.15,79620,484491216.0,10.85,-9.77,-2.08,25.05
2016-05-11,19.41,18.1,19.61,17.95,76394,433659456.0,8.64,-5.78,-1.11,24.04
2016-05-12,18.06,18.85,19.07,17.58,70689,393871712.0,8.23,4.14,0.75,22.24
2016-05-13,18.5,18.3,18.95,18.1,48484,270848624.0,4.51,-2.92,-0.55,15.26
2016-05-16,18.17,20.14,20.14,18.06,79298,466418144.0,11.37,10.05,1.84,24.95
2016-05-17,20.25,21.0,22.13,20.11,105283,668605120.0,10.03,4.27,0.86,33.13
2016-05-18,20.91,22.58,22.58,20.42,105598,681667504.0,10.29,7.52,1.58,33.23
2016-05-19,22.06,22.58,23.91,21.92,110907,760861600.0,8.81,0.0,0.0,34.9
2016-05-20,22.25,24.85,24.85,22.18,103814,742827920.0,11.82,10.05,2.27,32.67
2016-05-23,24.91,24.86,25.75,24.08,101549,761358608.0,6.72,0.04,0.01,31.95
2016-05-24,25.68,26.71,27.34,25.26,108257,859835392.0,8.37,7.44,1.85,34.06
2016-05-25,26.58,26.05,27.05,24.78,96727,758724192.0,8.5,-2.47,-0.66,30.44
2016-05-26,25.61,25.11,25.99,23.57,92180,683803488.0,9.29,-3.61,-0.94,29.01
2016-05-27,25.04,25.57,26.82,25.04,104232,815743136.0,7.09,1.83,0.46,32.8
2016-05-30,25.4,25.71,27.44,25.25,102982,809862640.0,8.56,0.55,0.14,32.4
2016-05-31,25.95,27.13,28.29,25.33,457618,1234748832.0,11.51,5.52,1.42,48.0
2016-06-01,26.5,29.85,29.85,26.45,505404,1414400080.0,12.53,10.03,2.72,53.01
2016-06-02,29.96,32.84,32.84,29.92,518623,1630180928.0,9.78,10.02,2.99,54.4
2016-06-03,33.08,32.85,35.87,31.46,513869,1716162064.0,13.43,0.03,0.01,53.9
