日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,14.1,13.94,14.15,13.9,48648,126953543.0,1.79,0.07,0.01,2.08
2010-01-05,14.08,14.31,14.44,13.94,41918,111585219.0,3.59,2.65,0.37,1.79
2010-01-06,14.31,14.08,14.49,14.08,28716,76564015.0,2.87,-1.61,-0.23,1.23
2010-01-07,14.08,13.43,14.15,13.35,30198,76532558.0,5.68,-4.62,-0.65,1.29
2010-01-11,13.38,13.38,13.58,12.99,24412,60407892.0,4.39,-0.37,-0.05,1.04
2010-01-12,13.33,14.02,14.05,13.22,24274,62115368.0,6.2,4.78,0.64,1.04
2010-01-13,13.71,13.81,14.05,13.55,27935,71861158.0,3.57,-1.5,-0.21,1.2
2010-01-14,13.77,14.11,14.19,13.6,40271,105249603.0,4.27,2.17,0.3,1.72
2010-01-15,14.14,13.78,14.35,13.6,37798,97420171.0,5.32,-2.34,-0.33,1.62
2010-01-18,13.66,13.8,13.94,13.35,117479,301347611.0,4.28,0.15,0.02,5.03
2010-01-19,13.85,13.89,14.27,13.6,48733,126138217.0,4.86,0.65,0.09,2.09
2010-01-20,13.91,13.75,14.24,13.49,59867,154833205.0,5.4,-1.01,-0.14,2.56
2010-01-21,13.65,13.51,13.92,13.39,31209,79172554.0,3.85,-1.75,-0.24,1.34
2010-01-22,13.44,12.98,13.52,12.94,21597,53044138.0,4.29,-3.92,-0.53,0.92
2010-01-25,12.97,12.84,13.14,12.55,12912,31275242.0,4.55,-1.08,-0.14,0.55
2010-01-26,12.91,12.97,12.99,12.46,44871,107996472.0,4.13,1.01,0.13,1.92
2010-01-27,12.96,12.88,12.99,12.55,13261,31822100.0,3.39,-0.69,-0.09,0.57
2010-01-28,12.83,12.83,12.91,12.6,14717,35093364.0,2.41,-0.39,-0.05,0.63
2010-01-29,12.77,13.13,13.27,12.71,12008,29303450.0,4.36,2.34,0.3,0.51
2010-02-01,13.1,13.21,13.31,12.85,10033,24557025.0,3.5,0.61,0.08,0.43
2010-02-02,13.21,12.46,13.32,12.44,27255,65673639.0,6.66,-5.68,-0.75,1.17
2010-02-03,12.48,12.92,12.94,12.48,52329,124146852.0,3.69,3.69,0.46,2.24
2010-02-04,12.94,12.94,13.33,12.77,37591,91693608.0,4.33,0.15,0.02,1.61
2010-02-05,12.93,13.31,13.44,12.83,64417,159310071.0,4.71,2.86,0.37,2.76
2010-02-08,13.36,13.76,13.93,13.33,30003,76960134.0,4.51,3.38,0.45,1.28
2010-02-09,13.65,13.55,13.81,13.49,15913,40644353.0,2.33,-1.53,-0.21,0.68
2010-02-10,13.74,13.55,13.74,13.46,20435,51778032.0,2.07,0.0,0.0,0.87
2010-02-11,13.55,13.71,13.74,13.5,21356,54384585.0,1.77,1.18,0.16,0.91
