日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2019-11-22,6.52,7.84,7.84,6.52,2254,1790305.0,24.4,44.92,2.43,0.54
2019-11-25,8.64,8.64,8.64,8.64,542,474669.0,0.0,10.2,0.8,0.13
2019-11-26,9.52,9.52,9.52,9.52,959,924273.0,0.0,10.19,0.88,0.23
2019-11-27,10.48,10.48,10.48,10.48,1885,1998534.0,0.0,10.08,0.96,0.45
2019-11-28,11.54,11.54,11.54,11.54,1889,2202620.0,0.0,10.11,1.06,0.45
2019-11-29,12.71,12.71,12.71,12.71,4327,5551233.0,0.0,10.14,1.17,1.04
2019-12-02,13.99,13.99,13.99,13.99,3382,4771945.0,0.0,10.07,1.28,0.81
2019-12-03,15.4,15.4,15.4,15.4,5351,8304022.0,0.0,10.08,1.41,1.28
2019-12-04,16.95,16.95,16.95,16.95,4239,7236126.0,0.0,10.06,1.55,1.01
2019-12-05,18.66,18.66,18.66,18.66,3474,6524303.0,0.0,10.09,1.71,0.83
2019-12-06,19.83,20.54,20.54,19.7,334533,679382240.0,4.5,10.08,1.88,80.07
2019-12-09,19.63,19.08,19.78,18.56,199780,387885648.0,5.94,-7.11,-1.46,47.82
2019-12-10,19.16,19.98,20.35,19.1,205327,406153312.0,6.55,4.72,0.9,49.14
2019-12-11,19.98,20.21,21.06,19.6,176088,358992784.0,7.31,1.15,0.23,42.15
2019-12-12,20.22,20.21,21.08,18.68,162858,330609648.0,11.88,0.0,0.0,38.98
2019-12-13,19.97,20.07,20.68,19.68,126991,256582329.0,4.95,-0.69,-0.14,30.4
2019-12-16,20.45,20.27,20.65,19.69,134521,272037952.0,4.78,1.0,0.2,32.2
2019-12-17,20.18,21.87,22.2,19.9,171619,356288064.0,11.35,7.89,1.6,41.08
2019-12-18,21.28,21.87,22.38,20.93,167144,361798320.0,6.63,0.0,0.0,40.01
2019-12-19,21.57,19.67,21.58,19.67,134514,275428160.0,8.73,-10.06,-2.2,32.2
2019-12-20,18.8,18.08,19.18,17.96,136126,254267680.0,6.2,-8.08,-1.59,32.58
2019-12-23,18.14,18.21,18.45,17.77,84061,153620638.0,3.76,0.72,0.13,20.12
2019-12-24,18.11,17.64,18.33,17.18,86212,153508947.0,6.32,-3.13,-0.57,20.63
2019-12-25,17.38,17.98,18.17,17.38,86491,155116237.0,4.48,1.93,0.34,20.7
2019-12-26,18.03,18.28,18.81,17.78,99747,183459990.0,5.73,1.67,0.3,23.87
2019-12-27,18.04,18.14,19.08,18.04,94992,177024202.0,5.69,-0.77,-0.14,22.74
2019-12-30,18.67,16.51,18.67,16.31,161597,277662624.0,13.01,-8.99,-1.63,38.68
2019-12-31,16.41,16.07,16.47,15.99,92964,151364045.0,2.91,-2.67,-0.44,22.25
