日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2017-02-08,7.55,7.55,7.55,7.55,128,255488.0,0.0,51.91,2.58,0.05
2017-02-09,8.39,8.39,8.39,8.39,30,65726.0,0.0,11.13,0.84,0.01
2017-02-10,9.32,9.32,9.32,9.32,91,219856.0,0.0,11.08,0.93,0.04
2017-02-13,10.35,10.35,10.35,10.35,143,379722.0,0.0,11.05,1.03,0.06
2017-02-14,11.47,11.47,11.47,11.47,181,529244.0,0.0,10.82,1.12,0.07
2017-02-15,12.7,12.7,12.7,12.7,286,920773.0,0.0,10.72,1.23,0.11
2017-02-16,14.07,14.07,14.07,14.07,773,2734379.0,0.0,10.79,1.37,0.3
2017-02-17,15.56,15.56,15.56,15.56,1083,4213791.0,0.0,10.59,1.49,0.42
2017-02-20,16.02,15.93,16.86,15.18,148717,593727216.0,10.8,2.38,0.37,58.15
2017-02-21,15.13,16.58,16.99,14.75,122699,498745232.0,14.06,4.08,0.65,47.97
2017-02-22,16.27,16.18,17.05,15.92,84085,341770112.0,6.82,-2.41,-0.4,32.88
2017-02-23,15.98,16.83,17.29,15.98,106499,443917872.0,8.1,4.02,0.65,41.64
2017-02-24,16.63,16.66,17.02,16.23,72042,298840432.0,4.69,-1.01,-0.17,28.17
2017-02-27,16.44,16.4,16.85,16.36,46113,190013120.0,2.94,-1.56,-0.26,18.03
2017-02-28,16.4,16.54,16.65,15.94,50774,206256547.0,4.33,0.85,0.14,19.85
2017-03-01,16.42,16.64,16.85,16.42,50481,209034982.0,2.6,0.6,0.1,19.74
2017-03-02,16.58,17.01,17.5,16.39,85212,358313328.0,6.67,2.22,0.37,33.32
2017-03-03,16.72,17.48,18.05,16.48,83254,356398272.0,9.23,2.76,0.47,32.55
2017-03-06,17.51,17.84,18.05,17.24,70136,308793904.0,4.63,2.06,0.36,27.42
2017-03-07,17.67,17.9,18.21,17.44,64602,285740960.0,4.32,0.34,0.06,25.26
2017-03-08,17.84,17.4,17.94,17.25,48904,213997234.0,3.85,-2.79,-0.5,19.12
2017-03-09,17.25,16.91,17.56,16.71,51415,218781983.0,4.89,-2.82,-0.49,20.1
2017-03-10,16.95,17.23,17.27,16.85,44098,188059067.0,2.48,1.89,0.32,17.24
2017-03-13,17.07,18.16,18.19,17.05,64972,285982720.0,6.62,5.4,0.93,25.4
2017-03-14,18.22,18.14,18.53,18.04,54003,243979743.0,2.7,-0.11,-0.02,21.11
2017-03-15,17.95,18.39,18.55,17.84,39539,178992425.0,3.91,1.38,0.25,15.46
2017-03-16,18.45,20.32,20.32,18.27,90312,440083712.0,11.15,10.49,1.93,35.31
2017-03-17,19.94,18.97,20.95,18.93,120925,588294864.0,9.94,-6.64,-1.35,47.28
2017-03-20,18.45,19.33,19.37,18.21,57678,268616944.0,6.11,1.9,0.36,22.55
2017-03-21,19.26,19.82,20.0,19.07,66412,321411232.0,4.81,2.53,0.49,25.97
2017-03-22,19.82,19.98,20.24,19.48,60543,299026496.0,3.83,0.81,0.16,23.67
2017-03-23,19.83,19.24,20.13,18.77,49585,238605490.0,6.81,-3.7,-0.74,19.39
2017-03-24,19.19,20.03,20.05,19.19,46805,227896325.0,4.47,4.11,0.79,18.3
2017-03-27,19.99,19.9,20.23,19.45,29724,145535297.0,3.89,-0.65,-0.13,11.62
2017-03-28,19.89,19.0,20.24,18.77,43937,213951217.0,7.39,-4.52,-0.9,17.18
2017-03-29,18.87,17.43,19.1,17.41,56647,256001621.0,8.89,-8.26,-1.57,22.15
2017-03-30,17.24,17.89,18.52,16.87,44249,194461952.0,9.47,2.64,0.46,17.3
2017-03-31,17.71,17.62,18.05,17.24,23329,102173490.0,4.53,-1.51,-0.27,9.12
2017-04-05,17.41,18.13,18.42,17.41,24993,112274576.0,5.73,2.89,0.51,9.77
2017-04-06,18.12,18.34,18.84,18.06,27960,128073633.0,4.3,1.16,0.21,10.93
2017-04-07,18.24,18.71,18.93,18.24,33881,156888296.0,3.76,2.02,0.37,13.25
2017-04-10,18.69,18.49,19.09,18.26,54618,254439301.0,4.44,-1.18,-0.22,21.36
2017-04-11,18.16,19.4,19.52,17.75,33864,158292012.0,9.57,4.92,0.91,13.24
2017-04-12,19.25,19.02,19.61,18.91,21971,104288669.0,3.61,-1.96,-0.38,8.59
2017-04-13,18.79,18.85,19.31,18.77,16644,78513169.0,2.84,-0.89,-0.17,6.51
2017-04-14,18.64,18.71,19.11,18.55,17583,82099615.0,2.97,-0.74,-0.14,6.87
2017-04-17,17.74,17.22,18.25,16.94,23709,104408475.0,7.0,-7.96,-1.49,9.27
