日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,11.4,11.81,12.02,11.22,99024,136987356.0,7.02,3.6,0.41,5.0
2010-01-05,11.78,12.03,12.21,11.51,95042,133385019.0,5.93,1.86,0.22,4.8
2010-01-06,11.92,11.78,12.16,11.71,65549,91453333.0,3.74,-2.08,-0.25,3.31
2010-01-07,11.71,11.3,11.79,11.17,68546,92816831.0,5.26,-4.07,-0.48,3.46
2010-01-08,11.26,11.64,11.76,11.21,55423,74926289.0,4.87,3.01,0.34,2.8
2010-01-11,12.04,12.47,12.88,11.76,147503,212911150.0,9.62,7.13,0.83,7.45
2010-01-12,12.39,13.4,13.91,12.35,174153,269427238.0,12.51,7.46,0.93,8.8
2010-01-13,13.21,14.95,14.95,13.04,230390,380167412.0,14.25,11.57,1.55,11.64
2010-01-14,16.65,16.35,16.65,15.32,218806,395416878.0,8.9,9.36,1.4,11.05
2010-01-15,15.91,15.56,15.99,15.42,140762,249517212.0,3.49,-4.83,-0.79,7.11
2010-01-18,15.5,15.81,15.84,15.29,103914,183982063.0,3.53,1.61,0.25,5.25
2010-01-19,15.71,15.27,15.83,15.11,95821,167298041.0,4.55,-3.42,-0.54,4.84
2010-01-20,15.36,13.77,15.66,13.55,149493,247672446.0,13.82,-9.82,-1.5,7.55
2010-01-21,13.79,13.7,14.06,13.51,81314,129311008.0,3.99,-0.51,-0.07,4.11
2010-01-22,13.41,13.09,13.61,12.61,109299,165856785.0,7.3,-4.45,-0.61,5.52
2010-01-25,12.99,13.05,13.4,12.83,64421,98116570.0,4.35,-0.31,-0.04,3.25
2010-01-26,13.05,12.78,13.26,12.46,56194,83494764.0,6.13,-2.07,-0.27,2.84
2010-01-27,12.79,13.22,13.76,12.55,122493,188857000.0,9.47,3.44,0.44,6.19
2010-01-28,13.14,13.37,13.67,13.01,84562,130358510.0,4.99,1.13,0.15,4.27
2010-01-29,13.16,13.4,13.76,13.06,95327,148454984.0,5.24,0.22,0.03,4.81
2010-02-01,13.22,12.13,13.4,12.03,97033,141212153.0,10.22,-9.48,-1.27,4.9
2010-02-02,12.3,12.42,12.9,11.91,92932,134305732.0,8.16,2.39,0.29,4.69
2010-02-03,12.23,12.66,12.71,11.71,72510,104216670.0,8.05,1.93,0.24,3.66
2010-02-04,12.51,13.2,13.4,12.21,98637,149575724.0,9.4,4.27,0.54,4.98
2010-02-05,12.71,12.62,13.13,12.43,60689,90041213.0,5.3,-4.39,-0.58,3.07
2010-02-08,12.62,12.78,13.12,12.61,25987,38718659.0,4.04,1.27,0.16,1.31
2010-02-09,12.7,12.69,12.83,12.46,25960,38283698.0,2.9,-0.7,-0.09,1.31
2010-02-10,12.93,13.01,13.09,12.8,45344,68088514.0,2.29,2.52,0.32,2.29
2010-02-11,12.99,12.72,13.11,12.7,27133,40589363.0,3.15,-2.23,-0.29,1.37
2010-02-12,12.79,12.9,13.08,12.67,28422,42600487.0,3.22,1.42,0.18,1.44
2010-02-22,12.91,13.08,13.34,12.81,44357,67577208.0,4.11,1.4,0.18,2.24
2010-02-23,13.09,14.6,14.6,13.09,135335,215976413.0,11.54,11.62,1.52,6.84
2010-02-24,14.49,14.65,14.9,14.09,124125,206199130.0,5.55,0.34,0.05,6.27
2010-02-25,14.7,14.86,14.93,14.48,97612,164064701.0,3.07,1.43,0.21,4.93
2010-02-26,14.79,14.58,15.13,14.43,88372,149193373.0,4.71,-1.88,-0.28,4.46
2010-03-01,14.46,14.77,14.87,14.15,71316,118115989.0,4.94,1.3,0.19,3.6
2010-03-02,14.77,14.97,15.39,14.5,88536,151684066.0,6.03,1.35,0.2,4.47
2010-03-03,14.8,15.19,15.46,14.79,72165,124456961.0,4.48,1.47,0.22,3.64
2010-03-04,15.17,14.14,15.4,13.92,84388,141633029.0,9.74,-6.91,-1.05,4.26
2010-03-05,14.14,13.9,14.39,13.7,47648,76724853.0,4.88,-1.7,-0.24,2.41
2010-03-08,14.01,14.06,14.28,13.91,32542,52489388.0,2.66,1.15,0.16,1.64
2010-03-09,14.07,13.94,14.07,13.76,27701,44300710.0,2.2,-0.85,-0.12,1.4
2010-03-10,13.97,14.05,14.39,13.88,41818,67998403.0,3.66,0.79,0.11,2.11
2010-03-11,13.97,13.4,14.11,13.21,65650,102558463.0,6.41,-4.63,-0.65,3.32
2010-03-12,13.39,13.07,13.46,13.03,38216,58343706.0,3.21,-2.46,-0.33,1.93
2010-03-15,13.08,12.91,13.11,12.81,25759,38698002.0,2.3,-1.22,-0.16,1.3
2010-03-16,12.92,13.18,13.18,12.89,22756,34438663.0,2.25,2.09,0.27,1.15
2010-03-17,13.29,14.22,14.27,13.18,66839,106048781.0,8.27,7.89,1.04,3.38
2010-03-18,14.39,14.2,14.71,14.08,81720,134852320.0,4.43,-0.14,-0.02,4.13
2010-03-19,14.12,14.31,14.68,14.11,50656,83477731.0,4.01,0.77,0.11,2.56
2010-03-22,14.31,14.49,14.57,14.18,40298,66419951.0,2.73,1.26,0.18,2.04
2010-03-23,14.48,14.28,14.88,14.2,47898,79598178.0,4.69,-1.45,-0.21,2.42
2010-03-24,14.21,14.11,14.5,14.02,35327,57411866.0,3.36,-1.19,-0.17,1.78
2010-03-25,14.11,14.65,15.16,14.07,127723,214469472.0,7.73,3.83,0.54,6.45
2010-03-26,14.66,14.53,14.75,14.2,63497,105015314.0,3.75,-0.82,-0.12,3.21
2010-03-29,14.47,14.38,14.64,14.12,52396,85986940.0,3.58,-1.03,-0.15,2.65
2010-03-30,14.4,14.46,14.79,14.39,41498,69134941.0,2.78,0.56,0.08,2.1
2010-03-31,14.45,14.69,14.9,14.42,56757,95313255.0,3.32,1.59,0.23,2.87
2010-04-01,14.71,15.01,15.01,14.61,65751,111443179.0,2.72,2.18,0.32,3.32
2010-04-02,14.98,14.85,15.11,14.76,47785,81221372.0,2.33,-1.07,-0.16,2.41
2010-04-06,14.84,14.62,14.9,14.41,49789,83054728.0,3.3,-1.55,-0.23,2.51
2010-04-07,14.61,14.99,15.0,14.52,51661,87324424.0,3.28,2.53,0.37,2.61
2010-04-08,14.95,14.79,14.96,14.62,34356,58057465.0,2.27,-1.33,-0.2,1.74
2010-04-09,15.19,15.11,15.76,15.09,91010,159033735.0,4.53,2.16,0.32,4.6
2010-04-12,15.17,15.54,15.74,14.93,87384,153590815.0,5.36,2.85,0.43,4.41
2010-04-13,15.41,14.92,15.86,14.31,87298,150598666.0,9.97,-3.99,-0.62,4.41
2010-04-14,15.01,14.79,15.01,14.65,46834,79089741.0,2.41,-0.87,-0.13,2.37
2010-04-15,14.82,14.49,14.97,14.41,43205,72338826.0,3.79,-2.03,-0.3,2.18
2010-04-16,14.41,14.58,14.8,14.41,26377,44080434.0,2.69,0.62,0.09,1.33
2010-04-19,14.3,13.62,14.78,13.6,44993,73111699.0,8.09,-6.58,-0.96,2.27
2010-04-20,13.61,13.81,13.89,13.23,30049,47216358.0,4.85,1.4,0.19,1.52
2010-04-21,13.82,14.41,14.51,13.82,32475,53135047.0,5.0,4.34,0.6,1.64
2010-04-22,14.41,14.53,14.81,14.14,40976,67981443.0,4.65,0.83,0.12,2.07
2010-04-23,14.55,14.24,14.82,14.14,29420,48597374.0,4.68,-2.0,-0.29,1.49
2010-04-26,14.21,14.32,14.59,13.92,30627,50306604.0,4.71,0.56,0.08,1.55
2010-04-27,14.22,13.55,14.26,12.93,41355,65055182.0,9.29,-5.38,-0.77,2.09
2010-04-28,13.4,13.16,13.73,13.0,35647,54748854.0,5.39,-2.88,-0.39,1.8
2010-04-29,13.16,13.23,13.39,13.11,27551,42242746.0,2.13,0.53,0.07,1.39
2010-04-30,13.11,12.04,13.18,11.74,37024,53260432.0,10.88,-8.99,-1.19,1.87
2010-05-04,11.76,11.96,12.29,11.71,21117,29881981.0,4.82,-0.66,-0.08,1.07
2010-05-05,11.9,12.51,12.52,11.77,26415,37819708.0,6.27,4.6,0.55,1.33
2010-05-06,12.51,12.04,12.74,11.97,29021,41857753.0,6.16,-3.76,-0.47,1.47
2010-05-07,11.86,11.5,11.96,11.41,28231,38859571.0,4.57,-4.49,-0.54,1.43
2010-05-10,11.59,11.08,11.73,10.71,28339,37511017.0,8.87,-3.65,-0.42,1.43
2010-05-11,11.41,10.9,11.61,10.79,27128,36050883.0,7.4,-1.62,-0.18,1.37
2010-05-12,10.8,10.63,11.18,10.29,22973,29501367.0,8.17,-2.48,-0.27,1.16
2010-05-13,10.56,11.18,11.19,10.47,28967,37596472.0,6.77,5.17,0.55,1.46
2010-05-14,11.11,11.31,11.41,11.01,33623,44916823.0,3.58,1.16,0.13,1.7
2010-05-17,11.11,10.07,11.19,10.02,32526,41335402.0,10.34,-10.96,-1.24,1.64
2010-05-18,10.23,10.45,10.6,9.79,31065,38323366.0,8.04,3.77,0.38,1.57
2010-05-19,10.4,10.78,11.05,10.11,42153,53579869.0,9.0,3.16,0.33,2.13
2010-05-21,10.06,10.94,11.08,9.81,36936,46771092.0,11.78,1.48,0.16,1.87
2010-05-24,10.98,11.62,11.8,10.98,50358,68160303.0,7.5,6.22,0.68,2.54
2010-05-25,11.41,11.38,11.69,11.19,36571,49478157.0,4.3,-2.07,-0.24,1.85
2010-05-26,11.38,11.3,11.56,11.19,25463,34218312.0,3.25,-0.7,-0.08,1.29
2010-05-27,11.31,11.59,11.69,11.11,35671,48271898.0,5.13,2.57,0.29,1.8
2010-05-28,11.73,11.77,12.07,11.59,45624,63492269.0,4.14,1.55,0.18,2.3
2010-05-31,11.74,11.08,11.74,11.04,30086,40545624.0,5.95,-5.86,-0.69,1.52
2010-06-01,10.96,10.68,11.16,10.36,30353,38882458.0,7.22,-3.61,-0.4,1.53
2010-06-02,10.56,11.04,11.05,10.41,23711,30441952.0,5.99,3.37,0.36,1.2
2010-06-03,11.06,10.92,11.41,10.91,34909,46361481.0,4.53,-1.09,-0.12,1.76
2010-06-04,10.83,11.14,11.24,10.81,18472,24334757.0,3.94,2.01,0.22,0.93
2010-06-07,10.9,11.4,11.48,10.79,34286,45721428.0,6.19,2.33,0.26,1.73
2010-06-08,11.51,11.63,11.78,11.36,39035,53252617.0,3.68,2.02,0.23,1.97
2010-06-09,11.73,11.86,11.86,11.46,38166,52490109.0,3.44,1.98,0.23,1.93
2010-06-10,11.76,11.9,12.11,11.66,40426,56584217.0,3.79,0.34,0.04,2.04
2010-06-17,11.92,11.48,12.05,11.41,32534,44689412.0,5.38,-3.53,-0.42,1.64
2010-06-18,11.41,10.8,11.47,10.69,29085,38422072.0,6.79,-5.92,-0.68,1.47
2010-06-21,10.69,11.19,11.2,10.63,18934,24751343.0,5.28,3.61,0.39,0.96
2010-06-22,11.11,11.23,11.33,11.07,15454,20584568.0,2.32,0.36,0.04,0.78
2010-06-23,11.16,11.45,11.47,11.06,26586,35684322.0,3.65,1.96,0.22,1.34
2010-06-24,11.52,11.3,11.59,11.19,21633,29158202.0,3.49,-1.31,-0.15,1.09
2010-06-25,11.29,10.97,11.36,10.83,22665,29830741.0,4.69,-2.92,-0.33,1.14
2010-06-28,10.84,10.73,11.14,10.64,15131,19559152.0,4.56,-2.19,-0.24,0.76
2010-06-29,10.73,9.91,10.86,9.86,26921,33090802.0,9.32,-7.64,-0.82,1.36
2010-06-30,9.71,9.66,10.06,9.54,17466,20581003.0,5.25,-2.52,-0.25,0.88
2010-07-01,9.66,9.68,9.95,9.57,13935,16588909.0,3.93,0.21,0.02,0.7
2010-07-02,9.63,9.55,9.78,9.05,18936,21824124.0,7.54,-1.34,-0.13,0.96
2010-07-05,9.43,9.51,9.55,9.1,12051,13792401.0,4.71,-0.42,-0.04,0.61
2010-07-06,9.49,9.84,9.89,9.4,19398,22957175.0,5.15,3.47,0.33,0.98
2010-07-07,9.94,10.07,10.1,9.79,18153,21568989.0,3.15,2.34,0.23,0.92
2010-07-08,10.06,9.88,10.17,9.82,12442,14785319.0,3.48,-1.89,-0.19,0.63
2010-07-09,9.76,10.31,10.35,9.76,22972,27849783.0,5.97,4.35,0.43,1.16
2010-07-12,10.34,10.34,10.43,10.24,17923,22022726.0,1.84,0.29,0.03,0.91
2010-07-13,10.2,10.13,10.26,9.87,17129,20623274.0,3.77,-2.03,-0.21,0.87
2010-07-14,10.23,10.24,10.44,10.13,18885,23150254.0,3.06,1.09,0.11,0.95
2010-07-15,10.25,9.91,10.4,9.89,16353,19786736.0,4.98,-3.22,-0.33,0.83
2010-07-16,9.81,9.96,10.03,9.67,14972,17649472.0,3.63,0.5,0.05,0.76
2010-07-19,9.86,10.3,10.32,9.72,24173,29103033.0,6.02,3.41,0.34,1.22
2010-07-20,10.31,10.67,10.71,10.26,34370,42942212.0,4.37,3.59,0.37,1.74
2010-07-21,10.64,10.58,10.82,10.52,28400,35849654.0,2.81,-0.84,-0.09,1.43
2010-07-22,10.48,10.88,10.9,10.48,27950,35494550.0,3.97,2.84,0.3,1.41
2010-07-23,10.88,10.79,10.89,10.61,26997,34265206.0,2.57,-0.83,-0.09,1.36
2010-07-26,10.79,10.93,11.04,10.78,28450,36557965.0,2.41,1.3,0.14,1.44
2010-07-27,10.88,11.07,11.2,10.74,39396,50851035.0,4.21,1.28,0.14,1.99
2010-07-28,11.15,11.53,11.63,11.06,61061,81791246.0,5.15,4.16,0.46,3.08
2010-07-29,11.46,11.54,11.61,11.29,41739,55856248.0,2.78,0.09,0.01,2.11
2010-07-30,11.41,11.39,11.55,11.22,30476,40634696.0,2.86,-1.3,-0.15,1.54
2010-08-02,11.39,11.55,11.58,11.29,30822,41390292.0,2.55,1.4,0.16,1.56
2010-08-03,11.65,11.34,11.9,11.32,41553,56395304.0,5.02,-1.82,-0.21,2.1
2010-08-04,11.32,11.65,11.66,11.25,31745,42388367.0,3.62,2.73,0.31,1.6
2010-08-05,11.57,11.53,11.75,11.4,27329,36902631.0,3.0,-1.03,-0.12,1.38
2010-08-06,11.56,11.86,11.86,11.31,47734,64795411.0,4.77,2.86,0.33,2.41
2010-08-09,11.84,11.98,12.0,11.73,44641,61684680.0,2.28,1.01,0.12,2.25
2010-08-10,11.99,11.33,11.99,11.31,37822,51402141.0,5.68,-5.43,-0.65,1.91
2010-08-11,11.26,11.51,11.57,11.26,27097,36256685.0,2.74,1.59,0.18,1.37
