日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2014-08-22,4.99,6.08,6.08,4.99,2410,1572754.0,26.72,49.02,2.0,0.36
2014-08-25,6.73,6.73,6.73,6.73,1090,783710.0,0.0,10.69,0.65,0.16
2014-08-26,7.45,7.45,7.45,7.45,2138,1691205.0,0.0,10.7,0.72,0.32
2014-08-27,8.24,8.24,8.24,8.24,4939,4297191.0,0.0,10.6,0.79,0.74
2014-08-28,9.11,9.11,9.11,9.11,16480,15771245.0,0.0,10.56,0.87,2.47
2014-08-29,10.07,10.07,10.07,10.07,26042,27422331.0,0.0,10.54,0.96,3.91
2014-09-01,11.12,11.12,11.12,11.12,18135,21000851.0,0.0,10.43,1.05,2.72
2014-09-02,12.28,12.28,12.28,12.28,13244,16872729.0,0.0,10.43,1.16,1.99
2014-09-03,13.55,13.55,13.55,13.55,14388,20157210.0,0.0,10.34,1.27,2.16
2014-09-04,14.95,14.95,14.95,14.95,22252,34289762.0,0.0,10.33,1.4,3.34
2014-09-05,16.49,16.49,16.49,16.45,278804,472568720.0,0.27,10.3,1.54,41.82
2014-09-09,17.54,17.09,17.77,16.7,491479,868709888.0,6.49,3.64,0.6,73.72
2014-09-10,16.04,17.33,18.34,15.94,325533,576390592.0,14.04,1.4,0.24,48.83
2014-09-11,17.18,16.93,17.6,16.6,176107,307225440.0,5.77,-2.31,-0.4,26.41
2014-09-12,16.64,16.6,16.84,16.24,135530,229411171.0,3.54,-1.95,-0.33,20.33
2014-09-15,16.46,16.43,16.59,16.24,82829,139700815.0,2.11,-1.02,-0.17,12.42
2014-09-16,16.4,15.31,16.43,15.28,133663,218156417.0,7.0,-6.82,-1.12,20.05
2014-09-17,15.35,15.56,15.88,14.98,81459,129850532.0,5.88,1.63,0.25,12.22
2014-09-18,15.42,15.14,15.47,14.94,70893,110870501.0,3.41,-2.7,-0.42,10.63
2014-09-19,15.1,15.28,15.44,15.04,45278,71250898.0,2.64,0.92,0.14,6.79
2014-09-22,15.14,16.85,16.85,15.08,202327,339255952.0,11.58,10.27,1.57,30.35
2014-09-23,17.34,16.93,17.89,16.52,316347,560008896.0,8.13,0.47,0.08,47.45
2014-09-24,16.39,16.29,16.44,15.94,167629,278848688.0,2.95,-3.78,-0.64,25.14
2014-09-25,16.02,15.76,16.33,15.68,108869,178951159.0,3.99,-3.25,-0.53,16.33
2014-09-26,15.54,15.82,16.02,15.49,52893,86089979.0,3.36,0.38,0.06,7.93
2014-09-29,15.84,15.7,16.02,15.66,64671,105193818.0,2.28,-0.76,-0.12,9.7
2014-09-30,15.69,15.65,15.81,15.56,40648,65459302.0,1.59,-0.32,-0.05,6.1
2014-10-08,15.55,15.49,15.59,15.32,47255,75028898.0,1.73,-1.02,-0.16,7.09
2014-10-09,15.54,15.7,15.83,15.46,47624,76708973.0,2.39,1.36,0.21,7.14
2014-10-10,15.54,15.24,15.55,15.17,56963,90080385.0,2.42,-2.93,-0.46,8.54
2014-10-13,15.14,15.16,15.19,15.0,31618,49086284.0,1.25,-0.52,-0.08,4.74
