日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2018-11-30,9.25,11.21,11.21,9.25,171,511713.0,25.72,47.11,3.59,0.09
2018-12-03,12.38,12.38,12.38,12.38,24,79377.0,0.0,10.44,1.17,0.01
2018-12-04,13.68,13.68,13.68,13.68,57,208509.0,0.0,10.5,1.3,0.03
2018-12-05,15.1,15.1,15.1,15.1,147,588147.0,0.0,10.38,1.42,0.08
2018-12-06,16.66,16.66,16.66,16.66,434,1910034.0,0.0,10.33,1.56,0.24
2018-12-07,18.38,18.38,18.38,18.38,663,3209583.0,0.0,10.32,1.72,0.36
2018-12-10,20.27,20.27,20.27,20.27,1024,5452374.0,0.0,10.28,1.89,0.56
2018-12-11,22.35,22.35,22.35,22.35,2407,14100206.0,0.0,10.26,2.08,1.33
2018-12-12,24.64,24.64,24.64,24.64,3890,25067997.0,0.0,10.25,2.29,2.14
2018-12-13,27.15,25.25,27.15,24.34,127484,848175072.0,11.4,2.48,0.61,70.18
2018-12-14,24.94,25.29,25.78,24.86,74939,497023024.0,3.64,0.16,0.04,41.25
2018-12-17,24.98,25.7,25.95,24.81,60620,403355696.0,4.51,1.62,0.41,33.37
2018-12-18,25.33,24.74,25.45,24.51,44598,290901488.0,3.66,-3.74,-0.96,24.55
2018-12-19,25.17,24.82,25.74,24.55,49418,325217792.0,4.81,0.32,0.08,27.2
2018-12-20,24.08,24.62,24.7,23.69,43572,275907872.0,4.07,-0.81,-0.2,23.99
2018-12-21,24.53,23.42,24.78,22.79,55086,342982688.0,8.08,-4.87,-1.2,30.32
2018-12-24,23.3,23.88,24.03,23.21,40179,248547910.0,3.5,1.96,0.46,22.12
2018-12-25,23.21,22.91,23.22,22.23,45907,273467904.0,4.15,-4.06,-0.97,25.27
2018-12-26,22.86,23.28,23.37,22.44,41727,251214411.0,4.06,1.62,0.37,22.97
2018-12-27,23.56,22.85,23.67,22.71,42553,260514188.0,4.12,-1.85,-0.43,23.43
2018-12-28,22.86,21.73,23.02,21.66,37988,221657739.0,5.95,-4.9,-1.12,20.91
2019-01-02,21.55,21.9,21.93,21.0,34370,193095214.0,4.28,0.78,0.17,18.92
2019-01-03,21.67,20.64,21.85,20.57,32805,182046002.0,5.84,-5.75,-1.26,18.06
2019-01-04,20.23,21.24,21.38,20.23,30611,168322599.0,5.57,2.91,0.6,16.85
2019-01-07,21.22,21.5,22.07,21.17,37393,211326880.0,4.24,1.22,0.26,20.58
2019-01-08,21.5,21.28,21.85,21.27,29843,168375065.0,2.7,-1.02,-0.22,16.43
2019-01-09,21.36,22.04,22.63,21.11,45735,262655931.0,7.14,3.57,0.76,25.18
2019-01-10,21.98,21.86,22.09,21.53,33641,192001153.0,2.54,-0.82,-0.18,18.52
2019-01-11,21.85,23.39,24.04,21.78,58275,349507088.0,10.34,7.0,1.53,32.08
2019-01-14,23.34,21.66,23.99,21.66,48643,286974688.0,9.96,-7.4,-1.73,26.78
2019-01-15,21.27,21.49,21.85,20.49,48844,270401072.0,6.28,-0.78,-0.17,26.89
2019-01-16,21.46,21.48,22.23,21.36,34548,197799128.0,4.05,-0.05,-0.01,19.02
2019-01-17,21.55,21.6,21.93,21.46,26269,149284011.0,2.19,0.56,0.12,14.46
2019-01-18,21.5,22.96,23.52,21.5,55911,329230704.0,9.35,6.3,1.36,30.78
2019-01-21,22.96,23.04,23.3,22.36,40415,241789346.0,4.09,0.35,0.08,22.25
2019-01-22,23.49,24.42,25.39,23.49,70904,458215696.0,8.25,5.99,1.38,39.03
2019-01-23,24.12,26.92,26.92,23.69,82608,547041168.0,13.23,10.24,2.5,45.48
2019-01-24,26.34,25.59,27.05,25.18,67029,456054480.0,6.95,-4.94,-1.33,36.9
2019-01-25,25.43,24.54,26.59,24.44,59143,394205216.0,8.4,-4.1,-1.05,32.56
2019-01-28,25.05,25.74,25.98,24.63,46021,304264176.0,5.5,4.89,1.2,25.33
2019-01-29,25.33,26.61,27.94,24.23,61294,418112512.0,14.41,3.38,0.87,33.74
2019-01-30,26.5,25.52,27.38,25.29,55097,380760000.0,7.85,-4.1,-1.09,30.33
2019-01-31,24.86,24.29,25.56,23.5,47840,307040352.0,8.07,-4.82,-1.23,26.34
2019-02-01,24.52,25.23,25.55,24.52,32075,210681905.0,4.24,3.87,0.94,17.66
2019-02-11,24.99,26.42,26.73,24.93,34762,236360907.0,7.13,4.72,1.19,19.14
2019-02-12,26.37,28.1,29.12,25.89,58291,416286944.0,12.23,6.36,1.68,32.09
2019-02-13,27.95,28.02,28.82,27.71,46983,345863904.0,3.95,-0.28,-0.08,25.86
2019-02-14,27.9,27.69,28.41,27.16,38833,281115296.0,4.46,-1.18,-0.33,21.38
2019-02-15,27.85,28.32,28.36,27.52,37641,274732720.0,3.03,2.28,0.63,20.72
2019-02-18,28.49,28.43,28.49,27.68,38647,283900768.0,2.86,0.39,0.11,21.28
2019-02-19,28.73,27.48,29.15,27.23,42840,314763232.0,6.75,-3.34,-0.95,23.58
2019-02-20,27.09,26.93,27.4,26.04,36699,256172163.0,4.95,-2.0,-0.55,20.2
2019-02-21,26.72,26.38,27.37,26.27,30108,209873196.0,4.08,-2.04,-0.55,16.57
2019-02-22,26.3,26.45,26.52,25.64,26557,181558656.0,3.34,0.27,0.07,14.62
2019-02-25,26.62,27.99,28.1,26.3,38011,272132176.0,6.81,5.82,1.54,20.93
2019-02-26,27.97,27.09,28.24,27.01,37740,271600304.0,4.39,-3.22,-0.9,20.78
2019-02-27,27.54,28.11,29.1,27.28,45790,336854352.0,6.72,3.77,1.02,25.21
2019-02-28,27.67,27.03,27.98,26.71,35031,249696734.0,4.52,-3.84,-1.08,19.28
2019-03-01,27.03,27.24,27.73,26.95,22985,163688100.0,2.89,0.78,0.21,12.65
2019-03-04,27.52,28.09,28.75,26.93,37749,273718592.0,6.68,3.12,0.85,20.78
2019-03-05,28.09,29.51,29.86,27.91,45472,345909216.0,6.94,5.06,1.42,25.03
2019-03-06,29.55,29.19,29.62,28.38,40099,303225280.0,4.2,-1.08,-0.32,22.07
2019-03-07,29.15,29.47,30.79,28.02,53627,410918800.0,9.49,0.96,0.28,29.52
2019-03-08,28.37,27.09,28.87,26.96,43108,316784880.0,6.48,-8.08,-2.38,23.73
