日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2016-10-21,12.23,14.83,14.83,12.23,32,64439.0,25.84,47.42,4.77,0.03
2016-10-24,16.39,16.39,16.39,16.39,15,33465.0,0.0,10.52,1.56,0.01
2016-10-25,18.11,18.11,18.11,18.11,5,12270.0,0.0,10.49,1.72,0.0
2016-10-26,19.99,19.99,19.99,19.99,15,40485.0,0.0,10.38,1.88,0.01
2016-10-27,22.07,22.07,22.07,22.07,15,44535.0,0.0,10.41,2.08,0.01
2016-10-28,24.35,24.35,24.35,24.35,8,26128.0,0.0,10.33,2.28,0.01
2016-10-31,26.87,26.87,26.87,26.87,31,111383.0,0.0,10.35,2.52,0.03
2016-11-01,29.63,29.63,29.63,29.63,9,35568.0,0.0,10.27,2.76,0.01
2016-11-02,32.67,32.67,32.67,32.67,53,230391.0,0.0,10.26,3.04,0.04
2016-11-03,36.02,36.02,36.02,36.02,87,416034.0,0.0,10.25,3.35,0.07
2016-11-04,39.69,39.69,39.69,39.69,73,383980.0,0.0,10.19,3.67,0.06
2016-11-07,43.74,43.74,43.74,43.74,120,696981.0,0.0,10.2,4.05,0.1
2016-11-08,48.19,48.19,48.19,48.19,112,712880.0,0.0,10.17,4.45,0.09
2016-11-09,53.09,53.09,53.09,53.09,119,833238.0,0.0,10.17,4.9,0.1
2016-11-10,58.48,58.48,58.48,58.48,156,1201512.0,0.0,10.15,5.39,0.13
2016-11-11,64.4,64.4,64.4,64.4,306,2592432.0,0.0,10.12,5.92,0.26
2016-11-14,70.92,70.92,70.92,70.92,296,2758424.0,0.0,10.12,6.52,0.25
2016-11-15,78.08,78.08,78.08,78.08,397,4066981.0,0.0,10.1,7.16,0.33
2016-11-16,85.97,85.97,85.97,85.97,1173,13226748.0,0.0,10.11,7.89,0.98
2016-11-17,94.65,87.92,94.65,86.29,81180,958391104.0,9.72,2.27,1.95,67.65
2016-11-18,86.75,88.91,90.92,85.79,45743,532688176.0,5.83,1.13,0.99,38.12
2016-11-21,90.0,89.54,90.77,88.46,32306,379173472.0,2.6,0.71,0.63,26.92
2016-11-22,89.31,91.52,95.0,89.31,43967,529130688.0,6.35,2.21,1.98,36.64
2016-11-23,91.54,94.35,95.38,90.46,36232,440540496.0,5.38,3.09,2.83,30.19
2016-11-24,94.38,89.77,95.89,89.62,30827,373116816.0,6.65,-4.85,-4.58,25.69
2016-11-25,89.08,92.13,92.98,87.96,24663,293136336.0,5.59,2.63,2.36,20.55
2016-11-28,91.44,91.58,92.27,89.23,19469,231044763.0,3.3,-0.6,-0.55,16.22
2016-11-29,90.69,86.98,91.38,86.55,18882,220285439.0,5.27,-5.02,-4.6,15.74
2016-11-30,86.24,86.88,88.28,85.38,13317,151413040.0,3.33,-0.11,-0.1,11.1
2016-12-01,86.54,87.58,88.12,86.23,9655,110669639.0,2.18,0.81,0.7,8.05
2016-12-02,87.81,81.15,87.82,80.77,16817,184926944.0,8.05,-7.34,-6.43,14.01
2016-12-05,79.31,80.67,82.22,78.58,9758,102703301.0,4.49,-0.59,-0.48,8.13
2016-12-06,80.01,80.77,82.04,80.01,7192,76577975.0,2.52,0.12,0.1,5.99
